
AZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,10,8,7,8,7,6,100,92,82,1022,1018,1012,10,9,3,35,21,,0.00,5,,321<br />
2001-1-2,13,9,5,9,7,4,100,91,77,1022,1020,1018,10,9,6,29,8,,0.00,2,,184<br />
2001-1-3,14,10,6,12,9,6,100,96,72,1023,1021,1020,10,4,0,11,6,,0.00,4,Fog,159<br />
2001-1-4,9,7,5,9,7,5,100,98,87,1022,1020,1019,10,6,0,18,5,,0.00,4,Fog,15<br />
2001-1-5,9,8,7,8,7,6,100,94,87,1022,1021,1019,10,10,10,14,6,,0.00,8,,60<br />
2001-1-6,12,10,8,10,7,4,100,89,58,1025,1023,1022,10,9,6,11,2,,0.00,8,,166<br />
2001-1-7,11,6,2,6,4,2,100,84,58,1025,1024,1023,10,8,0,14,8,,0.00,4,Fog,217<br />
2001-1-8,11,4,-1,8,4,-1,100,91,62,1025,1024,1022,8,2,0,11,2,,0.00,0,Fog,141<br />
2001-1-9,12,6,1,10,5,1,100,96,71,1025,1022,1019,8,3,0,21,6,,0.00,3,Fog,209<br />
2001-1-10,11,9,7,9,7,4,100,86,66,1019,1015,1012,8,6,3,40,31,58,0.00,4,Fog,186<br />
2001-1-11,12,9,6,7,6,3,100,79,58,1023,1020,1015,8,6,4,40,21,,0.00,2,,333<br />
2001-1-12,10,8,5,8,6,4,100,89,76,1022,1019,1016,10,10,10,26,11,,0.00,6,,175<br />
2001-1-13,15,8,2,7,4,1,100,80,42,1023,1018,1015,10,10,10,40,16,55,0.00,4,,302<br />
2001-1-14,7,6,4,5,3,1,100,86,70,1025,1024,1023,10,10,8,32,24,,0.00,7,Rain,339<br />
2001-1-15,4,3,3,3,1,-1,100,83,70,1032,1028,1025,10,10,10,26,16,,0.00,8,Rain,354<br />
2001-1-16,6,3,2,5,2,-1,100,84,70,1034,1032,1030,10,10,10,18,8,,0.00,8,Rain,133<br />
2001-1-17,9,6,2,5,4,1,100,87,66,1030,1027,1025,10,10,10,11,6,,0.00,7,,197<br />
2001-1-18,7,6,4,6,4,2,100,90,76,1025,1024,1023,10,10,10,29,13,,0.00,8,,333<br />
2001-1-19,6,3,1,3,0,-2,100,77,61,1030,1026,1024,10,8,1,40,23,,0.00,8,Rain-Snow,347<br />
2001-1-20,3,2,1,1,-1,-3,100,85,65,1033,1031,1029,10,7,1,40,24,,0.00,8,Rain-Snow,360<br />
2001-1-21,5,3,1,0,-1,-3,93,74,61,1033,1031,1027,10,10,10,18,5,,0.00,7,,177<br />
2001-1-22,7,2,-2,2,-1,-4,93,74,53,1028,1026,1025,10,10,10,40,16,,0.00,6,,294<br />
2001-1-23,3,0,-2,0,-3,-6,100,83,65,1036,1031,1028,10,5,0,35,31,,0.00,8,Rain-Snow,352<br />
2001-1-24,-1,-2,-3,-2,-6,-8,100,75,60,1037,1036,1036,10,9,2,29,19,,0.00,8,Snow,52<br />
2001-1-25,2,-2,-5,-1,-3,-5,100,82,65,1038,1036,1036,10,10,10,18,6,,0.00,6,Snow,34<br />
2001-1-26,3,2,1,-2,-4,-5,81,66,56,1039,1038,1037,10,10,10,18,11,,0.00,6,,21<br />
2001-1-27,5,2,-1,-2,-4,-6,87,68,52,1037,1035,1032,10,10,10,18,6,,0.00,4,,174<br />
2001-1-28,6,2,-1,2,0,-3,100,82,65,1032,1029,1027,10,10,10,29,14,,0.00,3,,180<br />
2001-1-29,7,4,3,2,1,-1,93,76,61,1028,1027,1026,10,10,10,26,18,,0.00,6,,181<br />
2001-1-30,8,4,2,4,2,-1,93,81,61,1026,1025,1024,10,9,8,29,16,,0.00,4,,175<br />
2001-1-31,9,6,3,7,5,3,100,91,66,1025,1021,1016,10,7,3,32,21,,0.00,2,,174<br />
2001-2-1,9,7,4,7,5,2,100,89,62,1016,1010,1006,10,8,1,47,27,64,0.00,6,Fog,193<br />
2001-2-2,9,4,0,7,4,0,100,96,82,1013,1011,1009,10,4,0,14,6,,0.00,5,Fog,342<br />
2001-2-3,7,6,4,6,5,4,100,97,87,1014,1012,1010,10,7,0,14,5,,0.00,8,Fog,38<br />
2001-2-4,7,6,6,7,6,2,100,94,76,1020,1012,1008,10,9,3,43,18,58,0.00,8,,332<br />
2001-2-5,5,4,3,3,2,0,100,83,70,1025,1023,1020,10,8,2,40,27,58,0.00,8,Rain,341<br />
2001-2-6,7,4,3,5,3,2,100,89,76,1027,1025,1021,10,10,4,21,11,,0.00,8,Rain,198<br />
2001-2-7,10,7,3,7,4,2,100,90,62,1029,1025,1022,10,7,0,14,8,,0.00,6,Fog,311<br />
2001-2-8,9,7,6,6,5,4,100,87,71,1035,1032,1029,10,10,10,18,8,,0.00,7,Rain,41<br />
2001-2-9,9,7,6,8,6,4,100,94,76,1036,1035,1034,10,10,10,26,10,,0.00,8,,151<br />
2001-2-10,10,8,5,8,6,5,100,88,71,1035,1034,1033,10,10,10,29,18,,0.00,7,,174<br />
2001-2-11,10,7,4,7,5,3,100,87,71,1033,1031,1028,10,6,0,35,16,,0.00,1,Fog,164<br />
2001-2-12,7,4,3,7,4,2,100,94,76,1030,1029,1027,10,7,0,35,14,,0.00,6,Fog,279<br />
2001-2-13,7,4,4,4,2,0,87,75,66,1030,1027,1021,10,10,10,29,19,,0.00,8,Rain,325<br />
2001-2-14,8,7,5,6,5,3,100,87,71,1020,1012,1007,10,10,10,195,24,,0.00,6,,188<br />
2001-2-15,7,6,5,6,4,3,100,90,81,1023,1014,1007,10,10,10,47,23,64,0.00,7,Rain,322<br />
2001-2-16,5,4,3,5,4,3,100,97,93,1025,1023,1019,10,7,3,21,13,,0.00,8,Rain,351<br />
2001-2-17,9,4,0,5,3,0,100,86,62,1026,1022,1019,10,7,0,26,10,,0.00,4,Fog,349<br />
2001-2-18,8,6,3,6,3,0,100,84,57,1026,1022,1016,10,10,10,26,10,,0.00,7,,131<br />
2001-2-19,10,5,0,7,4,0,100,83,66,1016,1013,1009,10,8,2,43,19,,0.00,4,,205<br />
2001-2-20,15,10,5,9,5,2,93,80,51,1009,1005,1002,10,10,10,35,27,,0.00,5,,237<br />
2001-2-21,6,3,2,4,1,-2,100,85,70,1008,1003,1000,10,8,1,47,34,64,22873.97,7,Rain-Snow,330<br />
2001-2-22,9,4,1,0,-5,-11,93,55,25,1008,1006,1003,10,10,10,45,19,60,0.00,6,,244<br />
2001-2-23,12,8,4,4,-4,-9,76,45,26,1006,1005,1003,,,,48,32,66,0.00,,,209<br />
2001-2-24,18,10,3,5,-2,-10,100,51,16,1015,1009,1005,,,,60,23,77,0.00,,,266<br />
2001-2-25,16,8,1,6,3,-1,100,78,34,1015,1010,1006,10,4,0,45,13,,0.00,4,Fog,218<br />
2001-2-26,10,7,4,7,6,3,100,90,76,1019,1013,1010,10,9,1,40,21,,0.00,7,,319<br />
2001-2-27,9,6,2,8,6,2,100,94,82,1019,1015,1011,10,9,4,64,23,60,0.00,7,,215<br />
2001-2-28,14,10,7,7,6,3,93,83,48,1023,1015,1009,10,10,10,48,35,66,0.00,7,,281<br />
2001-3-1,9,7,4,7,4,3,100,85,66,1034,1031,1024,10,10,10,37,26,,0.00,5,,357<br />
2001-3-2,9,7,4,9,7,3,100,95,87,1029,1020,1012,10,10,10,45,19,,0.00,7,,174<br />
2001-3-3,12,9,6,7,5,3,93,78,66,1023,1016,1011,10,10,10,48,24,,0.00,8,,332<br />
2001-3-4,13,9,5,8,4,2,100,76,51,1026,1024,1022,10,10,10,34,14,,0.00,4,,200<br />
2001-3-5,14,10,7,10,8,7,100,95,67,1022,1020,1019,10,5,0,26,16,,0.00,7,Fog,172<br />
2001-3-6,12,9,7,9,8,7,100,93,72,1018,1014,1009,10,4,0,37,23,,0.00,5,Fog,175<br />
2001-3-7,13,9,5,9,6,2,100,82,67,1020,1016,1009,10,10,10,63,35,82,0.00,6,,323<br />
2001-3-8,8,6,3,4,2,1,100,79,62,1020,1019,1017,10,10,10,34,19,,0.00,5,,330<br />
2001-3-9,8,6,3,3,1,-2,93,71,57,1028,1024,1019,10,10,10,45,11,,0.00,8,Rain,352<br />
2001-3-10,7,4,3,3,-1,-3,93,69,49,1033,1031,1028,10,10,10,26,11,,0.00,8,Rain,352<br />
2001-3-11,10,7,4,7,2,-2,93,73,50,1033,1031,1027,10,10,10,29,10,,0.00,7,,163<br />
2001-3-12,10,8,7,7,5,3,93,80,66,1027,1023,1020,10,10,10,45,29,,0.00,6,,167<br />
2001-3-13,11,8,6,6,4,2,100,75,62,1020,1017,1015,10,10,10,34,23,,0.00,6,,168<br />
2001-3-14,13,9,6,8,7,6,100,88,63,1015,1013,1011,10,10,3,40,19,,0.00,5,,175<br />
2001-3-15,14,10,7,8,7,6,100,89,59,1013,1012,1010,10,4,1,23,10,,0.00,6,Fog,173<br />
2001-3-16,14,10,7,9,7,5,100,88,71,1015,1010,1008,10,5,1,37,13,,0.00,6,Fog,321<br />
