
AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,26,22,18,14,12,9,73,52,34,1026,1025,1022,10,10,10,27,13,,0.00,5,,21<br />
2001-1-2,28,23,18,19,15,13,78,60,42,1024,1021,1018,,,,39,19,,0.00,,,7<br />
2001-1-3,32,26,21,19,17,13,88,60,36,1020,1017,1014,,,,40,16,,0.00,,,25<br />
2001-1-4,31,26,21,19,18,15,88,64,38,1017,1015,1013,,,,34,18,,0.00,,,28<br />
2001-1-5,31,26,22,19,18,15,78,66,38,1017,1014,1012,10,10,8,35,23,,0.00,6,Rain,27<br />
2001-1-6,27,24,22,19,17,13,78,63,42,1017,1016,1015,10,10,10,32,23,,0.00,3,,39<br />
2001-1-7,25,23,21,19,17,14,78,69,50,1016,1014,1012,10,10,10,21,13,,0.00,5,Rain,51<br />
2001-1-8,24,22,20,19,18,14,94,78,64,1019,1015,1012,10,9,5,47,24,69,0.00,5,Rain,174<br />
2001-1-9,21,19,18,15,14,12,77,67,56,1021,1020,1018,10,10,10,35,31,,0.00,6,,177<br />
2001-1-10,23,21,19,13,10,8,64,51,38,1021,1019,1018,10,10,10,27,21,,0.00,4,,121<br />
2001-1-11,27,22,17,19,14,12,78,62,42,1019,1016,1012,10,10,10,39,14,66,0.00,1,,2<br />
2001-1-12,32,26,20,22,19,17,94,71,40,1014,1011,1008,10,10,10,32,18,,0.00,4,,16<br />
2001-1-13,24,22,21,21,19,18,94,83,73,1015,1013,1011,10,10,9,40,31,72,0.00,5,Rain,172<br />
2001-1-14,27,23,21,21,19,18,94,76,58,1015,1014,1012,10,10,10,26,13,,0.00,5,,93<br />
2001-1-15,34,28,22,21,19,13,88,68,44,1017,1009,1003,10,9,4,77,23,100,0.00,5,,31<br />
2001-1-16,23,20,18,17,14,11,94,66,50,1021,1019,1018,10,9,4,39,26,,0.00,6,Rain,104<br />
2001-1-17,23,22,21,21,19,15,94,83,61,1017,1012,1009,10,9,5,32,21,,0.00,6,Rain,44<br />
2001-1-18,24,21,19,21,19,17,100,89,65,1017,1014,1011,10,8,3,32,21,,0.00,5,Rain-Thunderstorm,112<br />
2001-1-19,25,22,20,18,16,14,83,67,54,1020,1018,1016,10,10,10,27,21,,0.00,4,,112<br />
2001-1-20,28,24,20,18,16,13,88,64,44,1019,1016,1013,10,10,10,37,16,,0.00,2,Rain,19<br />
2001-1-21,28,24,21,21,19,17,88,73,54,1016,1014,1013,10,10,10,21,11,,0.00,6,Rain,78<br />
2001-1-22,30,27,23,21,21,18,88,70,51,1015,1012,1009,10,10,10,37,14,,0.00,5,,17<br />
2001-1-23,35,29,23,23,22,19,94,71,44,1014,1011,1010,10,10,9,29,14,,0.00,3,,63<br />
2001-1-24,32,27,22,22,21,16,94,72,45,1013,1011,1007,10,10,9,42,19,,0.00,5,,90<br />
2001-1-25,29,26,23,23,21,19,89,76,58,1009,1008,1006,10,10,10,24,13,,0.00,4,,117<br />
