
PET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,17,13,9,8,7,5,87,67,45,1034,1030,1027,10,9,8,27,3,50,0.00,6,Rain-Thunderstorm,79<br />
2012-1-2,18,13,8,10,7,5,87,71,42,1033,1031,1028,10,10,9,23,3,,0.00,6,Rain,115<br />
2012-1-3,18,12,6,7,5,4,87,64,40,1034,1031,1027,10,10,9,19,6,,0.00,6,Rain,75<br />
2012-1-4,17,13,10,8,6,4,76,62,45,1033,1031,1028,10,10,10,16,3,,0.00,6,,73<br />
2012-1-5,17,13,10,8,5,1,87,57,34,1032,1030,1026,10,10,10,21,5,,0.00,4,,27<br />
2012-1-6,18,13,8,7,4,2,82,52,34,1032,1029,1026,10,10,8,26,5,,0.00,4,Rain,358<br />
2012-1-7,18,13,9,7,5,2,87,58,39,1031,1029,1026,10,10,8,19,3,,0.00,6,Rain,19<br />
2012-1-8,17,12,8,8,6,5,87,69,48,1033,1031,1027,10,10,7,14,3,,0.00,7,Rain,271<br />
2012-1-9,18,14,10,8,7,5,82,64,42,1032,1029,1026,10,10,10,16,3,,0.00,6,Rain-Thunderstorm,231<br />
2012-1-10,21,14,9,7,6,3,87,59,33,1030,1027,1023,10,10,10,27,3,,0.00,4,,56<br />
2012-1-11,22,13,6,7,4,0,87,49,25,1029,1025,1006,10,10,10,24,5,,0.00,4,,270<br />
2012-1-12,22,16,9,7,5,2,76,51,29,1030,1027,1024,10,10,10,23,6,,0.00,3,,278<br />
2012-1-13,23,16,9,8,6,1,82,57,23,1033,1029,1025,10,10,9,24,5,45,0.00,4,Rain-Hail-Thunderstorm,350<br />
2012-1-14,21,14,8,7,5,1,87,56,30,1033,1031,1027,10,10,9,23,6,,0.00,5,Rain,358<br />
2012-1-15,21,14,8,8,5,1,87,56,27,1033,1031,1026,10,10,10,27,5,,0.00,5,Rain-Hail,25<br />
2012-1-16,20,14,8,7,6,2,87,62,30,1034,1031,1028,10,10,9,29,5,48,0.00,5,Rain-Thunderstorm,63<br />
2012-1-17,19,12,5,6,4,1,87,61,30,1034,1031,1026,10,10,9,26,3,,0.00,4,Thunderstorm,56<br />
2012-1-18,20,14,9,8,4,0,82,57,26,1032,1029,1024,10,10,9,23,5,42,0.00,5,Rain,292<br />
2012-1-19,15,11,8,6,5,3,81,65,48,1031,1029,1026,10,10,9,23,6,,0.00,7,Rain,35<br />
2012-1-20,20,14,9,7,4,1,87,59,28,1030,1028,1023,10,10,10,19,6,,0.00,6,Rain,172<br />
2012-1-21,17,13,9,7,6,4,87,67,42,1031,1028,1025,10,10,9,14,3,,0.00,6,Rain,85<br />
2012-1-22,19,14,9,7,6,3,82,61,35,1031,1028,1025,10,10,10,27,5,47,0.00,5,Rain,22<br />
2012-1-23,19,13,7,7,5,2,93,63,32,1031,1028,1024,10,10,10,24,3,48,0.00,6,Rain,241<br />
