
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,18,10,3,7,3,2,93,58,34,1020,1017,1015,10,7,3,10,2,,0.00,1,,140<br />
2013-1-2,19,11,3,8,3,-2,93,59,26,1019,1017,1015,10,7,3,8,2,,0.00,1,,148<br />
2013-1-3,18,11,3,7,3,-1,93,61,30,1020,1018,1016,8,6,2,11,3,,0.00,1,,246<br />
2013-1-4,17,9,2,7,3,0,96,62,34,1019,1016,1014,8,6,1,11,3,,0.00,2,,285<br />
2013-1-5,18,9,1,5,1,-5,93,62,22,1017,1015,1013,8,5,1,11,2,,0.00,2,Fog,66<br />
2013-1-6,17,9,1,4,0,-8,93,47,19,1018,1016,1014,8,5,1,14,3,,0.00,1,,265<br />
2013-1-7,14,9,3,3,-3,-11,81,38,17,1018,1015,1013,10,6,1,19,3,,0.00,1,,247<br />
2013-1-8,16,8,0,4,-3,-9,100,49,17,1017,1015,1012,8,5,1,13,3,,0.00,1,,274<br />
2013-1-9,14,7,-1,-1,-4,-9,81,49,21,1018,1016,1013,8,6,1,11,2,,0.00,,,197<br />
2013-1-10,15,8,0,11,-1,-4,87,56,29,1017,1015,1013,7,5,1,21,3,,0.00,1,Fog,201<br />
2013-1-11,16,8,0,2,-1,-4,87,53,29,1018,1016,1014,7,5,1,11,2,,0.00,1,Fog,222<br />
2013-1-12,18,9,1,4,0,-4,94,55,24,1021,1019,1017,8,5,1,93,5,,0.00,1,Fog,228<br />
2013-1-13,17,9,2,2,0,-3,93,48,26,1018,1016,1014,8,5,2,11,2,,0.00,1,,276<br />
2013-1-14,17,9,1,6,2,0,97,68,32,1019,1017,1015,7,5,1,10,2,,0.00,1,Fog,247<br />
2013-1-15,18,10,2,6,3,0,98,65,34,1022,1019,1017,5,4,1,11,2,,0.00,,Fog,243<br />
2013-1-16,21,11,1,9,3,-1,100,70,26,1024,1021,1019,10,5,0,16,3,,0.00,2,Fog,262<br />
2013-1-17,22,12,2,7,2,-2,94,51,21,1024,1021,1019,10,6,1,16,3,,0.00,4,,275<br />
2013-1-18,18,12,5,11,7,3,82,62,40,1025,1022,1020,6,4,2,19,3,,1.02,5,Rain-Thunderstorm,314<br />
2013-1-19,19,14,7,11,7,3,99,70,39,1023,1020,1018,10,7,1,13,2,,0.00,3,Fog,279<br />
2013-1-20,19,11,3,9,4,-3,100,64,26,1021,1019,1017,19,7,0,16,3,,0.00,2,Fog,240<br />
2013-1-21,19,11,2,6,1,-6,93,62,19,1023,1021,1019,10,6,0,10,2,,0.00,1,Fog,246<br />
2013-1-22,18,10,1,5,1,-5,97,56,23,1024,1022,1019,10,7,3,11,3,,0.00,1,,224<br />
2013-1-23,19,10,1,8,2,-6,100,60,19,1023,1020,1019,11,6,0,14,3,,0.00,1,Fog,270<br />
2013-1-24,19,11,2,7,1,-9,98,53,15,1022,1020,1018,11,7,1,14,3,,0.00,1,,235<br />
2013-1-25,18,9,1,6,-1,-8,97,54,18,1021,1019,1017,10,7,2,13,3,,0.00,1,,248<br />
2013-1-26,19,10,1,4,-1,-7,77,40,18,1021,1019,1017,10,7,3,10,3,,0.00,1,,194<br />
2013-1-27,19,10,2,4,0,-5,97,49,22,1021,1019,1017,11,6,2,19,3,,0.00,,,205<br />
2013-1-28,20,11,2,7,1,-2,85,51,24,1022,1019,1018,8,6,1,14,3,,0.00,3,Fog,138<br />
2013-1-29,21,13,5,6,3,-1,98,55,26,1019,1018,1016,10,6,2,14,2,,0.00,2,,223<br />
2013-1-30,21,14,8,7,3,0,87,49,30,1022,1020,1019,10,7,4,16,5,,0.00,1,,260<br />
2013-1-31,19,12,6,9,4,1,95,58,32,1023,1021,1019,10,6,1,16,2,,0.00,2,,277<br />
2013-2-1,25,12,6,7,4,2,87,51,32,1023,1021,1019,10,7,2,14,3,,0.00,3,,223<br />
2013-2-2,23,15,7,8,5,1,99,62,33,1022,1020,1018,7,5,2,11,3,,0.00,6,,35<br />
2013-2-3,16,12,8,6,3,-2,80,44,25,1021,1020,1018,10,8,3,21,6,,0.00,2,,193<br />
2013-2-4,18,11,5,8,5,2,87,61,34,1023,1022,1020,6,5,1,19,3,,0.00,5,,235<br />
2013-2-5,14,12,9,11,8,7,87,81,72,1028,1024,1016,7,4,1,11,2,,0.00,7,Rain,269<br />
2013-2-6,17,12,8,11,8,7,95,80,59,1025,1022,1020,8,5,0,14,3,,0.76,7,Fog-Rain,292<br />
2013-2-7,23,16,9,12,7,-5,100,64,16,1021,1018,1016,14,7,0,16,3,,0.00,3,Fog,294<br />
2013-2-8,23,14,5,9,2,-10,93,51,12,1019,1017,1014,10,7,1,13,3,,0.00,1,,233<br />
