
JST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,15,9,3,4,2,0,93,66,38,1024,1022,1020,10,10,10,21,8,34,0.00,1,,128<br />
2000-1-2,18,12,6,10,6,3,87,65,45,1019,1015,1013,10,10,10,19,8,,0.00,3,Rain,186<br />
2000-1-3,12,9,6,6,2,-3,71,57,38,1021,1018,1015,10,10,10,23,14,,0.00,3,,299<br />
2000-1-4,14,8,2,5,2,-1,81,66,44,1023,1021,1020,10,10,10,16,8,,0.00,1,,134<br />
2000-1-5,18,11,4,11,6,1,94,72,40,1022,1017,1015,10,9,7,27,11,,0.00,5,Rain,148<br />
2000-1-6,18,14,10,13,11,8,94,81,68,1015,1013,1010,10,9,4,24,14,40,0.00,4,Rain,183<br />
2000-1-7,12,8,2,8,-2,-5,77,53,43,1023,1020,1015,10,10,10,37,21,55,0.00,4,,282<br />
2000-1-8,9,6,3,2,0,-3,76,65,54,1024,1022,1021,10,10,10,19,13,,0.00,6,Rain,221<br />
2000-1-9,9,7,4,7,3,1,93,82,62,1023,1019,1014,10,8,4,13,6,,0.00,7,Rain,159<br />
2000-1-10,12,9,4,8,4,0,100,71,50,1024,1020,1016,10,9,5,27,11,,0.00,3,Rain,13<br />
2000-1-11,11,7,3,2,0,-2,87,59,41,1025,1022,1020,10,10,10,23,11,,0.00,2,,93<br />
2000-1-12,9,8,7,8,7,2,93,90,66,1019,1015,1011,10,8,4,13,8,,0.00,7,Rain,94<br />
2000-1-13,14,11,9,11,7,1,100,81,58,1015,1011,1009,10,9,3,24,6,,0.00,5,Rain,285<br />
2000-1-14,10,8,5,4,3,1,87,73,54,1020,1017,1014,10,10,10,14,10,,0.00,5,,190<br />
2000-1-15,12,6,1,5,2,0,93,72,51,1023,1021,1019,10,10,8,14,8,,0.00,3,,128<br />
2000-1-16,12,9,6,7,5,3,87,73,54,1020,1017,1015,10,10,10,16,6,,0.00,6,Rain,45<br />
2000-1-17,13,11,9,7,4,2,87,63,51,1016,1014,1013,10,10,10,26,13,,0.00,4,Rain,296<br />
2000-1-18,12,9,7,7,4,3,93,73,54,1016,1014,1013,10,10,10,19,11,,0.00,4,Rain,106<br />
