
WIB,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,26,21,21,21,20,20,96,80,64,,,,8,5,2,11,3,,0.00,,,-1<br />
2013-1-2,26,,26,21,21,21,66,66,66,,,,5,5,5,19,19,,0.00,,,-1<br />
2013-1-5,24,21,21,18,18,17,77,66,54,,,,10,9,8,16,14,,0.00,,,-1<br />
2013-1-6,25,,25,20,20,20,67,67,67,,,,8,8,8,11,11,,0.00,,,-1<br />
2013-1-8,27,20,19,22,20,19,87,75,63,,,,8,6,3,37,13,,0.00,,,-1<br />
2013-1-9,24,20,19,19,19,19,90,79,68,,,,8,8,8,27,14,,0.00,8,Rain,-1<br />
2013-1-13,24,,24,19,19,19,68,68,68,,,,8,8,8,27,27,,0.00,,,-1<br />
2013-1-16,21,,19,19,19,19,88,88,88,,,,3,3,3,0,0,,0.00,8,,-1<br />
2013-1-21,27,,27,21,21,21,60,60,60,,,,5,5,5,34,34,,0.00,,,-1<br />
2013-1-23,27,23,21,20,19,18,83,66,55,,,,10,10,10,27,11,,0.00,,,-1<br />
2013-1-26,26,,26,19,19,19,62,62,62,,,,6,6,6,14,14,,0.00,,,-1<br />
2013-1-27,26,21,20,18,18,18,74,62,50,,,,11,10,10,14,14,,0.00,,,-1<br />
2013-1-31,27,21,20,21,19,18,94,71,48,,,,6,4,2,13,13,,0.00,8,,-1<br />
2013-2-1,21,,20,18,18,18,79,79,79,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-2-2,22,,21,19,19,19,78,78,78,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-2-4,27,,27,21,21,21,64,64,64,,,,5,5,5,14,14,,0.00,,,-1<br />
2013-2-5,20,,19,19,19,19,97,97,97,,,,2,2,2,8,8,,0.00,8,,-1<br />
2013-2-7,28,,28,21,21,21,58,58,58,,,,5,5,5,23,23,,0.00,,,-1<br />
2013-2-8,26,,26,19,19,19,61,61,61,,,,3,3,3,6,6,,0.00,,,-1<br />
2013-2-11,21,,20,20,20,20,91,91,91,,,,3,3,3,6,6,,0.00,8,,-1<br />
2013-2-13,24,,24,20,20,20,70,70,70,,,,5,5,5,10,10,,0.00,,,-1<br />
2013-2-15,19,,18,18,18,18,94,94,94,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-2-16,27,,27,21,21,21,58,58,58,,,,10,10,10,24,24,,0.00,,,-1<br />
2013-2-17,21,,21,20,20,20,91,91,91,,,,5,5,5,10,10,,0.00,8,,-1<br />
2013-2-21,21,,20,19,19,19,82,82,82,,,,6,6,6,10,10,,0.00,8,,-1<br />
2013-2-26,22,,21,17,17,17,67,67,67,,,,6,6,6,10,10,,0.00,,,-1<br />
2013-3-1,22,,20,17,17,17,70,70,70,,,,6,6,6,0,0,,0.00,,,-1<br />
2013-3-4,22,,21,21,21,21,88,88,88,,,,5,5,5,11,11,,0.00,8,,-1<br />
2013-3-6,29,,29,18,18,18,41,41,41,,,,6,6,6,19,19,,0.00,,,-1<br />
2013-3-8,27,20,19,19,19,19,87,70,54,,,,5,4,3,11,3,,21.08,,,-1<br />
2013-3-11,29,,29,18,18,18,41,41,41,,,,10,10,10,19,19,,0.00,,,-1<br />
2013-3-13,22,,20,19,19,19,85,85,85,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-3-14,29,24,22,21,19,18,89,64,41,,,,6,4,2,34,10,,0.00,,Thunderstorm,-1<br />
2013-3-15,21,,20,19,19,19,92,92,92,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-3-16,27,21,21,19,17,15,92,65,38,,,,6,4,2,10,3,,0.00,,,-1<br />
2013-3-20,27,21,21,21,20,19,94,74,54,,,,6,6,5,23,14,,0.00,,Thunderstorm,-1<br />
2013-3-22,21,,20,19,19,19,90,90,90,,,,2,2,2,0,0,,0.00,,,-1<br />
2013-3-24,26,20,19,19,19,19,98,78,59,,,,3,2,2,0,0,,0.00,8,Fog,-1<br />
2013-3-28,19,,18,19,19,19,99,99,99,,,,2,2,2,3,3,,0.00,8,Fog,-1<br />
2013-3-30,28,,28,21,21,21,59,59,59,,,,5,5,5,0,0,,0.00,,,-1<br />
2013-3-31,22,,22,21,21,21,86,86,86,,,,6,6,6,10,10,,2.03,,,-1<br />
2013-4-2,28,21,20,23,22,22,93,80,66,,,,6,5,3,0,0,,0.00,8,,-1<br />
2013-4-4,28,,28,21,21,21,54,54,54,,,,6,6,6,8,8,,0.00,,,-1<br />
2013-4-5,29,23,21,21,21,19,95,68,47,,,,6,4,2,21,10,,0.00,,Fog,-1<br />
2013-4-7,21,,21,21,21,21,94,94,94,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-4-8,28,21,21,20,20,20,86,70,53,,,,8,7,6,27,10,,0.00,8,,-1<br />
2013-4-9,22,,21,21,21,21,95,95,95,,,,2,2,2,6,6,,0.00,8,,-1<br />
2013-4-10,27,,27,21,21,21,61,61,61,,,,6,6,6,19,19,,0.00,,,-1<br />
2013-4-12,28,,28,19,19,19,50,50,50,,,,10,10,10,19,19,,0.00,,,-1<br />
2013-4-13,27,,27,22,22,22,66,66,66,,,,6,6,6,21,21,,0.00,,,-1<br />
2013-4-14,28,22,21,21,21,21,91,74,57,,,,6,5,3,11,3,,0.00,,,-1<br />
2013-4-17,28,,28,21,21,21,56,56,56,,,,5,5,5,24,24,,0.00,,,-1<br />
2013-4-18,22,,21,21,21,21,93,93,93,,,,3,3,3,0,0,,0.00,8,,-1<br />
2013-4-20,29,23,20,20,19,19,88,63,48,,,,6,5,5,8,2,,0.00,,,-1<br />
2013-4-21,28,22,20,20,19,19,75,62,48,,,,8,6,3,11,10,,0.00,,,-1<br />
2013-4-22,22,,21,21,21,21,89,89,89,,,,3,3,3,6,6,,0.00,,,-1<br />
2013-5-1,22,,20,19,19,19,80,80,80,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-5-4,28,20,20,18,18,18,82,63,44,,,,6,6,5,11,8,,0.00,,,-1<br />
2013-5-7,27,21,21,21,20,19,83,71,59,,,,3,3,3,10,3,,0.00,,,-1<br />
2013-5-10,29,22,21,22,20,18,94,68,41,,,,8,6,3,10,8,,0.00,8,Fog,-1<br />
2013-5-11,28,,28,21,21,21,56,56,56,,,,3,3,3,14,14,,0.00,8,,-1<br />
2013-5-19,27,,27,21,21,21,60,60,60,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-5-22,25,21,20,20,20,19,87,76,66,,,,3,3,3,6,2,,0.00,,,-1<br />
2013-5-23,27,21,21,19,19,19,89,71,53,,,,5,4,3,14,10,,0.00,,,-1<br />
2013-5-24,21,,19,20,20,20,94,94,94,,,,2,2,2,6,6,,0.00,8,Fog,-1<br />
2013-5-25,26,23,22,21,21,21,93,82,71,,,,3,3,3,14,3,,0.00,8,,-1<br />
2013-5-26,21,,20,19,19,19,89,89,89,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-5-28,24,22,21,21,20,20,94,78,69,,,,5,4,3,23,8,,0.00,,Rain,-1<br />
2013-5-29,26,20,20,20,20,20,96,80,63,,,,3,2,2,8,5,,0.00,8,,-1<br />
2013-5-31,22,,21,21,21,21,87,87,87,,,,6,6,6,3,3,,0.00,,,-1<br />
2013-6-3,27,22,20,19,18,17,84,64,45,,,,10,7,5,16,8,,0.00,,,-1<br />
2013-6-5,27,,27,20,20,20,59,59,59,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-6-6,25,23,21,19,19,19,80,70,63,,,,6,5,5,8,6,,0.00,8,,-1<br />
2013-6-10,19,,19,18,18,18,92,92,92,,,,5,5,5,3,3,,0.00,,,-1<br />
2013-6-11,25,,25,20,20,20,66,66,66,,,,3,3,3,0,0,,0.00,8,,-1<br />
2013-6-12,26,22,20,21,20,20,97,77,64,,,,5,4,3,6,2,,0.00,8,,-1<br />
2013-6-15,24,,24,21,21,21,73,73,73,,,,3,3,3,11,11,,0.00,,,-1<br />
2013-6-18,21,,21,19,19,19,86,86,86,,,,6,6,6,10,10,,0.00,,,-1<br />
2013-6-20,21,,20,19,19,19,83,83,83,,,,6,6,6,0,0,,0.00,,,-1<br />
2013-6-21,27,23,21,19,18,18,77,61,50,,,,6,4,3,19,6,,0.00,,,-1<br />
2013-6-24,28,20,20,19,18,16,90,62,35,,,,6,5,3,24,8,,0.00,,,-1<br />
2013-6-25,20,,19,18,18,18,85,85,85,,,,3,3,3,0,0,,0.00,,,-1<br />
2013-6-27,28,27,27,18,18,18,52,47,42,,,,6,5,3,11,3,,0.00,,,-1<br />
2013-6-30,27,22,18,19,19,18,85,66,53,,,,6,4,3,11,6,,0.00,,,-1<br />
2013-7-5,21,,19,20,20,20,94,94,94,,,,3,3,3,3,3,,0.00,,,-1<br />
2013-7-7,25,18,17,17,16,15,93,68,44,,,,6,6,6,23,11,,0.00,,,-1<br />
2013-7-8,28,,28,16,16,16,35,35,35,,,,11,11,11,23,23,,0.00,,,-1<br />
2013-7-10,27,23,19,18,18,17,89,60,44,,,,10,8,5,19,8,,0.00,,,-1<br />
2013-7-11,,,,,,,,,,,,,,,,,,,12.95,,,-1<br />
2013-7-12,20,19,19,19,19,19,90,90,90,,,,3,3,3,6,6,,0.00,,,-1<br />
2013-7-14,25,20,19,19,18,17,87,70,53,,,,10,9,8,26,23,,0.00,,,-1<br />
2013-7-16,28,,28,16,16,16,38,38,38,,,,10,10,10,19,19,,0.00,,,-1<br />
2013-7-17,26,19,18,18,18,18,85,68,52,,,,8,6,3,35,18,,0.00,,,-1<br />
2013-7-23,28,,28,18,18,18,44,44,44,,,,6,6,6,3,3,,0.00,,,-1<br />
2013-7-25,29,27,27,18,17,14,50,40,29,,,,10,9,8,23,23,,0.00,,,-1<br />
2013-7-26,26,21,20,18,17,16,81,62,44,,,,8,6,5,14,10,,0.00,,,-1<br />
2013-7-27,21,,19,17,17,17,76,76,76,,,,6,6,6,8,8,,0.00,,,-1<br />
2013-7-28,28,,28,18,18,18,45,45,45,,,,8,8,8,16,16,,0.00,,,-1<br />
2013-7-31,28,,28,15,15,15,34,34,34,,,,8,8,8,6,6,,0.00,,,-1<br />
2013-8-6,28,26,26,18,18,17,51,48,45,,,,8,7,6,8,5,,0.00,,,-1<br />
