
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,6,3,1,5,3,-1,100,93,85,1021,1018,1017,11,5,0,24,9,32,8.89,8,Fog-Rain,2<br />
2013-1-2,2,-1,-3,-2,-4,-5,92,78,64,1025,1024,1021,16,12,6,19,8,32,0.00,7,,352<br />
2013-1-3,7,2,-4,-4,-6,-9,92,63,33,1031,1028,1024,16,13,6,14,6,27,0.00,2,,313<br />
2013-1-4,8,1,-6,-3,-6,-7,92,63,34,1033,1031,1030,16,15,11,19,5,32,0.00,1,Fog,227<br />
2013-1-5,8,2,-6,-2,-4,-7,88,65,42,1030,1027,1024,16,16,16,16,5,21,T,6,,202<br />
2013-1-6,11,4,-2,1,-2,-6,79,61,42,1029,1025,1022,16,16,16,27,12,37,0.00,4,,266<br />
2013-1-7,9,2,-5,-3,-4,-7,85,62,39,1031,1028,1025,16,14,8,13,6,16,0.00,0,,66<br />
2013-1-8,16,7,-3,5,1,-4,92,66,39,1028,1025,1024,16,15,11,24,8,27,0.00,4,,170<br />
2013-1-9,12,11,9,11,9,6,100,86,71,1030,1029,1025,16,7,0,23,6,29,15.24,8,Rain,42<br />
2013-1-10,18,15,11,15,13,10,100,89,78,1029,1024,1016,16,13,3,45,17,60,15.75,8,Rain,115<br />
2013-1-11,22,19,16,17,14,12,93,75,57,1018,1016,1014,16,15,6,39,18,50,1.52,7,Rain,201<br />
2013-1-12,21,20,18,18,17,15,93,83,73,1017,1015,1011,16,13,1,39,20,52,23.62,7,Fog-Rain,179<br />
2013-1-13,20,11,2,16,11,0,97,83,68,1024,1015,1010,16,11,1,39,17,50,44.70,8,Rain,252<br />
2013-1-14,2,0,-2,-1,-3,-6,92,81,69,1029,1026,1024,16,14,6,35,17,45,2.79,8,Rain,5<br />
2013-1-15,2,1,-1,0,-1,-3,96,89,82,1025,1021,1017,14,9,4,32,15,35,15.24,8,Rain,11<br />
2013-1-16,2,2,1,0,-1,-1,96,89,82,1021,1019,1017,10,7,3,19,7,35,9.14,8,Rain,332<br />
2013-1-17,8,4,1,0,-2,-4,82,70,58,1031,1023,1018,16,15,10,50,19,61,0.25,5,Rain,356<br />
2013-1-18,11,4,-3,-2,-4,-6,81,57,32,1035,1032,1029,16,16,16,14,6,23,0.00,0,,212<br />
2013-1-19,14,6,-2,-1,-3,-5,85,59,32,1029,1025,1021,16,16,16,32,13,42,0.00,0,,202<br />
2013-1-20,13,7,1,1,-4,-8,70,47,24,1025,1023,1022,16,16,16,19,9,32,0.00,0,,324<br />
2013-1-21,4,0,-4,-8,-11,-13,58,44,30,1027,1025,1022,16,16,16,29,13,37,0.00,2,,335<br />
2013-1-22,-1,-4,-8,-13,-17,-19,56,41,25,1032,1029,1027,16,16,16,21,8,29,0.00,6,,14<br />
2013-1-23,12,3,-5,0,-7,-15,62,48,33,1029,1025,1021,16,16,16,23,7,27,0.00,4,,228<br />
2013-1-24,6,2,-2,-1,-11,-16,70,49,27,1033,1029,1023,16,16,16,34,16,39,0.00,6,,38<br />
2013-1-25,3,1,-1,2,-2,-14,96,66,36,1025,1022,1018,16,9,2,29,7,39,11.68,8,Rain,324<br />
2013-1-26,9,4,-2,0,-2,-3,100,71,42,1029,1027,1025,16,10,0,14,6,19,0.00,5,Fog,55<br />
2013-1-27,11,4,-2,5,1,-4,92,73,54,1028,1026,1024,16,14,8,27,10,37,T,6,,148<br />
2013-1-28,16,12,9,11,7,2,83,72,61,1024,1022,1021,16,16,16,32,18,45,T,7,,181<br />
2013-1-29,21,17,12,16,13,10,86,80,73,1021,1014,1003,16,15,10,52,21,71,0.00,7,,169<br />
2013-1-30,23,13,2,16,8,-6,93,73,52,1013,1002,998,16,13,2,72,22,103,29.72,8,Rain-Thunderstorm,232<br />
