
AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,20,18,15,15,13,11,88,71,60,1015,1013,1010,10,10,10,40,32,,0.00,5,,185<br />
2000-1-2,19,18,17,17,16,15,100,88,83,1019,1017,1015,10,9,4,35,24,,0.00,6,Rain,181<br />
2000-1-3,25,21,17,17,16,13,94,73,50,1019,1016,1013,10,10,10,35,13,,0.00,3,Rain,9<br />
2000-1-4,31,24,19,18,15,3,94,57,27,1013,1008,1004,10,10,10,39,18,,0.00,5,,338<br />
2000-1-5,23,20,17,15,9,3,73,49,29,1012,1010,1007,10,10,10,37,23,,0.00,2,,204<br />
2000-1-6,20,18,16,13,11,8,68,60,46,1014,1013,1011,10,10,10,45,35,58,0.00,3,,186<br />
2000-1-7,19,18,18,15,13,10,78,69,59,1018,1015,1013,10,10,9,52,32,66,0.00,6,Rain,191<br />
2000-1-8,22,19,17,17,16,14,94,81,64,1019,1018,1017,10,9,5,29,26,,0.00,5,Rain,157<br />
2000-1-9,22,20,18,16,14,13,88,71,57,1018,1017,1015,10,10,9,21,13,,0.00,4,Rain,112<br />
2000-1-10,23,20,17,16,14,12,94,67,50,1018,1016,1015,10,10,10,23,11,,0.00,3,,109<br />
2000-1-11,23,20,17,16,14,13,88,69,53,1021,1019,1017,10,10,10,29,16,,0.00,5,Rain,131<br />
2000-1-12,23,21,19,17,15,12,88,70,50,1022,1021,1019,10,10,7,34,26,,0.00,4,Rain,125<br />
2000-1-13,23,21,19,17,15,12,88,70,50,1021,1019,1018,10,10,10,29,26,,0.00,4,,125<br />
2000-1-14,24,20,17,18,17,14,94,75,57,1019,1017,1016,10,10,7,26,16,,0.00,4,Rain,120<br />
2000-1-15,26,22,19,19,18,17,94,76,57,1018,1016,1014,10,10,9,27,13,,0.00,2,,76<br />
2000-1-16,29,24,20,20,18,15,88,74,45,1015,1013,1010,10,10,10,27,14,,0.00,4,Rain,4<br />
2000-1-17,23,21,20,20,18,15,94,82,68,1019,1015,1011,10,10,5,35,16,,0.00,6,Rain,123<br />
2000-1-18,25,21,17,16,14,13,82,64,50,1019,1015,1012,10,10,10,32,16,,0.00,4,,53<br />
2000-1-19,34,27,20,21,18,17,88,70,41,1011,1004,997,10,8,4,50,19,69,0.00,3,Rain,20<br />
2000-1-20,33,26,19,22,17,7,88,62,22,1005,1001,997,10,10,9,32,18,58,0.00,2,,326<br />
2000-1-21,32,26,19,20,15,5,94,63,18,1006,1002,1000,10,10,10,27,18,39,0.00,2,,156<br />
2000-1-22,25,22,20,17,15,10,83,69,39,1007,1006,1004,10,10,10,32,18,,0.00,4,,142<br />
2000-1-23,21,18,16,15,11,5,82,60,35,1017,1011,1007,10,10,10,37,21,50,0.00,3,Rain,171<br />
2000-1-24,22,19,17,12,10,7,68,57,38,1021,1019,1017,10,10,10,29,26,48,0.00,5,Rain,151<br />
2000-1-25,23,20,17,16,14,11,77,66,47,1020,1017,1015,10,10,10,27,14,,0.00,7,Rain,23<br />
2000-1-26,26,22,19,19,16,15,83,70,54,1014,1011,1007,10,10,10,27,10,,0.00,7,Rain,321<br />
2000-1-27,23,22,21,21,19,17,94,84,78,1006,1002,1000,10,9,6,40,21,,0.00,6,Rain,104<br />
2000-1-28,23,21,19,17,16,14,78,71,60,1010,1006,1004,10,10,10,42,27,53,0.00,5,Rain,194<br />
2000-1-29,22,21,19,16,13,11,78,63,50,1015,1012,1009,10,10,10,40,29,,0.00,4,,159<br />
2000-1-30,23,20,17,16,13,11,88,67,53,1019,1017,1014,10,10,7,26,13,,0.00,5,Rain,179<br />
2000-1-31,25,22,19,18,14,13,78,62,47,1019,1017,1014,10,10,10,29,13,,0.00,6,,45<br />
2000-2-1,27,23,19,19,17,15,94,72,48,1022,1019,1015,10,10,9,29,16,,0.00,3,Rain,37<br />
2000-2-2,27,23,20,18,16,13,88,64,42,1025,1023,1021,10,10,10,40,18,,0.00,1,,11<br />
2000-2-3,28,23,19,18,16,14,83,63,45,1023,1021,1018,10,10,10,39,21,,0.00,1,,17<br />
2000-2-4,30,26,21,18,17,16,78,62,43,1019,1016,1013,,,,45,21,,0.00,,,16<br />
2000-2-5,38,29,21,19,17,12,83,55,21,1015,1012,1009,,,,40,18,,0.00,,,13<br />
2000-2-6,23,21,20,19,17,16,94,77,69,1026,1022,1015,10,10,5,52,37,71,0.00,6,Rain,161<br />
2000-2-7,28,24,20,20,18,15,94,75,45,1027,1025,1023,10,10,5,37,16,,0.00,4,,17<br />
2000-2-8,29,24,21,19,18,17,88,68,48,1025,1022,1019,10,10,10,48,26,64,0.00,1,,18<br />
2000-2-9,33,27,22,20,18,16,83,63,36,1020,1017,1015,,,,37,18,,0.00,,,19<br />
2000-2-10,30,26,22,20,19,17,88,68,45,1017,1014,1011,10,10,10,47,21,61,0.00,1,,28<br />
2000-2-11,37,29,21,19,17,11,88,59,21,1013,1010,1007,,,,47,21,64,0.00,,,6<br />
2000-2-12,25,23,19,21,19,18,100,85,69,1014,1011,1009,10,9,2,47,24,,0.00,6,Rain,193<br />
2000-2-13,22,20,19,17,12,8,83,61,46,1024,1020,1015,10,10,10,52,40,71,0.00,6,Rain,149<br />
2000-2-14,22,19,17,15,11,8,88,58,43,1023,1022,1020,10,10,10,39,27,,0.00,6,Rain,137<br />
2000-2-15,22,19,17,16,15,12,94,74,60,1020,1018,1016,10,10,10,26,16,,0.00,5,Rain,172<br />
2000-2-16,26,22,18,17,16,14,83,68,47,1018,1016,1015,10,10,10,34,13,,0.00,3,,1<br />
2000-2-17,28,23,18,17,15,10,88,64,34,1020,1019,1017,10,10,10,29,13,,0.00,1,,10<br />
2000-2-18,28,23,19,18,16,11,88,65,37,1021,1019,1017,10,10,10,34,11,,0.00,3,,9<br />
2000-2-19,27,22,18,18,17,15,94,68,51,1018,1014,1010,10,10,10,45,18,58,0.00,1,,11<br />
2000-2-20,30,25,20,17,17,13,83,62,35,1011,1009,1007,,,,24,13,,0.00,,,9<br />
2000-2-21,27,23,20,21,18,17,94,76,57,1016,1013,1010,10,10,10,29,16,,0.00,5,,92<br />
2000-2-22,27,24,23,18,17,16,73,64,51,1016,1014,1013,10,10,10,45,26,63,0.00,6,,27<br />
2000-2-23,22,22,22,19,18,18,83,80,78,1014,1014,1013,10,10,10,34,27,,0.00,6,Rain,10<br />
2000-5-1,20,20,20,18,18,17,88,86,83,1023,1022,1022,10,10,10,26,26,,0.00,6,,167<br />
2000-5-4,24,22,20,17,16,15,78,68,57,1014,1013,1012,10,10,10,26,16,,0.00,6,Rain,354<br />
2000-5-5,22,20,18,20,18,15,100,89,78,1013,1010,1008,10,9,3,23,13,,0.00,6,Rain,345<br />
2000-5-6,21,17,14,14,11,7,82,65,49,1023,1015,1009,10,10,10,35,23,47,0.00,6,,225<br />
2000-5-7,19,16,12,12,11,8,77,67,56,1029,1026,1023,10,10,10,39,23,,0.00,3,,205<br />
2000-5-8,19,16,12,14,12,10,94,77,56,1029,1027,1026,10,10,10,16,10,,0.00,3,Rain,353<br />
2000-5-9,20,16,11,12,10,8,94,70,49,1027,1026,1024,10,10,10,26,13,,0.00,4,,232<br />
2000-5-10,18,16,13,15,13,10,94,82,73,1029,1027,1026,10,10,6,29,14,,0.00,4,Rain,207<br />
2000-5-11,19,16,12,14,12,10,88,80,68,1026,1024,1022,10,10,10,21,11,,0.00,2,,222<br />
2000-5-12,21,16,12,14,12,11,94,77,53,1022,1020,1017,10,10,9,23,11,,0.00,2,,341<br />
2000-5-13,25,19,14,13,11,7,94,60,32,1017,1013,1010,9,9,9,23,13,,0.00,1,,330<br />
2000-5-14,22,18,14,10,6,3,68,46,31,1016,1012,1009,,,,26,19,,0.00,,,293<br />
2000-5-15,18,14,11,9,6,3,67,54,42,1025,1021,1016,,,,26,16,,0.00,,,238<br />
2000-5-16,17,13,10,14,11,7,94,80,67,1027,1025,1023,10,10,10,21,11,,0.00,3,,300<br />
2000-5-17,19,14,10,11,8,5,100,67,42,1031,1026,1023,10,10,10,40,19,58,0.00,3,,228<br />
2000-5-18,20,17,13,10,8,7,72,60,43,1033,1031,1029,10,10,10,21,13,23,0.00,4,,329<br />
2000-5-19,20,14,9,12,8,6,88,70,40,1029,1026,1024,9,9,9,14,10,,0.00,0,,321<br />
2000-5-20,23,16,9,8,5,0,87,58,23,1024,1021,1018,10,10,10,21,16,,0.00,1,,288<br />
2000-5-21,17,14,12,13,9,6,94,70,55,1029,1027,1024,10,9,5,37,16,,0.00,4,Rain,197<br />
2000-5-22,21,14,8,11,8,1,93,71,27,1027,1026,1024,9,9,8,14,10,,0.00,0,,311<br />
2000-5-23,19,13,8,12,8,2,93,71,43,1026,1024,1020,9,9,9,16,10,,0.00,0,,341<br />
2000-5-24,21,14,9,14,8,5,88,70,38,1020,1018,1015,,,,19,11,,0.00,,,340<br />
2000-5-25,20,17,14,16,13,11,94,85,73,1015,1013,1010,10,10,10,23,8,,0.00,6,Rain,325<br />
2000-5-26,20,17,13,14,10,5,100,70,37,1010,1008,1006,10,6,3,21,14,,0.00,6,Fog,306<br />
