
IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-31,33,26,19,21,17,12,100,57,19,,,,10,5,2,14,8,,0.00,,,-1<br />
2015-2-1,31,24,18,20,17,12,100,62,22,,,,10,5,0,16,8,,0.00,,,-1<br />
2015-2-2,30,26,21,21,18,13,100,66,27,,,,10,6,3,16,11,,0.00,,,-1<br />
2015-2-3,32,24,17,21,17,12,100,64,22,,,,10,5,2,16,10,,0.00,,,-1<br />
2015-2-4,31,24,19,19,16,10,100,60,18,,,,10,6,3,21,10,,0.00,,,-1<br />
2015-2-5,32,24,18,20,15,8,100,56,14,,,,10,6,3,13,6,,0.00,,,-1<br />
2015-2-6,32,26,19,20,14,7,98,50,12,,,,10,6,3,14,8,,0.00,,,-1<br />
2015-2-7,32,24,17,18,13,7,100,52,12,,,,10,6,0,16,8,,0.00,,,-1<br />
2015-2-8,33,26,18,20,14,8,98,50,12,,,,10,6,3,13,10,,0.00,,,-1<br />
2015-2-9,32,25,18,21,14,9,99,54,14,,,,10,5,3,16,10,,0.00,,,-1<br />
2015-2-10,31,23,16,20,14,8,100,57,16,,,,10,6,3,14,8,,0.00,,,-1<br />
2015-2-11,32,25,18,22,16,8,99,57,14,,,,10,6,3,14,8,,0.00,,,-1<br />
2015-2-12,33,27,20,22,16,8,99,54,13,,,,10,5,2,11,8,,0.00,,,-1<br />
2015-2-13,34,27,21,23,14,8,100,49,12,,,,10,6,3,11,6,,0.00,,,-1<br />
2015-2-14,35,27,19,22,13,6,100,47,9,,,,10,5,0,14,3,,0.00,,,-1<br />
2015-2-15,35,27,19,17,11,6,78,34,10,,,,10,6,3,13,6,,0.00,,,-1<br />
2015-2-16,34,26,18,16,11,5,84,34,9,,,,10,7,3,19,5,,0.00,,,-1<br />
2015-2-17,34,26,18,17,11,4,81,37,8,,,,10,6,3,11,6,,0.00,,,-1<br />
2015-2-18,36,27,18,17,11,6,73,36,9,,,,10,6,3,16,5,,0.00,,,-1<br />
2015-2-19,34,27,19,17,12,6,82,37,9,,,,10,6,3,13,6,,0.00,,,-1<br />
2015-2-20,33,26,18,16,12,8,79,38,13,,,,10,7,3,21,8,,0.00,,,-1<br />
2015-2-21,33,26,18,16,12,8,83,41,13,,,,10,6,3,23,10,,0.00,,,-1<br />
2015-2-22,33,26,19,15,11,8,66,34,13,,,,10,6,3,21,10,,0.00,,,-1<br />
2015-2-23,33,25,17,13,9,5,73,30,10,,,,10,6,3,29,10,,0.00,,,-1<br />
2015-2-24,33,26,18,12,4,-6,59,23,4,,,,10,8,3,16,8,,0.00,,,-1<br />
2015-2-25,33,26,17,11,6,-1,55,24,5,,,,10,6,3,8,6,,0.00,,,-1<br />
2015-2-26,34,26,18,18,13,9,60,36,14,,,,10,6,3,10,5,,0.00,,,-1<br />
2015-2-27,34,28,22,22,17,11,98,47,15,,,,10,6,3,13,8,,0.00,,,-1<br />
2015-2-28,34,29,25,25,22,18,99,66,28,,,,10,6,3,21,13,,0.00,,,-1<br />
2015-3-1,33,29,26,25,22,18,96,67,32,,,,3,3,3,21,13,,0.00,,,-1<br />
