
WGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,-6,-9,-11,-11,-16,-18,68,52,31,994,987,985,10,10,10,32,21,,0.00,3,,62<br />
2013-1-2,-4,-7,-8,-8,-11,-15,80,69,51,991,987,985,10,10,10,26,19,,0.25,3,,55<br />
2013-1-3,-4,-7,-8,-7,-9,-11,86,76,69,991,986,976,10,10,10,26,19,,0.00,4,,45<br />
2013-1-4,-5,-6,-7,-8,-9,-12,93,77,51,981,978,975,31,10,1,35,14,,1.02,6,Rain-Snow,250<br />
2013-1-5,38,14,-9,-8,-12,-14,93,77,54,997,990,980,26,9,0,35,19,,0.51,7,Rain-Snow,279<br />
2013-1-6,-2,-7,-10,-8,-14,-16,73,61,38,996,994,990,29,11,10,52,21,,0.51,6,Snow,43<br />
2013-1-7,4,-1,-6,-4,-9,-13,93,62,25,994,984,972,10,8,0,63,26,52,1.02,6,Rain-Snow,85<br />
2013-1-8,-4,-7,-8,-8,-14,-23,86,52,22,992,988,980,10,8,1,55,37,64,0.25,4,Snow,125<br />
2013-1-9,-5,-7,-8,-7,-11,-16,93,70,35,996,986,979,23,9,0,47,21,,4.06,6,Snow,355<br />
2013-1-10,-8,-9,-9,-10,-14,-16,86,66,44,1013,1005,995,18,10,3,37,19,,0.51,7,Snow,360<br />
2013-1-11,-7,-10,-12,-9,-13,-15,93,73,46,1024,1017,1013,31,8,1,37,13,,0.00,7,Snow,40<br />
2013-1-12,-11,-13,-14,-14,-18,-21,79,60,33,1028,1025,1023,31,10,7,26,11,,0.00,6,Snow,353<br />
2013-1-13,-8,-11,-13,-14,-18,-21,68,55,32,1024,1012,1000,10,10,6,34,23,,0.00,5,Snow,65<br />
2013-1-14,-1,-6,-9,-4,-10,-15,93,76,55,1000,997,994,10,10,6,27,18,,0.51,6,Rain-Snow,71<br />
2013-1-15,-1,-3,-7,-3,-7,-10,94,70,40,994,987,981,29,9,1,29,14,,1.02,7,Snow,88<br />
2013-1-16,-1,-3,-4,-4,-7,-9,93,71,43,983,980,977,10,9,1,32,13,,3.05,6,Snow,104<br />
