
SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,21,18,16,19,17,14,100,92,82,1019,1017,1015,10,9,0,47,16,64,0.00,6,Rain-Thunderstorm,19<br />
2011-1-2,24,20,17,19,18,16,100,90,65,1020,1017,1016,10,10,2,19,8,,0.00,6,Rain,14<br />
2011-1-3,24,20,17,19,17,15,100,89,61,1026,1021,1019,10,9,5,16,6,,0.00,5,Rain-Thunderstorm,42<br />
2011-1-4,25,20,16,19,17,15,100,86,61,1025,1023,1021,10,9,3,16,6,,0.00,6,Rain,18<br />
2011-1-5,28,22,17,18,17,11,100,80,35,1023,1019,1016,10,10,10,23,8,,0.00,4,,97<br />
2011-1-6,25,20,15,16,15,12,100,76,47,1019,1018,1015,10,10,10,32,11,,0.00,3,Rain,30<br />
2011-1-7,24,18,12,15,13,11,94,73,44,1018,1016,1014,10,10,10,21,11,,0.00,3,,30<br />
2011-1-8,27,19,12,15,13,10,94,63,34,1017,1014,1011,10,10,10,32,10,,0.00,3,Rain,5<br />
2011-1-9,28,21,15,16,14,11,100,66,35,1016,1013,1011,10,10,10,27,10,,0.00,3,Rain-Thunderstorm,290<br />
2011-1-10,29,21,14,15,14,11,100,66,37,1018,1016,1014,10,10,10,24,11,39,0.00,3,Rain-Thunderstorm,316<br />
2011-1-11,28,22,16,16,14,11,100,70,35,1022,1020,1017,10,10,10,27,16,37,0.00,2,Rain-Thunderstorm,53<br />
2011-1-12,27,20,14,16,14,12,94,67,42,1024,1019,1016,10,10,10,29,16,,0.00,4,Rain-Thunderstorm,339<br />
2011-1-13,28,21,15,17,14,10,94,66,39,1018,1016,1014,10,10,10,14,8,,0.00,6,,216<br />
2011-1-14,28,22,17,17,15,12,94,68,39,1017,1014,1012,10,10,10,32,10,50,0.00,3,,80<br />
2011-1-15,29,21,13,16,13,10,100,62,32,1020,1018,1016,10,10,10,21,10,,0.00,3,,32<br />
2011-1-16,29,22,16,16,14,9,88,61,29,1020,1018,1015,10,10,10,26,14,32,0.00,3,,14<br />
2011-1-17,29,22,16,17,16,13,94,69,40,1020,1017,1015,10,10,10,32,8,,0.00,3,Thunderstorm,43<br />
2011-1-18,27,21,15,17,16,13,94,69,48,1021,1018,1016,10,10,8,32,13,,0.00,4,,21<br />
2011-1-19,30,23,16,18,16,14,100,70,40,1019,1016,1013,10,10,7,11,6,,0.00,3,,10<br />
2011-1-20,29,24,20,20,18,16,94,74,45,1017,1015,1012,10,10,10,24,6,,0.00,4,Rain,168<br />
2011-1-21,23,20,17,20,18,15,100,88,73,1017,1016,1014,10,10,8,29,13,50,0.00,6,Rain-Thunderstorm,65<br />
2011-1-22,22,19,17,20,18,17,100,95,78,1018,1015,1014,10,7,0,32,10,53,0.00,6,Rain-Thunderstorm,79<br />
2011-1-23,29,24,17,23,18,15,94,86,70,1017,1014,1007,10,10,10,14,10,,0.00,7,Rain,79<br />
2011-1-24,22,19,17,20,18,15,100,91,78,1018,1016,1015,10,9,5,24,14,,0.00,7,Rain,44<br />
2011-1-25,28,22,17,19,18,16,100,84,58,1017,1014,1010,10,9,1,26,13,,0.00,7,Rain,322<br />
2011-1-26,29,22,15,19,13,4,100,67,21,1014,1012,1010,10,10,10,16,8,,0.00,1,,173<br />
2011-1-27,29,22,16,16,12,7,88,56,25,1018,1014,1012,,,,21,8,,0.00,,,167<br />
2011-1-28,29,21,13,18,13,8,100,67,27,1021,1019,1018,10,10,10,16,6,,0.00,2,,162<br />
2011-1-29,31,22,14,17,13,9,100,61,25,1023,1020,1017,10,10,10,11,5,,0.00,2,,155<br />
2011-1-30,29,23,17,16,14,11,82,65,37,1021,1019,1016,10,9,5,23,11,,0.00,4,Rain-Thunderstorm,92<br />
2011-1-31,28,21,15,16,14,11,94,64,37,1023,1019,1016,10,10,10,21,10,,0.00,2,,38<br />
2011-2-1,28,21,15,16,13,12,94,62,39,1024,1021,1018,10,10,10,19,8,,0.00,3,,49<br />
2011-2-2,28,21,15,17,13,11,100,61,35,1024,1021,1018,10,10,8,21,6,,0.00,3,Rain-Thunderstorm,104<br />
2011-2-3,26,20,14,15,12,7,94,60,34,1025,1023,1021,10,10,10,29,13,,0.00,3,,32<br />
