
BDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-2-22,31,28,27,14,13,13,32,32,31,1015,1013,1011,3,3,3,6,5,,0.00,,,-1<br />
2013-2-23,31,24,19,15,14,12,63,42,26,1014,1013,1011,3,3,3,3,2,,0.00,,,-1<br />
2013-2-24,30,21,21,15,14,14,62,44,27,1013,1013,1012,3,3,3,3,3,,0.00,,,-1<br />
2013-2-25,32,27,23,16,12,7,54,31,14,1014,1013,1012,3,3,3,6,5,,0.00,,,-1<br />
2013-2-26,31,26,21,15,12,10,60,35,22,1015,1013,1012,3,3,3,6,5,,0.00,,,-1<br />
2013-2-27,31,25,21,15,14,13,60,39,28,1013,1012,1010,5,4,3,6,5,,0.00,,,-1<br />
2013-2-28,32,27,23,16,12,9,54,31,17,1011,1010,1008,5,4,3,6,5,,0.00,,,-1<br />
2013-3-1,29,25,22,17,12,8,68,37,20,1012,1011,1010,3,3,3,8,3,,0.00,,,-1<br />
2013-3-2,30,22,17,12,10,7,63,36,17,1014,1013,1011,3,3,3,3,3,,0.00,,,-1<br />
2013-3-3,31,24,19,14,14,14,66,43,30,1013,1012,1010,5,4,3,0,0,,0.00,,,-1<br />
2013-3-4,32,30,29,13,12,12,25,24,24,1014,1012,1011,3,3,3,3,3,,0.00,,,-1<br />
2013-3-5,32,24,18,15,12,10,79,40,19,1015,1014,1012,5,4,3,134,27,,0.00,,,-1<br />
2013-3-6,33,26,19,18,13,8,93,48,14,1015,1013,1011,3,3,2,3,0,,0.00,,,-1<br />
2013-3-7,33,21,19,15,13,10,68,48,19,1013,1012,1011,3,3,3,0,0,,0.00,,,-1<br />
2013-3-8,32,22,22,15,12,7,57,40,12,1014,1013,1012,3,3,3,3,0,,0.00,,,-1<br />
2013-3-9,33,27,22,14,12,10,52,30,18,1012,1010,1008,3,3,3,0,0,,0.00,,,-1<br />
2013-3-10,33,21,19,15,14,12,68,46,25,1010,1009,1008,5,4,3,0,0,,0.00,,,-1<br />
2013-3-11,32,24,23,21,18,13,87,55,34,1011,1010,1007,3,3,3,8,5,,0.00,,,-1<br />
2013-3-12,29,29,29,21,21,21,52,52,52,1010,1010,1010,5,4,3,3,3,,0.00,,,-1<br />
2013-3-13,33,26,25,23,22,21,85,71,56,1011,1010,1009,3,3,3,3,3,,8.89,8,Thunderstorm,-1<br />
2013-3-14,34,27,23,22,22,21,86,67,47,1013,1011,1009,5,4,3,3,0,,7.87,,,-1<br />
2013-3-15,34,30,27,21,21,20,64,49,36,1013,1012,1010,5,4,3,0,0,,0.00,,,-1<br />
2013-3-16,28,,28,19,19,19,50,50,50,1012,1012,1012,5,5,5,6,6,,0.00,,,-1<br />
2013-3-17,33,28,23,18,15,11,65,42,24,1013,1012,1011,5,4,3,6,3,,0.25,,,-1<br />
2013-3-18,31,21,21,16,13,9,62,45,17,1010,1010,1009,5,4,3,6,2,,0.00,,,-1<br />
2013-3-19,33,27,22,18,12,5,71,34,10,1009,1008,1007,5,4,3,6,5,,0.00,,,-1<br />
2013-3-20,34,26,19,20,17,13,93,52,24,1010,1009,1007,5,3,0,3,2,,0.00,,,-1<br />
2013-3-21,34,28,25,23,19,13,85,52,21,1009,1007,1004,5,5,5,8,5,,0.00,8,,-1<br />
2013-3-22,35,28,23,18,16,15,67,43,25,1007,1006,1004,5,5,3,3,2,,0.00,,,-1<br />
2013-3-23,31,23,23,22,22,21,83,67,51,1010,1009,1008,5,4,3,3,2,,16.00,,,-1<br />
2013-3-24,32,,32,23,23,23,51,51,51,1010,1010,1010,5,5,5,3,3,,0.00,,,-1<br />
2013-3-25,33,27,26,23,19,12,82,56,18,1008,1007,1007,3,3,3,3,3,,0.00,,,-1<br />
2013-3-26,35,27,26,24,19,10,82,57,13,1007,1005,1004,5,5,5,6,5,,0.00,,,-1<br />
2013-3-27,35,27,27,23,17,11,72,44,17,1007,1006,1005,5,5,5,6,3,,0.00,,,-1<br />
2013-3-28,33,24,24,23,19,16,89,58,26,1008,1008,1008,5,4,3,3,3,,0.00,,,-1<br />
2013-3-29,33,28,26,14,13,12,38,28,20,1009,1007,1006,5,5,5,6,5,,T,,,-1<br />
2013-3-30,34,29,25,20,17,13,67,44,20,1008,1006,1004,5,4,3,6,5,,0.00,,,-1<br />
2013-3-31,33,29,26,23,22,21,82,58,42,1009,1007,1006,5,4,3,3,2,,0.00,,,-1<br />
2013-4-1,33,27,21,24,21,16,84,63,38,1009,1008,1007,5,5,3,3,3,,0.00,,,-1<br />
2013-4-2,35,29,25,24,22,20,85,65,49,1010,1009,1006,5,4,3,8,3,,0.00,,,-1<br />
2013-4-3,36,29,26,24,22,21,88,57,40,1008,1007,1004,5,4,3,3,0,,0.00,,,-1<br />
2013-4-4,37,31,27,24,18,13,75,44,16,1005,1003,999,5,4,3,6,5,,0.00,,,-1<br />
2013-4-5,35,30,26,21,10,-2,69,34,4,1005,1003,1001,5,5,5,10,5,,0.00,,,-1<br />
2013-4-6,36,29,24,15,7,1,48,22,6,1007,1005,1003,5,4,3,10,6,,0.00,,,-1<br />
2013-4-7,35,29,24,22,19,11,82,46,26,1006,1004,1002,5,4,3,8,3,,0.00,,,-1<br />
2013-4-8,36,29,26,24,22,19,82,58,32,1006,1005,1003,5,5,5,8,5,,0.00,8,,-1<br />
2013-4-9,37,28,26,25,23,23,78,65,44,1006,1005,1004,5,4,3,6,5,,0.00,,,-1<br />
2013-4-10,33,33,33,24,23,22,51,46,42,1007,1005,1003,5,5,5,3,3,,0.00,,,-1<br />
2013-4-11,35,31,27,25,24,23,81,63,47,1007,1005,1004,5,5,5,11,8,,0.00,,,-1<br />
2013-4-12,34,28,28,26,24,22,87,67,39,1008,1007,1006,5,5,5,6,5,,0.00,,,-1<br />
2013-4-13,36,31,27,25,23,20,88,54,33,1009,1008,1006,5,4,3,10,3,,0.00,,,-1<br />
2013-4-14,33,30,27,24,18,15,78,42,23,1010,1008,1005,5,4,3,8,6,,T,8,,-1<br />
2013-4-15,34,29,25,23,19,15,79,52,24,1007,1005,1003,5,5,5,6,3,,0.00,,,-1<br />
2013-4-16,30,27,24,21,19,18,79,56,42,1005,1004,1001,5,5,3,8,5,,3.05,8,,-1<br />
2013-4-17,30,24,22,20,19,19,80,65,50,1006,1004,1003,5,4,3,3,3,,3.05,,,-1<br />
2013-4-18,28,26,23,22,20,19,90,64,48,1007,1006,1005,5,5,5,6,2,,0.00,,,-1<br />
2013-4-19,34,28,24,22,21,20,70,56,39,1007,1006,1003,5,5,5,8,2,,7.11,,,-1<br />
2013-4-20,32,26,21,19,18,17,92,60,31,1010,1009,1007,5,4,3,11,6,,2.03,8,Rain-Thunderstorm,-1<br />
2013-4-21,32,26,24,22,21,19,86,65,54,1009,1008,1006,5,5,5,3,3,,0.00,,Rain,-1<br />
2013-4-22,25,24,23,21,19,18,80,70,57,1012,1010,1009,5,5,5,8,5,,0.00,8,Rain,-1<br />
2013-4-23,32,27,21,21,20,19,91,65,37,1012,1010,1009,5,4,3,6,2,,0.00,,,-1<br />
2013-4-24,34,28,23,22,20,18,80,57,30,1011,1010,1007,5,4,3,6,2,,0.00,,,-1<br />
2013-4-25,35,29,24,22,21,20,82,53,36,1011,1009,1007,5,4,3,3,2,,0.00,,,-1<br />
2013-4-26,36,31,27,24,22,21,81,52,37,1010,1008,1006,5,5,5,3,2,,0.00,,,-1<br />
2013-4-27,31,28,27,25,24,23,88,70,58,1008,1007,1006,5,4,3,3,2,,3.05,8,Rain,-1<br />
2013-4-28,28,24,24,22,21,19,64,62,61,1007,1007,1006,5,5,5,13,6,,0.00,8,,-1<br />
2013-4-29,35,30,27,26,26,25,84,71,60,1006,1005,1003,5,4,3,8,6,,0.00,8,,-1<br />
2013-4-30,34,31,29,26,26,25,80,65,56,1007,1005,1003,5,4,3,8,6,,0.00,,,-1<br />
2013-5-1,36,31,28,26,26,25,84,69,51,1005,1003,999,5,5,5,10,8,,0.00,8,,-1<br />
2013-5-2,36,32,29,26,26,25,80,66,49,1002,1001,998,5,5,5,8,6,,0.00,,,-1<br />
2013-5-3,37,32,28,25,24,21,77,60,33,1002,1000,999,5,4,3,10,8,,0.00,,,-1<br />
2013-5-4,32,29,28,25,23,21,77,68,59,1005,1003,1002,5,5,3,10,6,,0.00,8,,-1<br />
2013-5-5,29,24,21,20,19,18,91,64,48,1008,1007,1005,5,4,3,11,8,,3.05,8,,-1<br />
2013-5-6,24,24,23,22,22,21,83,80,79,1008,1006,1003,3,3,3,10,5,,0.25,8,Rain-Thunderstorm,-1<br />
2013-5-7,30,26,23,25,23,21,90,80,68,1006,1005,1002,5,4,3,6,5,,18.03,8,Rain-Thunderstorm,-1<br />
2013-5-8,34,29,26,26,24,23,88,80,63,1004,1003,1000,5,5,3,6,5,,39.12,8,Thunderstorm,-1<br />
2013-5-9,27,24,24,24,23,21,93,83,78,1005,1004,1003,5,5,5,13,3,,1.02,8,Rain,-1<br />
2013-5-10,34,31,28,27,26,25,87,74,53,1005,1003,1001,5,5,3,8,5,,0.00,,,-1<br />
2013-5-11,33,31,28,27,26,24,87,73,51,1003,1002,1000,5,5,5,8,6,,7.11,,Rain,-1<br />
2013-5-12,31,27,24,25,22,20,74,68,61,1007,1004,1001,5,5,3,13,6,,1.02,8,Rain,-1<br />
2013-5-13,33,28,24,24,22,21,82,66,49,1006,1005,1002,5,4,3,8,3,,0.00,8,,-1<br />
2013-5-14,33,27,24,26,23,23,89,73,58,1006,1004,1001,5,5,3,6,3,,0.00,8,,-1<br />
2013-5-15,32,29,27,24,23,23,75,67,51,1004,1003,1001,5,5,3,0,0,,1.02,,,-1<br />
2013-5-16,24,24,22,22,22,21,91,82,66,1002,1000,999,3,3,3,8,5,,28.96,8,Rain,-1<br />
2013-5-17,32,28,24,26,23,22,86,75,56,1006,1005,1004,5,5,5,8,3,,0.00,,,-1<br />
2013-5-18,33,29,26,27,25,23,82,74,68,1005,1004,1002,5,4,3,3,2,,3.05,8,,-1<br />
2013-5-19,34,31,28,26,26,23,87,70,46,1006,1004,1002,5,4,3,10,6,,0.00,,,-1<br />
2013-5-20,33,30,27,26,26,25,88,78,65,1004,1003,1001,5,4,3,10,6,,29.97,8,,-1<br />
2013-5-21,29,27,26,25,24,23,88,80,72,1004,1003,1000,5,5,5,6,3,,0.25,8,Rain,-1<br />
2013-5-22,28,26,25,25,24,23,92,84,78,1003,1003,1003,5,4,3,3,3,,0.00,8,Rain,-1<br />
2013-5-23,27,26,25,25,24,24,92,86,78,1002,1001,1000,3,3,3,3,2,,1.02,8,Rain-Thunderstorm,-1<br />
2013-5-24,29,26,24,24,23,23,97,87,78,1003,1001,1000,5,4,3,6,2,,16.00,8,Rain-Thunderstorm,-1<br />
2013-5-25,32,28,26,25,24,23,82,75,65,1002,1001,1000,5,4,3,6,5,,0.00,8,,-1<br />
2013-5-26,33,27,27,25,24,24,84,74,56,1003,1003,1002,5,4,3,3,2,,0.00,8,,-1<br />
2013-5-27,35,31,27,26,25,23,91,72,51,1003,1002,1001,5,5,5,3,3,,0.00,8,,-1<br />
2013-5-28,33,29,27,24,23,23,81,60,49,1003,1001,1000,5,5,5,8,5,,0.00,8,Rain,-1<br />
2013-5-29,32,28,27,24,24,23,84,71,58,1002,1001,999,5,5,3,13,5,,1.02,8,,-1<br />
2013-5-30,29,28,26,25,24,23,85,79,75,1002,1000,999,5,5,5,13,10,,5.08,8,Rain,-1<br />
2013-5-31,29,26,22,23,22,20,91,80,61,1005,1003,1001,5,4,3,14,11,,9.91,8,Rain,-1<br />
2013-6-1,34,29,24,26,25,23,96,75,53,1006,1005,1003,5,4,3,3,3,,0.00,8,,-1<br />
2013-6-2,35,31,27,26,26,24,91,65,49,1005,1003,1001,6,5,5,8,2,,0.00,,,-1<br />
2013-6-3,36,32,28,26,26,23,84,65,39,1003,1002,1000,5,5,5,8,2,,0.00,,,-1<br />
2013-6-4,35,31,28,27,27,25,90,69,49,1004,1003,1001,5,4,3,3,3,,0.00,,,-1<br />
2013-6-5,34,30,29,27,27,25,87,71,49,1004,1004,1003,5,5,5,8,2,,0.00,,,-1<br />
2013-6-6,33,30,28,27,25,20,90,72,46,1004,1003,1003,5,4,3,0,0,,30.99,8,Rain-Thunderstorm,-1<br />
2013-6-7,27,28,26,26,26,25,92,85,71,1004,1003,1002,5,4,3,0,0,,4.06,8,Rain-Thunderstorm,-1<br />
2013-6-8,33,29,26,25,24,24,96,71,51,1003,1001,999,5,5,5,6,2,,0.00,,,-1<br />
2013-6-9,32,29,28,26,26,24,87,73,58,1000,999,997,5,4,3,3,2,,0.00,,,-1<br />
2013-6-10,33,28,28,26,26,26,87,77,60,1000,1000,999,5,4,3,3,3,,0.00,,,-1<br />
2013-6-11,34,29,29,27,26,25,87,70,49,1001,1000,1000,5,5,5,3,3,,0.00,,,-1<br />
2013-6-12,35,32,28,25,24,23,77,58,46,1009,1002,998,5,5,3,8,3,,0.00,,,-1<br />
2013-6-13,34,31,28,25,23,23,77,60,47,1001,1000,998,6,5,3,8,5,,0.00,8,Rain,-1<br />
2013-6-14,33,28,28,25,24,24,75,72,68,1000,1000,999,5,4,3,3,3,,1.02,8,,-1<br />
2013-6-15,35,31,28,26,24,23,87,66,46,1002,1001,999,5,4,3,3,3,,0.00,,,-1<br />
2013-6-16,34,29,28,26,24,23,81,67,42,1003,1002,1002,5,4,3,0,0,,0.00,,,-1<br />
2013-6-17,36,31,31,27,24,23,76,61,46,1002,1000,998,5,3,0,74,19,,0.00,,,-1<br />
2013-6-18,36,31,29,26,25,24,80,63,49,1000,999,996,5,4,3,3,3,,0.00,,,-1<br />
2013-6-19,35,32,27,27,26,24,83,72,51,1000,999,999,6,5,5,6,2,,7.11,8,Rain-Thunderstorm,-1<br />
2013-6-20,33,30,27,27,26,25,84,74,60,1000,999,997,5,5,5,3,3,,0.00,8,,-1<br />
2013-6-21,36,31,28,26,26,25,84,62,51,999,998,996,6,5,5,0,0,,0.00,,,-1<br />
2013-6-22,34,33,33,26,26,25,60,56,53,999,997,996,5,5,5,3,3,,0.25,,,-1<br />
2013-6-23,32,29,28,26,26,25,84,70,58,999,998,998,5,4,3,11,5,,0.00,,,-1<br />
2013-6-24,33,29,27,26,25,24,84,69,52,999,998,997,6,5,3,6,2,,1.02,8,Rain,-1<br />
2013-6-25,30,29,27,26,26,25,84,78,74,1002,1001,1001,5,4,3,19,16,,5.08,8,Rain,-1<br />
2013-6-26,32,29,27,26,26,25,95,82,65,1003,1002,1001,5,5,5,3,3,,6.10,8,Rain,-1<br />
2013-6-27,32,27,27,26,26,25,84,82,77,1002,1000,998,5,4,3,3,3,,11.94,8,Rain,-1<br />
2013-6-28,30,28,27,26,26,25,88,86,84,1000,999,998,5,5,5,6,3,,13.97,8,Rain,-1<br />
2013-6-29,27,26,26,25,25,25,96,90,84,999,998,998,3,3,3,6,2,,1.02,8,Rain,-1<br />
2013-6-30,29,28,27,26,26,25,95,84,74,999,998,996,3,3,3,3,0,,0.25,8,Rain,-1<br />
2013-7-1,33,27,27,25,24,24,88,77,65,999,998,996,5,5,5,3,3,,0.25,8,,-1<br />
2013-7-2,33,30,28,26,25,22,87,69,49,999,998,997,5,5,3,3,2,,0.00,,,-1<br />
2013-7-3,34,29,28,26,25,24,87,72,63,1001,1000,999,5,4,3,3,2,,0.00,8,,-1<br />
2013-7-4,31,29,27,25,24,24,84,76,65,1002,1001,999,5,5,3,3,3,,26.92,,Rain,-1<br />
2013-7-5,33,33,32,25,24,24,56,56,56,1000,1000,1000,5,5,5,6,6,,0.00,,,-1<br />
2013-7-6,33,30,28,26,26,24,87,73,51,1004,1003,1002,5,4,3,6,3,,0.00,8,,-1<br />
2013-7-7,34,29,28,26,25,24,87,73,60,1005,1004,1001,5,5,3,6,3,,0.00,8,,-1<br />
2013-7-8,34,30,28,26,25,24,87,67,51,1004,1002,1000,5,5,5,6,5,,0.00,,,-1<br />
