
WIB,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-2,28,21,21,19,19,19,88,68,49,,,,10,6,3,11,3,,0.00,,,-1<br />
2014-1-3,22,,21,19,19,19,81,81,81,,,,3,3,3,0,0,,0.00,,,-1<br />
2014-1-4,27,21,21,20,20,19,80,68,56,,,,10,8,6,27,10,,0.00,8,,-1<br />
2014-1-5,23,,20,18,18,18,67,67,67,,,,8,8,8,19,19,,0.00,,,-1<br />
2014-1-6,25,21,20,18,17,17,77,64,51,,,,10,9,8,23,8,,0.00,,,-1<br />
2014-1-9,28,23,19,18,18,18,85,61,48,,,,10,8,3,19,8,,0.00,,,-1<br />
2014-1-10,28,,28,19,19,19,51,51,51,,,,10,10,10,19,19,,0.00,,,-1<br />
2014-1-13,21,,20,19,19,19,87,87,87,,,,6,6,6,14,14,,0.00,8,Rain,-1<br />
2014-1-15,25,21,20,19,19,19,88,74,61,,,,10,9,6,27,18,,0.00,8,Rain,-1<br />
2014-1-16,24,,24,21,21,21,74,74,74,,,,8,8,8,26,26,,0.00,,,-1<br />
2014-1-20,21,,20,19,19,19,86,86,86,,,,5,5,5,11,11,,0.00,8,,-1<br />
2014-1-22,24,20,20,18,18,17,83,70,58,,,,10,8,6,26,24,,0.00,8,,-1<br />
2014-1-27,21,,20,19,19,19,89,89,89,,,,3,3,3,3,3,,0.00,,,-1<br />
2014-1-28,22,,21,21,21,21,89,89,89,,,,3,3,3,11,11,,0.00,,Rain,-1<br />
2014-1-30,25,21,20,21,21,20,95,85,73,,,,6,6,6,32,18,,0.00,8,,-1<br />
2014-2-2,22,21,20,21,20,20,91,90,89,,,,6,5,3,23,19,,0.25,8,,-1<br />
