
SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-3,24,,24,15,15,15,57,57,57,1017,1017,1017,10,10,10,6,6,,0.00,1,Rain,210<br />
2012-1-4,23,,23,10,10,10,44,44,44,1020,1020,1020,10,10,10,16,16,35,0.00,1,Rain-Thunderstorm,310<br />
2012-1-5,19,19,17,13,12,12,77,70,64,1024,1024,1023,10,10,10,21,19,,0.00,6,Rain-Thunderstorm,170<br />
2012-1-6,28,18,18,13,12,10,59,49,39,1021,1019,1018,10,10,10,6,5,,0.00,4,Rain-Thunderstorm,55<br />
2012-1-8,27,27,18,13,12,12,68,55,42,1021,1019,1018,10,10,10,19,10,,0.00,3,Rain-Thunderstorm,125<br />
2012-1-10,19,,19,13,13,13,68,68,68,1019,1019,1019,9,9,9,14,14,50,0.00,6,Rain-Thunderstorm,230<br />
2012-1-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-12,25,20,19,16,14,11,83,63,41,1020,1018,1016,10,10,10,11,8,,0.00,4,Rain-Thunderstorm,310<br />
2012-1-15,22,,22,6,6,6,35,35,35,1020,1020,1020,,,,14,14,,0.00,,,90<br />
2012-1-23,22,17,17,15,15,15,88,76,64,1017,1015,1014,10,9,8,10,6,27,0.00,6,Rain-Thunderstorm,290<br />
2012-1-24,16,,16,14,14,14,88,88,88,1014,1014,1014,10,10,10,8,8,,0.00,1,Rain-Thunderstorm,100<br />
2012-1-26,25,,25,12,12,12,44,44,44,1017,1017,1017,10,10,10,6,6,,0.00,1,Rain,330<br />
2012-1-27,24,23,23,12,12,11,50,47,44,1019,1019,1019,10,10,10,8,6,,0.00,1,Rain-Thunderstorm,265<br />
2012-2-1,26,,26,11,11,11,39,39,39,1016,1016,1016,2,2,2,6,6,,0.00,,,290<br />
2012-2-5,26,26,19,16,16,15,78,66,54,1021,1021,1021,10,10,10,11,5,,0.00,4,Rain-Thunderstorm,335<br />
2012-2-6,27,17,17,15,15,15,88,68,48,1020,1019,1017,10,10,10,8,5,,0.00,4,Thunderstorm,130<br />
2012-2-7,27,27,22,16,14,13,69,56,42,1018,1018,1018,10,10,10,10,6,,0.00,4,Rain,215<br />
2012-2-10,18,,18,15,15,15,83,83,83,1013,1013,1013,10,10,10,3,3,,0.00,6,Rain,250<br />
2012-2-11,17,17,17,16,16,16,94,94,94,1012,1012,1012,10,10,10,6,5,,0.00,6,Rain,306<br />
2012-2-13,18,,18,15,15,15,83,83,83,1019,1019,1019,10,10,10,10,10,,0.00,6,,50<br />
2012-2-17,28,,28,12,12,12,37,37,37,1015,1015,1015,10,10,10,10,10,,0.00,1,Rain-Thunderstorm,210<br />
2012-2-19,17,16,16,15,14,14,94,88,82,1023,1022,1022,1,1,0,10,8,,0.00,3,Fog-Rain,21<br />
2012-2-20,18,,18,15,15,15,83,83,83,1023,1023,1023,10,10,10,3,3,,0.00,6,Rain,350<br />
2012-2-21,28,23,19,16,15,14,83,62,42,1019,1019,1018,10,9,6,21,10,52,0.00,4,Rain-Thunderstorm,218<br />
2012-2-22,30,28,22,17,14,12,73,50,33,1014,1014,1014,10,10,10,13,10,,0.00,2,Rain-Thunderstorm,200<br />
2012-2-27,26,,26,8,8,8,32,32,32,1018,1018,1018,10,10,10,11,11,,0.00,1,Rain,80<br />
2012-3-7,25,22,19,13,12,10,68,55,44,1018,1017,1017,10,9,8,13,6,,0.00,3,Rain-Thunderstorm,50<br />
2012-3-8,27,,27,11,11,11,37,37,37,1019,1019,1019,10,10,10,6,6,,0.00,1,Rain-Thunderstorm,300<br />
2012-3-9,27,,27,10,10,10,34,34,34,1019,1019,1019,10,10,10,6,6,,0.00,1,Thunderstorm,340<br />
2012-3-11,21,21,18,10,9,8,59,51,43,1020,1020,1020,10,10,10,23,16,,0.00,6,Rain-Thunderstorm,170<br />
2012-3-12,26,,26,6,6,6,28,28,28,1017,1017,1017,10,10,10,8,8,,0.00,1,Thunderstorm,320<br />
