
IDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-2-21,15,9,3,5,3,1,93,72,48,1021,1019,1017,,11,11,14,2,,0.00,1,,278<br />
2000-2-22,15,10,5,7,4,1,93,70,41,1016,1015,1013,,10,9,27,11,,0.00,2,,256<br />
2000-5-4,26,20,14,14,9,5,88,59,29,1013,1010,1008,,9,8,27,18,,0.00,2,,258<br />
2000-5-5,21,16,11,12,11,7,94,63,49,1014,1013,1012,,11,9,23,3,,0.00,2,,268<br />
2000-5-6,21,16,10,11,9,6,94,69,49,1018,1016,1014,,11,11,19,3,,0.00,4,,275<br />
2000-5-7,20,14,8,9,7,6,93,66,46,1019,1017,1016,,11,11,23,8,,0.00,3,,277<br />
2000-5-8,17,13,10,10,8,6,94,73,52,1019,1017,1017,,11,11,24,11,,0.00,4,,275<br />
2000-5-9,23,17,10,11,8,5,94,58,31,1020,1019,1017,,11,11,19,10,,0.00,1,,356<br />
2000-5-10,28,20,12,7,6,2,67,35,20,1019,1017,1017,,,,19,6,,0.00,,,38<br />
2000-5-11,26,20,15,13,7,1,72,42,26,1017,1017,1015,,6,6,23,3,,0.00,0,,298<br />
2000-5-12,25,19,14,10,5,0,72,41,27,1017,1016,1014,,,,27,6,,0.00,,,270<br />
2000-5-13,35,24,14,11,5,-1,68,37,23,1016,1015,1014,,,,34,11,,0.00,,,279<br />
2000-5-14,26,20,15,11,7,6,64,42,32,1017,1016,1015,,,,19,2,,0.00,,,276<br />
2000-5-15,26,20,14,14,10,5,88,55,39,1016,1015,1014,,,,19,3,,0.00,,,270<br />
2000-5-16,25,19,14,14,11,6,72,52,44,1016,1015,1014,,,,24,11,,0.00,,,267<br />
2000-5-17,28,23,19,13,11,3,60,45,20,1015,1012,1009,,,,19,8,,0.00,,,99<br />
2000-5-18,25,20,15,16,13,9,72,60,38,1011,1009,1008,,10,8,27,16,,0.00,3,,271<br />
2000-5-19,22,17,13,14,12,10,94,73,50,1013,1012,1011,,10,4,19,5,,0.00,3,,268<br />
2000-5-20,24,18,12,13,10,7,94,58,38,1016,1013,1012,,9,0,19,0,,0.00,3,Fog,291<br />
2000-5-21,25,19,13,9,6,3,63,41,26,1017,1016,1015,,,,23,3,,0.00,,,282<br />
2000-5-22,25,18,12,12,6,2,82,49,26,1017,1017,1017,,,,23,6,,0.00,,,269<br />
2000-5-23,23,17,10,13,9,5,94,65,37,1017,1016,1013,,11,8,24,8,,0.00,2,,284<br />
2000-5-24,23,17,12,13,12,7,100,72,47,1014,1013,1012,,11,9,29,11,,0.00,2,,273<br />
2000-5-25,28,20,12,9,6,3,72,40,26,1014,1012,1010,,,,11,0,,0.00,,,276<br />
2000-5-26,23,18,14,14,12,8,94,69,44,1014,1011,1008,,10,8,34,18,,0.00,4,,272<br />
2000-5-27,25,19,13,15,12,11,94,68,44,1014,1014,1013,,10,8,24,10,,0.00,3,,298<br />
2000-5-28,25,19,13,13,11,8,94,60,38,1016,1015,1014,,7,7,24,8,,0.00,1,,296<br />
2000-5-29,28,22,16,18,10,7,100,48,30,1016,1015,1013,,,,23,6,,0.00,,,311<br />
2000-5-30,32,24,18,14,9,5,52,37,24,1013,1012,1009,,,,19,2,,0.00,,,36<br />
2000-5-31,28,23,17,13,10,8,73,46,35,1014,1012,1011,,,,27,10,,0.00,,,292<br />
2000-6-1,17,17,16,11,10,9,68,66,63,1014,1014,1013,,,,10,10,,0.00,,,240<br />
2000-6-10,21,20,20,16,14,10,78,67,52,1015,1015,1015,,,,14,11,,0.00,,,262<br />
2000-6-11,30,24,18,17,11,7,73,46,27,1015,1014,1013,,,,23,13,,0.00,,,289<br />
2000-6-12,31,24,18,17,12,6,73,46,25,1015,1014,1014,,,,24,6,,0.00,,,291<br />
2000-6-13,33,26,18,17,8,-6,68,32,11,1016,1015,1014,,,,23,8,,0.00,,,306<br />
2000-6-14,34,26,18,13,2,-7,37,22,11,1014,1012,1010,,,,24,8,,0.00,,,305<br />
2000-6-15,32,24,18,15,8,-5,47,33,14,1010,1009,1009,,,,19,6,,0.00,,,282<br />
2000-6-16,31,26,21,15,10,4,68,39,26,1012,1010,1009,,,,23,16,,0.00,,,295<br />
2000-6-17,33,26,19,12,8,3,53,33,21,1012,1012,1011,,,,19,5,,0.00,,,278<br />
2000-6-18,30,23,16,18,8,2,94,40,18,1013,1012,1011,,4,4,24,6,,0.00,4,,275<br />
2000-6-19,26,22,17,17,16,13,94,68,44,1014,1012,1011,,9,4,27,14,,0.00,5,,267<br />
2000-6-20,28,21,15,16,13,11,94,64,42,1014,1013,1013,,10,8,24,16,,0.00,2,,288<br />
2000-6-21,28,22,16,14,11,9,77,55,37,1014,1013,1012,,,,24,8,,0.00,,,286<br />
2000-6-22,28,22,16,15,13,8,94,61,32,1015,1014,1013,,11,11,24,10,,0.00,2,,290<br />
2000-6-23,28,22,16,16,13,9,94,63,32,1014,1013,1012,,11,11,24,10,,0.00,2,,280<br />
2000-6-24,28,22,16,16,14,10,100,70,34,1012,1011,1011,,9,5,19,10,,0.00,3,,299<br />
2000-6-25,30,23,17,15,10,6,68,44,22,1012,1012,1011,,,,23,3,,0.00,,,289<br />
2000-6-26,29,23,18,17,12,4,77,51,31,1011,1010,1010,,9,9,29,8,,0.00,0,,272<br />
2000-6-27,29,23,17,18,14,5,94,60,35,1011,1010,1010,,8,8,23,8,,0.00,0,,269<br />
2000-6-28,30,24,18,17,13,4,88,53,29,1010,1010,1009,,10,8,23,6,,0.00,0,,292<br />
2000-6-29,30,25,20,17,9,2,53,36,20,1012,1010,1009,,,,23,10,,0.00,,,299<br />
2000-6-30,31,26,20,17,11,1,78,43,24,1012,1011,1010,,,,27,6,,0.00,,,288<br />
2000-7-1,29,23,18,16,12,-5,88,52,16,1013,1012,1011,,10,9,23,8,,0.00,2,,274<br />
2000-7-2,35,27,19,18,16,12,88,59,34,1013,1012,1010,,6,4,14,8,,0.00,6,,276<br />
2000-7-3,36,28,20,20,15,6,83,50,23,1011,1010,1009,,,,19,5,,0.00,,,281<br />
2000-7-4,33,27,21,20,13,7,94,47,25,1010,1010,1009,,2,0,23,6,,0.00,4,Fog,307<br />
2000-7-5,32,26,21,16,12,8,73,46,25,1010,1010,1009,,,,27,6,,0.00,,,278<br />
2000-7-6,32,26,20,18,11,6,78,38,22,1011,1010,1009,,,,23,11,,0.00,,,273<br />
2000-7-7,36,28,21,18,11,5,48,33,17,1009,1008,1006,,,,19,10,,0.00,,,296<br />
2000-7-8,36,29,23,19,9,4,61,30,19,1008,1007,1006,,,,19,6,,0.00,,,271<br />
2000-7-9,33,28,23,17,11,4,61,37,23,1009,1008,1008,,9,9,23,5,,0.00,0,,267<br />
2000-7-10,33,27,22,19,13,9,78,41,26,1009,1008,1007,,9,9,23,6,,0.00,0,,271<br />
2000-7-11,31,26,22,20,13,6,88,44,23,1011,1009,1008,,,,19,6,,0.00,,,271<br />
2000-7-12,32,26,20,21,17,9,88,63,38,1010,1009,1008,,4,4,27,13,,0.00,4,,277<br />
2000-7-13,33,27,20,19,17,7,88,56,32,1009,1008,1007,,5,4,27,10,,0.00,4,,265<br />
2000-7-14,34,28,22,21,13,3,88,43,19,1008,1007,1007,,9,9,21,6,,0.00,0,,270<br />
2000-7-15,31,26,20,18,16,13,88,63,35,1011,1009,1008,,8,4,24,13,,0.00,3,,273<br />
2000-7-16,30,24,18,18,17,15,94,66,40,1014,1012,1011,,8,6,23,13,,0.00,3,,274<br />
2000-7-17,30,24,18,18,15,10,94,64,29,1016,1014,1012,,9,3,23,11,,0.00,1,,280<br />
2000-7-18,28,23,19,17,17,15,88,68,45,1012,1010,1004,,11,11,24,14,,0.00,3,,271<br />
2000-7-19,29,23,18,19,16,13,88,67,39,1008,1007,1006,,10,9,23,13,,0.00,4,,265<br />
2000-7-20,31,24,18,19,15,13,88,59,38,1010,1007,1007,,,,19,6,,0.00,,,269<br />
2000-7-21,31,24,19,18,11,4,88,43,21,1012,1010,1010,,,,23,2,,0.00,,,299<br />
2000-7-22,31,24,18,18,11,3,83,41,23,1014,1012,1011,,,,24,8,,0.00,,,284<br />
2000-7-23,28,23,18,17,16,12,88,65,37,1013,1013,1012,,10,6,27,16,,0.00,3,,283<br />
2000-7-24,29,23,18,17,16,11,88,62,40,1012,1011,1009,,10,8,19,14,,0.00,4,,286<br />
2000-7-25,33,26,18,20,14,8,88,54,32,1012,1010,1008,,,,19,6,,0.00,,,275<br />
2000-7-26,32,26,21,20,16,10,88,58,33,1013,1013,1012,,9,8,21,5,,0.00,0,,271<br />
2000-7-27,32,26,21,20,13,7,88,44,24,1013,1012,1010,,,,23,6,,0.00,,,281<br />
