
WET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,14,7,1,2,0,-3,87,67,36,1023,1022,1020,,,,23,11,,0.00,,,136<br />
2000-1-2,18,9,0,5,2,-2,87,66,37,1025,1024,1023,,,,19,11,,0.00,,,145<br />
2000-1-3,14,9,4,7,5,2,93,75,55,1026,1025,1024,10,10,10,14,11,,0.00,2,,245<br />
2000-1-4,13,7,1,5,3,0,100,76,51,1026,1025,1024,10,10,10,14,10,,0.00,1,,141<br />
2000-1-5,15,8,1,6,3,0,93,76,45,1025,1023,1021,10,10,10,19,10,,0.00,1,,191<br />
2000-1-6,15,8,1,5,1,-2,93,68,33,1029,1020,1018,,,,19,11,,0.00,,,143<br />
2000-1-7,15,8,1,3,-4,-6,70,44,27,1022,1020,1020,,,,29,16,,0.00,,,114<br />
2000-1-8,15,7,-2,6,-3,-7,74,54,27,1024,1022,1020,,,,19,10,,0.00,,,242<br />
2000-1-9,13,7,2,5,2,-4,81,66,47,1026,1024,1023,10,10,10,23,14,,0.00,3,,259<br />
2000-1-10,11,8,5,8,4,3,93,80,58,1023,1020,1018,10,9,6,39,18,71,0.00,5,Rain,194<br />
2000-1-11,12,6,0,5,2,-2,93,76,58,1025,1023,1022,10,10,10,23,10,,0.00,1,,143<br />
2000-1-12,12,6,-1,4,1,-2,93,75,54,1026,1025,1024,10,10,10,19,13,,0.00,1,,146<br />
2000-1-13,13,7,1,4,2,-1,87,69,47,1025,1022,1018,10,10,10,26,14,,0.00,2,,241<br />
2000-1-14,9,7,4,5,1,-3,93,70,43,1018,1013,1011,10,10,4,35,23,58,0.00,4,Rain,250<br />
