
TMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,13,9,5,7,6,4,100,86,67,1024,1022,1019,10,6,1,18,6,,0.00,4,,129<br />
2000-1-2,9,4,0,6,3,0,100,98,82,1019,1017,1016,6,2,0,11,5,,0.00,1,Fog,133<br />
2000-1-3,10,5,0,6,4,0,100,95,76,1017,1016,1015,10,4,0,18,8,,0.00,1,Fog,295<br />
2000-1-4,4,3,2,4,3,2,100,100,100,1015,1014,1013,7,1,0,14,6,,0.00,8,Fog,306<br />
2000-1-5,4,3,2,4,3,2,100,100,100,1016,1014,1013,4,1,0,6,5,,0.00,8,Fog,326<br />
2000-1-6,8,6,3,6,4,3,100,97,76,1018,1015,1012,6,2,0,14,6,,0.00,7,Fog,28<br />
2000-1-7,9,6,3,7,4,3,100,97,82,1019,1013,1011,10,3,0,18,6,,0.00,8,Fog-Rain,340<br />
2000-1-8,4,2,0,2,-1,-2,93,81,65,1031,1028,1021,10,9,6,26,11,,0.00,7,,321<br />
2000-1-9,3,0,-3,-1,-3,-6,100,80,65,1031,1028,1024,10,8,5,14,10,,0.00,6,Snow,92<br />
2000-1-10,-1,-3,-6,-2,-4,-7,100,96,93,1027,1025,1023,10,6,1,26,11,,0.00,5,Snow,292<br />
2000-1-11,0,-4,-8,-4,-7,-9,93,81,64,1030,1028,1027,10,9,5,14,8,,0.00,3,Snow,299<br />
2000-1-12,3,-2,-7,-4,-5,-8,93,81,60,1028,1027,1025,10,8,4,14,8,,0.00,1,,103<br />
2000-1-13,3,-2,-7,-3,-5,-7,100,88,65,1030,1029,1028,10,7,3,18,5,,0.00,0,,302<br />
2000-1-14,-2,-6,-8,-4,-6,-9,100,86,74,1031,1030,1029,10,7,4,11,8,,0.00,4,,307<br />
2000-1-15,1,-4,-8,-5,-7,-9,93,77,60,1031,1029,1025,10,8,5,11,5,,0.00,3,,81<br />
2000-1-16,3,-2,-6,-4,-5,-6,100,79,56,1025,1020,1016,10,6,3,14,6,,0.00,4,,89<br />
2000-1-17,4,1,-2,1,-3,-5,100,82,52,1019,1017,1016,10,6,1,14,8,,0.00,7,Snow,274<br />
2000-1-18,9,2,-4,2,-1,-5,100,87,62,1018,1016,1013,10,7,1,18,8,,0.00,2,Fog-Snow,121<br />
2000-1-19,17,7,-2,0,-4,-9,93,46,18,1015,1008,1003,10,8,3,29,10,,0.00,2,,170<br />
2000-1-20,18,13,8,1,-1,-3,62,39,26,1012,1007,1002,10,9,5,29,16,,0.00,2,,122<br />
2000-1-21,20,13,7,1,-3,-8,66,35,15,1004,1002,1000,10,8,4,35,10,,0.00,1,,156<br />
