
IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,13,9,5,-3,-11,-13,43,25,19,1016,1015,1013,10,7,4,11,6,,0.00,4,,219<br />
2011-1-2,12,8,5,-4,-11,-16,53,27,13,1018,1017,1015,,,,37,16,,0.00,,,296<br />
2011-1-3,9,4,1,-6,-11,-15,60,33,19,1020,1019,1017,8,8,8,19,11,,0.00,0,,255<br />
2011-1-4,11,6,2,-1,-11,-16,53,29,22,1021,1019,1018,8,6,4,19,3,,0.00,6,Rain,229<br />
2011-1-5,10,6,2,5,3,-4,93,77,49,1019,1017,1015,10,6,3,14,10,,0.00,6,Rain,244<br />
2011-1-6,10,7,3,4,2,1,93,75,54,1023,1020,1017,8,3,1,19,8,,0.00,2,,228<br />
2011-1-7,10,7,3,2,1,-2,81,64,54,1026,1024,1023,8,5,3,14,8,,0.00,1,,179<br />
2011-1-8,9,7,5,2,-1,-2,76,58,50,1023,1022,1020,10,7,3,14,5,,0.00,6,,139<br />
2011-1-9,7,4,2,2,1,-3,93,81,49,1022,1019,1015,10,5,2,19,11,,0.00,8,Rain,107<br />
2011-1-10,5,2,-1,1,-1,-3,100,90,65,1019,1016,1014,6,3,0,26,13,,0.00,5,Rain-Snow,274<br />
2011-1-11,6,2,-2,-1,-4,-6,86,69,42,1021,1020,1019,10,8,5,19,10,,0.00,4,,254<br />
2011-1-12,3,1,-1,-2,-3,-5,87,77,56,1021,1020,1019,10,7,5,23,10,,0.00,5,,262<br />
2011-1-13,4,0,-3,-5,-7,-9,80,62,44,1023,1021,1020,10,8,5,26,8,,0.00,1,,258<br />
2011-1-14,4,0,-3,-6,-9,-12,80,51,36,1022,1020,1018,7,6,5,14,5,,0.00,0,,248<br />
2011-1-15,3,1,-1,-1,-5,-7,100,66,48,1018,1016,1012,10,4,0,19,6,,0.00,7,Snow,151<br />
2011-1-16,1,-1,-2,1,-1,-2,100,96,87,1017,1014,1011,7,2,0,14,6,,0.00,7,Snow,255<br />
2011-1-17,4,0,-4,-2,-3,-5,93,79,61,1021,1020,1016,7,3,1,11,8,,0.00,1,,267<br />
2011-1-18,4,1,-2,-2,-6,-11,87,62,41,1021,1019,1018,8,5,3,14,5,,0.00,1,,263<br />
2011-1-19,5,2,-1,-4,-6,-9,75,60,52,1019,1016,1014,8,5,2,74,5,,0.00,0,,244<br />
2011-1-20,5,1,-2,-5,-7,-9,69,55,45,1020,1018,1016,7,5,3,14,5,,0.00,0,,214<br />
2011-1-21,6,2,-2,-5,-8,-9,65,49,36,1023,1022,1020,7,4,4,11,3,,0.00,0,,260<br />
2011-1-22,6,2,-1,-5,-7,-9,69,53,39,1025,1023,1022,7,4,3,19,5,,0.00,0,,234<br />
2011-1-23,7,3,-1,-5,-6,-8,69,54,36,1024,1023,1022,5,4,3,14,3,,0.00,0,,222<br />
2011-1-24,7,3,0,-5,-7,-10,65,47,29,1023,1022,1020,8,5,3,14,5,,0.00,0,,267<br />
2011-1-25,8,3,-1,-4,-8,-12,64,44,23,1022,1020,1018,8,5,3,11,3,,0.00,0,,244<br />
2011-1-26,11,7,3,2,-5,-8,87,48,30,1019,1017,1015,7,4,2,19,5,,0.00,6,Rain,186<br />
2011-1-27,11,6,1,4,1,-1,93,70,47,1019,1018,1017,10,6,1,26,8,,0.00,3,,259<br />
2011-1-28,12,8,4,1,-2,-4,75,52,35,1019,1017,1016,10,9,5,45,14,,0.00,2,,278<br />
2011-1-29,11,7,3,4,-1,-4,87,57,35,1017,1015,1013,8,7,6,14,5,,0.00,7,Rain,243<br />
2011-1-30,12,8,4,4,2,-2,87,66,50,1016,1013,1012,10,9,4,23,10,,0.00,5,Rain,273<br />
2011-1-31,11,8,6,4,3,1,87,66,54,1011,1010,1008,10,9,6,19,11,,0.00,6,Rain,90<br />
2011-2-1,11,8,6,3,1,-2,81,61,47,1010,1008,1006,10,10,7,19,6,,0.00,6,Rain-Thunderstorm,47<br />
2011-2-2,10,7,3,1,-4,-10,81,48,24,1010,1008,1006,10,10,10,19,11,,0.00,6,Rain,343<br />
2011-2-3,3,0,-3,2,-2,-6,93,84,65,1016,1008,1004,10,9,0,29,16,,0.00,5,Snow,274<br />
2011-2-4,3,-1,-4,-6,-8,-13,86,56,33,1019,1017,1014,10,10,10,19,10,,0.00,4,,261<br />
2011-2-5,5,1,-2,-6,-8,-11,74,51,36,1016,1014,1013,10,9,5,34,18,,0.00,2,,253<br />
2011-2-6,6,1,-4,-6,-9,-12,69,47,29,1015,1013,1011,10,8,6,26,13,,0.00,0,,276<br />
2011-2-7,13,7,0,-4,-7,-10,60,40,23,1011,1010,1008,10,9,6,40,14,,0.00,3,,270<br />
2011-2-8,12,7,3,-4,-8,-12,60,37,18,1015,1011,1009,10,9,7,40,16,,0.00,1,,280<br />
2011-2-9,8,4,2,-5,-6,-8,60,44,34,1018,1015,1012,10,10,8,19,8,,0.00,3,,147<br />
2011-2-10,11,7,3,-5,-7,-9,52,36,26,1011,1008,1005,10,10,10,14,5,,0.00,3,,210<br />
2011-2-11,8,4,1,3,-1,-8,93,71,36,1008,1006,1005,10,7,0,23,5,,0.00,6,Rain-Snow,218<br />
2011-2-12,6,2,-2,0,-4,-9,93,67,42,1011,1008,1006,10,8,1,40,14,,0.00,4,Snow,270<br />
2011-2-13,9,2,-4,-7,-9,-12,74,44,25,1010,1009,1007,8,7,6,40,14,,0.00,0,,278<br />
2011-2-14,10,5,0,-6,-9,-12,64,38,20,1012,1011,1009,8,7,6,26,8,,0.00,0,,252<br />
2011-2-15,11,7,3,-4,-7,-9,48,37,28,1011,1010,1007,10,10,8,45,13,,0.00,5,,280<br />
2011-2-16,12,9,6,0,-3,-5,50,40,30,1010,1009,1007,10,10,10,26,11,,0.00,6,,287<br />
2011-2-17,13,10,7,1,-2,-4,66,43,31,1012,1010,1007,10,10,10,40,19,,0.00,3,,279<br />
2011-2-18,12,8,3,0,-4,-9,70,43,24,1014,1012,1011,10,10,10,48,23,,0.00,1,,277<br />
2011-2-19,12,6,-1,-3,-7,-12,80,44,18,1019,1016,1014,10,9,6,29,18,,0.00,1,,256<br />
2011-2-20,11,8,5,3,-4,-7,66,42,30,1016,1013,1010,10,8,5,23,6,,0.00,6,Rain,164<br />
2011-2-21,14,10,7,3,0,-4,76,51,29,1013,1010,1009,10,8,5,23,10,,0.00,4,Rain,294<br />
2011-2-22,13,9,4,2,-2,-10,71,45,22,1018,1015,1013,10,10,10,48,21,,0.00,2,,280<br />
2011-2-23,12,8,4,1,-4,-6,61,45,33,1023,1020,1011,10,10,5,14,8,,0.00,4,,190<br />
2011-2-24,12,9,6,-1,-3,-4,57,43,33,1021,1020,1018,10,8,6,14,5,,0.00,4,,201<br />
2011-2-25,13,9,6,0,-2,-3,61,48,35,1022,1020,1018,10,8,6,14,6,,0.00,2,,187<br />
2011-2-26,11,8,5,3,-3,-6,76,47,35,1021,1019,1014,10,9,6,23,11,,0.00,5,Rain,138<br />
2011-2-27,14,9,4,3,1,-5,87,63,29,1015,1014,1011,10,7,5,29,11,,0.00,5,Rain,242<br />
2011-2-28,12,8,5,3,2,0,81,63,47,1019,1016,1014,10,8,5,19,8,,0.00,4,Rain-Thunderstorm,134<br />
2011-3-1,9,6,2,3,2,1,93,83,58,1018,1016,1014,10,5,3,19,10,,0.00,7,Rain,241<br />
2011-3-2,5,3,0,2,0,-4,93,79,70,1018,1017,1015,10,5,2,29,13,,0.00,6,Rain,176<br />
2011-3-3,6,2,-2,-1,-3,-5,93,67,46,1018,1017,1015,10,8,1,19,11,,0.00,3,Fog-Rain-Snow,214<br />
2011-3-4,4,1,-1,0,-1,-2,100,84,65,1020,1017,1014,6,4,1,19,8,,0.00,6,Fog-Snow,213<br />
2011-3-5,7,2,-2,-1,-6,-13,100,60,25,1016,1015,1014,10,6,0,26,10,,0.00,3,Fog-Snow,276<br />
2011-3-6,11,4,-1,-6,-11,-16,69,32,14,1018,1017,1016,10,9,8,19,8,,0.00,1,,278<br />
2011-3-7,16,9,3,-2,-7,-10,52,29,20,1021,1020,1018,10,10,10,23,8,,0.00,1,,234<br />
2011-3-8,16,12,8,0,-4,-7,46,31,20,1022,1021,1018,10,7,6,23,6,,0.00,7,,145<br />
2011-3-9,14,12,10,6,1,-5,71,49,27,1022,1019,1016,10,9,6,23,13,,0.00,6,Rain,355<br />
2011-3-10,20,14,9,6,2,-3,76,44,21,1018,1016,1014,10,9,8,26,10,,0.00,4,,87<br />
2011-3-11,18,16,13,9,4,-4,72,51,27,1015,1014,1013,10,10,6,37,14,,0.00,5,Rain,66<br />
2011-3-12,19,16,12,6,-1,-6,59,34,22,1016,1015,1014,10,9,7,26,8,,0.00,5,Rain-Thunderstorm,107<br />
2011-3-13,14,11,6,8,6,4,93,81,55,1017,1016,1014,10,7,2,29,13,,0.00,8,Rain,286<br />
2011-3-14,7,3,0,4,0,-4,100,83,57,1023,1018,1014,10,8,1,29,21,,0.00,6,Fog-Rain-Snow,277<br />
2011-3-15,7,2,-2,-2,-5,-7,80,59,42,1028,1026,1023,10,8,3,23,14,,0.00,3,,258<br />
2011-3-16,11,6,0,-2,-5,-9,75,48,27,1027,1025,1022,10,7,3,29,11,,0.00,1,,267<br />
2011-3-17,15,9,3,-2,-8,-13,60,31,14,1023,1021,1018,8,8,6,14,5,,0.00,,,166<br />
2011-3-18,19,12,6,-6,-8,-11,39,24,14,1020,1019,1017,8,8,7,29,6,,0.00,0,,256<br />
2011-3-19,20,14,9,-3,-6,-9,43,24,15,1020,1018,1016,8,7,5,14,6,,0.00,0,,200<br />
2011-3-20,21,16,10,-1,-6,-8,38,23,14,1018,1017,1015,8,8,8,14,6,,0.00,,,172<br />
2011-3-21,22,16,11,-2,-6,-9,41,22,12,1019,1017,1015,10,10,10,14,6,,0.00,3,,141<br />
2011-3-22,23,19,15,0,-4,-9,31,20,13,1016,1014,1012,10,10,10,19,8,,0.00,4,,233<br />
2011-3-23,18,16,13,6,2,-3,59,41,24,1013,1011,1009,10,9,8,26,10,,0.00,5,Rain,60<br />
2011-3-24,17,11,6,5,-3,-8,93,39,18,1012,1010,1009,10,10,8,37,19,,0.00,2,Rain,278<br />
2011-3-25,15,11,8,-1,-6,-8,50,28,20,1014,1012,1011,10,10,10,34,13,,0.00,3,,283<br />
