
WAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,27,20,14,7,4,2,59,37,21,1018,1017,1015,,,,13,3,,0.00,,,258<br />
2000-1-2,27,21,15,7,4,-2,45,33,24,1018,1016,1015,,,,13,6,,0.00,,,86<br />
2000-1-3,30,23,18,14,10,4,64,45,29,1020,1019,1017,10,10,10,8,3,,0.00,4,,107<br />
2000-1-4,31,23,16,12,10,8,63,43,25,1019,1018,1016,10,10,10,10,2,,0.00,4,,323<br />
2000-1-5,25,21,16,18,17,15,100,80,57,1019,1018,1018,10,8,5,8,3,,0.00,5,Rain-Thunderstorm,14<br />
2000-1-6,26,21,17,16,15,13,94,73,44,1019,1018,1016,10,10,10,8,2,,0.00,4,,330<br />
2000-1-7,27,23,22,14,14,13,60,52,45,1018,1017,1016,10,10,10,6,3,,0.00,5,,133<br />
2000-1-8,27,21,16,15,14,11,94,66,39,1017,1016,1015,10,10,10,10,2,,0.00,5,,345<br />
2000-1-9,29,22,16,12,8,-1,68,42,20,1016,1015,1014,10,10,10,8,2,,0.00,3,,135<br />
2000-1-10,29,22,15,9,7,2,67,36,25,1015,1015,1014,10,10,10,14,3,,0.00,2,,98<br />
2000-1-11,29,22,16,13,12,10,68,51,35,1017,1016,1015,10,10,10,19,3,,0.00,5,,5<br />
2000-1-12,27,22,18,14,11,7,59,49,43,1017,1016,1015,10,10,10,13,8,,0.00,4,,147<br />
2000-1-13,27,21,17,14,12,9,77,56,34,1018,1017,1016,10,10,10,14,5,,0.00,1,,79<br />
2000-1-14,29,23,18,14,11,8,77,45,28,1017,1016,1014,10,10,10,14,5,,0.00,4,,107<br />
2000-1-15,30,22,15,13,8,3,88,47,18,1016,1015,1014,10,10,10,8,2,,0.00,1,,247<br />
2000-1-16,29,21,15,8,6,3,59,39,27,1019,1018,1017,,,,10,2,,0.00,,,90<br />
2000-1-17,28,21,16,9,6,4,52,39,21,1020,1019,1018,10,10,10,21,8,,0.00,1,,93<br />
2000-1-18,29,23,18,11,7,3,53,39,19,1020,1019,1018,10,10,10,11,8,,0.00,1,,78<br />
