
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-2-15,6,-1,-8,-3,-7,-10,89,74,42,1014,1012,1011,16,13,1,21,2,37,0.00,6,Snow,272<br />
2013-2-16,-2,-4,-7,-5,-9,-16,88,72,50,1014,1013,1011,16,11,2,14,3,,0.51,7,Snow,348<br />
2013-2-17,-8,-10,-12,-15,-17,-18,73,62,54,1010,1002,998,16,13,2,27,16,48,0.00,8,Snow,318<br />
2013-2-18,-6,-11,-16,-18,-20,-23,70,54,30,1020,1011,1003,16,10,2,27,18,58,0.00,4,Snow,303<br />
2013-2-19,5,-6,-17,-1,-12,-22,93,60,22,1021,1011,1000,16,13,3,26,3,42,0.00,5,Snow,167<br />
2013-2-20,1,-3,-6,-1,-6,-11,93,80,60,1004,999,996,16,7,1,16,6,35,5.59,8,Snow,294<br />
2013-2-21,-5,-9,-12,-8,-14,-17,92,70,59,1025,1011,1002,16,7,1,16,10,35,0.00,8,Snow,300<br />
2013-2-22,2,-6,-14,-7,-9,-16,92,72,46,1030,1027,1025,16,16,14,10,3,,0.00,4,,217<br />
2013-2-23,1,-3,-7,-2,-4,-9,93,80,66,1026,1017,1013,16,9,1,23,10,37,1.78,8,Snow,154<br />
2013-2-24,1,-1,-2,-2,-3,-4,93,87,79,1014,1009,1007,16,4,1,10,5,,6.86,8,Fog-Snow,333<br />
2013-2-25,3,-2,-6,-2,-4,-7,93,80,60,1024,1018,1011,16,15,5,10,2,,0.00,7,Snow,342<br />
2013-2-26,4,-2,-8,-3,-6,-9,96,81,55,1028,1025,1023,16,10,0,14,2,,0.00,7,Fog,149<br />
2013-2-27,1,-1,-2,-2,-3,-6,92,80,64,1022,1012,1005,16,5,1,21,10,29,5.08,7,Fog-Snow,100<br />
2013-2-28,4,1,-2,0,-2,-3,93,88,75,1005,1002,1000,16,6,1,13,3,,5.84,8,Fog-Snow,340<br />
2013-3-1,1,-1,-2,-2,-3,-4,93,83,75,1006,1003,1000,16,12,3,10,5,,0.76,8,Snow,326<br />
2013-3-2,1,-1,-3,-3,-4,-5,93,83,69,1006,1004,1003,16,7,1,19,5,29,2.29,8,Snow,331<br />
2013-3-3,1,-1,-4,-4,-5,-7,93,83,67,1005,1003,1001,16,12,2,14,2,,0.25,8,Snow,323<br />
2013-3-4,-3,-4,-5,-7,-8,-8,84,75,69,1010,1003,1001,16,7,1,19,11,34,1.27,8,Snow,297<br />
