
CLST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,22,20,18,16,14,12,83,72,56,1016,1015,1013,10,10,10,26,11,,0.00,4,,178<br />
2000-1-2,22,20,18,16,15,13,88,75,60,1015,1014,1012,10,10,10,34,16,,0.00,5,,187<br />
2000-1-3,22,20,19,16,16,14,83,75,60,1015,1014,1012,10,10,10,32,13,,0.00,5,,197<br />
2000-1-4,23,21,19,16,15,14,83,71,60,1016,1014,1012,10,10,10,23,11,,0.00,5,,198<br />
2000-1-5,23,19,16,16,15,14,88,73,57,1016,1015,1014,10,10,10,24,11,,0.00,2,,166<br />
2000-1-6,23,20,17,17,15,13,82,72,61,1017,1016,1014,10,10,10,24,10,,0.00,1,,163<br />
2000-1-7,24,20,17,17,16,14,88,75,61,1016,1015,1013,10,10,10,24,10,,0.00,1,,161<br />
2000-1-8,23,21,19,18,16,15,88,78,61,1016,1015,1013,10,10,10,26,14,,0.00,4,,189<br />
2000-1-9,23,20,17,17,16,15,88,78,64,1015,1013,1011,10,10,10,26,11,,0.00,2,,169<br />
2000-1-10,22,20,18,16,15,14,88,73,60,1014,1013,1011,10,10,10,26,10,,0.00,3,,183<br />
2000-1-11,23,21,19,16,15,14,83,71,57,1015,1013,1012,10,10,10,32,13,,0.00,5,,195<br />
2000-1-12,22,20,19,17,16,14,83,76,60,1015,1013,1011,10,10,10,26,13,,0.00,5,,197<br />
2000-1-13,23,20,17,17,16,13,88,75,53,1015,1013,1012,10,10,10,24,10,,0.00,3,,179<br />
2000-1-14,23,20,18,17,16,15,88,78,61,1015,1013,1011,10,10,10,27,10,,0.00,2,,184<br />
2000-1-15,23,20,18,17,17,16,94,80,65,1014,1013,1011,10,10,10,29,10,,0.00,3,,186<br />
2000-1-16,23,21,19,17,17,16,88,80,65,1015,1014,1013,10,10,10,26,10,,0.00,3,,196<br />
2000-1-17,22,19,17,17,16,15,94,79,64,1016,1014,1013,10,10,10,26,11,,0.00,3,,188<br />
2000-1-18,23,20,17,17,16,14,94,78,57,1018,1016,1015,10,10,10,26,11,,0.00,2,,186<br />
2000-1-19,22,19,17,16,16,14,94,78,64,1016,1014,1012,10,10,10,32,11,,0.00,3,,173<br />
2000-1-20,22,19,17,17,16,14,88,77,60,1014,1012,1010,10,10,10,24,10,,0.00,3,,188<br />
2000-1-21,24,20,17,16,15,14,88,73,53,1013,1012,1010,10,10,10,21,6,,0.00,1,,174<br />
2000-1-22,23,21,19,18,16,13,88,75,64,1014,1013,1011,10,10,10,23,6,,0.00,2,,200<br />
2000-1-23,21,19,18,18,17,16,94,85,73,1015,1014,1012,10,10,8,29,10,,0.00,1,,196<br />
2000-1-24,23,20,18,17,17,16,94,82,65,1015,1013,1011,10,10,10,23,8,,0.00,2,,178<br />
2000-1-25,22,20,18,17,16,7,94,81,49,1015,1013,1011,10,10,10,23,11,,0.00,3,,194<br />
2000-1-26,22,20,19,18,17,16,88,80,69,1015,1013,1011,10,10,10,24,10,,0.00,3,,184<br />
2000-1-27,23,20,18,17,16,15,94,79,61,1016,1015,1014,10,10,10,26,8,,0.00,3,,187<br />
2000-1-28,24,21,19,17,16,14,88,72,60,1017,1015,1013,10,10,10,21,10,,0.00,4,,209<br />
2000-1-29,25,22,19,18,16,13,94,71,47,1015,1013,1012,10,10,10,21,10,,0.00,4,,185<br />
2000-1-30,26,22,19,19,16,13,94,68,44,1016,1015,1014,10,10,10,24,8,,0.00,2,,180<br />
2000-1-31,26,23,21,18,15,13,78,60,51,1018,1017,1015,10,10,10,27,11,,0.00,1,,169<br />
2000-2-1,23,21,19,19,18,16,94,81,73,1018,1016,1015,10,10,10,24,11,,0.00,3,,173<br />
2000-2-2,24,21,19,18,17,16,88,78,65,1017,1015,1013,10,10,10,24,11,,0.00,3,,192<br />
2000-2-3,23,20,17,17,16,16,94,79,65,1016,1015,1013,10,10,10,21,10,,0.00,1,,176<br />
2000-2-4,23,20,17,17,16,14,94,78,57,1016,1015,1013,10,10,10,27,11,,0.00,1,,175<br />
2000-2-5,23,19,16,17,16,14,94,81,57,1017,1016,1015,10,10,10,29,14,,0.00,2,,193<br />
2000-2-6,22,19,16,17,16,14,94,81,64,1018,1016,1015,10,10,10,23,14,,0.00,1,,193<br />
