
BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,30,28,27,23,23,22,79,71,62,1012,1010,1009,10,10,10,23,16,,0.00,4,,86<br />
2002-1-2,31,28,26,24,23,22,83,73,58,1013,1011,1009,10,10,6,23,10,,0.00,6,Rain,32<br />
2002-1-3,30,26,22,24,23,20,89,78,66,1013,1012,1010,10,9,5,23,8,,0.00,7,Rain,17<br />
2002-1-4,31,29,27,24,23,23,84,73,62,1014,1011,1010,10,10,10,23,13,,0.00,5,Rain,54<br />
2002-1-5,30,28,26,24,23,22,83,75,62,1014,1012,1011,10,10,5,14,10,,0.00,5,Rain,76<br />
2002-1-6,28,26,23,24,23,21,89,84,74,1013,1011,1010,10,7,2,16,10,,0.00,7,Rain,66<br />
2002-1-7,29,27,24,23,22,21,89,79,70,1012,1011,1010,10,10,8,26,10,,0.00,5,,179<br />
2002-1-8,29,27,24,23,22,21,89,78,70,1012,1011,1009,10,9,4,26,11,,0.00,4,Rain,157<br />
2002-1-9,30,27,24,23,22,21,89,72,58,1015,1012,1010,10,10,8,16,6,,0.00,3,,110<br />
2002-1-10,29,27,24,23,22,21,94,82,70,1016,1014,1012,10,7,1,35,11,,0.00,5,Rain,122<br />
2002-1-11,29,27,25,24,23,23,89,79,70,1016,1014,1013,10,9,4,23,8,,0.00,4,Rain,123<br />
2002-1-12,30,28,27,23,22,21,79,71,62,1015,1014,1012,10,10,10,26,18,,0.00,4,,129<br />
2002-1-13,30,28,25,27,22,21,84,69,62,1014,1013,1011,10,10,10,19,13,,0.00,4,,132<br />
2002-1-14,30,28,26,23,22,22,79,69,62,1014,1012,1009,10,10,10,19,13,,0.00,3,,101<br />
2002-1-15,30,28,25,23,22,21,89,71,58,1011,1010,1007,10,10,7,21,11,,0.00,5,,65<br />
2002-1-16,30,28,25,24,23,22,89,76,66,1012,1010,1008,10,9,4,16,10,,0.00,5,Rain,53<br />
2002-1-17,30,28,26,23,22,22,83,73,62,1013,1011,1009,10,10,6,26,11,,0.00,5,,88<br />
2002-1-18,29,27,25,24,22,21,83,73,62,1013,1011,1010,10,9,6,13,8,,0.00,5,,111<br />
2002-1-19,30,28,25,24,22,21,94,73,58,1013,1011,1010,10,9,4,23,11,,0.00,4,Rain,77<br />
2002-1-20,30,28,27,23,22,21,79,69,62,1014,1013,1011,10,10,10,27,13,,0.00,4,,115<br />
2002-1-21,29,27,26,23,22,21,79,72,62,1015,1013,1012,10,10,4,27,14,,0.00,5,Rain,131<br />
2002-1-22,30,28,26,23,22,22,83,72,62,1015,1014,1011,10,10,6,21,10,,0.00,4,,123<br />
2002-1-23,29,27,25,23,23,22,89,76,66,1015,1014,1012,10,9,5,24,11,,0.00,5,,174<br />
2002-1-24,30,27,24,24,23,22,89,76,62,1014,1013,1012,10,10,6,16,6,,0.00,4,Rain,106<br />
2002-1-25,30,28,27,23,22,21,74,67,62,1015,1013,1012,10,10,10,23,11,,0.00,3,,120<br />
2002-1-26,30,28,25,24,23,22,89,74,62,1015,1014,1012,10,9,4,26,10,,0.00,3,Rain,137<br />
2002-1-27,31,28,26,22,22,22,78,67,58,1015,1013,1011,10,10,8,26,14,,0.00,3,,128<br />
2002-1-28,31,28,26,23,22,21,78,66,58,1014,1012,1010,10,10,10,24,14,,0.00,3,,137<br />
2002-1-29,31,28,25,22,21,21,78,66,55,1014,1012,1010,10,10,10,23,11,,0.00,5,,124<br />
2002-1-30,31,29,27,22,22,21,74,64,55,1014,1013,1011,10,10,10,21,11,,0.00,4,,96<br />
2002-1-31,31,29,27,23,21,21,70,63,55,1013,1012,1011,10,10,10,23,16,,0.00,3,,107<br />
2002-2-1,31,29,28,23,22,20,74,65,55,1014,1012,1011,10,10,8,23,14,,0.00,4,,118<br />
2002-2-2,31,29,27,21,20,19,70,60,49,1015,1013,1010,10,10,10,23,13,,0.00,3,,118<br />
2002-2-3,31,27,24,24,22,21,84,71,58,1013,1012,1010,10,9,2,29,11,,0.00,3,Rain,66<br />
2002-2-4,29,27,24,23,22,21,89,80,66,1016,1013,1011,10,8,3,19,10,,0.00,5,Rain,47<br />
2002-2-5,31,28,25,23,22,22,89,70,58,1015,1013,1011,10,10,10,19,8,,0.00,3,,33<br />
2002-2-6,31,29,27,23,22,22,79,68,58,1014,1013,1011,10,10,10,26,14,,0.00,3,,45<br />
2002-2-7,30,28,27,22,21,20,70,64,58,1015,1013,1011,10,10,8,26,16,,0.00,3,,109<br />
2002-2-8,30,28,27,22,21,20,70,62,58,1013,1012,1010,10,10,10,21,16,,0.00,3,,139<br />
2002-2-9,30,28,25,24,22,21,89,72,62,1013,1012,1011,10,9,5,21,11,,0.00,4,Rain,149<br />
2002-2-10,27,24,23,23,22,21,94,84,78,1015,1013,1012,10,9,2,14,2,,0.00,4,Rain-Thunderstorm,177<br />
2002-2-11,30,27,24,23,22,22,89,71,62,1014,1012,1011,10,9,6,27,16,,0.00,4,,156<br />
2002-2-12,31,28,25,23,23,22,89,72,62,1014,1012,1011,10,9,4,27,18,,0.00,3,Rain,157<br />
2002-2-13,29,26,23,23,22,21,89,80,66,1015,1013,1012,10,10,8,19,10,,0.00,5,,193<br />
2002-2-14,30,27,24,25,23,22,89,79,70,1016,1013,1011,10,8,3,29,6,,0.00,5,Rain-Thunderstorm,151<br />
2002-2-15,30,28,25,23,23,22,89,74,62,1015,1013,1012,10,10,7,23,11,,0.00,4,Rain,138<br />
2002-2-16,31,28,25,24,23,21,89,74,62,1015,1013,1012,10,9,4,23,10,,0.00,4,Rain,135<br />
2002-2-17,30,28,25,23,22,21,89,71,62,1014,1012,1011,10,10,10,23,10,,0.00,4,,127<br />
2002-2-18,30,28,25,23,22,21,89,72,58,1014,1012,1010,10,9,2,23,14,,0.00,4,Rain,127<br />
2002-2-19,31,28,25,23,22,21,89,73,55,1014,1012,1011,10,9,5,29,11,,0.00,4,Rain,163<br />
2002-2-20,31,28,25,24,22,22,89,73,62,1014,1012,1011,10,10,8,23,11,,0.00,4,Rain,143<br />
2002-2-21,31,29,27,23,22,21,74,66,58,1013,1011,1010,10,10,10,23,14,,0.00,3,,134<br />
2002-2-22,31,29,27,22,21,21,74,64,55,1012,1011,1009,10,10,10,19,14,,0.00,3,,116<br />
2002-2-23,31,29,28,23,22,21,70,66,58,1014,1012,1010,10,10,10,19,16,,0.00,3,,117<br />
2002-2-24,31,29,28,23,22,22,70,67,62,1015,1013,1011,10,10,10,19,14,,0.00,3,,111<br />
2002-2-25,31,29,28,23,22,21,74,65,58,1015,1013,1011,10,10,10,23,14,,0.00,3,,112<br />
2002-2-26,31,29,28,23,22,22,74,66,58,1015,1013,1011,10,10,10,26,14,,0.00,3,,124<br />
2002-2-27,31,29,28,23,22,21,70,65,58,1015,1013,1012,10,10,10,27,23,,0.00,3,,153<br />
2002-2-28,31,29,28,22,21,20,66,62,55,1014,1012,1011,10,10,8,29,23,,0.00,4,,170<br />
2002-3-1,32,28,25,23,22,21,83,68,52,1013,1012,1010,10,10,8,27,19,,0.00,3,,167<br />
2002-3-2,31,28,25,23,22,20,83,69,55,1013,1012,1010,10,10,7,26,13,,0.00,3,Rain,170<br />
2002-3-3,28,27,25,24,23,21,89,85,74,1013,1011,1010,10,7,1,27,11,,0.00,5,Rain-Thunderstorm,187<br />
2002-3-4,29,27,24,24,23,22,89,84,70,1013,1012,1010,10,9,3,24,11,,0.00,6,Rain,204<br />
2002-3-5,26,24,24,23,22,22,89,86,83,1014,1012,1011,10,8,4,29,8,,0.00,6,Rain-Thunderstorm,213<br />
2002-3-6,30,27,24,24,23,21,89,81,62,1014,1012,1011,10,9,2,26,8,,0.00,4,Rain-Thunderstorm,190<br />
2002-3-7,30,28,25,24,23,22,89,79,62,1015,1013,1011,10,9,1,29,13,,0.00,6,Rain-Thunderstorm,145<br />
2002-3-8,30,28,26,22,22,21,78,68,58,1015,1013,1011,10,10,10,29,23,,0.00,3,,145<br />
2002-3-9,30,27,24,22,21,20,89,69,55,1015,1014,1012,10,10,10,24,10,,0.00,4,,180<br />
2002-3-10,30,28,26,22,22,21,74,68,58,1015,1013,1012,10,10,10,19,14,,0.00,5,,155<br />
2002-3-11,31,29,27,23,22,21,79,65,55,1015,1013,1011,10,10,10,26,18,,0.00,3,,157<br />
2002-3-12,31,29,27,23,22,21,79,66,55,1016,1014,1013,10,10,10,26,18,,0.00,3,,138<br />
2002-3-13,31,28,25,22,22,21,83,66,58,1016,1014,1012,10,10,10,23,14,,0.00,3,,148<br />
2002-3-14,30,27,24,22,21,20,83,67,55,1014,1012,1011,10,10,10,21,8,,0.00,2,,151<br />
2002-3-15,30,28,25,23,22,21,83,69,58,1013,1012,1010,10,10,4,24,10,,0.00,3,Rain,128<br />
2002-3-16,31,27,24,23,22,21,89,69,58,1014,1012,1010,10,10,10,23,6,,0.00,3,,117<br />
2002-3-17,31,29,27,24,23,22,79,69,62,1013,1012,1010,10,10,8,21,16,,0.00,2,,107<br />
2002-3-18,31,28,26,24,23,22,84,77,62,1012,1011,1009,10,9,5,19,11,,0.00,5,,154<br />
2002-3-19,31,28,25,24,23,22,89,76,62,1012,1010,1009,10,9,4,21,11,,0.00,3,Rain,139<br />
2002-3-20,31,28,25,23,22,22,89,70,58,1013,1011,1010,10,10,7,23,10,,0.00,4,Rain,117<br />
2002-3-21,31,28,26,23,22,21,83,67,58,1013,1011,1010,10,10,6,23,11,,0.00,3,Rain,72<br />
2002-3-22,31,27,24,23,22,21,89,70,55,1013,1011,1010,10,10,10,23,6,,0.00,3,,109<br />
2002-3-23,29,27,24,24,23,22,89,81,70,1015,1013,1010,10,8,2,26,13,,0.00,5,Rain,153<br />
2002-3-24,30,28,25,24,23,21,89,77,62,1014,1012,1011,10,10,8,23,8,,0.00,3,Rain,159<br />
2002-3-25,30,28,25,22,22,21,83,68,58,1013,1012,1010,10,10,10,19,11,,0.00,3,,150<br />
2002-3-26,30,27,24,24,22,21,89,73,62,1013,1012,1010,10,10,1,23,8,,0.00,3,Rain,143<br />
2002-3-27,31,29,27,23,22,21,74,67,58,1014,1012,1011,10,9,4,26,16,,0.00,4,Rain,141<br />
2002-3-28,31,28,25,23,22,21,89,74,62,1014,1012,1011,10,9,4,27,14,,0.00,5,Rain,178<br />
2002-3-29,31,28,26,22,22,21,78,68,58,1013,1012,1010,10,10,5,23,16,,0.00,3,Rain,148<br />
2002-3-30,30,28,25,23,22,21,83,69,58,1013,1012,1010,10,10,10,24,14,,0.00,3,,152<br />
2002-3-31,31,27,24,23,22,22,89,74,58,1014,1013,1011,10,9,3,24,14,,0.00,6,Rain,131<br />
2002-4-1,30,27,24,23,23,22,89,78,66,1013,1012,1010,10,9,1,26,11,,0.00,5,Rain,158<br />
2002-4-2,31,28,26,24,22,22,84,68,58,1014,1012,1011,10,10,10,26,19,,0.00,4,,129<br />
2002-4-3,30,28,26,23,22,21,79,69,62,1014,1013,1012,10,10,5,21,13,,0.00,4,Rain,121<br />
2002-4-4,30,29,28,23,22,22,70,68,62,1014,1012,1011,10,10,8,24,16,,0.00,3,,143<br />
2002-4-5,30,28,25,23,22,21,89,73,62,1012,1010,1009,10,9,5,24,14,,0.00,4,Rain,185<br />
2002-4-6,29,27,25,23,22,21,83,71,62,1012,1010,1009,10,10,10,24,11,,0.00,5,,176<br />
2002-4-7,30,27,24,22,22,20,83,70,58,1013,1011,1009,10,10,10,23,10,,0.00,4,,162<br />
2002-4-8,30,27,24,23,22,21,83,70,62,1012,1011,1009,10,10,10,19,8,,0.00,4,,162<br />
2002-4-9,30,27,23,23,22,21,88,70,58,1013,1011,1009,10,10,10,14,8,,0.00,3,,133<br />
2002-4-10,31,28,25,23,22,21,83,69,62,1012,1010,1008,10,10,7,19,10,,0.00,3,,115<br />
2002-4-11,31,28,25,23,22,22,83,70,58,1012,1010,1009,10,10,10,26,10,,0.00,5,,153<br />
2002-4-12,30,28,25,23,23,22,83,74,66,1013,1011,1010,10,10,5,16,8,,0.00,6,Rain,144<br />
2002-4-13,30,27,24,23,23,22,94,75,62,1014,1012,1010,10,10,10,21,8,,0.00,4,,103<br />
