
AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-1,31,27,23,21,19,18,83,67,46,1010,1008,1006,10,10,10,29,14,,0.00,1,,140<br />
2004-1-2,31,26,22,21,19,18,88,69,48,1009,1008,1005,10,9,3,26,10,,0.00,1,,94<br />
2004-1-3,31,26,22,22,20,19,89,70,51,1009,1008,1006,10,10,10,24,8,,0.00,1,,42<br />
2004-1-4,31,26,22,22,21,19,94,71,55,1009,1008,1005,10,10,10,16,6,,0.00,1,,359<br />
2004-1-5,31,27,24,24,22,2,89,70,17,1009,1007,1004,10,10,10,16,6,,0.00,2,,359<br />
2004-1-6,31,28,25,25,24,22,94,79,58,1007,1006,1004,10,10,10,19,8,,0.00,3,,360<br />
2004-1-7,34,30,26,26,24,21,89,75,49,1007,1006,1004,10,10,6,29,13,,0.00,3,Rain-Thunderstorm,301<br />
2004-1-8,34,30,27,26,24,21,84,71,46,1008,1006,1005,10,10,10,23,11,,0.00,2,,310<br />
2004-1-9,34,30,26,26,24,23,89,75,56,1008,1007,1005,10,10,10,23,8,,0.00,3,,317<br />
2004-1-10,33,29,25,26,24,23,94,78,62,1009,1008,1006,10,10,10,26,11,,0.00,4,,51<br />
2004-1-11,32,28,25,26,25,24,100,81,66,1010,1009,1007,10,10,7,21,11,,0.00,3,,60<br />
2004-1-12,31,28,25,25,24,22,94,84,66,1010,1008,1007,10,9,4,19,10,,0.00,4,Rain,328<br />
2004-1-13,29,27,25,25,23,2,94,85,22,1010,1008,1007,10,10,8,14,6,,0.00,6,Rain,328<br />
2004-1-14,31,27,24,25,24,22,94,85,70,1009,1007,1005,10,9,2,34,6,53,0.00,6,Rain-Thunderstorm,331<br />
2004-1-15,28,26,24,26,24,23,100,93,84,1010,1008,1006,10,6,0,27,11,50,0.00,6,Rain-Thunderstorm,290<br />
2004-1-16,30,28,25,26,25,22,94,88,74,1010,1008,1006,10,8,1,27,16,50,0.00,4,Rain-Thunderstorm,311<br />
2004-1-17,31,27,24,26,23,21,94,82,66,1012,1009,1008,10,9,3,35,13,58,0.00,4,Rain-Thunderstorm,280<br />
2004-1-18,31,28,25,25,24,23,94,79,66,1013,1011,1009,10,10,10,14,6,,0.00,4,,42<br />
2004-1-19,32,28,25,25,24,23,94,78,62,1012,1011,1009,10,9,4,37,13,40,0.00,4,Rain,151<br />
2004-1-20,28,27,25,25,23,2,94,85,22,1013,1011,1009,10,8,1,32,19,50,0.00,4,Rain-Thunderstorm,166<br />
2004-1-21,32,28,25,25,23,22,89,77,59,1012,1010,1008,10,10,10,32,16,,0.00,4,,154<br />
2004-1-22,32,28,25,25,23,22,94,77,55,1011,1010,1008,10,10,5,27,13,,0.00,4,Rain,149<br />
2004-1-23,31,27,23,24,23,22,100,80,58,1012,1010,1007,10,8,2,23,13,,0.00,5,Rain,150<br />
2004-1-24,32,28,25,25,24,23,94,78,59,1012,1010,1008,10,10,6,23,16,,0.00,6,Rain,129<br />
2004-1-25,30,28,25,26,24,23,100,83,70,1012,1010,1009,10,10,6,24,13,,0.00,6,Rain,163<br />
2004-1-26,31,28,25,25,24,23,94,81,66,1011,1009,1007,10,10,10,19,10,,0.00,5,Rain,147<br />
2004-1-27,31,28,26,26,25,24,94,81,66,1009,1008,1005,10,10,10,23,8,,0.00,5,,108<br />
2004-1-28,32,29,26,25,24,23,94,80,62,1009,1007,1005,10,10,7,19,10,,0.00,4,Rain,63<br />
2004-1-29,32,28,25,25,24,23,94,76,59,1010,1008,1006,10,10,8,23,10,,0.00,4,,101<br />
2004-1-30,32,28,25,25,24,23,94,78,59,1009,1007,1005,10,10,10,16,6,,0.00,4,Rain,53<br />
2004-1-31,32,29,26,26,24,2,94,76,17,1007,1005,1002,10,10,10,26,10,,0.00,4,Thunderstorm,310<br />
2004-2-1,31,27,24,26,24,22,94,82,66,1006,1004,1002,10,9,3,29,11,,0.00,5,Rain-Thunderstorm,334<br />
2004-2-2,31,28,25,27,24,22,94,84,70,1005,1003,1000,10,10,7,26,11,,0.00,5,Rain-Thunderstorm,305<br />
2004-2-3,32,29,26,26,26,25,94,87,66,1005,1003,1001,10,9,5,19,10,,0.00,5,Rain-Thunderstorm,295<br />
2004-2-4,33,29,26,26,24,24,94,78,62,1008,1005,1003,10,10,10,32,11,,0.00,6,Rain,167<br />
2004-2-5,27,26,24,25,24,23,100,92,79,1009,1007,1006,10,7,1,29,16,48,0.00,5,Rain-Thunderstorm,175<br />
2004-2-6,26,24,24,25,24,21,100,92,78,1011,1009,1006,10,6,1,39,24,58,0.00,5,Rain-Thunderstorm,161<br />
2004-2-7,30,28,25,25,23,21,94,82,70,1010,1008,1007,10,9,4,37,23,48,0.00,5,Rain,154<br />
2004-2-8,30,28,25,26,23,2,94,82,21,1009,1008,1006,10,9,3,35,19,,0.00,5,Rain,153<br />
2004-2-9,32,28,24,25,24,23,100,83,62,1009,1008,1006,10,8,2,27,16,55,0.00,4,Rain,136<br />
2004-2-10,29,27,24,26,24,22,94,90,79,1009,1007,1005,10,7,0,50,16,63,0.00,5,Rain-Thunderstorm,157<br />
2004-2-11,28,27,25,25,24,23,100,91,79,1006,1005,1003,10,7,0,35,21,58,0.00,6,Rain,120<br />
2004-2-12,28,27,25,26,24,24,100,92,84,1009,1006,1004,10,6,1,21,10,,0.00,6,Fog-Rain,132<br />
2004-2-13,28,26,24,25,24,24,100,92,79,1009,1008,1006,10,8,1,24,6,,0.00,5,Rain,219<br />
2004-2-14,30,27,24,25,24,23,100,86,66,1010,1009,1007,10,9,4,14,6,,0.00,5,Rain,150<br />
2004-2-15,32,28,25,25,23,2,94,81,21,1011,1010,1008,10,9,4,29,13,,0.00,4,Rain,147<br />
2004-2-16,32,28,25,24,23,21,94,76,58,1011,1009,1007,10,10,10,32,16,,0.00,3,,151<br />
2004-2-17,32,28,24,23,22,20,89,70,49,1010,1009,1007,10,10,10,32,16,,0.00,1,,141<br />
2004-2-18,32,28,25,23,22,21,83,69,52,1011,1009,1007,10,10,10,29,18,,0.00,2,,152<br />
2004-2-19,32,29,26,23,22,2,83,67,19,1012,1010,1009,10,10,10,27,18,,0.00,2,,148<br />
2004-2-20,31,28,25,24,23,20,84,72,52,1012,1010,1008,10,10,10,21,13,,0.00,3,,141<br />
2004-2-21,32,28,25,25,24,23,94,79,62,1011,1009,1006,10,10,10,16,6,,0.00,4,,15<br />
2004-2-22,32,28,25,25,24,22,94,77,59,1008,1007,1004,10,10,10,29,10,,0.00,4,,314<br />
2004-2-23,33,29,25,25,24,23,94,77,62,1009,1008,1006,10,10,10,16,6,,0.00,4,,202<br />
2004-2-24,32,28,25,27,24,23,94,82,62,1011,1009,1007,10,10,10,23,8,,0.00,4,,153<br />
2004-2-25,32,28,25,25,24,23,100,78,62,1009,1007,1005,10,10,10,27,8,,0.00,3,Rain,52<br />
2004-2-26,32,28,25,25,24,23,94,78,59,1007,1006,1003,10,10,5,19,6,,0.00,4,Rain,330<br />
2004-2-27,32,28,25,26,24,22,89,75,62,1006,1004,1003,10,9,3,19,10,,0.00,4,,335<br />
2004-2-28,34,29,25,25,24,22,100,80,49,1009,1006,1004,10,8,2,27,13,,0.00,2,Rain-Thunderstorm,151<br />
2004-2-29,31,28,24,25,23,2,94,86,22,1009,1007,1006,10,8,2,32,16,47,0.00,4,Rain-Thunderstorm,168<br />
2004-3-1,29,27,24,25,23,21,100,87,74,1011,1008,1007,10,7,1,45,23,63,0.00,6,Rain-Thunderstorm,163<br />
2004-3-2,28,26,24,24,22,2,100,86,22,1011,1009,1007,10,7,1,26,18,37,0.00,6,Rain,168<br />
2004-3-3,28,26,24,24,23,22,94,87,74,1011,1009,1007,10,6,1,47,23,52,0.00,5,Rain,159<br />
2004-3-4,29,27,24,23,22,20,89,75,58,1009,1007,1006,10,10,4,40,31,64,0.00,4,Rain,153<br />
