
AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,25,22,20,19,17,17,88,72,61,1013,1009,1007,10,10,10,26,18,,0.00,3,,124<br />
2000-1-2,26,22,19,18,17,16,88,72,61,1017,1014,1011,10,10,10,24,14,,0.00,4,,127<br />
2000-1-3,26,23,20,18,17,16,83,69,57,1018,1016,1015,10,10,10,21,13,,0.00,3,,107<br />
2000-1-4,27,23,19,20,18,17,94,74,57,1016,1014,1011,10,10,9,29,13,,0.00,3,Rain,31<br />
2000-1-5,30,25,20,23,21,19,100,79,51,1012,1009,1004,10,10,10,35,14,,0.00,3,Rain,351<br />
2000-1-6,26,23,21,17,16,12,69,63,54,1012,1010,1009,10,10,10,21,16,,0.00,5,,104<br />
2000-1-7,26,23,20,19,18,17,88,72,61,1015,1012,1010,10,10,10,23,13,,0.00,4,,107<br />
2000-1-8,26,23,20,19,17,15,94,70,54,1016,1014,1013,10,10,8,21,14,,0.00,4,Rain,124<br />
2000-1-9,27,23,19,17,16,15,83,67,51,1015,1013,1011,10,10,10,24,13,,0.00,5,,154<br />
2000-1-10,27,23,19,18,16,14,94,69,47,1014,1012,1010,10,10,8,27,14,,0.00,5,Rain,163<br />
2000-1-11,26,21,17,16,14,12,78,62,47,1014,1013,1012,10,10,10,27,16,,0.00,3,,163<br />
2000-1-12,26,22,18,17,16,15,83,67,51,1014,1013,1011,10,10,10,27,18,52,0.00,3,,172<br />
2000-1-13,24,21,18,19,17,16,88,79,61,1012,1011,1010,10,10,8,26,16,,0.00,5,Rain,180<br />
2000-1-14,26,22,19,19,17,16,94,77,54,1011,1009,1008,10,10,5,21,13,,0.00,5,Rain,187<br />
2000-1-15,27,23,20,20,19,18,94,78,61,1014,1012,1010,10,10,10,23,13,,0.00,2,Rain,146<br />
2000-1-16,27,23,19,19,19,18,100,78,58,1015,1013,1012,10,10,10,23,10,,0.00,3,,117<br />
2000-1-17,27,23,19,20,19,17,94,80,54,1016,1014,1012,10,10,4,19,6,,0.00,5,Rain,9<br />
2000-1-18,28,23,19,20,19,18,100,80,58,1017,1015,1014,10,10,10,21,10,,0.00,3,,92<br />
2000-1-19,29,24,19,23,21,18,100,80,55,1014,1010,1006,10,10,10,32,10,,0.00,2,,342<br />
2000-1-20,38,30,22,25,22,17,100,71,31,1006,1004,1002,,,,29,10,,0.00,,,328<br />
2000-1-21,35,29,23,25,23,17,100,73,34,1003,1002,999,10,10,10,27,10,,0.00,2,,24<br />
2000-1-22,31,27,24,25,24,23,94,82,66,1004,1002,1000,10,10,10,23,11,,0.00,3,,98<br />
2000-1-23,31,27,23,24,21,18,100,73,48,1011,1006,1003,10,9,5,26,11,,0.00,2,Fog,135<br />
2000-1-24,24,22,21,19,16,14,83,67,53,1017,1015,1011,10,10,10,24,18,,0.00,6,Rain,136<br />
2000-1-25,26,22,19,17,16,14,88,66,53,1018,1016,1014,10,10,10,21,13,,0.00,5,,127<br />
2000-1-26,27,22,17,16,15,14,88,67,47,1016,1014,1011,10,10,10,16,10,,0.00,4,,128<br />
2000-1-27,28,22,17,21,18,16,100,74,54,1011,1008,1005,10,10,10,37,13,,0.00,3,,1<br />
2000-1-28,25,23,21,21,20,19,100,89,78,1008,1006,1005,10,9,4,21,13,,0.00,5,Rain,332<br />
2000-1-29,26,23,21,21,20,19,100,80,65,1014,1011,1008,10,10,10,23,10,,0.00,4,,93<br />
2000-1-30,27,24,22,20,19,17,88,71,58,1017,1014,1012,10,10,10,23,10,,0.00,4,,80<br />
2000-1-31,26,23,20,20,18,17,94,71,57,1017,1016,1015,10,10,10,19,13,,0.00,4,,78<br />
2000-2-1,27,24,22,19,18,17,83,69,54,1020,1017,1015,10,10,10,19,11,,0.00,5,,71<br />
2000-2-2,27,23,20,19,16,12,88,66,39,1024,1022,1019,10,10,10,26,16,,0.00,3,Rain,142<br />
2000-2-3,28,23,19,18,16,12,78,63,44,1023,1022,1020,10,10,10,26,14,,0.00,3,,123<br />
2000-2-4,27,23,20,18,16,15,78,62,48,1021,1020,1018,10,10,10,21,14,,0.00,3,,94<br />
2000-2-5,28,24,22,19,16,13,73,59,42,1019,1018,1016,10,10,10,21,13,,0.00,3,,74<br />
2000-2-6,27,23,20,21,18,16,88,72,51,1022,1019,1017,10,10,4,19,11,,0.00,3,Rain,128<br />
2000-2-7,27,24,22,22,19,18,89,76,61,1024,1023,1021,10,10,5,26,16,,0.00,4,Rain,110<br />
2000-2-8,28,24,22,19,17,15,78,64,48,1024,1023,1022,10,10,10,26,18,,0.00,4,,110<br />
2000-2-9,28,24,21,19,19,17,88,71,58,1022,1021,1019,10,10,10,24,13,,0.00,4,,113<br />
2000-2-10,28,24,21,21,19,17,88,69,54,1020,1018,1017,10,10,7,23,13,,0.00,4,Rain,82<br />
2000-2-11,28,24,21,21,19,17,94,71,51,1017,1015,1013,10,10,10,21,11,,0.00,2,,72<br />
2000-2-12,29,24,20,21,21,19,100,76,58,1014,1011,1009,10,10,10,32,13,,0.00,3,Fog,12<br />
2000-2-13,26,23,20,22,21,18,100,86,78,1015,1012,1009,10,9,4,26,11,,0.00,7,Rain,144<br />
