
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,25,21,18,17,16,14,88,71,57,1019,1017,1016,10,10,10,14,10,,0.00,6,,61<br />
2001-1-2,27,24,19,16,14,13,83,54,44,1019,1017,1016,10,10,10,14,8,,0.00,4,,68<br />
2001-1-3,26,20,15,17,15,12,100,68,42,1021,1019,1018,10,10,10,23,6,,0.00,2,,66<br />
2001-1-4,27,23,19,18,17,14,88,65,45,1022,1020,1019,10,10,10,16,8,,0.00,4,,53<br />
2001-1-5,30,24,18,21,16,12,94,63,35,1022,1019,1015,10,9,6,16,6,,0.00,5,,276<br />
2001-1-6,24,22,20,19,18,17,94,77,65,1017,1016,1015,10,10,10,13,6,,0.00,6,,266<br />
2001-1-7,29,24,19,20,18,17,94,72,51,1016,1015,1013,10,9,5,37,6,63,0.00,5,,337<br />
2001-1-8,28,23,18,18,17,16,100,67,51,1016,1015,1013,10,10,10,21,3,,0.00,4,,334<br />
2001-1-9,30,24,20,19,18,18,88,66,48,1017,1016,1014,10,10,10,16,6,,0.00,6,,301<br />
2001-1-10,28,24,20,20,18,17,100,73,54,1016,1015,1014,10,10,10,21,11,,0.00,5,,305<br />
2001-1-11,22,19,19,18,18,17,94,85,78,1017,1016,1016,10,8,3,21,18,,0.00,6,Rain,305<br />
2001-1-12,17,16,15,16,16,15,100,97,94,1022,1021,1020,10,9,5,11,6,,0.00,8,Rain,81<br />
2001-1-13,23,20,17,19,18,17,100,84,73,1023,1022,1020,10,10,8,21,11,,0.00,7,Rain,57<br />
2001-1-14,28,23,18,20,18,16,100,79,48,1024,1022,1020,10,8,3,10,3,,0.00,6,Rain-Thunderstorm,101<br />
2001-1-15,27,22,18,20,18,17,94,78,54,1022,1021,1018,10,9,3,16,6,,0.00,5,Rain-Thunderstorm,57<br />
2001-1-16,29,24,19,20,18,16,100,74,45,1021,1020,1018,10,9,5,14,5,,0.00,6,Rain-Thunderstorm,31<br />
2001-1-17,30,25,20,22,19,18,94,73,48,1022,1020,1018,10,9,6,14,8,,0.00,4,,40<br />
2001-1-18,30,24,19,21,18,15,94,64,42,1021,1020,1018,10,10,10,16,3,,0.00,3,Thunderstorm,81<br />
2001-1-19,31,24,19,21,17,15,100,67,43,1022,1019,1017,10,7,0,13,3,,0.00,5,Fog-Rain-Thunderstorm,252<br />
2001-1-20,24,21,19,20,19,18,100,85,69,1022,1020,1018,10,8,4,16,5,,0.00,7,Rain-Thunderstorm,58<br />
2001-1-21,20,18,17,18,17,16,100,91,83,1021,1020,1018,10,9,6,14,11,,0.00,8,Rain,115<br />
2001-1-22,25,21,18,19,18,17,94,79,65,1020,1019,1017,10,10,10,13,5,,0.00,6,,57<br />
2001-1-23,30,24,19,19,18,15,100,69,42,1020,1018,1015,10,9,3,16,5,,0.00,4,Rain-Thunderstorm,352<br />
2001-1-24,28,23,18,21,19,17,94,77,54,1021,1019,1017,10,10,10,10,3,,0.00,6,Rain,62<br />
2001-1-25,29,24,20,21,19,18,94,70,51,1019,1017,1015,10,9,8,13,5,,0.00,4,,27<br />
2001-1-26,29,24,20,22,19,18,94,72,51,1018,1016,1014,10,9,2,23,6,,0.00,5,Rain-Thunderstorm,294<br />
2001-1-27,30,25,20,21,19,18,100,70,48,1018,1015,1013,10,9,3,14,5,,0.00,5,Fog-Rain-Thunderstorm,290<br />
2001-1-28,31,27,24,21,20,19,78,63,49,1016,1014,1013,10,10,10,23,14,,0.00,6,,262<br />
2001-1-29,29,24,21,21,20,20,94,79,58,1015,1014,1012,10,9,8,23,10,,0.00,6,Rain-Thunderstorm,288<br />
2001-1-30,28,23,19,21,20,18,100,84,58,1015,1014,1012,10,8,4,16,3,,0.00,5,Rain-Thunderstorm,92<br />
2001-1-31,28,24,20,20,19,18,94,81,62,1016,1014,1013,10,9,4,19,6,,0.00,6,Rain-Thunderstorm,286<br />
2001-2-1,27,22,19,19,18,18,94,77,61,1013,1013,1012,10,10,10,16,3,,0.00,4,,277<br />
2001-2-2,27,23,21,21,20,19,94,85,65,1013,1011,1010,10,9,6,8,5,,0.00,6,Rain-Thunderstorm,348<br />
2001-2-3,28,24,20,22,19,18,100,77,54,1015,1014,1012,10,9,2,19,8,,0.00,5,Rain-Thunderstorm,253<br />
2001-2-4,26,23,20,22,20,19,100,85,65,1018,1017,1015,10,8,3,11,3,,0.00,7,,131<br />
2001-2-5,27,23,20,22,20,19,100,85,61,1016,1015,1013,10,7,2,19,3,,0.00,6,Rain-Thunderstorm,251<br />
2001-2-6,27,23,20,22,21,19,100,84,69,1014,1013,1011,10,8,1,23,11,,0.00,4,Rain-Thunderstorm,263<br />
2001-2-7,28,23,19,21,19,17,100,75,54,1017,1015,1014,10,9,0,11,3,,0.00,4,Fog,87<br />
2001-2-8,29,24,19,20,19,18,100,72,55,1018,1016,1014,10,8,0,16,6,,0.00,4,Fog,85<br />
2001-2-9,29,24,20,21,19,18,100,82,54,1017,1014,1012,10,9,4,13,3,,0.00,5,Rain,29<br />
2001-2-10,29,24,20,20,19,18,94,74,55,1015,1014,1012,10,10,10,11,5,,0.00,5,,264<br />
2001-2-11,29,24,19,20,19,18,100,69,51,1016,1014,1013,10,9,6,26,6,45,0.00,3,,312<br />
2001-2-12,29,24,20,22,19,18,94,75,58,1016,1015,1013,10,10,10,21,11,,0.00,4,,233<br />
2001-2-13,25,22,19,21,19,19,100,90,74,1017,1015,1014,10,9,4,10,5,,0.00,7,Rain,88<br />
2001-2-14,25,22,19,20,19,18,100,91,73,1014,1011,1009,10,6,2,8,2,,0.00,6,Rain-Thunderstorm,274<br />
2001-2-15,25,22,20,21,20,19,94,88,74,1013,1011,1009,10,9,3,16,10,,0.00,6,,278<br />
2001-2-16,27,23,20,20,19,18,88,74,58,1019,1017,1016,10,9,2,21,6,,0.00,4,,108<br />
2001-2-17,24,21,19,21,19,18,100,88,73,1021,1019,1018,10,8,3,13,6,,0.00,7,Rain-Thunderstorm,78<br />
2001-2-18,25,22,19,20,19,18,100,80,65,1022,1020,1017,10,10,6,23,8,,0.00,7,Rain,340<br />
2001-2-19,28,23,19,20,18,17,100,68,57,1020,1018,1016,10,9,5,11,5,,0.00,6,Rain-Thunderstorm,298<br />
2001-2-20,25,21,18,21,19,17,100,92,69,1020,1019,1019,10,6,1,14,3,,0.00,7,Rain-Thunderstorm,105<br />
2001-2-21,26,21,16,20,18,16,100,86,65,1020,1019,1016,10,7,1,39,5,63,0.00,5,Fog-Rain-Thunderstorm,45<br />
2001-2-22,30,25,20,21,19,17,94,74,51,1020,1018,1015,10,9,5,13,3,,0.00,5,Thunderstorm,24<br />
2001-2-23,29,24,19,22,19,18,100,85,55,1020,1019,1017,10,8,4,10,3,,0.00,6,Rain-Thunderstorm,284<br />
2001-2-24,28,24,21,20,19,17,94,82,51,1020,1018,1017,10,9,5,2,0,,0.00,5,,30<br />
2001-2-25,23,21,20,20,19,18,88,85,83,1019,1017,1015,10,10,10,6,2,,0.00,3,,60<br />
2001-2-26,27,23,21,20,18,16,83,70,51,1020,1018,1016,10,10,10,14,8,,0.00,5,,55<br />
2001-2-27,26,22,19,18,17,15,94,74,54,1022,1021,1021,10,10,10,23,11,,0.00,5,,75<br />
2001-2-28,24,21,19,19,18,17,100,80,65,1023,1022,1021,10,10,8,14,6,,0.00,6,,84<br />
2001-3-1,26,22,18,19,18,17,100,78,57,1021,1020,1019,10,9,6,16,8,,0.00,4,,86<br />
2001-3-2,28,23,18,19,17,15,94,74,45,1022,1020,1018,10,9,3,14,6,,0.00,5,,60<br />
2001-3-3,29,23,17,19,16,12,94,65,35,1022,1020,1018,10,10,10,11,3,,0.00,3,,17<br />
2001-3-4,27,23,19,20,19,16,100,84,51,1020,1019,1017,10,9,5,13,5,34,0.00,6,Rain-Thunderstorm,289<br />
2001-3-5,26,22,19,20,19,18,100,84,65,1018,1016,1014,10,9,5,13,5,,0.00,4,,31<br />
2001-3-6,26,22,19,19,18,17,94,72,65,1017,1015,1013,10,10,10,23,8,40,0.00,4,Thunderstorm,302<br />
2001-3-7,28,24,20,20,19,18,94,79,58,1019,1017,1015,10,10,8,14,3,,0.00,7,Rain-Thunderstorm,285<br />
2001-3-8,28,24,20,21,20,18,100,81,54,1019,1018,1016,10,9,5,11,6,,0.00,5,Rain-Thunderstorm,334<br />
2001-3-9,26,23,20,21,20,19,100,85,69,1016,1015,1012,10,6,1,13,3,,0.00,3,Fog-Rain-Thunderstorm,97<br />
2001-3-10,28,23,19,20,19,17,100,75,54,1014,1012,1010,10,9,6,14,5,,0.00,4,,208<br />
2001-3-11,26,22,18,18,17,15,94,73,51,1018,1016,1014,10,10,8,19,5,,0.00,4,,102<br />
2001-3-12,23,20,17,20,18,16,100,87,73,1019,1018,1017,10,10,8,16,10,,0.00,7,Rain,130<br />
2001-3-13,28,23,19,21,19,17,100,70,51,1020,1018,1017,10,9,2,16,8,,0.00,5,,36<br />
2001-3-14,30,26,21,21,19,16,94,70,51,1020,1018,1016,10,8,5,19,6,,0.00,6,Thunderstorm,58<br />
2001-3-15,30,25,20,21,19,14,88,68,40,1020,1018,1016,10,10,10,14,6,,0.00,3,,330<br />
2001-3-16,30,24,19,21,19,18,100,84,55,1021,1020,1018,10,9,5,14,5,,0.00,5,Rain-Thunderstorm,245<br />
2001-3-17,28,23,18,19,18,17,100,81,57,1020,1019,1016,10,6,2,13,5,,0.00,6,Rain-Thunderstorm,4<br />
2001-3-18,23,20,18,19,18,17,100,87,69,1016,1014,1012,10,9,5,14,6,,0.00,6,Rain,273<br />
2001-3-19,27,22,18,19,17,15,94,71,48,1016,1014,1013,10,10,10,14,10,,0.00,4,,261<br />
2001-3-20,27,22,17,21,18,17,100,80,58,1021,1020,1018,10,9,0,24,8,,0.00,4,Fog-Rain,80<br />
2001-3-21,28,23,19,20,18,17,94,69,51,1021,1019,1017,10,10,5,23,10,,0.00,4,,33<br />
2001-3-22,30,25,20,20,19,17,94,70,45,1018,1016,1014,10,9,5,14,8,,0.00,4,Rain,328<br />
2001-3-23,30,25,20,19,17,13,88,59,37,1016,1015,1013,10,10,10,14,6,,0.00,2,,292<br />
2001-3-24,30,25,20,19,17,12,88,59,33,1020,1017,1015,10,10,10,19,10,,0.00,4,Thunderstorm,299<br />
2001-3-25,29,24,19,19,17,14,94,63,42,1020,1017,1015,10,10,10,16,6,,0.00,3,Thunderstorm,347<br />
2001-3-26,29,24,20,18,18,17,88,75,48,1017,1016,1014,10,7,2,8,3,,0.00,4,Thunderstorm,275<br />
2001-3-27,24,21,19,19,18,17,94,80,69,1017,1016,1014,10,10,10,11,6,,0.00,6,,232<br />
2001-3-28,23,20,18,19,18,17,100,82,69,1017,1016,1014,10,9,6,11,3,,0.00,5,Rain,15<br />
2001-3-29,25,21,18,18,18,17,100,83,61,1021,1020,1018,10,9,4,24,10,,0.00,5,,123<br />
2001-3-30,25,21,17,18,17,16,94,76,57,1023,1021,1019,10,10,5,11,6,,0.00,5,,91<br />
2001-3-31,26,21,17,17,16,15,94,66,51,1021,1019,1017,10,10,10,14,8,,0.00,4,,39<br />
2001-4-2,26,22,18,17,13,1,94,54,30,1020,1018,1017,10,10,10,13,6,,0.00,2,,295<br />
2001-4-3,25,20,16,18,16,13,94,77,47,1022,1021,1019,10,10,10,19,6,,0.00,4,,76<br />
2001-4-4,25,21,17,18,16,14,94,75,50,1022,1020,1019,10,10,8,21,8,,0.00,4,,86<br />
2001-4-5,27,21,16,18,16,13,94,69,42,1022,1020,1018,10,10,10,19,10,,0.00,4,,41<br />
2001-4-6,29,24,19,18,17,15,94,67,45,1023,1021,1019,10,10,10,19,8,,0.00,6,Thunderstorm,301<br />
2001-4-7,22,20,18,19,18,18,100,88,78,1025,1024,1023,10,9,4,14,10,,0.00,7,,104<br />
2001-4-8,25,22,19,19,18,18,94,82,65,1023,1021,1018,10,10,10,19,8,,0.00,6,Rain-Thunderstorm,66<br />
2001-4-9,22,20,18,19,18,15,94,87,73,1019,1016,1014,10,10,8,14,6,,0.00,6,Rain,332<br />
2001-4-10,26,23,20,19,19,18,94,77,65,1017,1015,1013,10,10,10,19,13,,0.00,4,Thunderstorm,291<br />
2001-4-11,27,22,18,19,18,16,100,77,54,1021,1019,1018,10,7,0,14,5,,0.00,5,Fog,164<br />
2001-4-12,25,21,18,18,17,14,94,77,50,1023,1022,1020,10,10,10,14,6,,0.00,7,,98<br />
2001-4-13,22,18,14,16,15,14,100,79,60,1022,1021,1020,10,8,0,19,10,,0.00,5,Fog,93<br />
2001-4-14,25,20,15,16,15,12,100,76,47,1022,1021,1019,10,10,8,16,11,,0.00,5,,84<br />
2001-4-15,26,20,15,18,17,15,100,76,54,1023,1022,1020,10,9,0,14,8,,0.00,5,Fog,83<br />
2001-4-16,22,19,16,18,16,15,100,86,64,1026,1025,1023,10,8,1,19,10,,0.00,5,,100<br />
2001-4-17,20,18,16,19,16,14,100,90,83,1025,1024,1023,10,7,3,14,13,,0.00,7,,145<br />
2001-4-18,23,20,17,17,17,16,94,84,65,1021,1019,1017,10,9,6,13,8,,0.00,6,,98<br />
2001-4-19,17,17,17,16,16,15,94,91,88,1018,1018,1018,10,10,10,11,6,,0.00,6,,290<br />
2001-4-25,18,18,18,18,18,17,100,97,94,1024,1024,1023,8,8,8,10,8,,0.00,8,,110<br />
2001-4-27,25,19,18,14,14,13,73,64,50,1021,1020,1020,10,10,10,11,2,,0.00,1,,330<br />
2001-4-28,20,,20,15,15,15,73,73,73,1021,1021,1021,,,,0,0,,0.00,,,-1<br />
2001-4-30,22,20,18,18,17,16,94,85,69,1025,1023,1021,10,10,10,19,10,,0.00,4,,105<br />
2001-5-2,26,23,22,17,14,14,69,55,47,1022,1021,1019,10,10,10,14,6,,0.00,4,,305<br />
2001-5-3,24,21,19,23,19,19,100,97,88,1019,1018,1017,10,8,3,14,10,,0.00,7,Rain-Thunderstorm,63<br />
2001-5-4,16,14,9,15,13,7,100,97,87,1018,1016,1013,8,3,1,11,8,,0.00,7,Rain,245<br />
2001-5-5,16,10,5,8,6,3,87,67,48,1019,1016,1015,10,10,10,23,10,,0.00,1,,234<br />
2001-5-6,17,12,7,9,8,7,100,76,52,1021,1020,1018,10,10,10,10,5,,0.00,4,,113<br />
2001-5-7,18,12,7,11,9,6,100,71,56,1022,1021,1019,10,10,10,14,6,,0.00,5,,100<br />
2001-5-8,19,14,10,13,12,10,100,76,60,1021,1018,1016,10,9,0,10,5,,0.00,3,Fog,67<br />
2001-5-9,23,17,11,15,13,11,100,72,56,1016,1014,1013,10,10,8,14,6,,0.00,4,,272<br />
2001-5-10,23,19,16,18,17,14,94,82,65,1014,1012,1011,10,10,10,14,8,,0.00,6,,325<br />
2001-5-11,16,14,13,14,13,12,94,93,88,1018,1016,1015,10,7,2,10,3,,0.00,8,,147<br />
2001-5-12,16,13,10,14,12,9,100,89,72,1020,1018,1017,10,9,4,8,3,,0.00,7,Rain,21<br />
2001-5-13,14,13,12,13,12,11,100,95,88,1023,1021,1019,10,6,1,10,2,,0.00,7,Fog,114<br />
