
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,13,9,6,4,2,0,81,61,44,1024,1020,1018,3,2,1,8,0,,0.00,7,Fog,90<br />
2012-1-2,15,11,8,9,8,7,93,80,63,1020,1018,1016,8,5,3,10,2,,0.00,5,Rain,271<br />
2012-1-3,14,10,7,7,7,6,93,76,59,1017,1016,1014,10,7,4,11,3,,0.00,5,,300<br />
2012-1-4,15,10,5,7,6,5,100,83,51,1019,1017,1015,10,3,0,11,2,,0.00,2,Fog,243<br />
2012-1-5,16,10,4,7,6,4,100,80,45,1020,1018,1016,7,3,1,14,3,,0.00,3,Fog,256<br />
2012-1-6,16,11,6,7,4,-2,93,64,29,1021,1019,1017,8,5,1,14,3,,0.00,2,Fog,194<br />
2012-1-7,16,9,3,7,4,1,100,67,36,1024,1021,1020,8,4,0,14,3,,0.00,2,Fog,194<br />
2012-1-8,16,9,3,6,4,0,100,75,34,1024,1022,1020,4,2,1,10,2,,0.00,5,Fog,272<br />
2012-1-9,15,10,5,6,4,1,100,71,39,1022,1020,1019,8,5,1,19,3,,0.00,5,Rain-Thunderstorm,229<br />
2012-1-10,15,9,4,7,5,3,100,78,48,1022,1020,1018,10,4,0,14,2,,0.00,2,Fog,239<br />
2012-1-11,15,8,2,5,3,2,100,63,42,1021,1019,1017,8,5,0,14,5,,0.00,1,Fog,215<br />
2012-1-12,14,8,2,6,3,0,100,74,38,1020,1017,1014,7,3,0,14,3,,0.00,2,Fog,179<br />
2012-1-13,14,8,2,4,2,-1,100,66,41,1020,1018,1016,10,6,2,10,3,,0.00,1,,254<br />
2012-1-14,16,11,6,4,-1,-5,76,44,23,1019,1015,1013,10,7,1,19,6,,0.00,1,,259<br />
2012-1-15,16,8,0,5,2,0,100,66,34,1017,1014,1012,10,5,0,14,3,,0.00,1,Fog,206<br />
2012-1-16,13,7,2,6,4,1,100,79,54,1017,1014,1012,4,2,0,6,2,,0.00,6,Fog-Rain,292<br />
2012-1-17,16,10,4,5,2,-2,100,59,29,1014,1012,1010,10,5,1,23,6,,0.00,2,Fog,266<br />
2012-1-18,16,8,1,2,0,-3,93,54,29,1015,1012,1010,10,7,2,14,5,,0.00,1,,219<br />
2012-1-19,17,9,2,3,-1,-5,93,53,24,1017,1015,1013,10,5,1,14,3,,0.00,1,Fog,244<br />
2012-1-20,15,9,3,5,3,2,93,63,42,1017,1015,1013,6,4,1,14,5,,0.00,2,,245<br />
2012-1-21,16,9,2,5,2,-4,100,60,25,1016,1013,1012,8,5,1,14,5,,0.00,1,Fog,291<br />
2012-1-22,17,10,3,3,1,-2,93,51,27,1018,1016,1015,8,4,1,14,3,,0.00,1,Fog,270<br />
2012-1-23,16,11,6,4,3,-1,87,55,34,1018,1016,1014,8,5,3,21,5,,0.00,3,,302<br />
2012-1-24,17,10,4,6,2,-1,87,50,30,1017,1015,1013,8,5,1,14,3,,0.00,1,Fog,264<br />
2012-1-25,18,11,5,5,3,-2,93,58,26,1017,1015,1013,8,5,1,14,3,,0.00,1,Fog,264<br />
2012-1-26,18,10,3,8,1,-7,100,58,18,1018,1016,1013,10,5,0,24,6,,0.00,4,Fog,272<br />
2012-1-27,17,10,3,5,3,1,93,57,34,1017,1015,1014,8,5,1,21,5,,0.00,2,,259<br />
2012-1-28,17,9,2,5,2,-2,100,59,27,1019,1016,1014,8,4,1,14,5,,0.00,2,Fog,248<br />
2012-1-29,17,9,2,4,1,-4,93,54,25,1019,1017,1016,10,6,1,19,5,,0.00,1,Fog,246<br />
2012-1-30,17,9,1,3,0,-5,100,53,22,1021,1019,1017,10,5,1,16,5,,0.00,1,Fog,220<br />
2012-1-31,18,10,3,4,1,-2,87,52,27,1022,1020,1017,8,5,1,14,5,,0.00,1,Fog,242<br />
2012-2-1,17,10,3,4,2,-2,93,54,27,1020,1018,1016,10,5,1,19,5,,0.00,1,Fog,196<br />
2012-2-2,17,9,2,3,0,-4,93,54,24,1022,1020,1018,8,5,1,13,5,,0.00,4,Fog,206<br />
2012-2-3,18,10,3,4,2,0,93,56,30,1022,1019,1016,8,4,1,13,3,,0.00,3,,273<br />
2012-2-4,19,16,13,6,3,0,58,41,30,1020,1017,1016,7,6,3,14,8,,0.00,4,,241<br />
