
ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,23,18,13,16,14,12,94,81,61,1017,1014,1011,5,4,2,18,10,,0.00,1,,98<br />
2001-1-2,24,20,16,19,17,15,100,87,69,1015,1012,1010,4,3,3,18,8,,0.00,5,,81<br />
2001-1-3,21,19,17,19,18,16,100,96,88,1017,1015,1013,4,3,1,18,8,,0.00,7,Rain,53<br />
2001-1-4,18,17,15,16,15,15,100,91,88,1019,1017,1015,8,6,3,26,16,,0.00,8,Rain,50<br />
2001-1-5,19,17,16,18,17,15,94,91,88,1019,1016,1014,7,4,2,18,10,,0.00,7,,72<br />
2001-1-6,26,22,18,21,20,18,100,90,69,1016,1014,1011,10,5,1,21,8,,0.00,6,Rain,119<br />
2001-1-7,27,23,19,22,21,18,100,85,65,1014,1011,1008,10,7,3,26,13,,0.00,5,,126<br />
2001-1-8,28,24,21,22,21,20,100,86,66,1011,1009,1007,10,9,5,21,13,,0.00,4,,113<br />
2001-1-9,26,20,15,21,16,2,100,77,27,1017,1013,1011,10,9,5,35,13,35,0.00,6,,63<br />
2001-1-10,14,13,12,11,10,9,94,83,77,1019,1016,1012,10,9,7,26,13,,0.00,8,Rain,35<br />
2001-1-11,16,13,12,14,12,10,94,83,72,1017,1014,1012,8,6,4,6,6,,0.00,8,,323<br />
2001-1-12,19,16,13,16,14,13,100,88,78,1017,1014,1012,4,3,1,11,3,,0.00,7,Rain,5<br />
2001-1-13,19,17,16,16,13,12,100,77,64,1020,1017,1014,6,5,4,14,10,,0.00,7,Rain,57<br />
2001-1-14,19,17,14,14,13,12,88,76,64,1020,1018,1016,8,6,4,14,8,,0.00,8,,41<br />
2001-1-15,13,12,12,12,11,10,100,93,88,1026,1023,1021,8,5,3,18,13,,0.00,7,Rain,19<br />
2001-1-16,14,13,12,11,10,8,88,83,77,1027,1024,1022,10,7,3,14,6,,0.00,7,,17<br />
2001-1-17,18,16,13,14,12,11,94,84,73,1024,1021,1018,6,6,5,3,3,,0.00,7,,22<br />
2001-1-18,22,17,12,18,15,12,100,89,69,1020,1017,1014,6,4,2,6,3,,0.00,4,,130<br />
2001-1-19,23,20,18,20,19,18,100,93,78,1020,1017,1015,5,3,1,11,6,,0.00,7,Fog-Rain,144<br />
2001-1-20,25,22,19,20,19,19,100,91,69,1020,1016,1013,7,5,1,18,6,,0.00,4,,112<br />
2001-1-21,26,22,18,21,19,18,100,91,74,1015,1012,1008,8,5,4,14,8,,0.00,5,,106<br />
2001-1-22,23,21,20,22,21,20,100,98,94,1011,1010,1010,6,3,1,14,10,,0.00,6,Rain,108<br />
2001-1-23,25,23,22,23,22,22,100,94,89,1012,1009,1007,10,6,3,26,13,,0.00,6,Rain,125<br />
2001-1-24,25,23,22,24,23,21,100,98,88,1010,1007,1004,7,4,2,21,13,,0.00,7,Rain,123<br />
2001-1-25,26,21,15,25,22,14,100,95,88,1009,1005,1001,8,6,2,40,14,,0.00,6,Rain,98<br />
2001-1-26,16,14,13,11,8,7,82,67,59,1017,1015,1012,10,10,10,32,21,,0.00,8,,35<br />
2001-1-27,15,13,11,11,9,9,100,82,72,1020,1017,1014,10,10,10,195,18,,0.00,7,,25<br />
2001-1-28,18,14,12,11,8,5,94,65,42,1024,1021,1018,10,8,6,18,11,,0.00,5,,8<br />
2001-1-29,19,17,14,11,6,4,77,54,37,1025,1020,1016,10,8,6,21,10,,0.00,6,,65<br />
2001-1-30,17,16,14,11,11,9,77,72,63,1020,1016,1013,8,7,5,11,6,,0.00,6,,41<br />
2001-1-31,15,14,14,14,13,12,100,92,82,1016,1013,1011,5,3,2,11,6,,0.00,4,Rain,22<br />
2001-2-1,17,14,13,14,13,12,100,85,72,1016,1014,1011,10,6,2,18,11,,0.00,7,Rain,27<br />
2001-2-2,16,13,11,12,11,11,100,86,72,1017,1014,1011,10,9,6,18,13,,0.00,8,Rain,48<br />
2001-2-3,15,13,11,13,12,11,100,94,82,1016,1013,1011,10,7,4,18,13,,0.00,8,Rain,36<br />
2001-2-4,17,14,13,14,12,9,88,80,59,1020,1017,1016,10,9,7,14,10,,0.00,4,,320<br />
2001-2-5,17,16,15,16,15,13,100,95,88,1017,1013,1010,7,3,2,11,5,,0.00,6,Rain,85<br />
2001-2-6,20,18,16,18,17,15,100,96,88,1013,1010,1007,7,4,1,11,5,,0.00,7,Rain,39<br />
2001-2-7,20,18,17,19,16,14,100,91,77,1017,1014,1011,10,6,1,21,8,,0.00,7,Rain,355<br />
2001-2-8,16,14,13,14,11,11,88,79,72,1020,1017,1015,10,9,5,18,11,,0.00,8,Rain,37<br />
2001-2-9,13,12,11,11,11,10,100,87,82,1022,1020,1018,10,8,3,21,14,,0.00,8,Rain,10<br />
2001-2-10,16,13,12,11,9,9,82,76,67,1023,1020,1017,10,10,8,21,11,,0.00,7,,16<br />
2001-2-11,17,14,12,13,12,10,88,82,77,1019,1016,1013,8,6,5,14,10,,0.00,7,,57<br />
2001-2-12,16,14,13,16,14,12,100,97,94,1019,1016,1014,7,3,1,6,5,,0.00,8,Rain,312<br />
2001-2-13,17,16,15,15,13,10,100,85,68,1029,1020,1016,10,6,3,21,11,,0.00,8,Rain,180<br />
2001-2-14,19,16,13,11,8,6,88,62,46,1027,1023,1019,10,10,10,18,13,,0.00,8,,65<br />
2001-2-15,20,16,11,12,11,8,94,75,46,1025,1022,1020,10,8,5,11,5,,0.00,4,,93<br />
2001-2-16,22,18,15,19,12,8,94,68,41,1026,1022,1019,8,7,3,14,5,,0.00,2,,90<br />
2001-2-17,23,17,12,17,14,11,100,81,60,1021,1018,1015,6,5,2,18,8,,0.00,0,,106<br />
2001-2-18,22,18,15,18,17,15,100,90,78,1018,1015,1012,6,4,0,18,11,,0.00,5,Fog,128<br />
