
WIB,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,28,26,26,20,19,18,54,54,53,1015,1013,1012,10,9,8,27,14,,0.00,,,-1<br />
2015-1-2,28,24,21,20,19,19,79,67,53,1016,1015,1014,10,10,10,19,14,,0.00,,,-1<br />
2015-1-3,28,24,20,20,19,19,94,75,57,1016,1015,1014,10,8,6,27,10,,9.91,8,Rain,-1<br />
2015-1-4,24,22,20,22,21,19,93,84,69,1014,1014,1013,10,8,6,14,11,,2.03,8,Rain,-1<br />
2015-1-5,28,24,20,20,19,18,86,60,50,1014,1013,1011,10,8,5,19,10,,0.00,,,-1<br />
2015-1-6,30,28,22,21,20,19,91,63,49,1014,1013,1011,10,9,6,34,24,,2.03,,Rain,-1<br />
2015-1-7,27,20,19,20,19,18,88,72,55,1015,1015,1015,10,8,6,23,10,,0.00,,,-1<br />
2015-1-8,30,24,19,19,18,18,72,53,42,1016,1014,1012,10,9,8,26,19,,0.00,,,-1<br />
2015-1-9,30,26,21,19,18,17,68,55,43,1016,1014,1012,10,9,8,27,18,,0.00,,,-1<br />
2015-1-10,29,26,23,20,19,17,79,59,45,1015,1014,1013,10,9,8,27,18,,0.00,,,-1<br />
2015-1-11,28,24,21,19,18,17,62,50,45,1015,1014,1012,11,10,10,27,18,,0.00,,,-1<br />
2015-1-12,28,24,21,21,19,16,91,73,47,1016,1014,1012,8,6,3,23,10,,3.05,8,Rain,-1<br />
2015-1-13,25,22,21,22,21,20,86,80,70,1016,1015,1013,5,4,3,23,11,,99.06,8,Rain,-1<br />
2015-1-14,28,25,22,21,20,19,87,68,52,1017,1016,1014,10,8,3,19,8,,0.51,,,-1<br />
2015-1-15,26,22,20,20,19,18,72,65,53,1017,1015,1013,10,8,6,26,18,,0.00,,,-1<br />
2015-1-16,28,23,19,20,19,18,74,65,53,1016,1015,1013,10,9,6,27,11,,0.00,8,,-1<br />
2015-1-17,28,23,21,21,20,20,91,76,60,1016,1015,1013,10,7,3,27,16,,0.00,,,-1<br />
2015-1-18,26,23,20,21,20,19,92,75,66,1017,1016,1016,8,6,5,34,16,,0.00,8,,-1<br />
2015-1-19,24,22,20,21,20,20,86,78,69,1018,1017,1017,6,5,3,23,14,,0.00,8,,-1<br />
2015-1-20,27,23,20,20,19,19,91,66,53,1018,1018,1017,10,6,3,27,6,,0.00,8,,-1<br />
2015-1-24,21,,19,19,19,19,82,82,82,1018,1018,1018,5,5,5,0,0,,0.00,,,-1<br />
2015-1-25,29,,21,20,20,20,97,97,97,1017,1017,1017,5,5,5,3,3,,35.05,8,Rain,-1<br />
2015-1-26,28,24,20,20,20,19,97,68,55,1018,1016,1013,8,6,3,23,11,,0.00,,,-1<br />
2015-1-27,26,22,19,21,21,19,84,76,67,1016,1015,1014,6,5,3,14,6,,0.00,8,Rain-Thunderstorm,-1<br />
2015-1-29,30,24,19,22,21,19,94,78,45,1016,1014,1012,6,5,2,27,10,,55.88,8,Rain-Thunderstorm,-1<br />
2015-1-30,30,24,19,21,20,19,91,60,43,1016,1014,1012,10,6,3,27,14,,0.00,,,-1<br />
