
WGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,7,4,3,2,-1,-4,93,74,46,1028,1022,1014,10,9,3,32,16,26,0.00,6,Rain,151<br />
2011-1-2,4,2,0,1,-1,-4,93,84,70,1029,1027,1024,10,9,1,26,13,,0.00,5,Fog-Rain,61<br />
2011-1-3,2,0,-2,-4,-7,-9,80,64,44,1024,1023,1022,10,10,10,24,10,,0.00,0,,89<br />
2011-1-4,3,0,-2,-6,-7,-11,69,57,36,1026,1025,1024,10,10,10,26,19,,0.00,2,,62<br />
2011-1-5,2,-1,-4,-5,-7,-9,75,65,48,1024,1020,1015,10,10,10,29,18,,0.00,1,,43<br />
2011-1-6,0,-3,-6,-4,-7,-10,93,67,51,1017,1016,1014,10,10,10,23,13,,0.00,4,,79<br />
2011-1-7,-2,-3,-4,-7,-8,-9,80,68,59,1017,1016,1015,10,9,3,23,16,,0.00,8,Snow,52<br />
2011-1-8,-1,-3,-4,-7,-11,-13,80,59,43,1019,1017,1016,10,10,5,42,24,,0.00,3,Snow,55<br />
2011-1-9,-2,-3,-5,-11,-13,-15,59,47,37,1015,1014,1013,10,10,10,37,27,,0.00,1,,69<br />
2011-1-10,0,-2,-4,-7,-17,-21,60,37,24,1021,1018,1017,10,10,10,37,24,,0.00,1,,66<br />
2011-1-11,-2,-4,-6,-13,-17,-21,50,39,23,1021,1019,1014,10,10,10,34,24,,0.00,1,,42<br />
2011-1-12,-5,-7,-8,-11,-14,-19,63,53,33,1017,1015,1013,10,10,10,37,21,,0.00,4,,62<br />
2011-1-13,-5,-7,-8,-10,-11,-13,79,66,59,1018,1016,1011,10,10,10,21,16,,0.00,6,Snow,32<br />
2011-1-14,-7,-9,-10,-11,-13,-14,79,71,63,1011,1004,998,10,10,10,23,18,,0.00,3,,30<br />
2011-1-15,-7,-8,-9,-10,-12,-14,86,74,63,999,997,995,10,9,1,21,14,,0.00,6,Fog-Snow,95<br />
2011-1-16,-5,-7,-9,-8,-13,-16,86,65,53,1004,1002,999,10,9,0,26,19,48,0.00,6,Snow,194<br />
2011-1-17,-4,-6,-7,-11,-14,-17,68,52,39,1005,1004,1000,10,10,9,27,21,,0.00,3,Snow,86<br />
2011-1-18,-6,-8,-10,-8,-13,-20,93,67,36,1000,997,996,10,8,1,34,21,,0.00,4,Snow,40<br />
2011-1-19,-6,-8,-9,-8,-12,-16,93,75,53,1007,1000,996,10,7,0,19,10,,0.00,6,Snow,240<br />
2011-1-20,-8,-9,-10,-11,-14,-17,86,66,57,1013,1011,1007,10,9,2,29,13,,0.00,3,Snow,49<br />
2011-1-21,-10,-12,-13,-13,-17,-19,79,67,53,1009,1004,1001,10,8,1,58,39,76,0.00,1,Snow,15<br />
2011-1-22,-10,-11,-12,-15,-17,-18,67,64,62,1008,1006,1005,10,10,10,29,19,,0.00,1,,52<br />
2011-1-23,0,-2,-5,-1,-12,-18,93,53,36,1003,996,991,10,9,1,66,26,103,0.00,7,Snow,63<br />
2011-1-24,2,0,-2,-2,-4,-7,93,74,52,1007,1002,995,10,7,1,85,64,127,0.00,7,Snow,145<br />
2011-1-25,5,1,-2,4,-4,-12,100,69,38,993,990,988,10,6,1,76,55,132,0.00,7,Rain-Snow,160<br />
2011-1-26,1,-2,-4,-3,-6,-10,93,73,44,1000,994,988,10,5,0,84,53,137,0.00,6,Rain-Snow,180<br />
2011-1-27,-3,-6,-7,-7,-10,-14,93,76,50,1003,1001,997,10,6,0,55,14,74,0.00,6,Snow,325<br />
2011-1-28,-7,-9,-10,-10,-11,-13,86,82,68,1005,1001,993,6,2,0,42,32,,0.00,7,Snow,257<br />
2011-1-29,-9,-10,-11,-12,-15,-17,86,67,57,1002,995,990,10,9,1,29,23,,0.00,7,Snow,320<br />
2011-1-30,-10,-11,-11,-13,-14,-16,85,74,62,1002,1000,993,10,5,1,26,11,,0.00,7,Snow,95<br />
2011-1-31,-9,-11,-13,-11,-16,-21,93,70,41,993,990,987,10,6,0,53,26,80,0.00,6,Snow,112<br />
2011-2-1,-9,-10,-11,-12,-16,-20,86,63,45,991,987,984,10,7,0,48,32,66,0.00,6,Snow,153<br />
2011-2-2,-9,-10,-10,-16,-18,-19,62,53,45,985,984,979,10,10,10,26,16,,0.00,4,,119<br />
2011-2-3,-10,-11,-12,-15,-16,-18,79,65,57,978,976,976,10,10,10,32,16,,0.00,3,Snow,72<br />
2011-2-4,-8,-10,-11,-13,-15,-17,73,63,49,987,983,978,10,10,10,34,23,,0.00,3,,46<br />
2011-2-5,-7,-9,-11,-9,-12,-16,86,73,54,996,993,987,10,8,1,23,6,,0.00,6,Rain-Snow,95<br />
2011-2-6,-6,-8,-10,-15,-17,-19,62,52,39,996,991,985,10,9,5,40,23,,0.00,3,Snow,93<br />
2011-2-7,-3,-6,-8,-6,-10,-16,93,75,43,987,985,983,10,5,0,39,19,63,0.00,6,Snow,216<br />
2011-2-8,-8,-10,-11,-13,-14,-16,85,73,53,991,986,982,10,7,3,24,18,,0.00,7,Snow,319<br />
2011-2-9,-10,-12,-15,-13,-16,-19,85,72,53,985,984,983,10,9,1,26,13,,0.00,7,Snow,2<br />
2011-2-10,-9,-11,-12,-14,-18,-20,68,56,45,984,981,976,10,10,5,27,14,,0.00,4,Snow,93<br />
2011-2-11,-8,-9,-11,-10,-11,-13,93,86,73,975,967,958,10,2,0,47,21,64,0.00,7,Snow,318<br />
2011-2-12,-10,-11,-12,-13,-16,-18,85,69,57,992,987,975,10,7,0,35,24,,0.00,6,Snow,251<br />
2011-2-13,-8,-10,-11,-13,-14,-16,85,74,67,987,984,983,10,7,1,26,14,,0.00,7,Snow,115<br />
2011-2-14,-6,-8,-9,-10,-12,-14,86,72,58,995,989,984,10,10,8,29,14,,0.00,6,Snow,58<br />
2011-2-15,-6,-8,-10,-8,-11,-13,86,79,73,1011,1004,995,10,8,1,27,10,,0.00,6,Snow,201<br />
2011-2-16,-8,-9,-10,-11,-13,-17,86,72,57,1012,1009,1004,10,9,2,27,11,,0.00,4,Snow,39<br />
2011-2-17,-2,-7,-11,-5,-8,-17,80,72,62,1005,1003,1002,10,10,10,29,13,,0.00,5,,55<br />
2011-2-18,-2,-3,-4,-5,-7,-7,86,78,74,1005,1004,1003,10,10,10,24,14,,0.00,5,,43<br />
2011-2-19,-4,-6,-6,-6,-7,-9,86,81,74,1005,1004,1001,10,10,10,24,14,,0.00,3,,34<br />
2011-2-20,-5,-6,-7,-8,-9,-11,80,74,63,999,999,997,10,10,10,29,24,,0.00,1,Snow,36<br />
