
AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,32,20,8,7,1,-8,76,30,4,1014,1011,1008,31,11,10,34,11,52,0.00,,,281<br />
2013-1-2,30,20,11,13,9,0,82,51,14,1019,1013,1008,19,10,10,37,13,,0.00,4,,83<br />
2013-1-3,31,22,12,11,9,5,88,51,12,1019,1017,1012,31,11,10,24,13,,0.00,7,,102<br />
2013-1-4,36,23,11,11,6,1,94,37,5,1018,1014,1009,10,10,10,27,10,58,0.00,,,49<br />
2013-1-5,40,28,15,19,13,8,88,48,9,1020,1015,1012,26,10,3,42,10,64,8.89,6,Rain-Thunderstorm,91<br />
2013-1-6,37,27,17,18,14,4,83,52,12,1024,1020,1017,26,11,10,21,10,,0.76,3,Rain-Thunderstorm,85<br />
2013-1-7,36,26,15,16,12,4,94,52,10,1024,1019,1011,26,10,10,24,11,,0.00,5,,28<br />
2013-1-8,37,27,17,15,6,-6,73,25,5,1013,1003,993,31,10,7,64,23,84,0.00,5,Rain,314<br />
2013-1-9,27,20,13,9,5,1,77,35,12,1007,999,992,26,11,10,37,19,48,0.00,2,,331<br />
2013-1-10,29,20,10,14,9,3,88,56,13,1011,1008,1005,14,10,8,32,10,,0.00,3,,94<br />
2013-1-11,35,23,11,14,9,0,100,50,8,1011,1009,1004,14,10,10,34,13,48,0.00,4,,331<br />
2013-1-12,36,24,13,12,4,-4,77,31,4,1012,1009,1005,14,10,10,50,11,66,0.00,6,,271<br />
2013-1-13,27,19,12,15,12,5,100,63,19,1015,1011,1007,10,9,5,29,13,,4.06,7,Rain,99<br />
