
NZDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-1,29,20,15,14,13,11,82,68,33,1013,1012,1011,,,,19,13,,0.00,3,,65<br />
2004-2-1,18,18,18,18,17,17,100,95,94,1007,1004,1002,4,3,2,27,23,,0.00,7,Rain,67<br />
2004-2-2,24,20,17,18,17,17,100,89,65,1003,1001,1000,30,10,2,16,8,,0.00,7,,204<br />
2004-2-3,29,22,16,17,15,10,100,77,32,1001,998,994,30,5,0,27,10,,0.00,6,Fog-Rain,42<br />
2004-2-4,23,19,15,16,14,11,100,79,53,999,996,995,30,15,1,37,16,,0.00,5,Rain,138<br />
2004-2-5,17,14,12,13,9,6,94,72,52,1014,1008,1000,30,19,5,35,16,,0.00,6,Rain,192<br />
2004-2-6,21,16,10,14,11,8,94,73,56,1015,1011,1007,30,30,30,32,13,,0.00,5,,57<br />
2004-2-7,21,18,14,13,8,3,88,57,31,1010,1007,1005,30,28,20,37,23,58,0.00,5,Rain,37<br />
2004-2-8,17,13,10,10,8,6,94,75,52,1020,1015,1011,30,20,3,23,11,,0.00,6,Rain-Thunderstorm,96<br />
2004-2-9,22,16,10,12,9,6,87,64,46,1020,1013,1004,,,,32,16,,0.00,4,,46<br />
2004-2-10,23,18,14,15,9,5,73,56,36,1012,1005,999,30,24,20,50,19,,0.00,5,Rain,42<br />
2004-2-11,22,17,12,12,9,5,94,64,35,1012,1005,996,,,,26,16,,0.00,6,,48<br />
2004-2-12,20,17,13,12,9,7,82,62,46,1011,1003,993,30,29,25,45,18,,0.00,4,Rain,107<br />
2004-2-13,20,15,10,13,11,8,94,74,59,1013,1009,1001,30,25,15,32,16,,0.00,5,,65<br />
2004-2-14,22,17,12,14,8,3,94,63,31,1000,991,988,30,19,4,29,11,,0.00,5,Rain-Thunderstorm,268<br />
2004-2-15,15,13,11,13,10,9,94,88,72,1008,1003,994,20,9,2,47,29,58,0.00,6,Rain,205<br />
2004-2-16,17,13,10,9,8,6,88,74,52,1007,997,988,30,22,12,24,16,,0.00,5,Rain,215<br />
2004-2-17,17,13,10,11,9,7,94,81,52,1000,997,992,30,20,15,24,14,,0.00,5,Rain,223<br />
2004-2-18,24,18,12,11,8,6,88,56,31,1000,994,991,,,,37,19,61,0.00,3,,335<br />
2004-2-19,23,17,10,9,6,0,88,57,23,1001,991,977,20,20,20,40,16,63,0.00,4,,15<br />
2004-2-20,19,13,8,9,6,1,94,66,30,987,983,977,20,11,5,23,13,,0.00,4,Rain,233<br />
2004-2-21,26,18,11,11,6,2,82,48,24,987,977,966,,,,53,18,77,0.00,3,,343<br />
2004-2-22,19,14,11,11,8,3,88,64,45,1005,993,979,,,,27,14,,0.00,3,,131<br />
2004-2-23,19,13,8,11,9,6,93,70,49,1008,1005,998,30,30,30,21,13,,0.00,5,,49<br />
2004-2-24,21,16,11,9,3,-5,77,44,17,1006,998,994,,,,35,18,53,0.00,2,,270<br />
2004-2-25,19,13,7,7,3,-2,76,52,26,1019,1012,1006,30,30,30,47,21,,0.00,2,,225<br />
2004-2-26,18,14,11,8,6,4,82,63,42,1024,1022,1020,30,30,30,23,11,,0.00,4,,195<br />
2004-2-27,18,12,7,12,8,5,93,76,52,1024,1020,1017,30,30,30,37,18,,0.00,4,,60<br />
2004-2-28,17,16,14,14,13,12,94,90,82,1016,1004,992,30,16,5,42,27,58,0.00,7,Rain,61<br />
2004-2-29,18,16,14,15,14,13,100,89,73,1000,993,990,30,18,5,39,14,,0.00,6,Rain,216<br />
2004-3-1,17,14,12,14,12,11,94,85,77,1004,1001,998,30,25,15,24,10,,0.00,6,,76<br />
2004-3-2,14,12,11,13,11,7,100,92,76,1016,1008,1003,30,8,1,32,14,,0.00,6,Rain,214<br />
2004-3-3,14,11,9,10,8,6,94,81,67,1027,1022,1017,30,19,3,32,23,39,0.00,6,Rain,218<br />
2004-3-4,18,13,9,11,9,7,94,77,59,1028,1026,1024,30,30,30,21,8,,0.00,4,,30<br />
2004-3-5,20,14,9,14,12,8,100,84,64,1025,1018,1012,,,,26,16,,0.00,4,,66<br />
2004-3-6,20,15,10,13,11,8,100,80,46,1022,1016,1010,30,17,1,26,8,,0.00,5,Fog-Rain,223<br />
2004-3-7,18,14,12,12,11,10,94,80,68,1023,1022,1022,30,29,15,27,16,,0.00,6,,65<br />
2004-3-8,19,16,13,14,13,11,94,84,73,1023,1019,1016,30,29,20,23,13,,0.00,6,,62<br />
2004-3-9,28,21,14,15,13,10,100,67,32,1016,1010,1006,20,20,20,23,8,,0.00,4,,6<br />
2004-3-10,30,21,13,14,12,7,88,56,33,1006,996,986,,,,63,16,84,0.00,4,,3<br />
2004-3-11,18,14,12,9,5,-1,72,53,34,1011,1001,990,30,30,30,40,24,63,0.00,4,,230<br />
2004-3-12,16,13,10,9,8,5,94,71,48,1021,1017,1011,30,30,30,27,13,,0.00,6,,125<br />
2004-3-13,18,13,8,12,9,7,94,80,64,1021,1019,1016,30,29,25,26,16,,0.00,4,,50<br />
2004-3-14,24,14,5,12,8,5,100,80,33,1020,1017,1015,30,16,0,23,5,,0.00,3,Fog,97<br />
2004-3-15,17,12,7,14,11,6,100,88,68,1020,1018,1015,30,19,0,24,10,,0.00,6,Fog,71<br />
2004-3-16,25,19,13,15,13,9,100,75,38,1014,1010,1008,30,26,10,19,11,,0.00,5,Rain,9<br />
2004-3-17,15,13,11,14,11,10,100,93,88,1015,1011,1009,30,11,4,27,13,,0.00,6,Rain,229<br />
2004-3-18,16,13,11,12,11,10,94,86,72,1015,1012,1009,30,30,30,27,10,,0.00,6,,61<br />
2004-3-19,23,14,6,12,9,6,100,73,36,1009,1004,1002,30,19,1,21,11,,0.00,5,Fog,19<br />
2004-3-20,26,16,6,12,8,5,100,64,30,1004,1003,1001,,,,24,6,,0.00,1,,313<br />
2004-3-21,26,18,10,12,9,7,100,69,30,1009,1004,1001,30,30,30,32,11,,0.00,4,,250<br />
2004-3-22,21,13,6,11,7,4,93,66,33,1010,1007,1005,30,30,30,19,8,,0.00,3,,27<br />
