
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,7,4,3,4,3,2,100,92,79,1016,1013,1011,16,10,0,27,6,32,12.19,7,Fog-Rain,206<br />
2000-1-2,6,3,2,3,2,1,100,90,79,1028,1020,1016,16,16,6,19,10,,4.06,7,Rain,253<br />
2000-1-3,8,6,3,7,4,2,100,94,86,1029,1026,1018,16,11,5,26,8,37,9.65,8,Rain,165<br />
2000-1-4,9,6,3,7,6,2,100,88,74,1031,1022,1016,16,15,8,34,18,42,9.14,6,Rain,226<br />
2000-1-5,8,3,-1,4,2,-1,100,96,76,1036,1034,1031,16,8,1,11,3,,0.76,7,Fog-Rain,317<br />
2000-1-6,4,0,-3,3,0,-3,100,96,93,1032,1029,1026,10,3,0,11,3,,2.54,8,Fog-Rain,160<br />
2000-1-7,9,6,3,7,6,3,100,96,86,1028,1025,1017,16,5,0,21,3,29,1.52,8,Fog-Rain,263<br />
2000-1-8,9,7,5,7,4,2,93,80,63,1025,1021,1016,16,16,14,21,14,,1.27,8,Rain,221<br />
2000-1-9,8,5,2,7,4,1,93,86,63,1019,1015,1011,16,14,8,32,19,45,8.89,6,Rain,218<br />
2000-1-10,4,3,3,3,2,2,100,94,87,1016,1009,1003,16,11,4,14,8,,7.37,8,Rain,182<br />
2000-1-11,3,1,0,2,1,0,100,96,79,1013,1007,1003,16,7,0,26,6,29,14.99,8,Fog-Rain-Snow,182<br />
2000-1-12,4,2,1,3,1,0,100,94,87,1018,1015,1013,16,12,2,23,16,32,16.00,8,Rain-Snow,169<br />
2000-1-13,5,4,3,4,3,2,100,95,86,1017,1013,1011,16,10,3,14,8,29,10.67,8,Rain,188<br />
2000-1-14,9,4,-1,6,3,-1,100,91,68,1022,1014,1010,16,9,3,39,6,66,6.86,6,Rain,210<br />
2000-1-15,4,0,-3,2,-1,-4,100,91,73,1023,1014,1002,16,13,3,14,3,,7.11,4,Rain,358<br />
2000-1-16,8,6,2,5,3,1,96,84,71,1022,1007,997,16,14,6,42,14,64,7.37,7,Rain,187<br />
2000-1-17,9,3,-2,2,-1,-3,100,88,50,1025,1024,1023,16,8,0,8,3,,0.25,3,Fog,325<br />
2000-1-18,7,2,-3,2,-2,-4,100,94,71,1024,1022,1020,16,11,1,8,0,,0.00,1,Fog,329<br />
2000-1-19,5,0,-4,3,0,-4,100,92,73,1024,1020,1016,16,14,6,11,3,,6.35,5,Fog-Rain,291<br />
2000-1-20,7,4,2,4,3,0,100,92,63,1019,1016,1013,16,9,3,21,3,,6.86,8,Rain,204<br />
2000-1-21,9,7,5,0,-1,-1,70,61,50,1017,1015,1013,16,16,8,24,14,32,6.10,8,Rain,139<br />
2000-1-22,9,6,1,1,0,-1,92,67,52,1021,1019,1016,16,16,14,16,10,,0.25,6,Rain,139<br />
2000-1-23,6,2,-2,1,-1,-3,96,84,62,1021,1018,1016,16,16,14,13,5,,0.00,2,,16<br />
2000-1-24,6,1,-3,3,1,-4,96,90,73,1016,1014,1012,16,14,5,14,5,,8.38,6,Rain,325<br />
2000-1-25,9,4,1,5,3,1,100,93,76,1023,1017,1012,16,11,0,10,2,,7.37,7,Fog-Rain,305<br />
2000-1-26,7,3,-1,4,2,-1,100,96,82,1033,1029,1025,16,9,0,10,3,,0.00,7,Fog-Rain,300<br />
2000-1-27,8,3,-2,3,0,-2,100,95,71,1034,1032,1029,16,6,0,13,2,,0.25,3,Fog,26<br />
2000-1-28,10,3,-3,-1,-3,-4,96,73,44,1029,1024,1022,16,16,14,23,10,32,0.00,0,Fog,53<br />
2000-1-29,7,1,-4,-3,-4,-6,96,70,51,1023,1019,1013,16,16,16,24,11,34,0.00,0,,72<br />
2000-1-30,5,3,2,2,-2,-4,97,70,59,1016,1010,1007,16,16,8,29,16,45,0.51,6,Rain,100<br />
2000-1-31,9,4,0,8,3,-1,100,93,79,1020,1016,1012,14,7,0,19,3,,17.78,7,Fog-Rain,139<br />
2000-2-1,12,10,7,11,8,4,100,87,74,1026,1017,1012,16,13,3,29,18,48,10.41,8,Rain,197<br />
2000-2-2,9,7,4,6,5,2,100,90,63,1029,1026,1022,16,12,1,11,3,,2.29,4,Fog-Rain,319<br />
2000-2-3,13,10,8,3,1,-1,66,53,44,1022,1017,1014,16,16,16,32,21,47,0.00,0,,85<br />
2000-2-4,11,7,3,4,2,-1,93,76,54,1018,1016,1015,16,16,14,16,3,,0.00,4,Rain,63<br />
2000-2-5,10,7,3,5,3,2,96,84,57,1021,1016,1013,16,15,10,19,5,,4.57,6,Rain,66<br />
2000-2-6,11,7,3,7,5,3,100,89,69,1027,1024,1022,16,13,0,13,3,,0.00,6,Fog,329<br />
2000-2-7,10,7,3,7,6,2,100,90,71,1024,1022,1020,16,13,5,11,3,,3.56,4,Rain,319<br />
2000-2-8,11,7,3,9,6,2,100,93,71,1020,1017,1016,16,9,2,19,5,,7.11,7,Rain,211<br />
2000-2-9,9,4,-1,5,1,-1,100,92,54,1020,1019,1015,16,8,0,11,2,,0.00,4,Fog,327<br />
2000-2-10,9,3,-3,5,-1,-3,100,89,61,1015,1013,1010,16,10,1,10,0,,1.02,1,Fog-Rain,237<br />
2000-2-11,8,7,5,6,4,4,96,92,83,1012,1010,1004,16,11,5,13,6,,2.29,8,Rain,100<br />
2000-2-12,7,3,0,5,4,0,100,93,76,1010,1005,1003,16,10,2,11,2,,4.32,7,Fog-Rain,309<br />
2000-2-13,7,2,-2,4,2,-2,100,93,73,1009,1002,998,16,10,3,14,3,,4.32,7,Fog-Rain,20<br />
2000-2-14,8,6,4,7,4,2,100,90,74,1016,999,993,16,11,2,24,6,,9.65,7,Rain,223<br />
2000-2-15,10,6,1,6,3,1,100,93,74,1024,1022,1018,16,14,0,11,2,,0.25,7,Fog-Rain,332<br />
2000-2-16,12,5,-2,3,0,-2,100,88,49,1022,1020,1017,16,11,0,21,3,,0.25,2,Fog,38<br />
2000-2-17,12,4,-2,0,-1,-3,96,76,45,1025,1022,1019,16,16,10,8,3,,0.00,0,,293<br />
2000-2-18,4,0,-3,3,0,-3,100,96,89,1028,1026,1024,16,4,0,8,2,,0.00,6,Fog,305<br />
2000-2-19,12,4,-3,2,-1,-4,100,81,45,1024,1019,1012,16,11,0,19,5,26,0.25,1,Fog,319<br />
2000-2-20,11,5,-1,4,1,-2,93,76,52,1012,1007,1004,16,16,11,21,8,,0.76,5,Rain,332<br />
2000-2-21,8,6,4,7,6,4,100,95,89,1008,1006,1004,16,4,0,10,3,,2.29,8,Fog-Rain,140<br />
2000-2-22,9,7,6,7,7,6,100,97,89,1004,1002,1002,16,8,0,21,5,,4.32,8,Fog-Rain,125<br />
2000-5-3,14,12,9,5,4,3,77,61,49,1017,1016,1015,16,16,16,19,11,,0.00,3,,260<br />
2000-5-4,14,11,8,8,7,5,93,80,59,1017,1016,1014,16,15,6,26,10,32,3.05,7,Rain,180<br />
2000-5-5,14,9,3,7,5,2,100,77,51,1019,1016,1014,16,16,16,23,8,35,3.30,5,Rain,261<br />
2000-5-6,17,9,1,6,3,0,100,71,37,1019,1017,1014,16,16,14,13,5,,0.00,0,,1<br />
2000-5-7,19,10,2,11,5,-1,97,71,27,1017,1014,1012,16,16,13,14,5,,0.00,3,Rain,262<br />
2000-5-8,17,13,10,12,9,5,100,83,50,1016,1014,1011,16,13,2,16,3,,4.06,8,Fog-Rain,277<br />
2000-5-9,13,10,7,10,8,5,94,83,64,1013,1009,1007,16,15,11,37,13,53,7.11,7,Rain,200<br />
2000-5-10,10,8,6,8,4,4,93,86,74,1015,1010,1007,16,15,5,26,18,42,9.91,7,Rain,199<br />
2000-5-11,13,9,5,7,5,3,96,79,59,1025,1020,1016,16,15,6,24,13,32,2.29,7,Rain,219<br />
2000-5-12,16,9,3,8,5,3,100,75,47,1025,1023,1019,16,16,16,10,2,,0.00,2,,342<br />
2000-5-13,19,14,9,10,8,6,93,72,47,1019,1015,1013,16,16,16,23,6,,0.00,5,,15<br />
2000-5-14,25,16,6,12,9,6,100,68,32,1012,1010,1007,16,16,16,14,3,,0.00,2,,290<br />
2000-5-15,21,16,12,13,11,10,100,81,51,1015,1013,1011,16,15,5,14,8,,4.06,5,Rain,58<br />
2000-5-16,19,14,9,12,9,6,96,76,59,1021,1015,1012,16,16,16,21,10,,0.00,6,,293<br />
2000-5-17,17,11,6,11,8,4,97,78,60,1026,1025,1022,16,16,13,10,3,,0.00,6,Fog,10<br />
2000-5-18,21,13,7,13,10,7,100,82,52,1026,1024,1022,16,16,10,23,5,,1.78,5,Fog-Rain,286<br />
2000-5-19,21,17,11,15,13,11,100,87,65,1026,1025,1024,16,16,13,16,5,,0.25,6,Rain,153<br />
2000-5-20,24,17,10,15,11,9,96,75,41,1024,1023,1020,16,16,16,11,5,,0.00,5,,347<br />
2000-5-21,24,17,9,15,12,9,100,81,38,1021,1020,1018,16,14,3,21,5,,1.78,2,Fog-Rain,331<br />
2000-5-22,24,17,11,13,11,3,100,79,29,1021,1020,1018,16,15,6,19,5,,0.00,6,,316<br />
2000-5-23,20,16,11,13,10,8,92,75,56,1022,1020,1018,16,16,4,16,3,,0.00,7,Rain,289<br />
2000-5-24,22,16,9,11,7,3,86,62,33,1019,1016,1014,16,16,16,23,10,,0.00,3,,310<br />
2000-5-25,17,11,5,10,6,3,96,71,46,1015,1014,1012,16,16,13,13,8,,1.02,4,Rain,248<br />
2000-5-26,20,15,10,13,11,8,96,77,56,1012,1011,1010,16,16,16,37,11,45,0.25,7,Rain,187<br />
2000-5-27,19,16,12,13,10,7,97,74,51,1018,1013,1010,16,16,14,29,16,40,0.51,7,Rain,209<br />
2000-5-28,17,14,11,10,9,8,89,76,60,1021,1020,1017,16,16,10,21,11,26,0.76,8,Rain,235<br />
2000-5-29,16,11,7,8,7,5,96,74,56,1022,1021,1020,16,16,16,21,10,,0.25,7,Rain,310<br />
2000-5-30,16,12,7,8,6,4,90,70,47,1023,1021,1019,16,16,8,24,11,34,0.25,5,Rain,290<br />
2000-5-31,14,10,7,8,7,6,100,83,59,1027,1025,1023,16,16,16,13,3,,0.00,8,,69<br />
2000-6-9,11,,11,6,6,6,71,71,71,1015,1015,1015,16,16,16,14,14,,0.00,8,,270<br />
2000-6-10,13,12,11,9,7,6,86,75,62,1019,1018,1017,16,16,8,23,13,,1.78,7,Rain,214<br />
2000-6-11,14,11,9,13,11,8,97,92,86,1019,1015,1010,16,16,13,32,13,39,5.59,8,Rain,165<br />
2000-6-12,20,17,13,14,12,11,100,85,61,1024,1013,1008,16,15,6,27,21,34,5.59,7,Rain,214<br />
2000-6-13,23,18,13,14,12,11,93,75,57,1027,1026,1024,16,16,16,13,8,,0.00,5,,199<br />
2000-6-14,27,18,9,18,13,9,100,84,58,1026,1024,1022,16,14,1,26,6,34,0.00,2,Fog,309<br />
2000-6-15,22,14,8,11,9,7,93,70,41,1028,1026,1024,16,16,16,23,10,27,0.00,1,,324<br />
2000-6-16,27,17,7,12,8,4,96,58,34,1024,1021,1017,16,16,16,21,11,,0.00,0,,344<br />
2000-6-17,31,20,9,30,14,4,97,67,43,1016,1013,1010,16,16,16,24,6,,0.00,0,,328<br />
2000-6-18,22,17,10,12,11,6,84,67,53,1020,1014,1011,16,16,16,37,16,34,0.00,2,,330<br />
2000-6-19,22,14,8,9,8,6,89,65,42,1024,1023,1020,16,16,16,21,8,,0.00,4,,318<br />
2000-6-20,28,17,7,14,11,6,96,67,39,1024,1021,1017,16,16,16,21,8,,0.00,0,,337<br />
