
PYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,34,27,19,20,17,14,88,58,30,1009,1007,1005,10,10,10,37,18,,0.00,1,,194<br />
2000-1-2,37,29,22,21,19,18,83,56,34,1008,1006,1004,10,10,10,27,13,,0.00,2,,190<br />
2000-1-3,37,30,23,21,17,15,83,52,27,1006,1004,1002,10,10,10,27,11,,0.00,2,,175<br />
2000-1-4,35,27,18,19,16,8,88,52,19,1006,1004,1002,10,10,10,24,8,,0.00,1,,237<br />
2000-1-5,35,28,21,18,14,8,83,46,19,1008,1006,1004,10,9,6,21,10,,0.00,1,,203<br />
2000-1-6,37,29,21,17,14,11,78,41,21,1010,1008,1006,9,7,5,26,8,,0.00,1,,180<br />
2000-1-7,39,30,21,18,17,14,78,40,25,1009,1006,1003,10,10,9,11,5,,0.00,1,,126<br />
2000-1-8,37,32,27,20,18,14,65,42,25,1010,1007,1004,10,10,10,21,14,,0.00,1,,71<br />
2000-1-9,38,32,26,20,19,17,69,50,30,1011,1008,1006,10,10,10,29,14,,0.00,5,,56<br />
2000-1-10,38,31,25,21,19,18,74,50,31,1010,1008,1005,10,10,10,27,11,,0.00,4,,39<br />
2000-1-11,39,32,25,22,18,15,83,47,24,1009,1006,1001,10,7,5,26,10,,0.00,3,,34<br />
2000-1-12,38,32,26,23,21,19,78,58,35,1006,1005,1002,10,10,8,27,21,,0.00,6,Rain-Thunderstorm,102<br />
2000-1-13,38,31,24,24,22,20,100,71,37,1007,1005,1003,10,10,6,29,18,,0.00,6,Rain-Thunderstorm,63<br />
2000-1-14,34,28,22,24,22,21,94,82,52,1007,1005,1002,10,9,3,37,8,42,0.00,5,Rain-Thunderstorm,60<br />
2000-1-15,32,27,23,24,22,21,94,86,59,1008,1005,1002,10,8,1,37,13,55,0.00,6,Rain-Thunderstorm,43<br />
2000-1-16,35,29,23,24,23,22,94,69,47,1005,1003,1001,10,10,10,34,10,,0.00,5,,32<br />
2000-1-17,37,31,25,24,22,20,74,59,37,1010,1006,1003,10,10,10,27,13,,0.00,4,,345<br />
2000-1-18,36,31,26,24,24,22,89,69,50,1012,1011,1008,10,10,8,26,16,,0.00,4,Thunderstorm,180<br />
2000-1-19,35,30,26,23,21,16,78,59,36,1012,1010,1006,10,10,10,26,14,,0.00,3,,178<br />
2000-1-20,35,28,22,19,17,16,83,52,32,1009,1006,1003,8,8,8,13,6,,0.00,2,,165<br />
2000-1-21,38,31,25,23,19,17,69,52,31,1005,1003,1000,10,9,7,23,10,,0.00,4,,66<br />
2000-1-22,35,30,26,24,23,20,79,61,41,1008,1006,1003,10,10,9,26,14,,0.00,6,Thunderstorm,122<br />
2000-1-23,36,30,24,25,22,20,94,72,44,1009,1007,1004,10,8,0,29,11,,0.00,5,Rain-Thunderstorm,181<br />
2000-1-24,34,29,24,25,22,2,94,76,13,1011,1008,1003,10,9,3,27,10,,0.00,5,Rain-Thunderstorm,106<br />
2000-1-25,32,27,23,24,23,14,94,78,50,1010,1008,1007,10,10,8,23,11,,0.00,6,Rain-Thunderstorm,195<br />
2000-1-26,31,27,24,22,17,14,89,55,37,1012,1011,1009,,,,27,18,,0.00,,,180<br />
2000-1-27,32,26,19,16,14,12,78,53,29,1013,1011,1008,,,,21,11,,0.00,,,178<br />
2000-1-28,34,27,21,21,18,16,83,59,36,1011,1009,1006,10,10,10,16,10,,0.00,2,,140<br />
2000-1-29,35,29,23,21,19,16,74,57,32,1009,1007,1004,10,10,10,21,5,,0.00,4,,76<br />
2000-1-30,28,24,22,23,21,19,100,79,58,1008,1007,1006,10,7,0,29,16,45,0.00,4,Rain-Thunderstorm,106<br />
2000-1-31,29,26,23,23,21,20,100,80,58,1012,1009,1007,10,9,3,23,11,,0.00,6,,267<br />
