
BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-2-21,32,29,27,23,23,23,79,69,59,1012,1010,1008,10,10,10,19,11,,0.00,3,,78<br />
2005-2-22,32,29,27,25,24,23,79,72,62,1014,1011,1009,10,10,10,19,11,,0.00,4,,91<br />
2005-2-23,33,30,27,26,24,23,84,73,62,1015,1013,1011,10,10,10,26,16,,0.00,5,,120<br />
2005-2-24,33,30,27,25,24,23,79,73,62,1016,1014,1012,10,10,10,26,16,,0.00,4,,114<br />
2005-2-25,33,30,27,25,24,23,79,74,63,1014,1013,1011,10,10,7,19,13,,0.00,5,Rain,123<br />
2005-2-26,32,29,27,27,25,23,94,76,62,1014,1012,1010,10,10,10,23,13,,0.00,4,,134<br />
2005-2-27,32,29,27,25,24,23,79,72,66,1013,1012,1011,10,10,10,23,14,,0.00,4,,110<br />
2005-2-28,33,30,27,26,24,23,79,72,63,1015,1013,1011,10,10,8,23,14,,0.00,3,,109<br />
2005-3-1,33,30,27,25,24,23,84,72,55,1014,1012,1010,10,10,10,23,11,,0.00,3,,94<br />
2005-3-2,33,29,26,25,24,23,83,71,59,1014,1012,1010,10,10,10,21,13,,0.00,4,,112<br />
2005-3-3,33,30,27,26,24,23,84,73,59,1015,1013,1012,10,10,10,26,14,,0.00,5,,122<br />
2005-3-4,33,30,27,25,24,23,79,70,59,1016,1014,1012,10,10,10,21,16,,0.00,3,,106<br />
2005-3-5,32,29,27,26,24,23,79,71,62,1016,1014,1013,10,10,9,24,16,,0.00,4,,116<br />
2005-3-6,32,29,27,25,24,23,79,71,62,1014,1013,1011,10,10,10,24,16,,0.00,4,,121<br />
2005-3-7,32,29,27,25,24,23,79,71,62,1014,1012,1010,10,10,10,23,14,,0.00,4,,122<br />
2005-3-8,32,29,27,24,23,22,79,70,62,1014,1012,1010,10,10,10,19,14,,0.00,4,,130<br />
2005-3-9,32,29,27,24,23,22,79,70,59,1013,1011,1009,10,10,10,23,13,,0.00,3,,110<br />
2005-3-10,32,29,27,25,24,23,79,71,62,1014,1012,1011,10,10,9,21,11,,0.00,5,,73<br />
2005-3-11,33,30,27,25,24,23,79,71,59,1015,1013,1011,10,10,10,26,14,,0.00,4,,95<br />
2005-3-12,32,29,27,25,24,23,84,73,62,1014,1012,1010,10,10,10,23,18,,0.00,4,,95<br />
2005-3-13,32,29,27,25,24,23,79,73,66,1013,1011,1009,10,10,9,21,13,,0.00,5,,111<br />
2005-3-14,33,30,28,25,24,23,79,71,59,1013,1011,1010,10,10,10,23,14,,0.00,4,,110<br />
2005-3-15,32,29,27,25,24,23,79,71,62,1013,1011,1009,10,10,10,19,14,,0.00,4,,122<br />
2005-3-16,32,29,26,25,24,23,83,72,62,1013,1012,1010,10,10,8,23,14,,0.00,3,,120<br />
2005-3-17,32,29,27,25,24,24,84,73,62,1013,1011,1009,10,10,10,23,16,,0.00,4,,129<br />
2005-3-18,32,29,27,25,24,23,79,71,66,1013,1012,1010,10,10,10,21,13,,0.00,5,,120<br />
2005-3-19,33,30,27,26,24,23,79,74,66,1014,1012,1010,10,10,10,21,13,,0.00,4,,93<br />
2005-3-20,32,30,28,26,24,24,84,74,62,1015,1013,1011,10,10,10,23,11,,0.00,3,,109<br />
2005-3-21,32,30,28,25,24,24,79,72,66,1014,1012,1011,10,10,10,23,14,,0.00,4,,113<br />
2005-3-22,33,30,28,25,24,24,84,73,63,1014,1013,1011,10,10,10,23,14,,0.00,5,,163<br />
2005-3-23,32,29,26,25,24,23,89,73,66,1015,1013,1012,10,10,4,23,13,,0.00,4,Rain,134<br />
2005-3-24,32,29,26,25,24,24,89,77,62,1014,1013,1011,10,10,10,19,10,,0.00,5,,106<br />
2005-3-25,32,29,27,25,24,23,84,73,62,1014,1012,1010,10,10,7,23,11,,0.00,5,,96<br />
2005-3-26,32,29,27,25,24,23,84,73,62,1013,1011,1009,10,10,10,21,10,,0.00,5,,92<br />
2005-3-27,31,28,26,26,24,23,94,82,74,1013,1011,1009,10,9,3,19,8,,0.00,5,Rain-Thunderstorm,46<br />
2005-3-28,29,27,25,25,24,23,94,84,74,1013,1011,1010,10,9,5,19,5,,0.00,6,Rain,84<br />
