
IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,18,11,4,-1,-3,-5,56,36,24,1023,1020,1019,10,9,8,11,8,,0.00,0,,169<br />
2000-1-2,20,9,-1,-2,-4,-7,75,44,21,1019,1017,1015,7,4,2,11,5,,0.00,0,,220<br />
2000-1-3,20,11,2,-2,-6,-8,56,35,17,1016,1015,1013,10,8,5,14,6,,0.00,2,,184<br />
2000-1-4,18,9,0,-4,-7,-10,56,33,18,1015,1014,1012,10,9,6,14,8,,0.00,4,,257<br />
2000-1-5,17,10,3,-3,-6,-9,48,36,26,1015,1013,1012,8,5,4,11,5,,0.00,6,,284<br />
2000-1-6,16,11,6,-2,-4,-6,57,39,27,1015,1013,1010,10,8,2,21,8,,0.00,6,,144<br />
2000-1-7,16,10,4,2,0,-2,81,58,36,1017,1011,1008,10,8,2,40,13,,0.00,4,,349<br />
2000-1-8,6,2,-1,-1,-2,-4,100,71,49,1025,1022,1018,10,10,10,32,23,,0.00,5,,25<br />
2000-1-9,3,0,-3,-1,-3,-6,100,82,56,1025,1022,1019,10,7,4,14,8,,0.00,4,,89<br />
2000-1-10,6,0,-6,-2,-6,-11,100,75,31,1018,1017,1015,10,6,1,29,10,,0.00,4,Snow,197<br />
2000-1-11,-4,-7,-8,-4,-6,-8,100,99,93,1023,1020,1018,8,6,4,18,11,,0.00,6,Snow,179<br />
2000-1-12,-3,-6,-8,-4,-6,-8,100,95,80,1023,1021,1019,8,5,1,11,6,,0.00,6,,132<br />
2000-1-13,3,-3,-10,-4,-7,-10,100,80,41,1025,1023,1022,10,6,2,18,5,,0.00,0,,133<br />
2000-1-14,3,-3,-8,-6,-7,-9,100,74,41,1025,1024,1023,10,8,4,18,5,,0.00,2,,161<br />
2000-1-15,4,-2,-8,-6,-8,-11,100,75,33,1026,1024,1021,10,7,4,11,6,,0.00,1,,177<br />
2000-1-16,6,0,-5,-4,-8,-12,100,64,31,1021,1016,1013,10,7,3,14,5,,0.00,5,,181<br />
2000-1-17,4,1,-2,1,-3,-7,100,81,52,1015,1013,1011,10,5,0,18,5,,0.00,6,Fog-Snow,150<br />
2000-1-18,6,2,-2,1,-2,-4,100,88,49,1017,1015,1013,10,4,0,11,6,,0.00,5,Fog,144<br />
2000-1-19,13,4,-4,0,-6,-11,80,44,22,1018,1013,1008,10,8,5,29,10,,0.00,3,,257<br />
2000-1-20,14,9,4,3,1,-2,87,59,41,1016,1011,1007,10,10,8,21,10,,0.00,3,Rain,322<br />
2000-1-21,13,7,0,5,-1,-7,100,66,28,1008,1006,1004,10,9,3,18,8,,0.00,2,Rain,124<br />
2000-1-22,8,3,-1,3,0,-3,100,78,50,1014,1011,1008,10,9,4,32,11,,0.00,3,,189<br />
2000-1-23,11,3,-4,0,-7,-12,100,57,19,1020,1016,1013,10,9,4,18,6,,0.00,1,,237<br />
2000-1-24,11,3,-3,-4,-8,-14,86,49,17,1026,1021,1020,10,9,4,14,6,,0.00,1,,48<br />
2000-1-25,10,3,-4,-6,-7,-9,80,53,29,1027,1024,1019,8,6,5,11,5,,0.00,0,,213<br />
2000-1-26,13,4,-5,-5,-10,-15,86,47,13,1019,1017,1014,10,7,4,14,6,,0.00,1,,275<br />
2000-1-27,17,9,1,-4,-8,-12,44,28,18,1016,1014,1013,10,10,7,26,10,,0.00,2,,262<br />
2000-1-28,15,10,5,2,-1,-4,81,45,29,1015,1014,1012,10,8,0,35,14,,0.00,6,,201<br />
2000-1-29,9,6,1,3,1,-3,100,86,43,1020,1017,1013,10,7,4,18,13,,0.00,7,Rain-Snow,166<br />
2000-1-30,1,-1,-3,1,0,-3,100,99,93,1026,1020,1015,10,5,0,14,10,,0.00,7,Fog-Rain-Snow,186<br />
2000-1-31,7,0,-6,1,-2,-6,100,85,46,1027,1024,1020,10,5,2,11,6,,0.00,1,Fog,164<br />
2000-2-1,10,3,-3,3,-3,-7,100,69,30,1019,1013,1010,10,8,4,11,5,,0.00,2,,240<br />
2000-2-2,10,4,-1,3,-1,-7,100,78,30,1018,1013,1010,10,9,6,26,10,,0.00,5,,185<br />
2000-2-3,4,1,-2,2,0,-2,100,93,65,1024,1021,1018,10,6,1,18,11,,0.00,6,Snow,180<br />
2000-2-4,9,2,-4,-1,-4,-9,100,71,27,1023,1020,1015,10,7,4,11,8,,0.00,1,,220<br />
2000-2-5,12,4,-2,-1,-4,-8,100,56,26,1017,1015,1014,8,8,8,14,8,,0.00,0,,174<br />
2000-2-6,11,4,-2,-1,-4,-7,100,60,28,1017,1013,1010,10,8,5,11,5,,0.00,1,,269<br />
2000-2-7,15,8,0,1,-2,-5,93,64,27,1010,1007,1004,10,7,5,29,10,,0.00,5,,356<br />
2000-2-8,3,0,-4,1,-4,-12,100,77,47,1020,1014,1010,10,7,1,40,21,,0.00,7,Snow,2<br />
2000-2-9,0,-3,-7,-4,-6,-8,100,83,60,1023,1021,1020,10,9,6,14,10,,0.00,3,,150<br />
2000-2-10,4,-2,-7,-2,-5,-7,100,79,45,1025,1023,1022,10,6,4,14,6,,0.00,0,,163<br />
2000-2-11,8,1,-5,2,-3,-6,100,77,37,1026,1024,1022,8,6,3,14,5,,0.00,0,,177<br />
2000-2-12,12,4,-2,0,-6,-12,100,59,23,1022,1020,1018,8,7,4,14,6,,0.00,2,,223<br />
2000-2-13,13,6,-2,-1,-3,-6,100,58,31,1021,1018,1014,7,6,5,11,6,,0.00,4,,178<br />
2000-2-14,11,6,2,5,1,-4,100,74,47,1015,1012,1009,10,7,4,43,10,,0.00,7,Rain,294<br />
2000-2-15,6,3,0,4,1,0,100,91,66,1023,1021,1016,10,5,0,32,18,,0.00,7,Fog-Rain-Snow,142<br />
2000-2-16,9,4,0,4,-2,-7,100,71,32,1023,1021,1017,8,5,0,14,8,,0.00,3,Fog,144<br />
2000-2-17,15,7,-2,2,-2,-6,100,65,25,1016,1015,1013,10,8,5,11,8,,0.00,1,,281<br />
2000-2-18,13,7,0,5,1,-6,100,77,28,1019,1016,1014,10,8,4,21,5,,0.00,4,Rain,202<br />
2000-2-19,9,6,2,4,1,-4,100,73,43,1022,1020,1019,10,9,4,14,10,,0.00,5,,182<br />
2000-2-20,12,6,-1,1,-2,-3,100,64,38,1019,1016,1013,10,8,4,14,6,,0.00,1,,194<br />
2000-2-21,12,7,2,5,1,-4,100,77,37,1019,1015,1013,10,8,5,35,11,,0.00,4,Rain,218<br />
2000-2-22,12,7,2,4,2,-2,100,82,38,1019,1018,1016,10,6,4,11,5,,0.00,4,,139<br />
2000-5-4,34,24,14,8,6,1,44,29,17,1018,1015,1013,10,8,6,35,11,,0.00,0,,169<br />
2000-5-5,25,20,16,11,8,5,59,48,37,1024,1022,1019,8,6,5,29,13,,0.00,0,,175<br />
2000-5-6,33,22,12,14,9,6,82,44,23,1023,1018,1014,10,7,5,29,8,,0.00,1,,172<br />
2000-5-7,37,27,17,11,8,5,49,33,18,1015,1013,1010,10,7,4,29,8,,0.00,5,,158<br />
2000-5-8,32,26,20,13,10,8,46,37,31,1016,1014,1011,10,9,8,35,14,,0.00,5,,187<br />
2000-5-9,37,27,18,15,12,8,64,41,25,1013,1010,1007,10,7,1,47,11,,0.00,5,,39<br />
2000-5-10,20,17,14,14,11,5,94,68,49,1019,1017,1013,10,8,4,35,26,,0.00,7,,182<br />
2000-5-11,25,18,12,7,6,3,62,45,31,1020,1018,1016,10,10,7,29,14,,0.00,3,,184<br />
2000-5-12,26,19,12,9,6,3,58,42,32,1019,1017,1014,10,10,10,29,11,,0.00,1,,176<br />
2000-5-13,29,20,12,7,0,-6,51,28,10,1017,1015,1013,10,9,7,29,10,,0.00,1,,178<br />
2000-5-14,33,23,14,-1,-4,-8,29,17,7,1016,1015,1013,10,10,10,18,10,,0.00,1,,120<br />
2000-5-15,34,24,14,3,-3,-7,36,17,9,1016,1013,1009,10,5,4,26,10,,0.00,0,,180<br />
2000-5-16,27,21,16,7,3,-6,45,29,16,1013,1011,1009,10,9,8,35,14,,0.00,3,,185<br />
2000-5-17,27,21,15,9,7,2,59,41,29,1014,1012,1009,10,10,10,29,14,,0.00,2,,178<br />
2000-5-18,28,22,16,8,6,4,48,35,25,1015,1012,1010,10,10,8,29,13,,0.00,2,,197<br />
2000-5-19,34,24,16,8,6,2,42,30,17,1010,1009,1006,10,9,7,40,10,,0.00,3,,140<br />
2000-5-20,32,24,18,9,6,4,43,33,22,1011,1008,1004,10,10,5,29,14,,0.00,3,,176<br />
2000-5-21,25,20,16,12,10,8,72,53,44,1018,1015,1012,10,9,5,43,19,,0.00,4,,119<br />
2000-5-22,28,21,15,12,9,6,72,49,34,1018,1016,1015,10,10,10,26,10,,0.00,2,,162<br />
2000-5-23,29,21,14,7,4,1,51,34,23,1018,1016,1014,10,7,5,47,13,,0.00,1,,168<br />
2000-5-24,30,21,13,4,2,-2,38,25,19,1016,1015,1013,8,8,7,21,8,,0.00,0,,174<br />
2000-5-25,32,23,14,5,2,-1,39,24,17,1016,1014,1012,6,6,6,29,10,,0.00,0,,176<br />
2000-5-26,35,25,15,5,2,-2,36,22,14,1013,1011,1009,10,8,4,32,11,,0.00,1,,162<br />
2000-5-27,38,27,17,6,2,-6,30,20,14,1010,1007,1004,10,8,6,43,13,,0.00,1,,161<br />
2000-5-28,34,26,17,7,4,1,37,25,16,1012,1009,1008,,,,32,8,,0.00,,,131<br />
2000-5-29,31,23,17,12,8,1,68,36,27,1014,1013,1011,10,9,8,29,13,,0.00,1,,118<br />
2000-5-30,33,24,17,12,9,7,52,37,24,1012,1011,1009,10,9,5,29,8,,0.00,1,,121<br />
2000-5-31,34,26,17,10,8,6,52,33,21,1012,1010,1008,10,10,10,35,10,,0.00,1,,154<br />
2000-6-1,23,22,19,5,5,4,37,34,31,1011,1010,1010,10,10,10,6,5,,0.00,1,,197<br />
2000-6-10,29,29,23,6,3,0,23,22,22,1014,1014,1013,,,,14,10,,0.00,,,160<br />
