
KGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,-2,-6,-9,-6,-9,-14,86,70,31,1034,1024,1015,10,7,3,32,14,,0.00,8,Snow,152<br />
2013-1-2,-2,-6,-9,-8,-10,-13,93,79,41,1037,1027,1021,19,6,2,18,8,35,0.00,8,,216<br />
2013-1-3,1,-4,-9,-8,-10,-12,86,68,30,1029,1022,1020,19,6,2,21,10,,0.00,8,,168<br />
2013-1-4,-2,-6,-9,-6,-8,-10,93,86,55,1033,1027,1024,19,6,2,26,6,32,2.03,8,Snow,264<br />
2013-1-5,-4,-10,-15,-10,-14,-17,93,76,37,1038,1027,1019,19,6,1,14,5,,2.03,7,Fog-Snow,68<br />
2013-1-6,2,-4,-11,-7,-13,-19,85,58,23,1026,1016,1015,19,3,0,14,5,,0.00,,Fog,103<br />
2013-1-7,8,1,-7,-6,-11,-15,73,50,20,1024,1018,1015,19,5,1,21,10,,0.00,,,135<br />
2013-1-8,9,3,-3,-6,-9,-13,74,47,21,1023,1017,1015,19,7,1,21,11,,0.00,,,122<br />
2013-1-9,8,1,-6,-7,-9,-11,80,50,16,1022,1018,1017,19,6,1,18,10,,0.00,,Fog,110<br />
2013-1-10,10,3,-3,-3,-8,-12,68,50,16,1022,1015,1013,19,5,1,26,11,,0.00,,Fog,110<br />
2013-1-11,12,4,-2,-3,-6,-9,80,52,15,1017,1008,1005,19,12,3,21,11,26,0.00,8,,100<br />
2013-1-12,4,1,-2,2,-2,-4,100,85,65,1027,1016,1005,10,6,1,21,10,,13.97,8,Fog-Rain-Snow,239<br />
2013-1-13,1,-4,-9,-5,-7,-11,86,72,41,1036,1029,1025,19,5,1,18,11,,7.87,8,,124<br />
2013-1-14,1,-4,-9,-8,-11,-15,86,68,31,1032,1020,1009,19,6,1,18,8,,0.00,,Fog,110<br />
2013-1-15,3,-4,-11,-7,-10,-14,85,60,19,1023,1014,1008,19,6,2,26,13,32,0.00,8,,157<br />
2013-1-16,-1,-3,-6,-3,-6,-8,93,82,50,1037,1029,1023,10,8,2,18,8,,0.76,8,Snow,31<br />
2013-1-17,-1,-7,-12,-6,-9,-14,96,81,36,1039,1031,1028,19,6,1,21,6,,0.76,8,Snow,165<br />
2013-1-18,-4,-11,-17,-11,-14,-19,92,77,43,1036,1025,1022,10,2,0,11,3,,0.00,0,Fog,105<br />
2013-1-19,0,-5,-10,-10,-13,-18,85,64,26,1029,1021,1020,19,4,1,14,6,,0.00,0,Fog,141<br />
2013-1-20,3,-1,-4,-3,-8,-12,75,56,29,1027,1021,1017,19,8,3,29,11,,0.00,8,,144<br />
2013-1-21,8,3,-3,-6,-9,-12,63,47,16,1026,1017,1014,19,6,1,29,16,,0.00,8,,108<br />
2013-1-22,8,4,1,0,-6,-14,93,60,9,1023,1017,1014,19,7,2,32,13,,18.03,8,Rain-Snow,186<br />
2013-1-23,6,1,-3,0,-2,-5,100,84,38,1029,1024,1022,19,4,0,14,5,40,18.03,7,Fog-Rain-Snow,93<br />
2013-1-24,6,1,-3,-4,-6,-9,93,70,21,1026,1019,1016,19,4,1,14,6,,0.00,7,,148<br />
2013-1-25,10,4,-1,-2,-5,-8,81,54,24,1022,1017,1016,19,5,1,26,10,35,0.00,8,,125<br />
2013-1-26,11,6,1,-1,-3,-5,75,59,24,1026,1022,1018,19,8,4,21,11,,0.00,,,116<br />
2013-1-27,10,6,2,2,-1,-7,81,61,34,1021,1017,1015,19,10,4,32,14,50,0.76,8,Rain,150<br />
2013-1-28,8,3,-2,3,1,-2,100,87,56,1028,1022,1017,10,5,0,21,10,35,4.06,8,Fog-Rain,176<br />
2013-1-29,1,-1,-3,0,-2,-4,100,97,88,1026,1019,1016,9,2,0,26,6,,1.02,8,Fog-Snow,260<br />
2013-1-30,1,-3,-6,-1,-4,-8,100,90,70,1026,1018,1014,10,5,0,14,6,,3.05,6,Fog-Snow,75<br />
2013-1-31,6,0,-5,2,-4,-8,100,92,70,1024,1019,1015,19,2,0,14,5,,0.00,7,Fog-Rain,139<br />
2013-2-1,10,5,0,1,-1,-2,93,76,39,1024,1013,1003,19,4,1,18,8,,0.00,8,Fog,112<br />
