
NZDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,24,20,16,16,14,12,83,69,57,1022,1021,1020,30,30,30,21,11,,0.00,3,,85<br />
2008-1-2,24,20,16,16,14,13,88,70,53,1023,1021,1019,30,30,30,23,10,,0.00,3,,283<br />
2008-1-3,24,19,14,17,15,13,94,77,57,1021,1019,1018,30,30,30,26,10,,0.00,2,,204<br />
2008-1-4,24,20,17,16,15,13,88,73,50,1023,1020,1018,,,,23,13,,0.00,5,,186<br />
2008-1-5,24,20,17,15,14,13,88,69,50,1025,1024,1023,30,28,25,26,14,,0.00,7,,66<br />
2008-1-6,25,21,18,17,16,15,88,74,54,1025,1023,1021,30,30,25,26,13,,0.00,6,,49<br />
2008-1-7,25,22,19,19,18,17,88,79,61,1022,1019,1016,30,27,20,24,14,,0.00,5,,27<br />
2008-1-8,23,20,18,19,18,17,100,86,69,1017,1013,1011,30,22,3,14,10,,0.00,6,Rain,9<br />
2008-1-9,22,20,18,20,18,17,94,88,78,1013,1012,1011,30,22,15,11,8,,0.00,6,Rain,91<br />
2008-1-10,22,20,18,19,16,13,94,75,57,1017,1014,1012,30,21,6,24,16,,0.00,3,Rain,210<br />
2008-1-11,25,21,17,17,12,9,83,61,44,1022,1020,1018,30,24,20,21,14,,0.00,3,,67<br />
2008-1-12,24,20,16,13,12,10,82,61,44,1023,1022,1019,30,30,30,21,11,37,0.00,3,,23<br />
2008-1-13,25,19,14,15,13,11,88,66,44,1022,1020,1019,,,,21,11,,0.00,1,,263<br />
2008-1-14,25,20,15,17,14,12,94,71,47,1020,1019,1016,,,,19,8,,0.00,2,,141<br />
2008-1-15,25,21,17,17,16,14,88,74,53,1018,1016,1014,,,,29,10,,0.00,3,,188<br />
