
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,2,0,-2,0,-4,-5,96,84,72,1027,1023,1017,11,8,3,40,22,50,T,8,Snow,340<br />
2013-1-2,6,2,-3,-3,-5,-6,81,65,49,1028,1025,1023,16,16,11,26,12,34,0.00,4,,282<br />
2013-1-3,6,-1,-7,-4,-6,-8,84,65,45,1032,1031,1027,16,16,16,23,11,29,0.00,0,,328<br />
2013-1-4,8,2,-6,-2,-4,-8,88,65,41,1032,1030,1026,16,16,16,34,12,39,0.00,7,,197<br />
2013-1-5,10,5,-1,1,-1,-5,85,66,46,1027,1024,1022,16,16,14,32,17,40,0.00,4,,217<br />
2013-1-6,11,4,-3,-3,-6,-7,78,53,28,1031,1028,1027,16,16,16,21,10,23,0.00,0,,345<br />
2013-1-7,11,2,-6,-2,-5,-8,75,53,30,1027,1023,1019,16,16,16,32,14,39,0.00,5,,164<br />
2013-1-8,13,6,-1,7,3,-3,93,75,43,1021,1019,1016,16,14,5,26,11,,0.25,6,Rain,152<br />
2013-1-9,9,9,8,8,7,6,93,87,80,1026,1022,1019,11,5,0,37,22,47,6.10,8,Fog-Rain,33<br />
2013-1-10,14,11,8,12,9,7,97,91,78,1019,1012,1009,16,9,2,23,16,,3.05,8,Rain,133<br />
2013-1-11,21,14,7,10,7,1,92,67,42,1010,1007,1004,16,16,16,50,24,61,0.00,6,,191<br />
2013-1-12,13,5,-3,1,-5,-11,76,54,32,1018,1014,1010,16,16,16,52,33,61,T,7,,358<br />
2013-1-13,0,-3,-6,-10,-12,-13,65,52,39,1029,1025,1019,16,16,16,42,25,50,0.00,2,,360<br />
2013-1-14,3,-1,-6,-9,-12,-13,57,43,29,1031,1028,1026,16,16,16,29,18,35,0.00,4,,40<br />
2013-1-15,2,-2,-6,-8,-10,-12,77,60,43,1027,1025,1024,16,16,16,26,14,34,0.00,6,,360<br />
2013-1-16,9,0,-9,-3,-8,-12,80,54,27,1024,1023,1021,16,16,16,23,9,32,0.00,1,,259<br />
2013-1-17,13,6,-1,-1,-2,-4,82,59,35,1033,1030,1024,16,16,16,29,14,34,0.00,0,,339<br />
2013-1-18,16,6,-3,-1,-2,-5,85,58,31,1032,1027,1022,16,16,16,39,18,47,0.00,0,,177<br />
2013-1-19,18,10,2,1,1,-2,76,55,34,1023,1021,1019,16,16,16,29,14,35,0.00,0,,224<br />
2013-1-20,18,11,3,2,-1,-7,70,49,28,1025,1022,1019,16,16,16,39,15,52,0.00,0,,26<br />
2013-1-21,7,1,-4,-8,-11,-12,60,44,27,1030,1027,1025,16,16,16,34,16,47,0.00,0,,38<br />
2013-1-22,15,4,-6,1,-4,-9,74,52,30,1026,1024,1021,16,16,16,29,12,35,0.00,0,,167<br />
2013-1-23,21,9,-3,8,4,-3,100,72,44,1024,1022,1019,16,12,4,23,7,27,0.00,2,,158<br />
2013-1-24,10,5,-1,6,-2,-4,80,69,57,1024,1022,1020,16,15,11,34,18,42,0.00,7,,22<br />
2013-1-25,10,4,-2,-1,-2,-4,85,64,42,1025,1023,1020,16,11,5,27,13,35,0.00,7,,19<br />
2013-1-26,9,3,-2,6,3,-4,96,83,70,1024,1021,1017,16,8,0,29,15,39,T,7,Fog-Rain,140<br />
2013-1-27,21,14,6,13,11,6,100,81,61,1017,1013,1009,16,9,0,40,26,52,T,6,Fog-Rain,171<br />
2013-1-28,23,19,16,16,15,12,97,81,64,1013,1009,1006,16,16,14,48,29,64,0.00,6,,181<br />
2013-1-29,20,12,4,16,11,1,93,83,73,1006,1002,997,16,14,2,45,21,56,18.54,7,Rain-Thunderstorm,256<br />
2013-1-30,8,3,-3,1,-4,-9,79,54,28,1019,1013,1005,16,16,16,50,27,61,T,5,Rain,315<br />
2013-1-31,15,6,-3,-3,-7,-11,75,51,26,1030,1022,1017,16,16,16,39,18,50,0.00,0,,286<br />
2013-2-1,11,2,-7,-3,-9,-14,67,48,28,1030,1026,1021,16,16,16,35,14,42,0.00,0,,114<br />
2013-2-2,15,7,-1,1,-2,-4,78,57,36,1026,1025,1021,16,16,16,26,12,34,0.00,2,,317<br />
2013-2-3,16,8,1,-1,-2,-3,70,49,28,1027,1021,1012,16,16,16,29,16,37,0.00,5,,149<br />
2013-2-4,19,14,8,3,-1,-3,61,42,22,1014,1011,1010,16,16,16,32,15,39,0.00,4,,10<br />
2013-2-5,20,11,1,8,3,-3,100,63,26,1017,1015,1013,16,12,0,16,5,23,0.00,1,Fog,136<br />
2013-2-6,14,10,6,14,11,6,100,93,86,1016,1013,1010,10,2,0,39,18,52,T,8,Fog-Rain,150<br />
2013-2-7,19,12,5,13,9,1,100,80,60,1022,1013,1008,16,9,0,52,24,66,0.51,7,Fog-Rain,32<br />
2013-2-8,13,6,-1,-1,-2,-4,82,56,30,1027,1023,1020,16,16,11,24,12,27,0.00,4,,58<br />
2013-2-9,9,5,1,8,3,-1,100,87,73,1020,1013,1005,16,10,1,47,28,60,0.25,7,Rain,147<br />
2013-2-10,17,11,4,11,1,-5,86,56,25,1017,1009,1004,16,14,1,35,22,45,0.76,5,Rain,254<br />
2013-2-11,12,7,2,-3,-5,-7,59,44,28,1024,1021,1018,16,16,16,29,17,37,0.00,4,,46<br />
2013-2-12,6,3,1,0,-1,-4,96,74,51,1018,1016,1014,16,5,0,29,20,35,15.75,8,Fog-Rain-Snow,19<br />
