
MYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,32,28,25,26,24,22,100,84,58,1009,1008,1005,10,10,9,14,5,,0.00,6,Rain-Thunderstorm,96<br />
2001-1-2,31,28,25,26,24,22,100,83,62,1011,1009,1006,10,10,9,19,5,,0.00,6,Rain-Thunderstorm,176<br />
2001-1-3,31,27,24,25,24,22,100,87,58,1012,1009,1007,10,10,2,21,3,,0.00,6,Rain-Thunderstorm,232<br />
2001-1-4,28,24,22,25,23,22,100,91,79,1012,1010,1008,10,9,3,23,8,,0.00,6,Rain-Thunderstorm,76<br />
2001-1-5,31,27,23,25,22,20,100,79,55,1012,1010,1007,10,10,9,13,6,,0.00,6,,293<br />
2001-1-6,33,28,24,25,23,21,94,76,49,1012,1010,1007,10,10,10,16,5,,0.00,6,,117<br />
2001-1-7,33,28,24,25,23,4,94,80,59,1011,1009,1006,10,10,9,19,6,,0.00,6,Thunderstorm,118<br />
2001-1-8,32,28,24,25,24,23,100,82,59,1010,1008,1005,10,10,3,26,6,,0.00,6,Rain-Thunderstorm,355<br />
2001-1-9,32,28,24,25,23,23,94,84,62,1011,1009,1006,10,10,4,35,8,,0.00,6,Rain-Thunderstorm,12<br />
2001-1-10,30,27,24,26,23,23,100,90,74,1011,1009,1008,10,9,2,21,6,,0.00,6,Rain-Thunderstorm,345<br />
2001-1-11,31,27,23,25,23,4,100,85,66,1011,1009,1006,10,10,9,23,8,,0.00,6,Rain,340<br />
2001-1-12,31,27,24,27,24,22,100,87,58,1011,1009,1007,10,10,3,19,6,,0.00,6,Rain,337<br />
2001-1-13,31,27,24,26,24,24,100,88,66,1011,1009,1006,10,10,3,16,6,,0.00,6,Rain-Thunderstorm,329<br />
