
NZDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,16,11,6,9,6,3,88,67,42,1008,1005,1001,30,19,5,24,16,,0.00,5,Rain,207<br />
2001-1-2,17,12,8,9,7,6,94,72,48,1020,1013,1008,30,26,15,34,16,,0.00,6,Rain,206<br />
2001-1-3,18,12,7,11,8,6,93,72,52,1023,1019,1018,30,30,30,26,10,,0.00,3,,43<br />
2001-1-4,19,16,13,13,12,10,82,74,64,1023,1022,1020,30,28,20,27,16,,0.00,6,,59<br />
2001-1-5,24,18,13,14,13,12,94,74,53,1022,1020,1018,30,20,10,24,11,,0.00,4,,52<br />
2001-1-6,21,17,14,15,13,12,94,78,60,1022,1021,1020,30,19,5,23,11,,0.00,5,,173<br />
2001-1-7,21,17,13,14,13,12,94,80,64,1022,1019,1016,30,25,7,24,8,,0.00,4,Rain,52<br />
2001-1-8,22,17,13,15,14,13,100,80,60,1016,1012,1009,30,19,10,29,10,35,0.00,3,,62<br />
2001-1-9,20,17,14,15,13,11,94,77,60,1015,1013,1011,30,25,15,26,18,,0.00,5,,202<br />
2001-1-10,16,14,12,13,12,9,100,87,72,1019,1016,1014,30,16,3,29,18,,0.00,6,Rain,208<br />
2001-1-11,18,14,10,9,8,7,94,70,55,1019,1017,1015,30,30,30,23,13,,0.00,5,,62<br />
2001-1-12,20,13,7,14,11,6,93,76,60,1015,1008,1002,30,30,30,34,16,,0.00,2,,57<br />
2001-1-13,16,13,10,14,10,8,94,84,63,1008,1006,1002,30,10,1,34,16,,0.00,6,Rain,159<br />
2001-1-14,15,12,9,9,6,4,94,69,48,1020,1014,1008,20,12,4,35,14,34,0.00,6,Rain,210<br />
2001-1-15,19,13,8,12,8,0,87,65,28,1019,1013,1003,20,20,20,35,14,,0.00,5,,43<br />
2001-1-16,24,17,10,10,6,3,76,48,25,1001,993,983,30,28,20,58,21,66,0.00,5,Rain,300<br />
2001-1-17,23,14,7,9,7,3,87,62,31,1009,1002,1000,,,,32,11,,0.00,3,,57<br />
2001-1-18,17,13,11,10,8,6,88,70,55,1017,1014,1009,30,21,5,24,13,,0.00,6,,94<br />
2001-1-19,18,14,10,12,10,7,88,75,64,1017,1014,1011,30,30,30,26,13,,0.00,5,,57<br />
2001-1-20,16,12,9,12,8,5,94,74,55,1015,1013,1011,30,27,15,34,14,,0.00,4,,207<br />
2001-1-21,26,18,10,10,7,6,82,61,28,1014,1005,998,30,30,30,45,18,64,0.00,5,,9<br />
2001-1-22,23,14,7,9,7,5,87,58,33,1013,1007,1005,,,,26,11,,0.00,2,,57<br />
2001-1-23,23,17,12,16,11,9,82,66,41,1014,1008,1003,30,22,15,32,19,,0.00,4,,43<br />
2001-1-24,22,18,14,11,9,6,72,61,46,1010,1007,1002,30,26,20,39,19,,0.00,3,,65<br />
2001-1-25,18,16,13,13,10,7,82,70,59,1009,1001,990,30,30,30,27,18,,0.00,5,Rain,89<br />
2001-1-26,17,13,8,11,8,5,94,77,48,999,996,991,30,20,15,52,26,64,0.00,5,Rain,258<br />
2001-1-27,16,10,5,7,5,2,93,67,39,1011,1002,995,30,30,30,45,16,60,0.00,3,,211<br />
2001-1-28,17,13,9,10,7,5,82,68,52,1013,1012,1011,30,29,25,37,13,,0.00,3,,50<br />
2001-1-29,23,18,13,13,11,11,94,72,47,1019,1014,1011,25,25,25,21,14,,0.00,3,,97<br />
2001-1-30,21,14,9,14,12,8,100,80,60,1019,1015,1010,30,23,20,34,13,,0.00,3,Fog,54<br />
