
AMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,30,27,24,26,24,24,100,95,74,1011,1008,1005,10,8,2,11,3,,0.00,5,Rain-Thunderstorm,27<br />
2000-1-2,28,26,23,26,24,23,100,98,84,1010,1008,1006,10,9,5,8,0,,0.00,6,Rain,177<br />
2000-1-3,29,26,23,26,24,23,100,93,74,1011,1008,1005,10,10,7,14,3,,0.00,6,Rain,3<br />
2000-1-4,30,27,23,25,24,23,100,90,70,1010,1008,1004,10,10,8,14,2,,0.00,5,,24<br />
2000-1-5,31,26,21,25,23,21,100,91,62,1011,1008,1005,10,9,2,32,5,,0.00,6,Rain-Thunderstorm,214<br />
2000-1-6,31,26,22,25,24,22,100,88,66,1011,1009,1005,10,10,3,19,2,,0.00,6,Rain-Thunderstorm,102<br />
2000-1-7,31,26,22,25,23,22,100,90,62,1012,1009,1005,10,9,5,19,2,,0.00,5,Rain-Thunderstorm,283<br />
2000-1-8,32,27,23,25,24,23,100,85,59,1011,1008,1004,10,10,10,13,2,,0.00,5,,271<br />
2000-1-9,29,26,23,25,24,23,100,95,74,1011,1009,1007,10,10,8,27,3,,0.00,5,Rain-Thunderstorm,150<br />
2000-1-10,31,27,23,25,24,23,100,88,62,1011,1009,1006,10,9,8,14,3,,0.00,5,Rain-Thunderstorm,73<br />
2000-1-11,32,28,24,26,24,23,100,89,66,1011,1008,1005,10,10,10,19,2,,0.00,5,Thunderstorm,102<br />
2000-1-12,30,27,23,25,24,23,100,92,66,1011,1010,1007,10,8,2,23,5,,0.00,6,Rain-Thunderstorm,30<br />
2000-1-13,32,27,22,25,23,22,100,89,59,1012,1009,1006,10,8,1,14,6,,0.00,6,Rain-Thunderstorm,99<br />
