
TAHT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,31,28,25,24,22,21,79,72,66,1014,1013,1011,10,10,10,21,6,,0.00,4,Thunderstorm,45<br />
2000-1-2,31,28,25,24,23,21,83,71,62,1014,1012,1011,10,10,10,14,6,,0.00,5,Thunderstorm,17<br />
2000-1-3,30,27,23,24,22,21,94,80,58,1014,1012,1009,10,10,4,27,10,40,0.00,5,Rain-Thunderstorm,51<br />
2000-1-4,31,28,25,24,23,21,83,73,66,1012,1011,1010,10,10,10,19,10,,0.00,4,Thunderstorm,49<br />
2000-1-5,30,28,25,24,23,21,83,76,66,1013,1012,1010,10,10,10,23,10,35,0.00,3,Rain-Thunderstorm,54<br />
2000-1-6,30,28,25,24,22,21,83,76,62,1013,1011,1010,10,9,6,23,6,,0.00,4,Rain-Thunderstorm,51<br />
2000-1-7,30,27,24,24,23,21,89,74,62,1012,1011,1009,10,9,6,19,8,,0.00,4,Thunderstorm,28<br />
2000-1-8,30,28,25,24,23,22,89,78,62,1013,1011,1009,10,10,6,34,13,40,0.00,4,Rain,39<br />
2000-1-9,29,27,24,24,23,22,94,82,66,1011,1010,1009,10,9,5,27,11,32,0.00,6,Rain,34<br />
2000-1-10,30,27,24,24,23,22,94,79,62,1012,1011,1009,10,10,10,19,8,,0.00,5,Rain,52<br />
2000-1-11,31,27,24,23,22,21,89,74,62,1011,1009,1008,10,10,10,11,6,,0.00,4,,34<br />
2000-1-12,30,28,25,24,23,22,83,74,66,1010,1008,1006,10,10,10,19,8,,0.00,4,,40<br />
2000-1-13,29,27,24,24,23,22,94,83,70,1011,1009,1007,10,8,3,35,11,40,0.00,6,Rain-Thunderstorm,25<br />
2000-1-14,27,26,24,24,23,22,100,90,78,1011,1010,1007,10,6,0,29,11,48,0.00,6,Rain,41<br />
2000-1-15,27,24,22,24,23,20,94,90,83,1013,1011,1009,10,7,1,42,16,58,0.00,6,Rain,25<br />
2000-1-16,29,26,23,23,21,18,94,76,58,1013,1012,1010,10,10,10,23,8,,0.00,6,Rain,71<br />
2000-1-17,31,27,24,23,21,20,78,68,55,1013,1011,1009,10,10,10,29,11,60,0.00,5,,58<br />
2000-1-18,30,27,24,23,21,19,89,70,62,1013,1011,1009,10,9,6,29,10,50,0.00,6,Rain-Thunderstorm,53<br />
2000-1-19,30,27,23,24,22,20,89,74,55,1013,1011,1009,10,9,6,32,11,45,0.00,5,Rain-Thunderstorm,58<br />
2000-1-20,31,27,23,23,22,19,89,73,51,1013,1011,1009,10,10,10,27,10,,0.00,5,Rain-Thunderstorm,57<br />
2000-1-21,32,28,24,23,22,20,83,72,58,1014,1012,1010,10,10,10,27,8,48,0.00,3,Thunderstorm,73<br />
2000-1-22,31,28,25,24,22,21,83,72,58,1014,1012,1011,10,10,10,14,5,,0.00,2,Thunderstorm,123<br />
2000-1-23,30,28,25,24,22,21,83,72,62,1013,1012,1010,10,10,10,27,10,48,0.00,3,,60<br />
2000-1-24,31,28,25,24,22,20,83,73,62,1015,1013,1011,10,10,6,39,13,47,0.00,3,Rain-Thunderstorm,52<br />
2000-1-25,31,28,25,24,22,20,84,71,62,1016,1014,1013,10,10,10,26,10,,0.00,3,,56<br />
2000-1-26,31,28,25,23,22,21,83,70,58,1016,1015,1014,10,10,10,23,10,,0.00,4,Rain,84<br />
2000-1-27,31,27,24,23,22,21,83,71,58,1015,1014,1013,10,10,10,11,6,,0.00,5,,72<br />
2000-1-28,31,28,25,24,22,21,83,71,62,1015,1014,1012,10,10,10,21,8,,0.00,3,Thunderstorm,39<br />
2000-1-29,31,28,25,24,22,21,83,73,62,1016,1014,1013,10,10,10,19,6,,0.00,5,Thunderstorm,21<br />
2000-1-30,31,28,25,24,22,21,83,71,62,1018,1016,1014,10,10,10,19,10,,0.00,2,,54<br />
2000-1-31,33,28,24,23,22,20,83,68,52,1018,1016,1015,10,10,10,23,6,,0.00,2,,147<br />
2000-2-1,32,28,25,26,23,20,84,71,55,1017,1015,1014,10,10,8,23,8,58,0.00,2,Rain-Thunderstorm,92<br />
2000-2-2,31,27,24,24,23,21,89,77,62,1015,1014,1012,10,9,6,21,6,,0.00,3,Rain,94<br />
2000-2-3,31,28,25,24,23,22,89,72,62,1016,1014,1013,10,10,10,24,6,,0.00,2,,79<br />
2000-2-4,32,28,25,25,23,21,83,70,55,1017,1015,1014,10,10,9,16,6,,0.00,2,Rain-Thunderstorm,149<br />
2000-2-5,32,27,23,23,21,19,88,67,55,1017,1015,1013,10,9,4,35,10,58,0.00,5,Rain-Thunderstorm,116<br />
2000-2-6,30,27,23,23,21,20,94,76,58,1015,1014,1012,10,10,3,35,11,64,0.00,6,Rain-Thunderstorm,91<br />
2000-2-7,32,28,24,24,22,20,83,72,59,1016,1015,1014,10,10,9,14,5,,0.00,3,Rain-Thunderstorm,177<br />
2000-2-8,31,27,24,24,22,21,94,80,58,1016,1015,1013,10,10,6,40,10,66,0.00,3,Rain-Thunderstorm,94<br />
2000-2-9,31,27,23,24,22,21,94,79,58,1015,1014,1011,10,9,3,39,10,69,0.00,4,Rain-Thunderstorm,129<br />
2000-2-10,31,27,24,24,22,20,89,76,62,1015,1013,1012,10,10,7,29,8,50,0.00,3,Rain-Thunderstorm,70<br />
2000-2-11,31,27,24,24,22,20,83,73,55,1014,1013,1011,10,10,10,27,11,48,0.00,3,Thunderstorm,132<br />
2000-2-12,32,28,24,24,22,20,83,69,58,1015,1013,1011,10,10,10,29,10,50,0.00,2,,77<br />
2000-2-13,32,28,24,23,22,20,83,71,59,1015,1014,1012,10,10,10,23,6,37,0.00,2,,67<br />
2000-2-14,31,28,25,24,22,20,83,72,58,1015,1013,1012,10,10,10,34,11,50,0.00,3,Thunderstorm,53<br />
2000-2-15,27,26,24,24,22,21,94,81,70,1015,1014,1012,10,10,10,23,8,,0.00,6,Rain-Thunderstorm,78<br />
2000-2-16,31,27,23,24,22,20,94,78,62,1016,1014,1012,10,9,1,39,13,53,0.00,4,Rain-Thunderstorm,44<br />
2000-2-17,31,27,24,24,22,19,83,70,62,1015,1013,1011,10,10,10,23,10,,0.00,6,,62<br />
2000-2-18,31,28,25,24,23,21,83,73,62,1015,1014,1012,10,10,10,23,8,42,0.00,3,,105<br />
2000-2-19,32,28,25,24,23,22,83,72,59,1015,1013,1012,10,10,10,16,5,,0.00,2,,182<br />
2000-2-20,32,28,25,24,22,21,83,73,58,1014,1013,1011,10,10,10,16,6,,0.00,3,,147<br />
2000-2-21,32,28,24,23,22,21,83,70,55,1015,1013,1011,10,10,10,27,8,48,0.00,4,Thunderstorm,90<br />
2000-2-22,27,26,26,23,22,21,83,77,74,1014,1013,1013,10,10,10,8,3,,0.00,6,Thunderstorm,78<br />
2000-5-3,30,28,26,25,24,23,89,82,74,1013,1012,1010,10,10,10,13,10,,0.00,4,,49<br />
2000-5-4,31,28,25,26,24,23,94,84,70,1015,1013,1011,10,10,7,16,8,29,0.00,3,Rain,76<br />
2000-5-5,30,27,24,25,23,22,89,82,70,1015,1013,1012,10,10,9,23,8,,0.00,4,,82<br />
2000-5-6,31,27,23,25,23,21,89,78,70,1016,1014,1013,10,10,10,21,6,,0.00,2,,43<br />
2000-5-7,30,27,24,24,22,21,89,76,66,1017,1015,1014,10,10,3,27,10,,0.00,1,,54<br />
2000-5-8,30,26,22,23,21,19,88,75,62,1017,1016,1014,10,10,10,14,5,,0.00,1,,173<br />
2000-5-9,31,26,22,23,21,20,88,74,55,1017,1015,1014,10,10,10,19,6,,0.00,1,,152<br />
2000-5-10,31,26,22,23,21,19,88,75,58,1015,1013,1012,10,10,10,11,6,,0.00,1,,175<br />
2000-5-11,30,27,23,23,22,20,83,76,66,1016,1014,1013,10,10,10,24,8,,0.00,3,,107<br />
2000-5-12,30,27,24,23,22,20,89,80,62,1017,1015,1013,10,10,7,23,8,,0.00,4,Rain,118<br />
2000-5-13,28,26,23,23,22,21,94,82,70,1016,1014,1012,10,10,6,16,6,,0.00,5,Rain,75<br />
