
PYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-2-18,35,29,23,26,23,21,100,80,49,1011,1009,1006,19,10,1,37,18,55,11.94,7,Rain-Thunderstorm,58<br />
2013-2-19,29,26,23,26,23,22,100,88,68,1012,1011,1009,19,11,3,29,14,,11.94,7,Rain-Thunderstorm,45<br />
2013-2-20,32,28,23,25,23,22,100,83,45,1012,1010,1007,19,11,3,19,5,,17.02,4,Rain-Thunderstorm,316<br />
2013-2-21,31,27,23,24,23,23,100,81,63,1014,1012,1010,19,11,8,27,18,,6.10,6,Rain-Thunderstorm,182<br />
2013-2-22,32,28,23,23,21,20,89,70,41,1016,1013,1011,19,14,10,21,11,,0.00,2,,158<br />
2013-2-23,33,27,21,24,21,19,88,68,39,1014,1011,1007,19,15,10,21,10,,0.00,1,,100<br />
2013-2-24,34,29,25,24,22,20,83,64,38,1010,1008,1004,19,13,9,32,16,40,0.00,2,,46<br />
2013-2-25,29,27,25,24,22,20,83,70,44,1011,1009,1002,19,12,7,34,13,52,0.00,6,,178<br />
2013-2-26,31,27,22,21,16,12,84,58,22,1015,1012,1011,19,13,6,29,18,37,0.00,6,,173<br />
2013-2-27,30,23,17,16,13,10,73,52,22,1016,1014,1011,19,13,5,27,16,,0.00,,,165<br />
2013-2-28,33,24,16,19,16,12,83,54,26,1014,1011,1007,19,10,5,14,5,,0.00,,,114<br />
2013-3-1,35,28,21,22,21,18,88,62,34,1010,1008,1005,19,14,6,37,14,55,0.00,1,,49<br />
2013-3-2,36,31,26,24,22,21,74,58,33,1010,1007,1005,19,13,9,37,24,55,0.00,2,,51<br />
2013-3-3,33,27,21,26,23,18,94,72,50,1013,1011,1009,19,12,5,37,14,55,0.76,7,Rain-Thunderstorm,341<br />
2013-3-4,24,21,17,20,18,16,100,85,66,1015,1013,1012,19,11,5,32,26,47,0.00,8,Rain,188<br />
2013-3-5,24,21,18,19,17,16,88,76,56,1015,1013,1010,19,12,10,69,19,,0.25,6,Rain-Thunderstorm,164<br />
2013-3-6,29,23,17,21,18,15,89,73,52,1012,1010,1007,19,17,10,14,3,,0.00,6,,86<br />
2013-3-7,31,26,21,24,23,20,84,72,57,1011,1009,1008,19,12,9,29,13,37,0.00,5,Thunderstorm,89<br />
2013-3-8,37,30,24,24,23,21,83,65,35,1013,1010,1006,19,13,9,27,18,,0.00,2,,42<br />
2013-3-9,36,31,26,24,22,19,83,65,45,1010,1008,1006,19,14,10,37,16,47,0.00,6,Thunderstorm,45<br />
2013-3-10,32,27,22,24,21,19,94,72,53,1011,1007,1005,19,12,3,63,21,71,0.00,4,Rain-Thunderstorm,92<br />
2013-3-11,29,24,20,23,21,17,89,77,55,1014,1007,1003,19,12,9,29,14,,0.00,6,Rain-Thunderstorm,87<br />
2013-3-12,34,26,18,26,22,18,100,79,44,1009,1004,999,19,11,1,47,18,84,25.91,5,Rain-Thunderstorm,19<br />
2013-3-13,28,22,18,19,18,17,92,79,49,1011,1010,1009,19,13,10,34,23,,0.00,7,,164<br />
2013-3-14,28,23,18,20,18,17,87,65,50,1013,1011,1009,19,13,10,27,21,45,0.00,5,,174<br />
2013-3-15,26,23,20,22,19,17,83,78,67,1017,1013,1012,19,12,10,42,18,55,0.00,7,Rain,183<br />
2013-3-16,28,24,20,21,19,17,88,72,50,1017,1016,1014,19,12,10,37,26,47,0.00,5,Rain,172<br />
2013-3-17,27,23,19,19,17,16,88,72,53,1017,1016,1013,19,13,10,37,24,47,0.00,6,,170<br />
2013-3-18,26,22,19,23,19,16,100,82,66,1016,1014,1012,19,11,3,19,13,,18.03,7,Rain,179<br />
2013-3-19,27,23,21,23,21,19,100,86,64,1014,1011,1008,19,12,10,13,8,,1.02,7,Rain,105<br />
2013-3-20,25,22,19,22,19,1,100,88,28,1011,1009,1007,19,10,4,19,10,,1.02,7,Rain-Thunderstorm,219<br />
2013-3-21,27,22,17,20,18,17,100,80,48,1014,1012,1009,19,12,9,26,5,,0.00,4,,171<br />
2013-3-22,28,23,17,19,18,15,94,73,36,1017,1015,1013,19,14,10,26,6,,0.00,1,,134<br />
2013-3-23,29,24,18,20,17,15,88,68,39,1015,1013,1011,19,12,7,19,8,,0.00,4,,122<br />
2013-3-24,31,24,18,19,18,16,100,69,33,1012,1009,1007,19,12,6,16,6,,0.00,1,,282<br />
2013-3-25,31,25,19,21,19,16,94,69,32,1014,1010,1008,19,13,8,26,5,,0.00,6,,155<br />
2013-3-26,30,24,18,19,17,13,94,64,31,1017,1015,1014,19,13,9,27,8,,0.00,4,,178<br />
2013-3-27,28,21,13,15,12,8,88,56,22,1019,1017,1015,19,16,8,29,10,,0.00,,,156<br />
2013-3-28,28,22,16,16,13,11,88,58,28,1019,1016,1013,19,19,19,23,18,,0.00,,,140<br />
2013-3-29,31,23,16,19,17,15,100,66,31,1017,1015,1013,19,13,8,16,8,,0.00,1,,79<br />
2013-3-30,32,23,15,18,17,15,88,61,29,1016,1014,1011,19,14,10,34,10,,0.00,2,,72<br />
2013-3-31,34,28,22,22,18,15,70,56,33,1015,1012,1010,19,13,10,29,16,,0.00,2,,56<br />
2013-4-1,36,29,22,25,22,20,100,71,46,1012,1009,1005,19,11,3,37,21,55,16.00,5,Rain-Thunderstorm,48<br />
2013-4-2,29,26,22,24,21,2,100,82,27,1011,1010,1008,19,12,10,29,18,,1.02,6,Rain-Thunderstorm,72<br />
