
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,15,7,-1,5,1,-2,93,79,42,1028,1027,1026,,,,13,6,,0.00,,,277<br />
2000-1-2,14,7,-1,8,3,-2,100,83,51,1029,1028,1027,10,9,8,11,6,,0.00,2,,292<br />
2000-1-3,15,9,3,8,6,2,93,83,59,1031,1030,1029,10,8,6,10,6,,0.00,4,,299<br />
2000-1-4,16,8,1,7,3,0,100,84,45,1030,1029,1027,8,7,6,14,6,,0.00,0,,256<br />
2000-1-5,15,7,-1,5,2,-1,100,83,45,1028,1025,1022,10,8,6,11,8,,0.00,0,,260<br />
2000-1-6,15,7,-2,5,1,-3,93,77,42,1027,1024,1022,8,7,7,13,6,,0.00,0,,302<br />
2000-1-7,15,7,-2,5,1,-3,100,77,39,1028,1026,1025,7,6,4,11,6,,0.00,0,,275<br />
2000-1-8,14,7,-1,6,2,-2,100,83,48,1027,1025,1024,9,5,4,11,6,,0.00,5,,277<br />
2000-1-9,14,8,2,6,4,1,93,78,44,1024,1023,1021,10,6,4,11,5,,0.00,4,,310<br />
2000-1-10,11,8,6,6,4,1,93,76,58,1030,1027,1024,10,10,6,19,8,,0.00,6,Rain,338<br />
2000-1-11,11,7,3,5,3,-1,93,75,47,1033,1032,1030,10,10,10,21,8,,0.00,5,,352<br />
2000-1-12,15,7,-1,4,1,-2,93,76,38,1033,1029,1026,,,,14,10,,0.00,,,267<br />
2000-1-13,13,6,-1,7,2,-2,100,83,44,1026,1021,1017,7,5,3,14,8,,0.00,2,,297<br />
2000-1-14,9,6,2,8,5,1,100,95,87,1017,1012,1009,6,3,1,13,6,,0.00,6,Rain,301<br />
2000-1-15,13,7,1,8,4,0,93,85,62,1022,1017,1012,10,9,6,14,6,,0.00,2,Rain-Thunderstorm,310<br />
2000-1-16,12,9,6,7,6,5,100,88,71,1027,1024,1022,10,9,6,21,8,,0.00,6,Rain,327<br />
2000-1-17,16,9,2,9,5,1,93,84,48,1029,1027,1025,10,8,4,16,10,,0.00,1,,295<br />
2000-1-18,18,9,0,6,3,-1,100,78,34,1025,1021,1016,8,6,3,14,6,,0.00,0,,270<br />
2000-1-19,15,8,2,8,3,-1,93,72,47,1025,1019,1015,10,10,10,21,11,,0.00,1,,247<br />
2000-1-20,13,8,3,7,4,2,93,80,58,1030,1028,1025,10,10,10,21,8,,0.00,5,,333<br />
2000-1-21,14,7,0,4,2,-1,100,78,41,1030,1026,1023,10,10,10,13,6,,0.00,1,,267<br />
2000-1-22,13,6,-2,6,1,-3,93,79,38,1023,1020,1016,,,,11,6,,0.00,,,303<br />
2000-1-23,14,7,0,1,-1,-6,100,65,33,1018,1017,1016,10,10,10,23,10,,0.00,1,,294<br />
2000-1-24,11,4,-1,-1,-3,-6,81,57,30,1019,1017,1016,,,,23,11,,0.00,,,270<br />
2000-1-25,10,3,-4,0,-3,-6,87,68,37,1022,1019,1017,10,10,10,13,6,,0.00,3,,294<br />
2000-1-26,11,6,0,6,3,-2,100,81,58,1030,1025,1022,10,9,4,16,8,,0.00,5,Rain,351<br />
2000-1-27,12,8,5,8,6,3,93,83,71,1031,1029,1028,10,9,8,14,8,,0.00,4,,344<br />
2000-1-28,14,9,4,8,5,3,100,88,51,1029,1027,1024,10,6,4,10,5,,0.00,2,,298<br />
2000-1-29,18,9,1,6,4,0,100,79,39,1030,1028,1026,8,5,2,13,6,,0.00,0,,267<br />
2000-1-30,23,13,4,8,3,0,87,65,29,1031,1030,1028,8,7,6,19,10,,0.00,0,,259<br />
2000-1-31,18,10,3,11,5,1,100,79,37,1032,1030,1029,8,5,4,11,6,,0.00,4,,322<br />
2000-2-1,26,14,4,9,5,2,100,58,28,1029,1027,1025,10,9,6,39,10,45,0.00,3,,264<br />
2000-2-2,24,18,12,10,8,6,77,58,36,1028,1026,1024,10,10,10,37,18,,0.00,2,,253<br />
2000-2-3,24,16,8,9,6,3,87,63,25,1033,1030,1027,,,,19,6,,0.00,,,248<br />
2000-2-4,21,12,3,11,4,-1,100,71,28,1037,1034,1032,8,3,0,19,6,,0.00,3,Fog,310<br />
2000-2-5,18,10,2,10,6,1,100,76,48,1037,1034,1031,8,4,0,13,5,,0.00,2,Fog,254<br />
2000-2-6,16,8,1,9,5,0,93,78,54,1032,1030,1028,8,5,3,13,6,,0.00,1,,319<br />
2000-2-7,22,13,4,9,4,1,100,63,29,1032,1029,1028,4,2,2,27,11,,0.00,0,,271<br />
2000-2-8,25,17,8,9,6,4,82,56,36,1029,1027,1024,,,,23,11,,0.00,,,256<br />
2000-2-9,23,16,8,8,5,3,93,61,31,1031,1029,1027,,,,26,11,,0.00,,,264<br />
2000-2-10,21,12,3,10,6,2,93,72,35,1032,1028,1024,10,10,10,14,6,,0.00,3,,290<br />
