
WIB,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,31,27,23,25,24,23,94,82,62,1013,1011,1009,8,7,5,19,3,,0.76,5,Rain,165<br />
2005-1-2,30,27,24,24,24,23,95,86,65,1013,1011,1009,10,6,1,19,2,,25.91,5,Rain,287<br />
2005-1-3,31,27,23,25,24,22,93,76,62,1012,1010,1008,8,6,3,19,5,,0.00,4,Rain,306<br />
2005-1-4,31,27,23,24,24,23,94,88,64,1013,1011,1009,8,6,1,14,0,,40.89,5,Rain-Thunderstorm,165<br />
2005-1-5,29,27,24,24,24,23,100,91,72,1013,1011,1009,8,6,3,11,3,,0.51,5,Rain,284<br />
2005-1-6,30,27,24,24,23,23,94,84,62,1013,1011,1008,7,5,3,19,5,,0.00,5,,309<br />
2005-1-7,32,28,23,24,22,21,88,71,54,1013,1011,1007,8,6,0,13,3,,0.00,5,,353<br />
2005-1-8,31,27,23,24,23,23,95,77,55,1013,1011,1008,6,4,3,16,2,,3.05,5,Rain,273<br />
2005-1-9,31,27,23,24,23,23,91,75,56,1013,1010,1007,10,6,3,23,8,,0.00,4,Rain,115<br />
2005-1-10,31,27,23,24,23,22,94,81,57,1012,1010,1008,10,7,5,19,5,,0.00,5,Rain-Thunderstorm,125<br />
2005-1-11,33,28,23,25,24,23,100,84,56,1012,1010,1007,11,7,0,23,8,,0.00,4,Fog,122<br />
2005-1-12,33,28,23,25,24,23,94,84,57,1013,1010,1008,10,7,3,26,6,,7.11,5,Rain-Thunderstorm,148<br />
2005-1-13,32,28,23,24,23,23,100,89,59,1012,1010,1007,10,7,2,19,5,,43.94,5,Rain-Thunderstorm,251<br />
2005-1-14,33,28,23,27,24,23,95,81,55,1012,1009,1006,11,7,3,23,5,,0.00,4,Rain,105<br />
2005-1-15,33,28,23,24,23,23,96,86,51,1011,1009,1007,10,6,3,26,5,,14.99,3,Rain-Thunderstorm,132<br />
2005-1-16,32,28,24,25,24,24,94,76,56,1013,1010,1007,8,6,5,19,5,,0.25,5,Rain-Thunderstorm,98<br />
2005-1-17,33,28,24,24,23,23,94,77,51,1013,1011,1008,8,6,3,26,6,,0.00,5,Rain-Thunderstorm,116<br />
2005-1-18,32,27,22,25,23,22,100,83,54,1014,1011,1008,7,5,3,34,10,,2.03,5,Rain-Thunderstorm,88<br />
2005-1-19,31,27,23,25,24,22,94,83,58,1015,1012,1010,10,5,2,14,6,,0.00,5,Rain,175<br />
2005-1-20,32,28,23,25,24,23,100,85,50,1015,1012,1010,5,3,1,21,3,,0.00,4,,71<br />
2005-1-21,32,28,23,25,23,22,95,77,52,1016,1013,1011,3,2,1,26,5,,0.00,4,Fog,119<br />
2005-1-22,31,27,22,23,23,21,100,86,52,1015,1013,1011,6,4,1,19,3,,7.11,4,Rain,120<br />
2005-1-23,32,27,22,24,23,22,94,77,50,1014,1011,1009,10,5,3,19,5,,0.00,4,,90<br />
2005-1-24,33,28,23,25,23,22,100,84,49,1014,1011,1009,4,3,1,23,5,,0.00,4,,77<br />
2005-1-25,32,28,24,24,23,22,94,76,49,1013,1010,1007,8,4,1,13,3,,0.00,5,Rain,354<br />
2005-1-26,31,26,21,23,22,21,94,82,51,1011,1008,1006,10,5,3,19,3,,0.00,3,,19<br />
2005-1-27,31,26,21,24,22,21,100,83,58,1010,1008,1006,8,5,3,14,2,,0.00,5,,52<br />
