
WAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,30,23,18,5,-2,-8,40,20,8,1020,1019,1017,,,,26,11,,0.00,,,156<br />
2001-1-2,30,22,17,-4,-6,-9,22,17,8,1021,1020,1019,,,,35,18,,0.00,,,91<br />
2001-1-3,28,22,17,0,-3,-7,28,21,12,1022,1021,1020,,,,23,14,,0.00,,,56<br />
2001-1-4,32,24,19,5,3,1,40,25,15,1021,1020,1018,,,,19,8,,0.00,,,59<br />
2001-1-5,32,26,20,6,4,0,38,25,13,1021,1020,1018,,,,10,2,,0.00,,,299<br />
2001-1-6,33,27,21,8,6,1,38,27,13,1021,1020,1018,,,,11,2,,0.00,,,40<br />
2001-1-7,33,27,21,6,4,4,33,26,16,1021,1020,1019,,,,8,2,,0.00,,,40<br />
2001-1-8,35,29,23,6,1,-2,33,18,10,1020,1019,1017,,,,11,5,,0.00,,,114<br />
2001-1-9,35,27,21,6,3,-4,38,20,11,1018,1017,1016,,,,23,13,,0.00,,,71<br />
2001-1-10,34,28,22,5,2,-2,31,20,10,1018,1017,1016,,,,14,10,,0.00,,,114<br />
2001-1-11,29,23,21,10,8,6,49,39,25,1019,1018,1017,,,,0,0,,0.00,,,-1<br />
2001-1-12,31,26,20,12,11,10,60,43,27,1021,1019,1018,10,10,10,27,11,,0.00,4,,10<br />
2001-1-13,18,17,17,15,14,14,88,81,77,1019,1019,1018,,,,0,0,,0.00,,,-1<br />
2001-1-14,30,22,15,7,4,2,55,34,17,1018,1017,1016,,,,19,10,,0.00,,,161<br />
2001-1-15,31,22,16,7,1,-7,34,23,19,1020,1019,1018,,,,19,11,,0.00,,,39<br />
2001-1-16,33,26,19,4,2,0,37,23,13,1020,1019,1018,,,,19,5,,0.00,,,81<br />
2001-1-17,33,23,15,8,2,-3,63,26,12,1019,1019,1018,,,,19,10,,0.00,,,91<br />
2001-1-18,29,23,18,12,-1,-57,49,34,4,1019,1018,1017,,,,11,2,,0.00,,,330<br />
2001-1-19,32,24,19,13,12,9,68,51,24,1020,1019,1018,10,10,10,8,2,,0.00,4,,20<br />
2001-1-20,31,26,22,11,7,2,38,31,27,1020,1019,1018,10,10,10,23,10,,0.00,3,,98<br />
2001-1-21,32,25,20,13,11,10,64,43,26,1021,1020,1019,10,10,10,23,6,,0.00,4,,76<br />
2001-1-22,25,22,19,14,13,12,73,57,44,1022,1021,1019,10,10,10,10,2,,0.00,5,Rain,60<br />
2001-1-23,26,22,18,14,13,12,73,55,42,1020,1020,1019,10,10,10,23,10,,0.00,3,Thunderstorm,353<br />
2001-1-24,29,24,19,14,12,11,73,47,33,1021,1020,1019,10,10,10,10,2,,0.00,3,Thunderstorm,34<br />
2001-1-25,22,19,17,15,14,12,82,71,60,1023,1022,1020,10,10,10,23,13,,0.00,5,Rain,52<br />
2001-1-26,27,21,17,15,14,12,88,63,39,1021,1020,1018,10,10,10,34,8,,0.00,4,,20<br />
2001-1-27,28,22,17,16,14,12,88,65,45,1021,1020,1019,10,10,10,27,6,,0.00,4,Thunderstorm,59<br />
2001-1-28,28,23,18,15,14,13,77,60,39,1021,1020,1018,10,10,10,14,5,,0.00,3,,62<br />
2001-1-29,29,23,18,17,15,13,94,65,39,1019,1019,1018,10,10,10,14,3,,0.00,5,Rain,60<br />
2001-1-30,25,21,18,16,14,13,78,65,54,1020,1019,1018,10,10,10,11,2,,0.00,5,Rain-Thunderstorm,180<br />
2001-1-31,29,23,17,14,14,13,82,54,37,1020,1018,1017,10,10,10,0,0,,0.00,3,,-1<br />
2001-2-1,29,23,17,13,11,10,77,45,33,1017,1016,1015,10,10,10,13,0,,0.00,4,,350<br />
2001-2-2,30,21,14,11,6,1,67,40,17,1016,1016,1014,,,,10,2,,0.00,,,242<br />
2001-2-3,28,21,15,6,5,2,48,32,19,1019,1018,1016,,,,8,2,,0.00,,,75<br />
2001-2-4,28,23,18,7,6,3,40,33,26,1020,1019,1018,,,,27,16,,0.00,,,55<br />
2001-2-5,31,24,19,7,4,1,43,29,20,1020,1019,1018,,,,23,6,,0.00,,,62<br />
2001-2-6,29,24,20,15,13,12,64,53,37,1021,1020,1020,10,10,10,8,2,,0.00,6,,4<br />
2001-2-7,30,24,19,14,11,7,64,42,23,1020,1019,1017,,,,14,5,,0.00,,,66<br />
2001-2-8,30,26,21,14,12,11,56,46,31,1018,1017,1015,10,10,10,13,2,,0.00,6,Thunderstorm,55<br />
2001-2-9,30,26,22,14,12,11,57,42,33,1017,1016,1015,10,10,10,16,8,,0.00,6,,88<br />
2001-2-10,29,22,17,16,15,14,88,71,40,1021,1020,1018,10,10,10,24,21,,0.00,5,,72<br />
2001-2-11,27,22,18,16,15,14,83,64,48,1021,1020,1018,10,10,10,23,5,,0.00,4,,57<br />
2001-2-12,29,24,19,18,17,16,88,71,45,1020,1019,1016,10,10,10,16,2,,0.00,5,,2<br />
2001-2-13,26,21,17,19,18,17,100,83,65,1020,1019,1017,10,10,10,13,2,,0.00,5,Rain,19<br />
2001-2-14,26,21,17,19,17,16,94,76,61,1020,1019,1018,10,10,10,16,5,,0.00,5,,54<br />
2001-2-15,24,20,18,18,17,17,94,85,69,1022,1021,1019,10,10,10,10,0,,0.00,2,,300<br />
2001-2-16,30,23,18,17,17,16,88,75,45,1022,1021,1020,10,10,10,11,2,,0.00,3,,345<br />
2001-2-17,30,23,17,16,14,9,88,64,29,1021,1020,1017,10,10,10,8,0,,0.00,4,,190<br />
2001-2-18,29,22,16,15,9,3,88,45,20,1018,1017,1016,10,10,10,23,3,,0.00,1,,237<br />
2001-2-19,28,19,12,7,4,2,59,35,20,1018,1017,1016,,,,14,2,,0.00,,,250<br />
2001-2-20,27,20,13,11,7,3,55,43,32,1020,1020,1019,,,,13,3,,0.00,,,80<br />
2001-2-21,30,24,18,14,11,8,56,44,31,1021,1020,1019,,,,14,2,,0.00,,,97<br />
2001-2-22,30,24,19,16,16,14,83,58,40,1021,1020,1019,10,10,10,11,0,,0.00,3,,10<br />
2001-2-23,29,24,21,18,16,14,68,56,40,1020,1019,1016,10,10,10,16,6,,0.00,3,Thunderstorm,72<br />
2001-2-24,25,21,18,17,16,15,88,70,54,1021,1019,1018,10,10,10,14,6,,0.00,3,Thunderstorm,54<br />
2001-2-25,27,23,19,17,16,14,83,68,48,1021,1019,1018,10,10,10,10,3,,0.00,4,,100<br />
2001-2-26,26,22,18,20,17,15,94,74,51,1020,1019,1017,10,10,10,11,3,,0.00,4,,101<br />
2001-2-27,29,23,18,18,17,15,100,67,42,1019,1017,1016,10,10,10,11,2,,0.00,3,Fog,88<br />
