
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,4,3,1,4,3,1,100,100,100,1024,1024,1023,10,4,0,10,5,,0.00,2,Fog,120<br />
2000-1-2,11,6,1,8,5,1,100,90,81,1023,1020,1012,10,10,9,34,10,,0.00,4,Rain,164<br />
2000-1-3,11,6,2,8,4,2,100,83,76,1016,1014,1011,10,10,10,47,23,,0.00,5,Rain,224<br />
2000-1-4,6,3,2,3,1,-1,93,83,65,1015,1010,1004,10,9,5,32,18,,0.00,3,Rain,200<br />
2000-1-5,10,7,3,9,3,0,94,80,66,1012,1005,997,10,10,7,39,24,,0.00,4,Rain,174<br />
2000-1-6,10,6,2,6,3,1,100,81,62,1016,1009,999,10,10,9,39,24,,0.00,2,,237<br />
2000-1-7,10,7,4,7,4,1,93,77,62,1015,1008,1003,10,10,7,47,26,63,0.00,5,Rain,201<br />
2000-1-8,8,4,1,1,-1,-10,93,69,33,1018,1012,1000,10,10,10,32,21,,0.00,1,,234<br />
2000-1-9,6,2,-1,3,1,-2,100,84,75,1032,1026,1019,10,10,10,23,13,,0.00,2,Rain,241<br />
2000-1-10,9,4,-1,6,3,-2,100,87,76,1031,1029,1027,10,10,10,26,13,,0.00,5,Rain,180<br />
2000-1-11,11,9,8,8,7,6,100,86,71,1027,1024,1020,10,10,10,40,16,,0.00,6,Rain,194<br />
2000-1-12,9,6,3,7,5,2,100,91,82,1020,1016,1013,10,7,1,34,19,,0.00,6,Rain,272<br />
2000-1-13,6,3,1,3,2,-1,100,89,70,1022,1016,1013,10,10,8,21,10,,0.00,3,Rain,339<br />
2000-1-14,5,4,3,2,0,-2,93,75,65,1034,1028,1022,10,10,10,26,18,,0.00,2,,346<br />
2000-1-15,5,3,1,1,-1,-2,87,77,61,1043,1040,1034,10,10,10,23,14,,0.00,2,,6<br />
2000-1-16,6,3,1,5,2,-2,100,85,76,1043,1041,1040,10,10,4,19,8,,0.00,6,,324<br />
2000-1-17,7,6,3,5,4,3,100,90,81,1040,1039,1038,10,8,1,24,13,,0.00,6,,314<br />
2000-1-18,6,4,3,6,5,3,100,98,93,1038,1038,1037,5,2,0,23,11,,0.00,7,Fog,321<br />
2000-1-19,8,4,0,5,4,0,100,93,76,1039,1038,1037,8,5,0,13,8,,0.00,5,Fog,320<br />
2000-1-20,6,4,3,4,3,1,100,84,70,1037,1034,1032,10,9,1,24,11,,0.00,6,Fog-Rain,294<br />
2000-1-21,7,4,3,5,3,1,100,88,66,1035,1033,1027,10,9,0,32,10,,0.00,4,Fog-Rain,300<br />
2000-1-22,7,4,3,5,0,-4,87,68,49,1026,1022,1019,10,10,10,50,31,69,0.00,3,Rain,327<br />
2000-1-23,6,3,2,1,-1,-2,87,73,61,1028,1027,1025,10,10,10,21,14,,0.00,3,Rain,332<br />
2000-1-24,5,4,3,3,1,0,93,84,75,1028,1026,1024,10,10,10,19,6,,0.00,5,Rain,321<br />
2000-1-25,7,3,1,5,2,0,100,89,71,1030,1029,1028,10,9,5,10,3,,0.00,2,,300<br />
2000-1-26,6,3,1,3,2,0,93,89,76,1032,1031,1030,10,7,6,16,5,,0.00,5,,252<br />
2000-1-27,7,3,0,3,1,-1,100,81,57,1031,1026,1020,10,9,4,24,11,,0.00,5,,252<br />
2000-1-28,10,8,5,8,4,1,87,79,66,1019,1006,994,10,10,9,45,26,61,0.00,6,Rain,242<br />
2000-1-29,12,10,8,8,6,4,87,76,58,1005,996,992,10,10,10,63,39,85,0.00,5,Rain,268<br />
2000-1-30,12,9,7,9,7,5,100,82,67,1010,1008,1005,10,9,0,37,27,,0.00,5,Rain,248<br />
2000-1-31,12,10,8,9,7,5,100,81,71,1017,1014,1010,10,9,6,47,29,,0.00,6,,247<br />
2000-2-1,10,8,7,9,6,3,94,77,62,1014,1010,1007,10,10,8,34,21,,0.00,5,Rain,255<br />
2000-2-2,9,7,6,4,3,2,81,75,66,1028,1020,1013,10,10,10,37,21,,0.00,2,,283<br />
2000-2-3,10,8,6,7,4,3,93,82,66,1031,1029,1027,10,10,9,29,18,,0.00,5,Rain,229<br />
2000-2-4,12,11,10,8,7,7,87,80,76,1027,1025,1024,10,10,10,39,23,,0.00,5,Rain,221<br />
2000-2-5,11,9,8,8,6,4,93,79,66,1025,1020,1015,10,10,10,29,19,,0.00,4,Rain,201<br />
2000-2-6,12,9,7,8,6,1,93,76,58,1016,1009,1002,10,10,10,52,24,58,0.00,5,Rain,215<br />
2000-2-7,11,8,5,7,2,-1,93,66,47,1010,1004,998,10,10,6,48,31,58,0.00,4,Rain,234<br />
2000-2-8,12,8,5,8,1,-3,93,65,49,1010,1001,993,10,10,9,64,34,87,0.00,3,Rain,254<br />
2000-2-9,10,7,4,6,2,-1,100,69,58,1020,1016,1010,10,10,10,55,37,69,0.00,3,Rain,247<br />
2000-2-10,9,6,3,7,1,-3,93,67,53,1021,1009,999,10,10,7,52,34,69,0.00,4,Rain,251<br />
2000-2-11,10,7,3,5,3,1,87,75,62,1024,1021,1014,10,10,10,40,19,,0.00,2,,219<br />
2000-2-12,9,7,4,5,1,-4,93,69,49,1013,1011,1008,10,10,10,40,31,61,0.00,4,Rain,245<br />
2000-2-13,7,3,0,2,1,-1,93,74,61,1024,1020,1012,10,10,9,48,24,63,0.00,2,Rain,281<br />
2000-2-14,11,6,0,8,3,-2,93,86,67,1023,1015,1011,10,9,3,42,18,,0.00,4,Rain,215<br />
2000-2-15,7,6,4,4,2,-1,93,78,66,1017,1009,1000,10,10,7,35,21,50,0.00,4,Rain,234<br />
2000-2-16,5,3,1,2,-1,-3,100,78,65,1004,1001,1000,10,10,4,48,31,,0.00,5,Rain-Thunderstorm,282<br />
2000-2-17,9,4,0,7,2,-1,100,83,61,1012,1008,1001,10,10,5,40,13,60,0.00,4,Rain,238<br />
2000-2-18,9,7,6,5,3,2,87,77,66,1004,1000,997,10,10,6,42,34,,0.00,5,Rain,278<br />
2000-2-19,7,3,0,4,1,-4,93,75,46,1028,1018,1005,10,10,10,24,14,,0.00,3,,343<br />
2000-2-20,7,2,-2,3,0,-4,100,83,65,1030,1027,1023,10,9,8,23,8,,0.00,5,Rain,144<br />
2000-2-21,7,3,1,4,1,-1,93,77,57,1027,1025,1022,10,10,6,34,19,,0.00,3,Rain,265<br />
2000-2-22,7,3,-1,2,-1,-2,100,84,61,1025,1023,1019,10,10,10,16,8,,0.00,3,,146<br />
