
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,30,28,25,25,24,23,94,85,70,1011,1010,1008,10,10,10,26,10,,0.00,4,,84<br />
2000-1-2,29,27,25,25,24,23,89,82,74,1011,1010,1009,10,10,10,23,16,,0.00,1,,86<br />
2000-1-3,29,27,24,25,24,23,94,83,70,1011,1010,1008,10,10,10,24,10,,0.00,3,,102<br />
2000-1-4,30,27,24,25,24,22,100,89,66,1013,1011,1010,10,9,5,29,14,,0.00,5,Rain,87<br />
2000-1-5,28,26,23,25,23,23,100,88,74,1013,1012,1010,10,10,8,34,6,,0.00,5,,125<br />
2000-1-6,30,28,25,24,23,23,94,81,70,1013,1012,1011,10,10,9,19,13,,0.00,4,,120<br />
2000-1-7,29,26,23,24,23,22,100,87,70,1013,1012,1010,10,9,2,14,5,,0.00,4,Rain,111<br />
2000-1-8,30,28,25,24,23,22,89,80,70,1013,1012,1010,10,10,10,24,14,,0.00,3,,112<br />
2000-1-9,30,28,26,24,23,22,89,77,66,1015,1013,1012,10,10,10,24,14,,0.00,4,,149<br />
2000-1-10,29,27,24,25,23,23,94,83,74,1014,1013,1011,10,10,4,34,14,,0.00,4,Rain,137<br />
2000-1-11,28,26,23,24,23,22,100,86,79,1014,1012,1011,10,9,2,27,14,,0.00,5,Rain,133<br />
2000-1-12,29,27,25,25,24,23,94,82,74,1013,1012,1010,10,10,6,21,13,,0.00,3,,105<br />
2000-1-13,30,28,25,24,23,22,89,77,66,1014,1012,1009,10,10,10,16,13,,0.00,3,,109<br />
2000-1-14,29,27,26,24,23,22,89,77,70,1014,1011,1010,10,10,10,21,14,,0.00,3,,116<br />
2000-1-15,29,27,24,23,22,22,89,74,66,1012,1010,1009,10,10,10,187,18,,0.00,2,,114<br />
2000-1-16,32,28,24,24,23,22,94,77,59,1011,1010,1008,10,10,10,23,13,,0.00,2,,97<br />
2000-1-17,30,27,24,25,23,23,94,79,66,1013,1011,1009,10,10,10,19,14,,0.00,2,,81<br />
2000-1-18,31,27,24,25,24,23,100,84,62,1015,1012,1010,10,10,10,23,10,,0.00,3,,72<br />
2000-1-19,31,27,24,25,24,23,94,85,66,1013,1010,1008,10,10,10,27,13,,0.00,3,,60<br />
2000-1-20,30,27,24,26,25,23,100,88,74,1011,1009,1006,10,10,10,23,13,,0.00,4,,70<br />
2000-1-21,29,27,24,25,24,22,100,89,70,1012,1009,1007,10,9,2,24,10,,0.00,5,Rain,13<br />
2000-1-22,29,27,24,25,24,23,100,90,74,1013,1011,1009,10,10,10,23,8,,0.00,5,,47<br />
2000-1-23,31,27,24,25,24,23,100,85,66,1012,1010,1009,10,10,10,26,11,,0.00,5,,35<br />
2000-1-24,30,28,25,26,25,23,100,87,74,1012,1010,1008,10,10,10,32,13,,0.00,4,,59<br />
2000-1-25,31,28,25,26,26,25,100,88,74,1013,1011,1009,10,10,10,27,13,,0.00,2,,71<br />
2000-1-26,31,28,26,26,26,25,94,85,70,1014,1011,1010,10,10,10,29,18,,0.00,2,,79<br />
2000-1-27,31,27,24,25,24,23,94,83,62,1013,1011,1009,10,10,10,26,13,,0.00,3,,59<br />
2000-1-28,31,28,25,25,24,24,100,87,70,1013,1011,1010,10,10,10,24,11,,0.00,3,,53<br />
2000-1-29,30,27,24,25,25,24,100,85,70,1014,1013,1011,10,10,5,24,10,,0.00,6,,100<br />
2000-1-30,30,27,24,25,25,24,100,85,74,1015,1014,1013,10,10,10,23,10,,0.00,5,,122<br />
2000-1-31,30,28,25,26,24,23,94,81,70,1017,1015,1013,10,10,10,19,11,,0.00,3,,120<br />
2000-2-1,31,28,25,25,24,23,89,78,66,1017,1014,1011,10,10,10,24,14,,0.00,3,,103<br />
2000-2-2,32,28,24,26,24,24,100,85,66,1012,1010,1007,10,10,10,27,13,,0.00,3,,49<br />
2000-2-3,31,28,26,27,26,25,94,88,74,1010,1008,1005,10,10,8,26,14,,0.00,5,,68<br />
2000-2-4,29,27,26,26,24,23,94,85,79,1013,1010,1007,10,10,10,23,11,,0.00,5,,25<br />
2000-2-5,31,27,24,26,25,23,100,85,66,1013,1012,1010,10,10,10,29,11,,0.00,2,,69<br />
2000-2-6,31,28,25,26,26,24,100,86,74,1014,1013,1011,10,10,10,24,13,,0.00,2,,73<br />
2000-2-7,31,28,25,26,24,21,100,83,55,1014,1013,1012,10,10,10,21,10,,0.00,2,,81<br />
2000-2-8,31,27,24,25,24,23,100,82,70,1015,1013,1011,10,10,10,23,13,,0.00,2,,98<br />
2000-2-9,31,28,25,25,24,23,89,80,66,1015,1013,1012,10,10,10,24,13,,0.00,2,,99<br />
2000-2-10,30,28,25,25,24,23,94,85,70,1015,1013,1012,10,10,5,34,14,,0.00,3,Rain,81<br />
2000-2-11,30,28,25,25,24,23,94,80,66,1015,1013,1012,10,10,10,21,10,,0.00,2,,112<br />
2000-2-12,30,28,27,25,24,23,84,77,70,1014,1012,1011,10,10,10,23,13,,0.00,3,,147<br />
