
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,-6,-11,-15,-9,-13,-19,100,82,67,1037,1035,1030,32,24,16,13,6,,0.00,4,Fog,191<br />
2012-1-2,9,1,-6,-3,-6,-11,74,54,42,1029,1016,1008,24,24,24,24,16,32,0.00,6,,217<br />
2012-1-3,10,7,3,-4,-6,-7,52,41,35,1017,1014,1008,24,24,24,45,23,47,0.00,5,,255<br />
2012-1-4,15,8,1,0,-2,-4,81,56,33,1015,1011,1007,24,24,24,60,24,72,0.00,2,,219<br />
2012-1-5,7,3,-1,0,-6,-11,75,51,27,1014,1009,1004,24,24,24,39,23,48,0.00,3,,259<br />
2012-1-6,4,0,-4,-10,-13,-14,54,37,28,1019,1017,1014,32,25,24,34,24,48,0.00,1,,274<br />
2012-1-7,4,-1,-5,-9,-12,-13,63,46,30,1021,1019,1014,24,24,24,24,10,35,0.00,4,,264<br />
2012-1-8,10,8,5,-3,-4,-8,46,42,37,1014,1013,1011,32,25,24,50,37,61,0.00,6,,262<br />
2012-1-9,13,7,2,-2,-5,-9,70,45,26,1015,1012,1009,24,24,24,50,24,61,0.00,2,,230<br />
2012-1-10,5,-3,-12,-4,-10,-16,100,69,42,1037,1024,1009,32,16,1,50,27,64,0.00,6,Snow,345<br />
2012-1-11,1,-7,-14,-12,-15,-18,79,57,35,1037,1032,1026,24,24,24,23,11,,0.00,3,,232<br />
2012-1-12,4,-1,-6,-7,-10,-14,68,51,40,1027,1022,1014,24,24,24,26,8,,0.00,5,,283<br />
2012-1-13,4,-1,-6,-5,-11,-15,86,45,28,1019,1016,1011,24,24,24,52,26,61,0.00,3,Fog,278<br />
2012-1-14,4,-3,-10,-7,-11,-14,86,63,40,1016,1008,1001,32,22,8,37,10,47,0.00,5,Snow,360<br />
2012-1-15,-7,-14,-23,-9,-20,-27,93,74,60,1028,1021,1008,11,6,1,47,34,69,0.00,8,Snow,357<br />
2012-1-16,-23,-26,-28,-28,-31,-34,76,64,53,1033,1030,1029,24,9,2,16,10,,0.00,7,Snow,6<br />
2012-1-17,-28,-29,-30,-33,-34,-35,69,64,58,1032,1027,1024,11,7,4,11,8,,0.00,8,Snow,76<br />
2012-1-18,-23,-27,-32,-28,-33,-36,70,63,48,1027,1024,1022,32,23,16,11,6,,0.00,3,,248<br />
2012-1-19,-19,-23,-28,-27,-29,-32,71,62,46,1021,1019,1016,32,22,16,11,6,,0.00,3,,196<br />
2012-1-20,-18,-19,-21,-20,-24,-28,85,70,55,1018,1014,1002,32,19,11,24,14,,0.00,8,,175<br />
2012-1-21,-12,-14,-17,-15,-17,-20,85,82,78,1001,994,990,16,11,1,24,8,,0.00,8,Snow,62<br />
2012-1-22,0,-6,-11,-4,-7,-13,100,85,60,1011,1007,1002,32,17,3,23,13,,0.00,6,Snow,202<br />
2012-1-23,3,-3,-10,-10,-11,-13,93,52,35,1012,1005,1001,24,24,24,34,16,48,0.00,4,Snow,244<br />
2012-1-24,5,-1,-7,-7,-11,-14,69,49,36,1012,1007,995,32,25,24,26,11,35,0.00,4,,224<br />
2012-1-25,7,1,-5,-6,-10,-14,59,40,30,1013,1002,993,24,24,24,52,31,71,0.00,3,,258<br />
2012-1-26,-3,-7,-10,-9,-11,-14,93,68,50,1022,1012,1008,32,25,24,24,13,29,0.00,2,Snow,311<br />
2012-1-27,-1,-6,-11,-10,-13,-16,100,56,34,1026,1023,1021,32,25,24,55,23,69,0.00,4,,253<br />
2012-1-28,-3,-7,-9,-7,-10,-15,93,70,40,1025,1020,1009,32,25,24,34,19,40,0.00,5,,214<br />
2012-1-29,12,4,-2,-2,-5,-8,70,48,33,1008,1001,998,24,24,24,40,16,61,0.00,6,,247<br />
2012-1-30,10,6,2,-3,-7,-9,65,40,28,1006,1001,997,24,24,24,35,19,45,0.00,5,,266<br />
2012-1-31,7,3,0,-8,-10,-12,52,38,27,1013,1009,1006,24,24,24,35,19,47,0.00,4,,255<br />
2012-2-1,7,2,-2,-7,-9,-11,56,46,31,1024,1014,1011,24,24,24,26,14,,0.00,6,,254<br />
2012-2-2,3,-3,-9,-4,-7,-11,86,73,48,1032,1029,1025,24,24,24,21,11,,0.00,3,,220<br />
2012-2-3,8,0,-7,-5,-8,-10,86,64,34,1033,1031,1027,24,24,24,19,10,,0.00,1,,186<br />
2012-2-4,13,2,-9,-3,-7,-11,93,66,26,1027,1026,1024,24,24,24,14,6,,0.00,0,,205<br />
2012-2-5,6,0,-5,-4,-6,-8,80,65,49,1035,1029,1025,32,25,24,23,10,,0.00,3,,347<br />
2012-2-6,-1,-6,-9,-7,-9,-14,93,77,58,1040,1038,1035,32,16,4,21,13,,0.00,5,Snow,94<br />
2012-2-7,-2,-8,-13,-10,-12,-15,92,76,47,1038,1031,1025,24,24,24,35,19,50,0.00,0,,168<br />
2012-2-8,8,-3,-15,-11,-15,-18,100,56,14,1025,1022,1019,24,24,24,26,11,29,0.00,1,,302<br />
2012-2-9,-2,-7,-11,-10,-12,-15,85,64,40,1034,1030,1024,24,20,10,23,13,,0.00,3,Snow,17<br />
2012-2-10,-10,-12,-14,-12,-14,-18,92,83,67,1036,1035,1033,24,10,5,23,13,27,0.00,7,Snow,144<br />
2012-2-11,-4,-10,-16,-10,-15,-20,86,76,64,1034,1027,1019,24,19,16,27,16,32,0.00,1,,175<br />
2012-2-12,7,-2,-10,-4,-7,-12,86,67,39,1019,1012,1008,24,24,24,11,5,,0.00,6,,216<br />
2012-2-13,3,-1,-4,0,-4,-7,100,74,52,1013,1010,1008,24,13,1,35,11,32,0.00,8,Snow,348<br />
2012-2-14,-2,-8,-14,-9,-12,-16,86,70,51,1018,1014,1013,24,24,24,16,8,,0.00,2,,285<br />
2012-2-15,3,-6,-14,-9,-12,-16,85,61,36,1022,1020,1019,24,24,24,19,8,,0.00,1,,243<br />
2012-2-16,3,-6,-13,-7,-11,-16,85,66,41,1023,1021,1018,24,24,24,14,8,,0.00,4,,200<br />
2012-2-17,4,-1,-6,-4,-6,-8,93,69,49,1025,1020,1014,24,24,24,21,11,,0.00,4,,224<br />
2012-2-18,5,-2,-8,-5,-8,-11,93,69,31,1013,1008,1006,24,22,16,40,10,50,0.00,5,,222<br />
2012-2-19,3,-3,-8,-4,-8,-12,93,69,36,1008,1007,1006,24,24,24,26,11,35,0.00,5,,157<br />
2012-2-20,-1,-4,-7,-5,-8,-10,100,78,51,1014,1012,1009,32,11,1,16,10,,0.00,6,Snow,242<br />
2012-2-21,8,-1,-9,-2,-8,-10,93,55,34,1008,1003,999,24,22,4,48,18,58,0.00,5,Snow,248<br />
2012-2-22,4,1,-2,-3,-7,-11,86,57,36,1011,1001,995,32,23,10,34,18,40,0.00,7,Snow,322<br />
2012-2-23,1,-2,-5,-3,-7,-8,100,75,52,1022,1017,1012,24,11,1,26,14,29,0.00,6,Snow,337<br />
2012-2-24,-4,-7,-9,-4,-8,-11,100,86,69,1025,1019,1006,32,23,2,26,13,34,0.00,7,Snow,151<br />
2012-2-25,-4,-9,-13,-4,-9,-15,100,91,79,1022,1009,1001,16,6,0,47,16,60,0.00,8,Fog-Snow,23<br />
2012-2-26,-13,-17,-20,-15,-17,-23,92,85,78,1029,1027,1022,24,7,2,19,13,,0.00,7,Snow,2<br />
2012-2-27,-2,-12,-22,-9,-16,-25,85,70,49,1028,1020,1014,32,25,24,13,6,,0.00,2,,193<br />
2012-2-28,0,-7,-13,-9,-13,-18,80,59,37,1014,1010,1007,24,24,24,14,6,,0.00,4,,188<br />
2012-2-29,1,-6,-11,-8,-12,-15,79,55,38,1007,1003,1001,32,24,16,23,8,,0.00,7,,347<br />
2012-3-1,-6,-8,-9,-9,-11,-12,86,79,68,1021,1013,1006,32,21,5,32,18,39,0.00,8,Snow,341<br />
2012-3-2,3,-6,-13,-10,-11,-14,93,64,36,1022,1018,1014,24,16,11,35,8,52,0.00,5,,240<br />
2012-3-3,10,2,-5,-2,-6,-10,100,62,32,1017,1010,1004,24,18,4,47,18,63,0.00,6,Snow,321<br />
2012-3-4,3,0,-3,0,-3,-4,100,93,81,1019,1013,1005,32,19,2,34,10,,0.00,6,Snow,161<br />
2012-3-5,-3,-4,-5,-4,-4,-6,100,96,93,1008,1004,1000,8,3,1,32,16,39,0.00,8,Fog-Snow,46<br />
2012-3-6,-6,-9,-12,-6,-11,-13,100,85,73,1017,1013,1004,32,10,1,40,26,52,0.00,6,Snow,348<br />
2012-3-7,5,-4,-13,-8,-11,-15,92,54,36,1021,1018,1015,24,24,24,35,13,47,0.00,2,,281<br />
2012-3-8,11,6,1,-3,-6,-8,61,44,32,1023,1021,1018,24,24,24,32,23,40,0.00,6,,255<br />
2012-3-9,15,8,2,-3,-4,-7,65,43,25,1017,1010,1006,32,25,24,45,14,61,0.00,5,,229<br />
2012-3-10,10,5,0,2,-1,-5,87,65,40,1007,1004,1001,24,24,24,19,10,,0.00,3,,46<br />
2012-3-11,12,3,-4,0,-3,-7,93,60,38,1002,996,990,32,25,24,39,16,53,0.00,6,Rain,198<br />
2012-3-12,7,2,-2,-5,-11,-14,60,38,23,1004,1000,995,24,23,16,35,23,48,0.00,4,,217<br />
2012-3-13,10,4,-3,1,-6,-17,70,51,25,1002,990,982,32,22,2,58,31,72,0.00,4,Snow,206<br />
2012-3-14,5,-1,-6,-9,-12,-16,74,46,24,1010,1007,1003,24,24,24,23,14,29,0.00,3,,205<br />
2012-3-15,14,4,-5,0,-4,-9,80,56,31,1007,1003,997,32,25,24,39,16,53,0.00,4,Fog,207<br />
2012-3-16,11,6,0,-1,-4,-11,87,54,21,1001,997,995,32,26,16,39,16,37,0.00,4,Rain,232<br />
2012-3-17,3,-1,-4,-3,-6,-9,93,68,52,1003,1001,999,32,24,11,26,10,,0.00,5,Snow,167<br />
2012-3-18,6,0,-5,-2,-6,-10,100,66,31,1007,1002,998,24,17,8,29,13,34,0.00,5,Fog,59<br />
2012-3-19,4,0,-4,-3,-8,-13,93,65,33,1007,1005,1002,24,20,11,26,16,34,0.00,5,Fog-Rain,343<br />
2012-3-20,7,1,-5,-9,-11,-14,68,46,23,1004,999,992,24,24,24,47,16,63,0.00,2,,227<br />
2012-3-21,5,1,-3,-11,-16,-21,51,31,15,1014,1008,1002,24,24,24,47,24,55,0.00,2,,268<br />
2012-3-22,2,-2,-5,-3,-6,-14,93,74,50,1021,1014,1012,32,18,1,19,8,,0.00,6,Rain-Snow,19<br />
2012-3-23,-3,-4,-5,-6,-6,-7,93,87,80,1026,1024,1022,24,10,5,16,13,,0.00,8,Snow,32<br />
2012-3-24,1,-3,-6,-5,-6,-8,93,81,60,1028,1026,1022,32,13,8,26,10,27,0.00,7,,178<br />
2012-3-25,5,0,-5,0,-3,-5,100,92,70,1022,1017,1011,32,9,1,27,16,32,0.00,7,Fog-Snow,177<br />
2012-3-26,1,-1,-2,1,-1,-2,100,97,81,1011,1009,1008,24,8,2,32,14,32,0.00,8,Fog-Rain-Snow,343<br />
2012-3-27,6,2,-2,1,-1,-2,100,91,70,1013,1012,1010,16,8,2,14,6,,0.00,7,Fog-Snow,2<br />
2012-3-28,14,6,-2,1,-3,-8,100,65,29,1012,1005,1000,24,15,5,29,11,40,0.00,6,Fog,182<br />
2012-3-29,13,4,-3,-3,-6,-8,74,47,23,1004,1001,996,24,24,24,35,11,47,0.00,4,,199<br />
