
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,10,8,6,7,5,2,93,78,58,1018,1014,1012,10,10,7,42,27,63,0.00,8,Rain,203<br />
2013-1-2,8,6,3,4,2,1,93,80,62,1033,1025,1018,10,10,10,26,13,,0.00,6,,355<br />
2013-1-3,5,2,0,3,1,-2,100,87,76,1040,1038,1033,10,8,0,8,3,,0.00,7,Fog,48<br />
2013-1-4,9,7,5,7,6,3,100,91,82,1040,1038,1036,10,5,1,23,5,,0.00,8,Fog-Rain,9<br />
2013-1-5,8,7,7,6,5,4,93,81,76,1036,1035,1033,10,10,10,27,16,,0.00,8,Rain,348<br />
2013-1-6,7,6,6,5,4,3,87,83,76,1033,1032,1030,10,10,10,23,16,,0.00,8,,358<br />
2013-1-7,6,6,5,4,3,2,93,85,81,1030,1028,1027,10,10,4,16,8,,0.00,8,,30<br />
2013-1-8,5,3,2,2,1,0,87,83,81,1029,1028,1027,10,9,6,13,6,,0.00,8,,25<br />
2013-1-9,2,1,0,0,-1,-1,93,87,87,1027,1024,1021,6,5,4,11,6,,0.00,8,,1<br />
2013-1-10,5,2,1,4,1,-2,100,91,81,1020,1018,1014,8,5,3,11,5,,0.00,8,Rain,103<br />
2013-1-11,8,6,2,5,3,-1,100,80,53,1020,1017,1013,10,9,1,23,8,,0.00,8,Fog-Rain,301<br />
2013-1-12,4,1,-2,2,1,-2,100,93,87,1019,1015,1012,10,6,0,8,3,,0.00,7,Fog,126<br />
2013-1-13,6,4,3,3,2,0,100,87,81,1012,1011,1010,10,9,5,19,6,,0.00,7,Rain,16<br />
2013-1-14,5,1,-3,2,-2,-6,93,77,60,1015,1013,1012,10,10,7,24,14,,0.00,7,Rain,349<br />
2013-1-15,4,0,-3,0,-3,-6,93,83,70,1013,1008,1006,10,9,0,19,6,,0.00,7,Fog-Rain-Snow,189<br />
2013-1-16,2,-3,-7,-2,-5,-8,100,80,65,1010,1008,1005,10,9,1,21,8,,0.00,6,Fog,358<br />
2013-1-17,-2,-3,-4,-6,-8,-9,80,70,64,1015,1013,1009,10,10,8,35,27,,0.00,7,Snow,347<br />
2013-1-18,-1,-3,-4,-4,-7,-8,80,74,64,1013,1006,998,10,8,5,19,10,,0.00,7,Rain-Snow,28<br />
2013-1-19,3,1,-1,2,1,-4,93,89,80,997,990,986,10,7,2,14,10,,0.00,8,Rain-Snow,93<br />
2013-1-20,10,5,0,6,1,-1,100,89,71,999,991,985,10,6,1,26,8,,0.00,7,Rain-Snow,43<br />
2013-1-21,7,3,-1,1,-1,-2,100,79,61,1002,999,998,10,9,5,19,6,,0.00,7,Rain,183<br />
2013-1-22,10,5,0,1,-1,-2,93,71,43,1005,1004,1002,10,10,7,19,10,,0.00,7,Rain,157<br />
2013-1-23,5,2,-1,0,-1,-3,93,83,65,1006,1004,1002,10,10,8,14,3,,0.00,8,,37<br />
2013-1-24,3,1,0,0,-2,-4,93,80,65,1013,1008,1004,10,9,5,27,13,,0.00,8,,6<br />
2013-1-25,1,-1,-4,-4,-4,-6,86,73,65,1017,1015,1013,10,8,5,24,19,,0.00,7,,348<br />
2013-1-26,2,-1,-4,-1,-4,-6,93,79,60,1019,1014,1009,7,5,3,11,3,,0.00,8,Snow,107<br />
2013-1-27,5,2,-1,3,1,-2,100,85,70,1019,1013,1009,10,7,2,16,5,,0.00,8,Rain,145<br />
2013-1-28,9,6,1,5,3,0,100,90,71,1024,1019,1011,10,5,0,10,3,,0.00,7,Fog-Rain,98<br />
2013-1-29,9,4,1,5,3,0,100,82,66,1025,1025,1024,10,10,4,14,5,,0.00,8,Rain,134<br />
2013-1-30,18,12,6,10,6,4,88,74,52,1027,1023,1021,10,10,10,23,8,,0.00,8,Rain,152<br />
2013-1-31,14,8,3,6,4,2,100,82,51,1028,1026,1024,10,10,8,13,5,,0.00,4,,152<br />
2013-2-1,14,10,7,8,6,3,93,76,51,1024,1011,997,10,10,8,34,13,,0.00,8,Rain,168<br />
2013-2-2,12,7,3,8,2,-3,87,72,57,1013,1004,995,10,10,7,42,27,61,0.00,7,Rain,343<br />
2013-2-3,5,2,0,-2,-3,-5,80,63,56,1027,1022,1013,10,10,10,40,29,63,0.00,7,,350<br />
2013-2-4,7,3,-1,6,2,-4,93,89,75,1026,1024,1021,10,7,2,11,5,,0.00,8,Rain-Snow,156<br />
2013-2-5,13,8,3,6,3,0,100,77,41,1021,1014,1007,10,9,1,45,8,53,0.00,7,Rain,226<br />
2013-2-6,7,3,1,3,-1,-5,93,78,52,1009,1005,1001,10,10,6,34,14,,0.00,6,Rain-Snow,226<br />
2013-2-7,5,2,0,0,-1,-4,93,83,65,1017,1014,1009,10,8,1,35,13,,0.00,7,Fog-Rain-Snow,347<br />
2013-2-8,2,-1,-3,0,-2,-4,100,90,75,1019,1015,1014,10,8,1,23,6,,0.00,6,Rain-Snow,6<br />
2013-2-9,3,-1,-5,-1,-4,-7,100,81,48,1020,1018,1017,10,8,0,13,5,,0.00,7,Fog-Rain-Snow,337<br />
2013-2-10,2,-1,-3,0,-2,-4,100,88,70,1017,1010,1001,10,8,2,27,10,,0.00,7,Fog-Rain-Snow,166<br />
2013-2-11,6,3,1,3,1,0,93,88,76,1001,999,997,10,9,6,24,11,,0.00,7,Rain-Snow,148<br />
2013-2-12,4,2,1,2,1,-1,100,91,87,1015,1007,1001,10,7,1,19,8,,0.00,8,Rain-Snow,358<br />
2013-2-13,1,-1,-2,-2,-6,-8,87,67,60,1024,1021,1015,10,9,5,23,16,,0.00,8,,357<br />
2013-2-14,3,-1,-5,0,-4,-8,93,76,56,1024,1021,1017,10,8,4,13,6,,0.00,7,Rain-Snow,126<br />
2013-2-15,9,4,0,4,2,-1,100,85,62,1023,1020,1017,10,7,1,14,5,,0.00,7,Rain,35<br />
2013-2-16,6,3,0,3,1,-1,100,88,70,1024,1022,1021,10,6,0,14,6,,0.00,7,Fog,42<br />
2013-2-17,2,1,0,1,0,-1,100,88,81,1021,1019,1017,10,6,0,13,5,,0.00,8,Fog,1<br />
2013-2-18,5,2,-1,0,-1,-3,93,83,70,1019,1017,1016,9,7,3,8,3,,0.00,8,,43<br />
2013-2-19,8,3,-2,0,-1,-3,100,86,57,1019,1017,1015,10,4,0,8,3,,0.00,7,Fog,350<br />
2013-2-20,5,1,-2,1,-1,-3,100,89,75,1016,1015,1014,10,4,0,19,5,,0.00,7,Fog,14<br />
2013-2-21,2,0,-2,-2,-4,-6,81,69,60,1014,1012,1008,10,10,10,19,14,,0.00,7,,343<br />
2013-2-22,0,-2,-3,-6,-7,-8,74,66,55,1008,1006,1005,10,10,10,24,19,,0.00,7,,344<br />
2013-2-23,-1,-3,-4,-7,-8,-9,74,67,55,1011,1007,1004,10,8,6,32,24,,0.00,8,Snow,350<br />
2013-2-24,0,-2,-3,-4,-6,-7,86,75,60,1015,1012,1011,9,6,2,29,23,,0.00,7,Snow,346<br />
2013-2-25,2,-1,-4,-4,-5,-6,93,76,56,1021,1018,1015,10,6,2,13,8,,0.00,7,Snow,352<br />
2013-2-26,5,-1,-6,-3,-5,-8,93,72,45,1025,1023,1021,7,5,2,16,5,,0.00,6,,333<br />
2013-2-27,3,-1,-4,-2,-3,-5,93,80,70,1026,1025,1025,6,4,2,10,2,,0.00,8,,119<br />
2013-2-28,8,1,-5,-1,-3,-6,93,79,53,1025,1023,1021,5,3,2,11,3,,0.00,2,,17<br />
2013-3-1,4,0,-3,0,-2,-4,100,84,70,1021,1020,1018,7,3,1,24,6,,0.00,8,,3<br />
2013-3-2,4,3,2,-1,-2,-3,81,72,65,1022,1021,1020,8,6,5,16,10,,0.00,8,,348<br />
2013-3-3,8,4,0,0,-1,-2,87,71,57,1021,1019,1017,8,7,5,11,3,,0.00,8,,352<br />
2013-3-4,16,6,-3,4,1,-4,100,69,39,1017,1015,1012,10,7,2,24,5,,0.00,,,156<br />
2013-3-5,12,7,3,4,2,0,81,65,51,1012,1008,1004,10,9,5,19,8,,0.00,8,,137<br />
2013-3-6,11,8,6,7,4,2,93,79,71,1004,1001,999,10,7,3,11,3,,0.00,7,Rain,360<br />
2013-3-7,17,12,7,9,7,6,100,77,55,1002,1000,999,10,8,2,35,10,,0.00,7,Rain,159<br />
2013-3-8,14,11,7,10,8,6,94,82,72,1006,1001,997,10,10,7,26,13,,0.00,7,Rain,154<br />
2013-3-9,15,9,4,8,6,3,100,85,59,1005,1004,1002,10,6,0,10,3,,0.00,5,Fog,115<br />
2013-3-10,17,10,4,7,4,3,93,72,45,1003,1000,998,10,9,2,19,5,,0.00,7,Rain-Thunderstorm,213<br />
2013-3-11,16,11,6,7,4,2,93,69,42,1001,999,997,10,9,0,14,5,,0.00,5,Rain,189<br />
2013-3-12,15,9,4,5,2,-1,81,62,36,1001,997,995,10,10,10,26,16,,0.00,6,,200<br />
2013-3-13,3,1,0,-1,-3,-7,75,67,60,1008,1003,999,10,10,10,35,19,,0.00,8,,353<br />
2013-3-14,5,1,-2,-4,-6,-8,75,60,39,1012,1009,1008,10,10,8,39,24,61,0.00,4,,358<br />
2013-3-15,6,2,-2,-4,-8,-13,80,53,25,1018,1016,1012,10,10,10,29,21,47,0.00,5,Snow,358<br />
2013-3-16,12,3,-5,0,-6,-10,74,50,21,1018,1012,1007,10,10,10,48,14,74,0.00,8,,185<br />
2013-3-17,10,8,7,4,2,0,81,65,54,1007,1001,998,10,10,10,47,29,71,0.00,7,Rain,201<br />
2013-3-18,11,7,3,5,3,-1,93,78,53,1000,996,994,10,9,5,23,10,42,0.00,7,Rain-Thunderstorm,161<br />
2013-3-19,12,8,5,1,-1,-3,76,55,38,1006,1003,1001,10,10,10,23,13,,0.00,7,,193<br />
2013-3-20,14,9,4,6,2,-3,87,63,31,1016,1007,1001,10,10,7,27,13,,0.00,6,Rain,216<br />
2013-3-21,14,7,1,2,-1,-4,93,60,29,1018,1016,1013,10,10,10,10,3,,0.00,6,,130<br />
2013-3-22,19,10,2,6,2,-1,87,58,26,1013,1008,1003,10,10,10,32,8,,0.00,,,164<br />
2013-3-23,15,12,10,7,4,1,82,59,45,1007,1006,1004,10,10,10,37,21,,0.00,8,Rain,169<br />
2013-3-24,11,9,7,8,7,3,93,86,76,1005,1003,1002,10,7,2,16,8,,0.00,8,Rain,23<br />
2013-3-25,11,7,4,3,2,0,81,69,58,1006,1004,1003,10,7,5,19,11,,0.00,6,,4<br />
2013-3-26,7,4,3,1,0,-1,81,70,57,1006,1005,1003,10,7,5,16,11,,0.00,7,,3<br />
2013-3-27,13,7,1,2,0,-1,87,66,44,1006,1004,1003,10,9,2,14,5,,0.00,6,,13<br />
2013-3-28,10,7,4,8,3,-1,93,84,65,1010,1006,1005,10,5,1,19,5,,0.00,8,Rain,10<br />
2013-3-29,9,7,5,7,4,2,93,89,81,1010,1006,1002,5,3,1,8,2,,0.00,8,Rain,70<br />
2013-3-30,12,9,7,8,7,6,100,88,71,1004,1002,1000,10,6,0,14,3,,0.00,7,Fog-Rain,356<br />
2013-3-31,9,6,3,7,0,-3,93,68,46,1009,1007,1004,10,7,2,27,18,,0.00,6,Rain,346<br />
2013-4-1,10,4,-1,4,-1,-3,87,69,54,1005,1002,1000,10,7,3,10,5,,0.00,7,,21<br />
2013-4-2,14,9,5,4,3,0,81,66,50,1006,1002,1000,10,8,5,14,5,,0.00,7,,8<br />
2013-4-3,13,8,4,1,-1,-2,70,53,38,1008,1006,1004,10,9,8,19,10,,0.00,5,,354<br />
2013-4-4,15,9,4,6,3,1,87,66,45,1004,1002,1000,10,8,5,14,5,,0.00,,,119<br />
