
SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,30,23,17,15,12,8,83,54,25,1026,1025,1023,10,10,10,13,6,27,0.00,1,,58<br />
2003-1-2,31,23,16,12,8,4,77,43,19,1025,1023,1020,,,,14,5,,0.00,,,43<br />
2003-1-3,33,24,17,12,9,5,68,41,17,1024,1022,1020,,,,8,3,,0.00,,,42<br />
2003-1-4,32,26,20,14,12,10,64,46,27,1023,1021,1018,10,10,10,10,5,,0.00,2,,25<br />
2003-1-5,27,23,20,17,16,15,78,62,48,1024,1023,1021,10,10,10,11,8,,0.00,5,,64<br />
2003-1-6,30,24,18,18,16,14,88,64,37,1023,1022,1019,10,10,10,10,8,,0.00,4,,28<br />
2003-1-7,31,26,20,14,13,12,68,50,31,1022,1021,1019,10,10,10,8,5,,0.00,3,,351<br />
2003-1-8,30,26,22,15,14,12,61,53,33,1020,1019,1016,10,10,10,8,5,,0.00,5,,2<br />
2003-1-9,24,21,18,18,17,15,88,77,65,1019,1018,1017,10,10,10,11,5,,0.00,7,Rain-Thunderstorm,49<br />
2003-1-10,22,19,16,15,14,13,88,75,64,1023,1021,1020,10,10,10,10,5,,0.00,5,,64<br />
2003-1-11,23,18,15,14,13,12,82,74,57,1023,1022,1021,10,10,10,6,5,,0.00,7,,45<br />
2003-1-12,29,21,15,16,14,12,94,65,35,1022,1021,1018,10,10,10,8,3,,0.00,2,,351<br />
2003-1-13,34,26,19,16,14,13,83,56,28,1021,1019,1016,10,10,10,10,5,,0.00,2,,335<br />
2003-1-14,37,28,20,14,9,1,64,35,11,1017,1016,1014,10,10,10,13,5,35,0.00,1,,297<br />
2003-1-15,33,27,22,18,16,10,78,55,31,1020,1019,1016,10,10,10,10,6,,0.00,1,,50<br />
2003-1-16,34,27,21,18,17,14,83,57,31,1019,1018,1014,10,10,10,11,6,,0.00,4,,29<br />
2003-1-17,32,26,21,18,16,14,73,54,36,1019,1018,1016,10,10,10,14,6,,0.00,3,,54<br />
2003-1-18,32,26,19,16,15,14,83,55,38,1021,1021,1018,10,10,10,11,6,,0.00,2,,337<br />
2003-1-19,29,24,21,17,17,15,78,62,45,1023,1021,1019,10,10,10,10,5,,0.00,4,,332<br />
2003-1-20,32,26,21,17,16,12,78,54,36,1019,1019,1017,10,10,10,10,5,,0.00,4,,312<br />
2003-1-21,31,23,17,17,15,13,94,61,33,1021,1020,1018,10,10,10,11,5,,0.00,1,,357<br />
2003-1-22,29,24,19,17,16,14,83,57,42,1023,1021,1019,10,10,10,8,5,,0.00,2,,336<br />
2003-1-23,30,24,19,17,16,14,73,58,42,1021,1020,1017,10,10,10,8,3,,0.00,3,Thunderstorm,354<br />
2003-1-24,18,17,16,17,16,16,100,96,88,1021,1020,1018,10,8,5,6,3,,0.00,8,Rain-Thunderstorm,352<br />
2003-1-25,25,21,18,18,18,17,100,84,65,1018,1017,1016,10,10,10,10,5,,0.00,6,,17<br />
2003-1-26,28,21,15,17,16,14,100,73,42,1019,1018,1017,10,10,10,6,3,,0.00,2,Thunderstorm,276<br />
2003-1-27,26,16,6,18,16,0,88,73,57,1025,1024,1022,10,10,10,11,5,,0.00,4,,50<br />
2003-1-28,28,23,18,18,17,16,88,72,54,1024,1023,1020,10,10,10,8,6,,0.00,3,,18<br />
2003-1-29,30,24,19,18,16,14,83,64,37,1021,1020,1017,10,10,10,8,5,,0.00,1,,360<br />
2003-1-30,33,24,18,16,15,14,88,55,33,1018,1017,1015,10,10,10,11,5,26,0.00,1,,298<br />
2003-1-31,30,26,21,17,15,14,64,54,43,1021,1020,1018,10,10,10,10,5,,0.00,1,,51<br />
2003-2-1,32,26,20,18,18,17,83,64,43,1023,1021,1019,10,10,10,8,5,,0.00,1,,11<br />
2003-2-2,32,27,22,18,17,13,73,54,31,1022,1021,1019,10,10,10,10,5,,0.00,3,,26<br />
2003-2-3,31,26,22,17,16,13,65,53,33,1024,1023,1021,10,10,10,11,6,,0.00,3,,53<br />
2003-2-4,32,26,21,18,17,16,73,58,38,1024,1023,1021,10,10,10,8,6,,0.00,2,,38<br />
2003-2-5,33,27,22,16,12,10,69,42,29,1024,1022,1020,10,10,10,8,3,,0.00,1,,14<br />
2003-2-6,32,26,20,18,16,14,73,56,38,1024,1022,1019,10,10,10,8,5,,0.00,4,,44<br />
2003-2-7,31,25,20,17,16,13,83,61,33,1022,1021,1018,10,10,10,8,5,,0.00,4,,30<br />
2003-2-8,32,26,20,17,16,15,78,57,36,1020,1019,1016,10,10,10,10,5,,0.00,2,,23<br />
2003-2-9,24,12,0,18,16,0,100,75,65,1022,1021,1019,10,10,10,10,5,32,0.00,6,,60<br />
2003-2-10,27,22,18,16,15,14,83,66,48,1024,1023,1021,10,10,10,10,5,,0.00,2,,64<br />
2003-2-11,29,23,17,17,16,15,88,65,45,1023,1022,1019,10,10,10,8,3,,0.00,2,,10<br />
2003-2-12,32,26,19,15,13,10,64,47,29,1021,1019,1016,10,10,10,8,3,,0.00,1,,311<br />
2003-2-13,32,27,22,11,9,9,46,35,26,1019,1018,1015,10,10,10,10,5,,0.00,2,,41<br />
2003-2-14,29,23,19,17,16,13,83,62,42,1018,1016,1014,10,10,10,10,6,,0.00,5,Rain,55<br />
2003-2-15,29,23,18,19,18,16,100,76,45,1017,1015,1014,10,10,8,8,5,,0.00,4,Rain,19<br />
2003-2-16,30,23,18,19,18,17,100,75,48,1019,1018,1016,10,10,8,8,3,,0.00,3,Rain-Thunderstorm,19<br />
2003-2-17,27,23,19,18,17,16,88,69,54,1022,1021,1019,10,10,8,6,3,,0.00,7,,321<br />
2003-2-18,22,20,19,18,18,17,94,85,78,1024,1023,1022,10,10,10,6,3,,0.00,6,Rain,36<br />
2003-2-19,25,22,20,18,17,16,88,75,65,1021,1019,1017,10,10,10,10,6,,0.00,7,,43<br />
2003-2-20,20,19,18,19,18,18,100,96,88,1016,1015,1014,10,9,5,8,3,,0.00,8,Rain-Thunderstorm,307<br />
2003-2-21,28,21,16,18,17,16,100,76,48,1017,1016,1015,10,9,2,10,3,,0.00,3,Fog,359<br />
2003-2-22,27,22,17,18,17,16,94,75,51,1022,1021,1019,10,10,10,8,3,,0.00,5,,15<br />
2003-2-23,30,23,17,18,17,16,94,71,45,1021,1020,1017,10,10,10,8,3,,0.00,2,,309<br />
2003-2-24,32,25,20,18,15,11,83,55,29,1020,1019,1017,10,10,10,10,5,,0.00,1,,17<br />
2003-2-25,28,23,19,17,15,13,78,61,39,1023,1022,1021,10,10,10,10,5,,0.00,3,,29<br />
2003-2-26,28,22,18,17,16,14,88,68,42,1026,1025,1023,10,10,10,8,3,,0.00,2,,57<br />
2003-2-27,30,23,17,18,16,13,88,66,35,1025,1023,1021,10,10,10,8,3,,0.00,1,,338<br />
2003-2-28,31,24,19,17,16,14,78,60,40,1022,1021,1019,10,10,9,8,3,,0.00,3,Rain-Thunderstorm,341<br />
