
WAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,35,27,18,16,13,8,78,55,12,1019,1017,1014,10,10,10,13,8,,0.00,4,Rain,352<br />
2013-1-2,33,26,18,16,11,8,73,45,17,1019,1017,1016,31,13,10,14,5,,1.02,3,Rain-Thunderstorm,45<br />
2013-1-3,34,26,18,11,7,3,64,32,10,1020,1019,1017,10,10,10,26,6,55,0.00,1,,206<br />
2013-1-4,34,27,18,8,3,-3,31,21,9,1021,1019,1016,31,12,10,21,8,47,0.00,1,,184<br />
2013-1-5,36,27,18,7,3,0,40,23,6,1020,1018,1015,,,,14,8,,0.00,,,73<br />
2013-1-6,36,27,18,10,4,-1,49,25,5,1020,1019,1017,10,10,10,14,6,29,0.00,1,,114<br />
2013-1-7,35,27,19,13,9,5,64,32,9,1023,1021,1019,10,10,10,23,8,39,0.00,4,,98<br />
2013-1-8,36,28,19,14,11,8,56,37,12,1022,1021,1019,10,10,10,16,8,37,0.25,4,Rain,93<br />
2013-1-9,34,27,19,15,13,9,68,51,14,1022,1021,1019,10,10,10,19,8,,2.03,3,Rain,21<br />
2013-1-10,30,23,16,17,14,11,94,59,26,1020,1019,1018,31,15,10,16,8,,0.25,6,Rain,32<br />
2013-1-11,33,24,16,15,9,5,78,41,15,1019,1018,1016,10,10,10,14,6,,0.00,4,,238<br />
2013-1-12,35,26,17,8,4,0,49,25,9,1019,1017,1015,10,10,10,26,10,48,0.00,4,,71<br />
2013-1-13,34,26,17,12,6,1,47,30,10,1019,1017,1014,10,10,10,19,6,39,0.00,5,Rain,5<br />
2013-1-14,33,26,17,16,12,0,77,51,20,1020,1019,1017,10,10,10,21,6,,1.02,3,Rain,54<br />
2013-1-15,34,26,18,16,14,11,83,63,19,1020,1019,1017,26,13,9,23,6,,10.92,6,Rain-Thunderstorm,80<br />
2013-1-16,34,26,17,16,11,7,88,37,13,1021,1019,1016,10,10,10,16,8,,0.00,5,Rain,154<br />
2013-1-17,33,27,22,15,12,9,60,40,17,1020,1018,1016,10,10,10,24,10,48,0.00,5,,148<br />
2013-1-18,33,26,18,14,12,9,73,46,16,1019,1017,1014,10,10,10,26,14,42,0.00,5,,168<br />
2013-1-19,33,27,20,14,11,6,64,42,13,1019,1017,1015,10,10,10,21,10,40,0.00,6,Rain,204<br />
2013-1-20,35,27,19,11,7,3,53,30,7,1021,1018,1016,10,10,10,16,8,,0.00,4,Rain,207<br />
2013-1-21,36,27,18,10,5,0,59,28,5,1022,1020,1018,10,10,10,16,6,27,0.00,3,,177<br />
2013-1-22,37,28,19,7,3,-3,38,21,5,1022,1021,1018,10,10,10,16,8,32,0.00,4,,153<br />
2013-1-23,34,27,20,14,8,2,64,32,14,1023,1022,1021,31,17,10,16,8,,1.02,6,Rain-Hail-Thunderstorm,115<br />
2013-1-24,35,27,19,12,9,3,60,34,8,1023,1021,1018,31,12,10,19,8,,0.25,5,,86<br />
2013-1-25,36,27,19,10,7,1,49,27,7,1023,1021,1019,10,10,10,13,8,,0.00,5,Rain,111<br />
2013-1-26,37,28,18,8,3,-1,38,20,5,1023,1021,1018,10,10,10,16,8,35,0.00,4,Rain,88<br />
2013-1-27,36,29,22,7,3,1,29,18,5,1023,1021,1019,10,10,10,16,8,,0.00,4,,63<br />
2013-1-28,36,29,21,8,6,3,41,24,7,1023,1022,1020,10,10,10,13,6,,0.00,3,,10<br />
2013-1-29,36,28,19,11,9,6,52,35,10,1023,1022,1021,31,14,10,24,8,,0.00,6,Rain,62<br />
2013-1-30,34,27,20,11,9,7,46,31,14,1023,1021,1019,10,10,10,13,5,,0.00,5,Rain,114<br />
2013-1-31,37,29,22,7,-3,-11,34,14,4,1021,1020,1017,10,10,10,21,8,37,0.00,1,,138<br />
2013-2-1,38,29,21,4,-2,-7,25,14,4,1022,1020,1017,10,10,10,21,10,,0.00,1,,143<br />
2013-2-2,38,31,23,8,2,-2,30,16,5,1020,1017,1013,10,10,10,21,11,,0.00,4,,166<br />
2013-2-3,37,29,21,11,6,2,49,27,8,1019,1016,1015,31,13,10,29,8,52,0.51,4,Rain-Thunderstorm,105<br />
2013-2-4,35,27,18,12,9,6,68,41,11,1021,1019,1017,10,10,10,16,10,35,0.76,4,Thunderstorm,41<br />
2013-2-5,34,26,17,12,9,5,56,39,16,1023,1021,1018,10,10,10,23,6,,0.00,4,Rain-Thunderstorm,6<br />
2013-2-6,34,27,19,12,8,6,53,32,11,1023,1021,1018,19,11,10,21,6,39,0.76,5,Rain-Thunderstorm,51<br />
2013-2-7,35,27,18,16,10,6,73,42,11,1021,1020,1016,10,10,10,14,6,,1.02,4,Rain-Thunderstorm,74<br />
2013-2-8,34,26,18,14,9,-4,73,40,9,1020,1018,1017,10,10,10,19,8,32,0.00,2,Rain-Thunderstorm,19<br />
2013-2-9,33,24,16,1,-3,-11,34,15,4,1020,1018,1016,,,,16,8,35,0.00,,,249<br />
2013-2-10,34,25,16,2,-2,-7,36,17,4,1020,1019,1017,,,,16,8,37,0.00,,,242<br />
2013-2-11,34,25,16,1,-2,-5,30,16,4,1020,1018,1015,10,10,10,19,6,,0.00,1,,116<br />
2013-2-12,36,27,18,12,6,0,50,28,7,1021,1019,1016,10,10,10,19,8,,0.00,4,,29<br />
2013-2-13,36,28,20,12,9,6,56,33,10,1021,1018,1015,10,10,10,21,6,26,0.00,4,Rain,80<br />
2013-2-14,35,28,20,13,9,4,60,35,9,1020,1018,1015,10,10,10,29,8,66,2.03,4,Rain-Thunderstorm,98<br />
2013-2-15,34,27,20,12,10,7,53,38,12,1021,1019,1017,10,10,10,19,8,37,0.00,5,Rain,122<br />
2013-2-16,33,27,20,14,11,8,64,42,17,1021,1020,1017,31,13,10,19,6,52,0.00,3,Rain-Thunderstorm,102<br />
2013-2-17,34,27,19,11,9,5,56,35,11,1021,1019,1016,10,10,10,19,10,,0.00,3,,91<br />
2013-2-18,34,27,19,13,8,4,50,31,10,1020,1017,1015,10,10,10,16,8,,0.00,4,Rain,64<br />
2013-2-19,34,26,17,15,12,8,68,47,17,1021,1018,1017,31,13,10,16,6,,4.06,4,Rain-Thunderstorm,12<br />
2013-2-20,33,26,18,16,13,10,88,58,18,1022,1021,1020,10,9,5,16,6,,7.87,4,Rain-Thunderstorm,128<br />
2013-2-21,32,24,17,15,12,9,78,50,28,1024,1022,1020,31,15,10,23,10,,0.00,4,Rain,121<br />
2013-2-22,34,26,17,13,9,3,68,43,8,1023,1021,1020,10,10,10,14,6,,0.00,3,Rain,89<br />
2013-2-23,35,27,19,12,1,-4,56,19,4,1022,1021,1019,,,,23,11,40,0.25,,,122<br />
2013-2-24,36,28,21,6,-1,-4,28,15,4,1024,1022,1019,10,10,10,23,10,,0.00,2,Rain,83<br />
2013-2-25,37,28,19,7,2,-1,38,18,4,1025,1022,1019,10,10,10,19,10,35,0.00,2,,83<br />
2013-2-26,37,28,19,12,7,1,50,30,8,1025,1023,1020,10,10,10,14,8,42,1.02,4,Rain-Thunderstorm,49<br />
2013-2-27,35,27,18,12,10,6,68,43,12,1026,1024,1022,10,10,10,21,10,37,0.00,2,,83<br />
2013-2-28,34,27,19,12,7,0,60,29,8,1023,1021,1020,10,10,10,21,6,,0.25,3,Rain,262<br />
2013-3-1,34,26,17,1,-3,-8,32,16,4,1021,1020,1017,,,,23,8,,0.00,,,113<br />
2013-3-2,35,27,19,3,1,-3,30,18,5,1023,1021,1019,10,10,10,27,13,40,0.00,2,Rain,100<br />
2013-3-3,35,27,18,9,3,-2,43,24,8,1025,1023,1022,10,10,10,19,8,,0.00,1,Rain-Thunderstorm,93<br />
2013-3-4,32,24,17,16,11,8,88,50,18,1026,1025,1023,31,12,10,19,8,45,9.91,4,Rain-Thunderstorm,97<br />
2013-3-5,31,23,17,14,12,9,77,48,20,1026,1024,1022,31,12,10,23,10,,0.00,4,Rain,85<br />
2013-3-6,31,25,19,14,11,9,68,46,18,1025,1023,1020,10,10,10,19,10,,0.25,5,Rain,150<br />
2013-3-7,32,23,15,14,4,-9,88,40,4,1023,1020,1018,10,10,10,19,6,,0.25,1,,223<br />
2013-3-8,33,23,14,0,-4,-10,38,17,4,1021,1019,1017,10,10,10,19,10,,0.00,1,,226<br />
2013-3-9,34,26,17,0,-4,-9,24,12,4,1023,1021,1018,,,,19,8,,0.00,,,109<br />
2013-3-10,33,26,19,10,4,-5,46,23,7,1024,1023,1021,10,10,10,24,10,39,0.00,3,Rain,62<br />
2013-3-11,33,25,17,12,10,6,68,44,20,1025,1024,1022,10,10,10,21,8,40,0.00,4,,61<br />
2013-3-12,32,26,18,11,7,1,60,34,7,1026,1024,1022,10,10,10,26,10,48,0.00,3,,82<br />
2013-3-13,33,24,17,7,3,1,45,25,8,1025,1024,1021,10,10,10,21,11,40,0.00,4,Rain,93<br />
2013-3-14,33,26,18,6,4,0,42,25,7,1025,1023,1022,10,10,10,13,8,,0.00,5,,97<br />
2013-3-15,35,27,19,7,2,-2,40,21,5,1023,1021,1019,10,10,10,19,6,,0.00,3,,215<br />
2013-3-16,34,26,18,1,-1,-3,30,15,5,1023,1021,1018,10,10,10,16,8,,0.00,1,,279<br />
2013-3-17,34,27,20,2,-1,-4,25,15,6,1023,1022,1020,10,10,10,16,10,,0.00,1,,140<br />
2013-3-18,34,27,19,3,1,-1,26,16,5,1024,1022,1019,10,10,10,16,8,39,0.00,2,,130<br />
2013-3-19,34,28,22,3,-6,-14,25,12,4,1022,1021,1018,10,10,10,21,11,,0.00,1,,120<br />
2013-3-20,35,27,18,-3,-8,-13,22,10,4,1023,1021,1019,10,10,10,13,10,,0.00,,,99<br />
2013-3-21,33,27,21,11,4,-8,44,24,5,1025,1023,1021,10,10,10,24,8,42,0.00,3,Thunderstorm,82<br />
2013-3-22,34,26,17,9,4,-3,46,26,5,1025,1022,1019,10,10,10,14,8,,0.00,3,,91<br />
2013-3-23,33,27,19,8,5,2,41,26,9,1022,1020,1018,10,10,10,19,10,35,0.00,2,Rain-Thunderstorm,99<br />
2013-3-24,33,26,18,11,8,4,59,37,10,1022,1021,1018,10,10,10,14,8,,0.51,3,Rain-Thunderstorm,87<br />
2013-3-25,32,24,16,12,8,3,63,43,9,1023,1022,1021,31,14,10,19,6,,0.00,2,Rain,75<br />
2013-3-26,30,23,17,15,11,6,83,50,23,1024,1022,1018,26,11,10,14,6,,3.05,5,Rain-Thunderstorm,95<br />
2013-3-27,29,22,16,16,11,7,94,58,21,1024,1022,1020,31,12,10,13,8,,2.03,4,Rain-Thunderstorm,68<br />
2013-3-28,29,22,16,15,12,10,94,59,25,1025,1023,1021,31,13,10,13,8,,0.00,5,Rain-Thunderstorm,100<br />
2013-3-29,26,21,15,14,13,12,94,73,39,1026,1024,1024,31,31,31,19,8,,7.87,,Rain,107<br />
2013-3-30,24,19,14,16,14,12,100,83,56,1024,1021,1017,31,14,5,19,6,,24.89,3,Rain,87<br />
2013-3-31,23,17,12,15,11,7,100,76,41,1022,1019,1017,10,9,5,26,10,48,1.02,3,Rain,274<br />
2013-4-1,25,17,8,7,2,-8,87,45,8,1026,1023,1022,10,10,10,16,6,,0.00,,,330<br />
2013-4-2,29,21,12,4,1,-1,44,26,9,1025,1023,1021,,,,14,10,,0.00,,,113<br />
2013-4-3,28,21,14,8,5,1,55,38,12,1024,1023,1020,,,,23,10,,0.00,,,95<br />
2013-4-4,27,20,13,5,0,-6,48,28,5,1025,1023,1022,,,,24,14,45,0.00,,,94<br />
