
PET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,21,16,10,8,6,3,82,62,33,1028,1025,1022,8,8,8,,,,0.00,5,Rain-Thunderstorm,-1<br />
2011-1-2,19,14,10,7,6,4,76,59,40,1027,1025,1022,,,,,,,0.00,5,Rain,-1<br />
2011-1-3,20,14,9,7,6,3,82,58,35,1027,1024,1021,,,,,,,0.00,5,Rain-Thunderstorm,-1<br />
2011-1-4,20,14,9,7,5,3,82,55,37,1028,1026,1022,,,,,,,0.00,6,Rain,-1<br />
2011-1-5,21,16,10,6,5,3,71,53,31,1029,1026,1023,,,,,,,0.00,3,,-1<br />
2011-1-6,20,14,9,7,4,3,82,52,33,1030,1027,1024,,,,,,,0.00,5,,-1<br />
2011-1-7,16,13,11,7,5,3,71,59,45,1029,1027,1024,10,10,10,14,8,,0.00,6,Rain,346<br />
2011-1-8,20,15,10,6,5,2,76,56,33,1030,1028,1024,10,10,10,21,5,35,0.00,5,,22<br />
2011-1-9,20,16,11,6,5,2,71,54,33,1031,1029,1024,10,10,10,26,3,,0.00,5,,22<br />
2011-1-10,20,15,10,7,6,3,76,57,35,1032,1028,1024,10,10,10,19,3,,0.00,5,Rain,313<br />
2011-1-11,18,12,6,7,5,3,87,68,42,1059,1030,1024,10,9,6,16,5,39,0.00,6,Rain,294<br />
2011-1-12,19,14,8,9,7,5,93,64,40,1037,1027,1023,10,10,8,32,5,48,0.00,5,Rain,302<br />
2011-1-13,17,12,8,8,7,5,87,74,51,1030,1028,1025,10,9,6,14,6,,0.00,6,Rain,28<br />
2011-1-14,20,14,9,9,7,4,87,68,35,1030,1028,1024,10,10,8,24,3,,0.00,5,Rain,7<br />
