
ACDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,19,16,13,8,6,3,67,53,40,1020,1018,1017,10,10,10,32,18,,0.00,4,,156<br />
2000-1-2,24,19,14,10,8,6,72,52,31,1017,1015,1012,10,10,10,24,13,,0.00,1,,187<br />
2000-1-3,23,18,13,13,10,7,77,57,41,1016,1013,1011,10,10,10,37,11,42,0.00,2,,202<br />
2000-1-4,19,16,13,10,5,2,72,50,32,1024,1020,1017,10,10,10,32,24,50,0.00,2,,174<br />
2000-1-5,21,17,13,9,5,2,67,49,33,1025,1023,1021,10,10,10,29,18,40,0.00,3,,159<br />
2000-1-6,23,18,14,10,8,5,72,54,33,1022,1020,1017,10,10,10,27,21,,0.00,1,,143<br />
2000-1-7,25,19,13,10,8,5,72,51,28,1019,1017,1014,10,10,10,32,18,,0.00,1,,148<br />
2000-1-8,29,20,11,13,7,0,82,45,15,1016,1014,1012,10,10,10,23,10,,0.00,4,,212<br />
2000-1-9,29,24,20,15,10,4,73,42,25,1013,1012,1010,10,10,10,24,10,,0.00,6,,222<br />
2000-1-10,33,24,17,13,8,4,77,37,16,1013,1011,1010,,,,32,13,,0.00,,,184<br />
2000-1-11,37,28,19,11,7,3,60,26,12,1013,1011,1009,,,,27,16,,0.00,,,56<br />
2000-1-12,37,32,27,7,3,-1,28,16,10,1013,1011,1009,,,,29,23,48,0.00,,,56<br />
2000-1-13,36,31,26,15,6,1,42,23,13,1013,1011,1009,,,,32,19,,0.00,,,3<br />
2000-1-14,33,27,22,16,11,4,65,38,16,1012,1010,1009,,,,34,13,52,0.00,,,125<br />
2000-1-15,33,28,23,17,12,8,54,40,21,1012,1011,1010,10,10,10,26,16,35,0.00,6,Rain,142<br />
2000-1-16,36,29,23,17,12,5,69,37,15,1011,1010,1008,,,,23,10,,0.00,,,202<br />
2000-1-17,40,33,26,17,11,8,57,25,14,1011,1009,1007,,,,24,14,,0.00,,,63<br />
2000-1-18,34,27,20,19,14,8,83,47,21,1012,1009,1006,10,10,10,27,19,,0.00,2,,253<br />
2000-1-19,22,20,19,16,15,14,78,72,60,1012,1011,1010,10,10,10,27,21,,0.00,5,,239<br />
2000-1-20,22,20,18,14,12,9,73,60,43,1012,1011,1008,10,10,10,42,31,,0.00,3,,242<br />
2000-1-21,20,18,15,11,9,7,77,59,46,1017,1014,1011,10,10,10,34,26,,0.00,4,Rain,203<br />
2000-1-22,20,17,14,9,7,5,67,54,40,1019,1017,1015,10,10,10,35,18,,0.00,4,,189<br />
2000-1-23,22,17,13,8,6,3,67,49,29,1021,1018,1016,10,10,10,27,11,,0.00,4,,137<br />
2000-1-24,19,17,16,11,6,1,72,47,30,1017,1013,1010,10,10,10,27,23,,0.00,8,Rain,66<br />
2000-1-25,29,23,17,16,8,3,73,39,19,1010,1006,1004,10,10,10,32,19,,0.00,6,Rain,26<br />
2000-1-26,21,19,17,15,13,11,78,67,53,1014,1009,1005,10,10,10,35,18,45,0.00,5,,196<br />
2000-1-27,20,18,16,11,8,5,68,53,37,1020,1017,1014,10,10,10,37,29,,0.00,4,,168<br />
2000-1-28,21,18,15,11,8,6,72,55,40,1022,1020,1019,10,10,10,35,18,39,0.00,4,,189<br />
2000-1-29,23,17,12,12,10,6,94,63,33,1022,1021,1019,10,10,10,39,14,,0.00,2,,185<br />
2000-1-30,26,18,11,12,11,9,94,60,36,1021,1019,1016,10,10,10,23,11,,0.00,2,,176<br />
2000-1-31,31,23,15,17,10,5,78,48,19,1016,1014,1011,,,,14,6,,0.00,,,213<br />
2000-2-1,35,26,17,16,8,2,83,39,12,1012,1011,1010,,,,21,6,,0.00,,,241<br />
2000-2-2,40,31,22,15,4,-5,64,22,6,1014,1013,1012,,,,27,11,,0.00,,,273<br />
2000-2-3,37,28,19,18,9,-3,73,34,16,1015,1014,1013,,,,34,13,,0.00,,,185<br />
2000-2-4,39,31,23,16,12,-3,65,35,14,1012,1009,1005,8,8,8,34,16,48,0.00,6,,336<br />
2000-2-5,24,20,17,19,13,8,83,59,36,1023,1016,1008,10,10,10,40,19,47,0.00,3,,197<br />
2000-2-6,26,20,15,10,8,4,68,50,26,1025,1023,1021,10,10,10,26,18,,0.00,1,,141<br />
2000-2-7,31,23,15,13,10,7,72,48,22,1023,1021,1017,,,,24,14,,0.00,,,184<br />
2000-2-8,35,27,19,15,11,7,68,41,19,1018,1016,1015,,,,27,6,,0.00,,,187<br />
2000-2-9,39,29,20,15,10,7,49,31,16,1016,1013,1008,,,,27,6,,0.00,,,345<br />
2000-2-10,36,27,18,17,13,6,88,44,16,1014,1008,1005,10,10,10,39,19,,0.00,6,Rain,188<br />
2000-2-11,24,20,15,15,11,6,83,58,38,1016,1014,1012,10,10,10,35,19,40,0.00,5,,164<br />
2000-2-12,24,18,12,11,9,7,77,53,36,1019,1017,1016,10,10,10,27,18,39,0.00,2,,162<br />
2000-2-13,27,21,15,11,4,-3,68,37,14,1021,1018,1016,,,,32,19,47,0.00,,,114<br />
2000-2-14,31,22,13,14,9,5,77,42,22,1017,1015,1012,,,,21,8,,0.00,,,186<br />
2000-2-15,30,24,19,10,6,4,49,29,19,1014,1012,1010,,,,24,13,,0.00,,,119<br />
2000-2-16,33,26,18,14,8,3,64,34,21,1012,1011,1010,,,,21,11,,0.00,,,162<br />
2000-2-17,34,27,21,14,9,3,64,31,17,1015,1013,1011,,,,23,13,,0.00,,,142<br />
2000-2-18,36,29,23,13,8,4,53,25,15,1013,1011,1008,,,,23,11,,0.00,,,71<br />
2000-2-19,35,29,23,23,16,8,100,48,24,1008,1004,1000,10,10,10,37,19,52,0.00,6,Rain,346<br />
2000-2-20,23,21,19,22,17,15,94,84,68,1002,1001,1000,10,9,4,34,13,,0.00,6,Rain,223<br />
2000-2-21,26,23,20,21,20,19,94,81,69,1002,999,996,10,10,7,29,18,40,0.00,5,Rain-Thunderstorm,88<br />
2000-2-22,24,22,20,21,19,18,94,88,69,1007,1001,998,10,10,6,26,11,,0.00,5,,334<br />
2000-2-23,21,21,20,19,18,18,88,86,83,1009,1008,1008,10,10,10,16,11,,0.00,6,,220<br />
2000-5-1,18,16,15,11,11,9,68,66,64,1026,1026,1025,10,10,10,11,10,,0.00,3,,351<br />
2000-5-4,17,14,10,13,9,6,94,74,55,1019,1018,1017,10,10,10,32,10,,0.00,4,Rain,214<br />
2000-5-5,16,11,7,13,8,4,100,76,51,1027,1022,1018,10,10,10,37,13,52,0.00,4,Rain,169<br />
2000-5-6,17,13,9,10,8,6,100,73,59,1031,1029,1026,10,10,10,24,11,,0.00,4,Fog,189<br />
2000-5-7,17,12,7,11,9,6,100,87,68,1032,1030,1029,10,10,10,13,5,,0.00,2,Fog,49<br />
2000-5-8,19,13,7,10,8,6,100,80,52,1029,1027,1025,10,10,10,23,5,,0.00,1,Fog,9<br />
2000-5-9,18,13,9,12,9,7,93,76,52,1029,1027,1026,10,10,10,13,6,,0.00,3,,33<br />
2000-5-10,21,14,8,11,8,6,88,64,40,1027,1024,1021,,,,21,11,,0.00,,,30<br />
2000-5-11,21,18,15,12,8,5,64,54,43,1021,1019,1016,10,10,10,16,14,,0.00,5,,35<br />
2000-5-12,21,18,15,14,11,8,94,68,43,1015,1011,1008,10,9,6,39,24,60,0.00,6,Rain,1<br />
2000-5-13,17,14,13,12,11,7,94,76,59,1013,1010,1009,10,8,2,42,34,58,0.00,5,Rain,303<br />
2000-5-14,16,13,12,11,9,7,94,76,59,1023,1018,1013,10,9,4,53,31,63,0.00,5,Rain,240<br />
2000-5-15,16,13,10,14,12,9,100,93,82,1027,1025,1022,10,8,2,16,10,,0.00,5,Fog-Rain,35<br />
2000-5-16,17,13,9,13,11,8,100,89,59,1029,1027,1026,10,7,0,21,8,,0.00,4,Fog-Rain,355<br />
2000-5-17,18,14,11,13,11,10,94,86,64,1032,1031,1028,10,9,5,14,10,,0.00,4,Rain,49<br />
2000-5-18,16,12,9,11,10,8,100,87,63,1034,1032,1031,10,10,1,13,5,,0.00,3,Fog,28<br />
2000-5-19,16,13,12,12,10,8,88,75,59,1031,1029,1027,10,10,10,16,8,,0.00,6,Rain,337<br />
2000-5-20,17,14,10,14,12,7,94,81,67,1031,1028,1027,10,10,7,24,14,,0.00,5,Rain,232<br />
2000-5-21,15,10,6,9,7,5,93,80,55,1033,1031,1029,10,10,10,11,2,,0.00,4,Fog,40<br />
2000-5-22,16,11,7,9,7,6,93,76,55,1030,1028,1026,10,10,10,14,8,,0.00,3,,18<br />
2000-5-23,17,11,6,7,6,4,93,70,48,1026,1021,1016,10,10,10,24,11,,0.00,3,,14<br />
2000-5-24,18,13,8,13,9,4,94,76,64,1016,1013,1012,10,10,8,23,11,,0.00,4,Rain,342<br />
2000-5-25,17,14,12,13,11,8,88,79,68,1014,1011,1006,10,10,10,27,13,,0.00,5,,343<br />
2000-5-26,15,11,8,12,6,0,94,72,47,1005,1003,1000,10,9,2,72,34,95,0.00,5,Rain-Hail-Thunderstorm,280<br />
2000-5-27,11,9,7,4,2,-1,81,62,47,1018,1011,1005,10,9,7,50,37,77,0.00,3,Rain-Hail,223<br />
2000-5-28,14,12,11,9,6,2,88,62,51,1022,1018,1016,10,10,7,61,40,85,0.00,5,Rain,226<br />
2000-5-29,15,13,12,10,8,5,82,70,58,1025,1023,1022,10,10,5,35,27,52,0.00,5,Rain,212<br />
2000-5-30,14,11,9,7,5,3,87,65,48,1028,1027,1024,10,10,10,27,13,,0.00,5,,186<br />
2000-5-31,15,11,7,11,8,5,93,79,51,1028,1027,1025,10,10,10,26,8,,0.00,4,,171<br />
2000-6-1,10,9,8,9,8,7,94,91,87,1026,1026,1025,10,10,10,8,5,,0.00,4,Fog,146<br />
2000-6-10,13,,13,5,5,5,58,58,58,1031,1031,1031,10,10,10,10,10,,0.00,6,,120<br />
2000-6-11,14,8,3,8,6,2,100,85,63,1034,1033,1031,10,10,10,13,3,,0.00,1,Fog,165<br />
2000-6-12,15,9,3,7,5,2,100,84,55,1037,1036,1034,10,10,10,11,5,,0.00,1,Fog,72<br />
2000-6-13,15,8,2,8,4,2,100,84,51,1039,1037,1036,10,10,10,11,5,,0.00,1,Fog,71<br />
2000-6-14,16,9,2,7,4,1,93,75,48,1036,1034,1031,10,10,10,24,6,,0.00,,Fog,30<br />
2000-6-15,17,12,7,5,4,3,76,55,42,1030,1027,1023,10,10,10,34,19,50,0.00,1,,11<br />
2000-6-16,15,11,7,12,8,3,100,83,51,1029,1026,1023,10,9,1,21,11,,0.00,4,Fog-Rain,41<br />
2000-6-17,14,10,7,11,9,6,100,92,77,1032,1030,1029,10,5,0,11,6,,0.00,4,Fog,17<br />
2000-6-18,16,9,3,9,5,3,100,81,48,1031,1029,1025,10,10,10,19,5,,0.00,1,Fog,65<br />
2000-6-19,18,12,6,7,6,4,87,61,45,1024,1018,1012,10,10,10,26,13,,0.00,3,,26<br />
2000-6-20,16,13,11,11,9,5,82,71,51,1011,1010,1008,10,10,10,34,26,48,0.00,3,Rain,355<br />
2000-6-21,15,12,9,10,8,2,88,75,58,1011,1008,1005,10,9,3,40,27,76,0.00,4,Rain,321<br />
2000-6-22,15,13,11,11,9,6,94,78,59,1018,1012,1009,10,9,5,53,29,76,0.00,4,Rain-Thunderstorm,288<br />
2000-6-23,15,12,9,11,9,5,88,78,58,1022,1021,1019,10,9,6,27,16,,0.00,5,,353<br />
2000-6-24,17,13,10,10,8,7,87,74,59,1023,1021,1020,10,10,10,16,13,,0.00,4,,22<br />
2000-6-25,17,11,6,9,7,4,93,62,45,1023,1020,1018,10,10,10,23,13,,0.00,6,,26<br />
2000-6-26,15,13,11,9,6,3,88,65,48,1017,1014,1010,10,9,7,27,21,40,0.00,7,Rain,29<br />
2000-6-27,15,13,11,11,9,6,94,79,59,1012,1010,1008,10,9,4,39,23,60,0.00,5,Rain,321<br />
2000-6-28,13,9,6,11,6,2,94,77,62,1015,1010,1007,10,9,4,45,27,53,0.00,5,Rain,260<br />
2000-6-29,14,11,8,8,6,4,93,75,58,1025,1020,1014,10,10,8,37,21,58,0.00,3,Fog-Rain,199<br />
2000-6-30,14,11,8,11,9,8,100,92,77,1029,1027,1025,10,9,4,11,5,,0.00,5,Fog,40<br />
2000-7-1,13,10,7,10,7,5,100,83,62,1031,1030,1028,10,10,10,11,3,,0.00,5,Fog,105<br />
2000-7-2,15,9,3,7,5,2,100,77,55,1029,1026,1023,10,10,10,16,5,,0.00,4,Fog,63<br />
2000-7-3,15,11,7,8,6,5,93,70,51,1023,1021,1019,,,,23,10,,0.00,,,32<br />
2000-7-4,17,12,7,9,7,6,93,73,52,1021,1019,1018,10,10,10,14,10,,0.00,1,,28<br />
2000-7-5,17,13,9,11,7,4,94,67,45,1018,1013,1010,10,9,7,34,16,,0.00,7,Rain,13<br />
2000-7-6,16,13,11,12,11,9,94,89,72,1015,1013,1011,10,10,10,26,18,,0.00,3,Rain,322<br />
2000-7-7,15,12,9,10,9,8,100,90,67,1014,1013,1011,10,10,9,13,8,,0.00,4,Fog,21<br />
2000-7-8,13,10,8,9,8,7,94,83,72,1011,1008,1007,10,10,8,26,13,40,0.00,4,Rain,15<br />
2000-7-9,13,10,6,9,7,5,93,83,67,1015,1010,1008,10,10,10,19,10,,0.00,3,,101<br />
2000-7-10,12,8,4,10,6,3,100,92,82,1021,1019,1015,10,9,2,13,3,,0.00,2,Fog,31<br />
2000-7-11,15,9,4,6,4,3,93,68,48,1019,1015,1010,10,10,10,34,16,48,0.00,2,Rain,21<br />
2000-7-12,15,12,10,11,7,3,94,70,54,1019,1013,1009,10,10,7,32,21,58,0.00,5,Rain,205<br />
2000-7-13,14,9,4,9,6,3,93,78,55,1020,1018,1015,10,10,10,13,6,,0.00,4,Fog,166<br />
2000-7-14,13,10,8,9,7,2,94,77,54,1015,1011,1009,10,9,4,40,19,60,0.00,5,Rain,10<br />
2000-7-15,16,12,8,10,8,7,100,80,55,1022,1017,1014,10,10,10,29,14,,0.00,4,,5<br />
2000-7-16,17,11,6,11,8,6,100,89,68,1026,1025,1023,10,9,0,13,6,,0.00,1,Fog,39<br />
2000-7-17,19,12,5,8,6,5,100,71,43,1026,1024,1019,10,10,10,23,11,,0.00,1,Fog,29<br />
2000-7-18,15,14,13,11,6,3,88,59,45,1019,1011,1004,10,10,10,32,23,47,0.00,6,Rain,15<br />
2000-7-19,13,11,8,11,7,4,94,75,58,1012,1007,1002,10,10,6,50,29,72,0.00,4,Rain,289<br />
2000-7-20,14,11,8,11,8,5,93,79,58,1012,1009,1006,10,9,5,60,27,82,0.00,5,Rain,338<br />
