
AZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,9,7,6,8,6,3,100,88,76,1032,1029,1028,10,10,10,29,24,,0.00,6,Rain,134<br />
2006-1-2,8,7,5,5,4,2,100,83,76,1033,1032,1030,10,10,10,26,18,,0.00,6,,118<br />
2006-1-3,7,6,5,4,2,0,93,79,61,1033,1032,1031,10,10,10,29,18,,0.00,6,,122<br />
2006-1-4,7,6,4,6,5,2,100,90,81,1034,1033,1032,10,10,10,23,13,,0.00,7,Rain,119<br />
2006-1-5,10,8,7,9,8,6,100,93,82,1032,1029,1025,10,10,10,23,16,,0.00,7,Rain,144<br />
2006-1-6,9,7,6,8,7,4,100,92,71,1025,1021,1020,10,8,3,37,11,,0.00,8,Rain,280<br />
2006-1-7,8,7,6,7,6,4,100,93,87,1022,1021,1019,10,10,10,29,16,,0.00,7,,19<br />
2006-1-8,6,4,3,5,4,2,100,96,81,1023,1020,1019,10,10,6,34,18,,0.00,8,Rain,8<br />
2006-1-9,4,3,2,3,1,0,100,85,75,1026,1024,1022,10,10,10,26,18,,0.00,8,Rain,15<br />
2006-1-10,4,3,2,4,3,1,100,99,93,1031,1028,1026,10,10,8,19,10,,0.00,8,Rain,328<br />
2006-1-11,5,3,2,3,2,0,100,89,75,1033,1032,1031,10,10,10,19,13,,0.00,7,Rain,73<br />
2006-1-12,5,4,3,3,3,1,100,93,87,1031,1029,1027,10,10,10,14,6,,0.00,7,Rain,88<br />
2006-1-13,5,4,3,4,3,3,100,95,87,1028,1027,1026,10,10,10,11,5,,0.00,8,Rain,15<br />
2006-1-14,6,3,0,5,3,-1,100,97,87,1026,1024,1022,10,10,10,26,11,,0.00,7,Rain,317<br />
2006-1-15,3,1,-1,3,1,-1,100,96,75,1022,1021,1020,10,6,1,40,13,,0.00,6,Fog-Rain-Snow,322<br />
2006-1-16,6,3,0,3,1,-2,100,85,57,1022,1019,1014,10,9,1,40,24,,0.00,7,Snow,272<br />
2006-1-17,5,3,1,4,2,1,100,95,87,1019,1017,1016,10,9,4,19,8,,0.00,7,Rain-Snow,1<br />
2006-1-18,2,0,-1,2,0,-1,100,100,93,1025,1022,1019,10,5,1,19,11,,0.00,8,Rain-Snow,351<br />
2006-1-19,4,1,-1,3,1,-1,100,98,87,1026,1023,1020,10,9,4,19,11,,0.00,7,Snow,258<br />
2006-1-20,6,3,2,5,2,-1,100,88,61,1019,1010,1004,10,10,10,55,26,74,0.00,6,,199<br />
2006-1-21,4,1,-1,4,0,-2,100,91,81,1026,1016,1009,10,9,1,60,39,77,0.00,8,Snow,318<br />
2006-1-22,4,0,-3,2,-2,-6,100,83,49,1029,1025,1019,10,8,0,37,23,,0.00,5,Snow,213<br />
2006-1-23,6,2,-1,3,-3,-8,100,69,42,1020,1017,1015,10,10,3,45,27,,0.00,8,Rain-Snow,268<br />
2006-1-24,-1,-3,-4,-2,-5,-6,100,91,80,1033,1029,1021,10,3,0,52,40,71,0.00,8,Snow,342<br />
2006-1-25,-2,-3,-3,-3,-3,-5,100,95,86,1034,1032,1027,10,6,1,163,16,,0.00,8,Snow,5<br />
2006-1-26,1,-1,-2,1,1,-2,100,99,87,1027,1019,1016,10,6,1,19,13,,0.00,8,Rain-Snow,76<br />
2006-1-27,1,0,0,1,0,0,100,99,93,1026,1024,1019,10,6,2,29,14,,0.00,8,Snow,335<br />
2006-1-28,2,1,0,1,1,-1,100,97,93,1028,1026,1026,10,10,8,19,10,,0.00,7,Snow,258<br />
2006-1-29,4,1,-1,2,0,-2,100,91,70,1025,1022,1019,10,10,10,37,19,,0.00,4,Rain,243<br />
2006-1-30,7,2,-3,1,-1,-3,100,81,53,1022,1019,1015,10,9,8,29,13,,0.00,4,,244<br />
2006-1-31,6,2,-1,0,-1,-3,100,78,53,1017,1014,1010,,,,37,16,,0.00,,,210<br />
2006-2-1,7,3,0,2,-1,-7,100,76,37,1020,1012,1005,10,10,10,52,32,71,0.00,3,,287<br />
2006-2-2,7,2,-3,4,1,-3,100,90,70,1022,1020,1016,4,4,4,34,10,,0.00,6,,229<br />
2006-2-3,7,4,3,6,4,2,100,93,81,1016,1011,1009,10,10,10,29,21,,0.00,8,Rain,229<br />
2006-2-4,5,4,4,5,4,3,100,97,93,1017,1013,1011,10,10,10,40,34,,0.00,8,Rain,327<br />
2006-2-5,8,4,2,7,5,1,100,95,87,1023,1020,1017,10,10,10,48,26,60,0.00,6,Rain,201<br />
2006-2-6,9,6,2,7,5,2,100,94,71,1021,1018,1014,10,9,4,40,26,,0.00,4,,185<br />
2006-2-7,12,8,4,7,6,4,100,91,67,1013,1010,1007,10,10,10,37,24,,0.00,5,,210<br />
2006-2-8,4,3,2,3,3,2,100,95,93,1018,1015,1013,10,10,6,40,27,,0.00,8,,344<br />
2006-2-9,3,2,1,3,2,1,100,99,93,1013,1008,1003,10,7,1,26,19,,0.00,8,Rain,316<br />
2006-2-10,2,1,0,1,1,-1,100,95,87,1026,1019,1008,10,10,10,48,31,55,0.00,7,,324<br />
2006-2-11,9,4,1,7,4,0,100,94,87,1026,1020,1014,10,10,10,55,23,74,0.00,7,,170<br />
2006-2-12,6,3,2,5,4,2,100,96,93,1015,1013,1012,10,9,1,55,32,74,0.00,7,,281<br />
2006-2-13,7,4,3,6,4,2,100,96,93,1016,1013,1011,10,10,10,37,19,,0.00,7,,271<br />
2006-2-14,5,4,3,4,3,3,100,97,93,1018,1016,1016,10,10,8,34,27,,0.00,7,,330<br />
2006-2-15,3,2,2,3,3,2,100,100,100,1017,1014,1009,10,6,2,29,21,,0.00,8,Rain,321<br />
2006-2-16,3,2,1,3,2,1,100,98,93,1014,1010,1007,10,9,1,40,24,,0.00,8,Rain-Snow,325<br />
2006-2-17,3,1,0,1,-1,-2,100,88,75,1021,1018,1014,10,8,1,29,16,,0.00,7,Snow,4<br />
2006-2-18,7,3,1,3,1,-1,100,84,57,1023,1021,1020,10,10,10,23,14,,0.00,3,,218<br />
2006-2-19,8,6,3,5,3,-1,100,88,53,1026,1020,1017,10,10,10,45,21,,0.00,7,Rain,273<br />
2006-2-20,8,4,1,6,4,1,100,97,81,1029,1027,1026,10,10,8,47,16,,0.00,6,,216<br />
2006-2-21,10,7,4,8,6,4,100,93,76,1028,1026,1025,10,10,10,19,13,,0.00,7,,200<br />
2006-2-22,9,6,2,6,4,2,100,92,76,1030,1029,1028,10,9,1,14,8,,0.00,4,Fog,347<br />
2006-2-23,10,6,2,9,6,2,100,96,71,1028,1026,1024,10,6,0,40,16,,0.00,6,Fog,172<br />
2006-2-24,10,8,5,9,7,5,100,98,87,1024,1022,1019,10,8,0,29,16,,0.00,5,Fog,168<br />
2006-2-25,7,6,5,7,6,4,100,98,87,1018,1015,1014,10,7,0,34,18,,0.00,7,Fog,280<br />
2006-2-26,9,7,4,7,6,4,100,95,82,1016,1015,1014,10,9,5,19,13,,0.00,7,,247<br />
2006-2-27,9,7,5,8,6,5,100,98,93,1014,1011,1008,8,5,0,37,18,,0.00,7,Fog,176<br />
2006-2-28,8,7,4,7,6,4,100,96,93,1021,1017,1011,10,8,2,40,27,,0.00,6,,327<br />
2006-3-1,8,6,4,8,6,4,100,99,93,1020,1014,1007,10,9,4,48,18,,0.00,6,,186<br />
2006-3-2,9,7,5,8,6,5,100,95,82,1016,1011,1006,10,9,2,48,29,66,0.00,6,,317<br />
2006-3-3,9,6,3,8,6,3,100,97,87,1016,1010,1002,10,10,8,52,19,,0.00,6,,173<br />
2006-3-4,12,7,1,7,5,1,100,85,54,1023,1010,997,10,10,8,52,40,71,0.00,3,,309<br />
2006-3-5,11,6,1,9,4,0,100,89,58,1023,1019,1015,10,10,10,55,21,74,0.00,4,,181<br />
2006-3-6,13,10,7,8,7,6,100,90,63,1016,1013,1011,10,7,2,45,37,,0.00,4,,185<br />
2006-3-7,15,10,6,9,7,6,100,94,59,1014,1012,1010,10,5,0,37,29,,0.00,5,Fog,173<br />
2006-3-8,18,11,6,11,8,0,100,85,30,1009,1005,1002,10,4,1,40,26,,0.00,4,Fog,177<br />
2006-3-9,24,17,11,10,7,2,94,59,27,1003,1001,999,,,,29,19,,0.00,,,166<br />
2006-3-10,20,13,6,9,6,3,100,88,33,1022,1011,1000,10,10,10,48,31,63,0.00,8,Rain,325<br />
2006-3-11,7,6,5,5,3,1,100,84,66,1026,1025,1022,10,10,10,34,21,,0.00,8,Rain,6<br />
2006-3-12,10,8,6,8,7,4,100,91,76,1026,1025,1024,10,10,10,23,13,,0.00,8,,144<br />
2006-3-13,12,9,6,9,6,2,100,85,51,1026,1023,1021,10,10,10,26,13,,0.00,7,,151<br />
2006-3-14,11,8,6,10,8,6,100,98,76,1023,1021,1020,10,10,10,23,14,,0.00,7,,137<br />
2006-3-15,13,7,2,9,6,2,100,90,67,1023,1021,1018,10,8,0,26,11,,0.00,2,Fog,81<br />
