
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,26,22,18,21,19,17,100,89,69,1013,1010,1009,10,7,2,26,14,,0.00,6,Rain,111<br />
2012-1-2,27,23,20,20,18,15,94,75,51,1011,1010,1008,10,10,10,21,13,,0.00,4,,166<br />
2012-1-3,29,23,17,20,18,16,100,79,51,1012,1010,1009,10,8,0,19,8,,0.00,4,Fog,271<br />
2012-1-4,27,22,18,18,17,12,94,68,39,1016,1014,1011,10,10,10,23,10,,0.00,4,,161<br />
2012-1-5,28,22,17,18,17,16,94,72,51,1016,1014,1011,10,10,10,26,14,,0.00,4,,121<br />
2012-1-6,31,26,20,22,20,18,94,75,51,1013,1011,1010,10,10,10,21,13,,0.00,1,,158<br />
2012-1-7,29,26,22,22,21,19,100,80,55,1016,1014,1013,10,10,10,27,13,,0.00,4,,146<br />
2012-1-8,32,26,21,22,21,19,100,77,49,1017,1015,1013,10,10,10,34,16,,0.00,2,,115<br />
2012-1-9,34,27,21,22,21,19,94,70,43,1017,1014,1011,10,10,10,29,16,,0.00,2,,109<br />
2012-1-10,31,26,21,22,20,19,89,71,51,1014,1012,1008,10,10,10,23,16,,0.00,3,,105<br />
2012-1-11,35,28,22,23,21,18,94,68,39,1011,1009,1008,10,10,10,21,11,,0.00,5,Rain-Thunderstorm,76<br />
2012-1-12,32,27,23,24,22,20,100,76,55,1012,1010,1009,10,8,2,29,10,,0.00,5,Rain-Thunderstorm,233<br />
2012-1-13,24,22,21,23,22,21,100,97,89,1012,1010,1009,10,5,3,23,11,,0.00,8,Rain,139<br />
2012-1-14,22,21,20,21,21,20,100,98,88,1011,1010,1009,10,5,3,19,14,,0.00,8,Rain,171<br />
2012-1-15,26,23,20,20,19,17,100,83,61,1014,1011,1001,10,8,4,19,6,,0.00,6,Rain,196<br />
2012-1-16,29,23,18,20,18,16,100,76,54,1016,1014,1012,10,10,10,23,8,,0.00,2,,121<br />
2012-1-17,29,24,20,22,21,18,100,81,66,1015,1014,1012,10,10,10,27,16,,0.00,4,,120<br />
2012-1-18,30,26,21,21,21,20,100,80,58,1015,1013,1012,10,10,10,29,16,,0.00,4,,115<br />
2012-1-19,31,26,20,21,20,19,100,76,51,1014,1011,1008,10,10,10,23,11,,0.00,3,,106<br />
2012-1-20,32,26,21,24,22,21,100,82,58,1013,1011,1009,10,9,4,21,10,,0.00,4,Thunderstorm,109<br />
2012-1-21,33,27,22,24,22,20,100,79,55,1013,1011,1009,10,9,5,19,8,,0.00,3,Thunderstorm,92<br />
2012-1-22,35,28,21,24,22,17,100,76,34,1011,1009,1006,10,6,1,16,8,,0.00,4,Fog-Thunderstorm,73<br />
2012-1-23,35,29,24,24,23,20,100,69,41,1009,1007,1004,10,10,10,23,8,,0.00,2,,284<br />
2012-1-24,35,30,25,25,23,21,89,72,49,1007,1006,1004,10,9,4,37,10,61,0.00,4,Rain-Thunderstorm,354<br />
2012-1-25,28,26,23,24,21,17,94,77,58,1016,1011,1007,10,10,10,26,11,,0.00,5,Rain,206<br />
2012-1-26,27,23,20,18,16,13,78,63,42,1019,1017,1015,10,10,10,26,14,45,0.00,4,,126<br />
2012-1-27,27,22,18,18,16,14,88,71,45,1019,1017,1015,10,10,10,27,14,,0.00,5,,117<br />
2012-1-28,27,22,18,19,17,14,94,74,45,1019,1016,1013,10,10,10,27,14,,0.00,5,,108<br />
2012-1-29,31,24,18,19,18,16,100,72,43,1014,1012,1010,10,10,10,24,13,,0.00,1,,96<br />
2012-1-30,34,26,18,21,18,6,100,70,17,1020,1010,1008,10,10,10,21,10,,0.00,1,,107<br />
2012-1-31,35,27,19,22,19,15,100,69,30,1010,1008,1007,,,,14,8,,0.00,,,105<br />
2012-2-1,33,27,21,23,22,21,100,80,52,1010,1009,1007,10,8,4,16,8,,0.00,4,,120<br />
2012-2-2,34,28,22,25,22,21,94,77,46,1012,1011,1009,10,10,10,21,6,,0.00,4,Rain-Thunderstorm,164<br />
2012-2-3,35,29,24,25,24,22,100,81,49,1012,1011,1008,10,8,4,34,8,,0.00,4,Thunderstorm,109<br />
2012-2-4,36,30,24,25,24,23,100,82,47,1014,1011,1009,10,10,9,34,10,52,0.00,6,Rain-Thunderstorm,307<br />
2012-2-5,34,28,23,25,23,23,100,83,52,1014,1011,1008,10,9,4,27,10,,0.00,6,Rain-Thunderstorm,87<br />
2012-2-6,31,27,23,26,24,22,100,88,66,1012,1011,1010,10,9,4,24,8,,0.00,5,Rain-Thunderstorm,338<br />
2012-2-7,31,27,23,26,24,23,100,86,66,1011,1010,1008,10,10,5,21,6,,0.00,5,,267<br />
2012-2-8,35,29,23,26,23,22,100,80,47,1008,1007,1005,10,9,3,24,6,,0.00,2,Rain-Thunderstorm,95<br />
2012-2-9,29,26,23,26,23,21,100,86,70,1013,1010,1007,10,9,4,24,10,,0.00,5,Rain-Thunderstorm,218<br />
2012-2-10,28,24,22,22,19,17,94,74,51,1013,1012,1010,10,10,10,45,13,,0.00,4,,207<br />
2012-2-11,28,24,20,20,17,14,94,72,42,1013,1011,1009,10,10,10,24,10,,0.00,2,,291<br />
2012-2-12,30,24,18,19,16,12,100,68,33,1013,1011,1010,10,10,10,19,10,,0.00,1,,327<br />
2012-2-13,32,26,19,22,20,18,100,74,49,1014,1012,1011,10,10,10,27,11,,0.00,1,,92<br />
2012-2-14,34,27,20,22,21,16,100,70,34,1015,1013,1011,10,10,10,26,13,,0.00,2,,93<br />
2012-2-15,35,29,23,25,22,20,94,69,41,1016,1014,1013,10,10,10,26,11,,0.00,2,,59<br />
2012-2-16,35,30,26,24,22,19,83,64,39,1017,1014,1012,10,10,10,23,10,,0.00,1,,16<br />
2012-2-17,36,30,24,24,22,20,94,66,39,1014,1013,1010,10,10,10,23,10,,0.00,1,,69<br />
2012-2-18,37,30,24,24,22,19,100,66,35,1014,1011,1009,10,10,10,19,10,,0.00,1,,44<br />
2012-2-19,39,32,25,24,22,19,94,64,31,1013,1011,1009,10,10,10,40,11,60,0.00,5,Thunderstorm,284<br />
2012-2-20,35,29,23,22,20,16,89,61,36,1013,1011,1009,10,10,10,26,18,,0.00,3,Rain-Thunderstorm,5<br />
2012-2-21,35,28,22,25,22,19,100,80,44,1010,1008,1007,10,10,9,23,11,,0.00,3,Rain-Thunderstorm,48<br />
2012-2-22,27,24,23,24,23,22,100,94,79,1010,1007,1006,10,7,2,14,8,,0.00,7,Rain,195<br />
2012-2-23,31,27,23,23,22,20,100,83,52,1012,1010,1008,10,9,2,16,6,,0.00,3,,286<br />
2012-2-24,29,26,23,23,22,20,100,80,66,1013,1012,1010,10,10,10,26,11,,0.00,6,,122<br />
2012-2-25,26,23,21,23,22,21,100,94,78,1013,1010,1006,10,8,4,24,16,,0.00,6,Rain,113<br />
2012-2-26,31,26,21,24,22,20,100,86,58,1012,1007,1004,10,9,4,23,10,,0.00,5,Rain,283<br />
2012-2-27,30,25,20,22,20,17,100,76,45,1014,1012,1011,10,10,10,24,8,,0.00,1,,141<br />
2012-2-28,33,27,21,24,22,19,94,75,55,1011,1009,1007,10,10,10,23,11,,0.00,3,,58<br />
2012-2-29,34,28,22,24,23,21,100,81,49,1010,1008,1005,10,7,1,40,8,64,0.00,7,Rain-Thunderstorm,13<br />
2012-3-1,28,26,23,24,22,20,94,84,74,1011,1008,1006,10,9,3,23,14,,0.00,4,Rain,282<br />
2012-3-2,27,23,21,21,20,19,100,80,61,1017,1014,1010,10,10,10,19,13,,0.00,4,,228<br />
2012-3-3,29,24,19,21,20,19,100,81,55,1018,1016,1015,10,10,10,24,10,,0.00,3,,100<br />
2012-3-4,33,27,20,23,21,20,100,79,46,1016,1014,1012,10,10,10,23,10,,0.00,1,,88<br />
2012-3-5,35,28,22,24,23,22,100,79,47,1014,1013,1011,10,10,9,21,10,,0.00,2,,92<br />
2012-3-6,35,28,22,25,22,20,100,76,44,1016,1014,1013,10,6,2,24,10,,0.00,1,,93<br />
2012-3-7,35,28,21,24,22,16,100,80,32,1017,1015,1013,6,3,1,16,10,,0.00,5,,98<br />
2012-3-8,32,27,22,25,23,22,100,84,62,1016,1015,1014,10,8,3,21,6,,0.00,2,,164<br />
2012-3-9,31,26,22,24,22,19,100,80,51,1017,1015,1013,10,10,8,23,10,,0.00,3,,111<br />
2012-3-10,33,27,21,24,22,20,100,75,46,1015,1012,1010,9,8,7,16,10,,0.00,,,64<br />
2012-3-11,36,29,23,24,21,15,100,69,30,1014,1012,1010,10,9,8,23,10,,0.00,1,,317<br />
2012-3-12,36,28,21,23,21,17,94,64,34,1012,1010,1008,10,10,8,21,6,,0.00,2,,43<br />
2012-3-13,36,30,23,23,22,20,100,74,41,1010,1009,1007,10,10,9,29,8,47,0.00,4,Rain-Thunderstorm,276<br />
2012-3-14,28,24,21,28,22,21,100,99,89,1013,1011,1009,10,6,1,21,5,,0.00,7,Rain-Thunderstorm,275<br />
2012-3-15,26,23,20,22,18,15,100,75,57,1018,1016,1013,10,10,9,19,8,,0.00,4,,179<br />
2012-3-16,27,21,15,19,17,14,100,76,45,1020,1017,1016,10,10,10,19,6,,0.00,2,,96<br />
2012-3-17,29,23,18,19,18,17,100,76,48,1019,1017,1016,10,10,10,29,13,,0.00,1,,106<br />
2012-3-18,31,24,18,20,18,16,94,72,40,1017,1015,1013,10,10,10,21,10,,0.00,2,,104<br />
2012-3-19,31,24,18,20,18,14,100,69,35,1015,1013,1011,10,10,10,16,8,,0.00,2,,87<br />
2012-3-20,31,24,19,21,18,14,94,71,35,1013,1012,1010,10,10,10,14,6,,0.00,1,,291<br />
2012-3-21,26,22,19,20,19,18,94,81,65,1011,1009,1007,10,10,10,14,6,,0.00,5,,311<br />
2012-3-22,28,24,20,20,18,17,94,77,54,1010,1008,1006,10,10,4,23,8,,0.00,4,Rain-Thunderstorm,245<br />
2012-3-23,26,22,18,20,18,16,100,82,54,1013,1010,1008,10,9,4,16,8,,0.00,5,Rain,177<br />
2012-3-24,26,22,17,19,16,11,100,77,39,1015,1014,1012,10,9,4,16,8,,0.00,3,Rain,195<br />
2012-3-25,27,21,16,18,16,11,100,77,37,1016,1014,1013,10,10,10,13,5,,0.00,2,,253<br />
2012-3-26,28,22,17,20,18,17,100,86,62,1013,1012,1011,10,10,9,23,6,,0.00,6,Rain,295<br />
2012-3-27,21,18,14,19,13,6,100,72,40,1017,1014,1010,10,10,8,32,14,,0.00,5,Rain,279<br />
2012-3-28,21,16,11,10,8,6,82,64,38,1019,1017,1015,10,10,10,32,16,,0.00,2,,290<br />
2012-3-29,28,19,10,20,14,9,94,80,46,1020,1015,1007,10,9,4,21,6,,0.00,5,Rain-Thunderstorm,290<br />
2012-3-30,27,20,13,20,13,10,100,70,39,1022,1020,1009,10,10,10,21,6,,0.00,2,,100<br />
2012-3-31,29,21,14,19,17,14,100,75,48,1022,1020,1012,10,10,8,29,11,,0.00,1,,109<br />
2012-4-1,30,23,16,20,17,14,100,76,37,1020,1017,1014,10,10,10,21,13,,0.00,1,,98<br />
2012-4-2,30,23,16,21,17,9,100,78,30,1016,1015,1013,10,4,0,16,5,,0.00,4,Fog,229<br />
2012-4-3,30,23,16,21,18,12,100,78,35,1016,1014,1013,10,10,9,21,5,,0.00,2,,107<br />
2012-4-4,34,27,19,21,19,14,100,80,30,1014,1011,1008,10,4,0,19,8,,0.00,4,Fog-Rain,69<br />
2012-4-5,22,20,18,19,18,18,100,93,83,1011,1007,1005,10,7,3,37,13,,0.00,7,Rain-Thunderstorm,323<br />
2012-4-6,24,20,16,19,16,13,100,75,53,1014,1012,1010,10,10,10,16,8,,0.00,5,,249<br />
2012-4-7,26,19,13,16,13,9,100,74,34,1015,1013,1010,9,9,8,11,3,,0.00,3,,293<br />
2012-4-8,29,21,14,19,14,9,100,72,29,1016,1013,1012,,,,13,5,,0.00,,,238<br />
2012-4-9,28,21,15,20,19,16,100,83,54,1018,1016,1015,19,11,5,27,13,,0.00,3,,103<br />
2012-4-10,26,23,21,23,21,20,100,87,68,1017,1016,1015,19,13,10,19,14,,0.00,4,Rain,106<br />
2012-4-11,28,25,22,23,22,20,100,86,60,1017,1015,1014,19,11,6,19,6,,0.00,5,Rain,38<br />
2012-4-12,26,23,21,22,21,19,100,91,69,1017,1015,1014,19,7,0,11,5,,0.00,6,Fog,232<br />
2012-4-13,26,22,19,20,19,18,100,82,60,1015,1013,1012,19,11,10,23,10,,0.00,5,,116<br />
2012-4-14,23,20,18,23,20,17,100,98,88,1012,1009,1004,19,5,2,29,13,,0.00,8,Rain,134<br />
2012-4-15,24,21,17,18,17,15,100,82,49,1017,1014,1011,19,11,7,14,8,,0.00,5,,252<br />
2012-4-16,25,20,16,19,17,16,100,84,49,1020,1018,1016,19,11,9,19,6,,0.00,3,,65<br />
2012-4-17,28,22,16,20,17,16,100,79,37,1019,1017,1016,19,19,19,19,8,,0.00,,,104<br />
2012-4-18,29,22,16,20,18,16,100,85,51,1019,1016,1015,19,6,0,14,3,,0.00,4,Fog,171<br />
2012-4-19,24,21,18,20,19,18,100,87,71,1016,1014,1013,19,12,5,26,6,,0.00,7,,291<br />
2012-4-20,29,24,19,20,18,14,100,78,32,1015,1012,1010,19,12,10,13,5,,0.00,4,,204<br />
2012-4-21,26,21,17,23,18,11,100,88,60,1020,1015,1012,19,6,0,27,6,,0.25,5,Fog-Rain-Thunderstorm,257<br />
2012-4-22,19,16,12,12,11,8,88,66,39,1022,1020,1019,19,12,10,11,6,,0.00,4,,192<br />
2012-4-23,21,16,10,14,9,4,100,70,36,1020,1019,1017,19,12,10,16,6,,0.00,3,,211<br />
