
GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,26,20,14,14,11,4,82,58,23,1019,1017,1016,10,8,5,24,10,,0.00,1,,48<br />
2013-1-2,25,18,11,13,6,1,73,45,12,1021,1018,1017,10,10,10,23,10,,0.00,,,22<br />
2013-1-3,24,18,12,18,14,8,88,70,52,1021,1018,1017,10,10,8,21,8,,0.00,2,,221<br />
2013-1-4,24,20,16,17,16,15,94,76,53,1020,1017,1016,10,8,5,23,10,,0.00,2,,254<br />
2013-1-5,24,20,16,16,14,14,83,69,45,1018,1015,1013,10,9,6,27,10,,0.00,2,,276<br />
2013-1-6,28,21,13,14,9,5,82,53,15,1017,1014,1013,10,9,6,14,8,,0.00,,,118<br />
2013-1-7,29,22,15,8,6,4,51,32,13,1016,1013,1012,10,7,5,27,16,,0.00,,,141<br />
2013-1-8,28,23,19,16,9,7,68,42,28,1017,1014,1013,10,10,10,24,18,,0.00,,,189<br />
2013-1-9,29,23,17,17,13,10,69,53,26,1017,1014,1012,10,9,8,26,13,,0.00,,,116<br />
2013-1-10,29,24,20,16,14,12,68,50,29,1014,1013,1011,10,6,2,29,18,,0.00,,,152<br />
2013-1-11,21,19,18,19,12,6,83,56,26,1022,1019,1014,10,7,4,40,26,47,0.00,4,,308<br />
2013-1-12,21,19,17,12,11,8,72,58,40,1024,1022,1021,10,10,10,26,19,,0.00,2,,289<br />
2013-1-13,22,17,11,13,10,8,82,62,32,1022,1020,1018,10,9,8,21,10,,0.00,1,,298<br />
2013-1-14,22,20,18,13,12,10,73,60,44,1021,1018,1017,10,10,10,29,18,,0.00,2,,295<br />
2013-1-15,21,19,18,12,11,9,64,56,40,1020,1018,1017,10,9,6,39,26,,0.00,2,,294<br />
2013-1-16,21,19,17,11,9,6,64,52,32,1021,1019,1018,10,10,10,35,23,,0.00,4,,302<br />
2013-1-17,22,17,12,7,1,-7,55,35,8,1025,1022,1020,10,9,9,29,13,,0.00,,,27<br />
2013-1-18,21,14,8,11,4,-1,68,47,22,1024,1022,1020,10,10,10,19,8,,0.00,,,14<br />
2013-1-19,22,16,9,12,9,5,82,64,32,1024,1021,1020,10,9,9,19,8,,0.00,,,6<br />
2013-1-20,22,16,9,13,9,7,87,66,27,1022,1020,1018,10,9,6,14,8,,0.00,,,32<br />
2013-1-21,23,17,11,15,12,9,94,72,34,1022,1019,1017,10,8,4,16,8,,0.00,,,41<br />
2013-1-22,24,18,12,17,14,12,100,82,51,1022,1020,1018,10,4,0,19,8,,0.00,4,Fog,261<br />
2013-1-23,24,21,17,19,16,7,100,82,28,1023,1020,1019,10,4,0,23,8,,0.00,2,Fog,233<br />
2013-1-24,26,18,11,16,14,11,100,87,43,1021,1019,1017,10,3,0,16,6,,0.00,3,Fog,180<br />
2013-1-25,26,19,13,17,14,10,100,84,39,1022,1019,1017,10,3,0,16,8,,0.00,3,Fog,76<br />
2013-1-26,29,21,13,18,13,7,94,71,19,1021,1019,1017,10,5,2,19,10,,0.00,1,Fog,68<br />
2013-1-27,29,21,14,17,13,7,94,68,18,1020,1018,1016,10,6,3,23,10,,0.00,,,82<br />
2013-1-28,28,21,13,19,16,9,100,85,29,1019,1016,1013,10,4,0,19,10,47,0.00,2,Fog,63<br />
2013-1-29,29,23,17,18,13,9,100,61,21,1014,1012,1011,10,5,0,26,13,,0.00,2,Fog,116<br />
2013-1-30,28,23,18,18,13,10,83,57,23,1014,1012,1010,10,7,2,27,13,,0.00,,,183<br />
