
CAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,27,21,15,19,15,1,94,73,18,1023,1021,1019,10,10,7,21,11,,0.00,3,Rain,116<br />
2006-1-2,22,19,17,18,17,16,100,89,73,1021,1020,1018,10,10,10,29,10,,0.00,5,Rain-Thunderstorm,85<br />
2006-1-3,26,21,17,18,16,15,100,79,51,1020,1018,1015,10,10,10,24,10,,0.00,4,,77<br />
2006-1-4,27,21,16,17,16,14,100,74,45,1018,1016,1014,10,10,10,24,6,,0.00,4,Thunderstorm,45<br />
2006-1-5,28,22,17,18,17,16,100,77,51,1019,1017,1015,10,10,10,14,6,,0.00,5,,43<br />
2006-1-6,25,20,16,17,17,15,100,85,61,1019,1018,1016,10,10,5,16,10,,0.00,6,Rain-Thunderstorm,90<br />
2006-1-7,26,21,16,17,16,14,88,75,57,1019,1018,1016,10,10,8,16,10,,0.00,5,,30<br />
2006-1-8,26,22,18,18,17,16,94,78,57,1019,1017,1015,10,10,7,19,10,,0.00,6,,38<br />
2006-1-9,25,21,17,17,15,1,94,77,21,1019,1017,1015,10,10,8,16,8,,0.00,6,Rain-Thunderstorm,50<br />
2006-1-10,26,21,17,19,16,1,94,76,22,1019,1017,1015,10,9,4,19,10,,0.00,5,Rain-Thunderstorm,67<br />
2006-1-11,24,20,17,17,16,16,94,84,61,1019,1017,1015,10,9,3,21,6,,0.00,6,Rain,52<br />
2006-1-12,23,20,17,17,16,6,94,75,48,1020,1018,1016,10,10,9,16,11,,0.00,6,Rain,34<br />
2006-1-13,25,21,17,17,16,15,94,75,54,1021,1019,1017,10,10,6,13,8,,0.00,5,Rain,6<br />
2006-1-14,26,22,18,18,14,1,94,76,32,1021,1019,1017,10,9,6,23,8,,0.00,5,Rain-Thunderstorm,28<br />
2006-1-15,24,21,18,18,16,1,94,76,27,1020,1019,1017,10,10,10,21,6,,0.00,6,Thunderstorm,68<br />
2006-1-16,25,21,18,18,17,17,94,83,61,1020,1019,1018,10,10,10,23,6,,0.00,5,,85<br />
2006-1-17,22,19,17,18,14,1,94,82,34,1020,1019,1017,10,9,3,24,18,,0.00,6,Rain,81<br />
2006-1-18,23,19,16,17,15,1,94,80,32,1021,1019,1016,10,10,8,21,14,,0.00,6,Rain,45<br />
2006-1-19,24,21,18,18,15,1,94,73,25,1020,1019,1017,10,10,10,19,11,,0.00,6,,25<br />
2006-1-20,27,22,18,18,16,1,94,78,32,1022,1020,1018,10,10,8,19,8,,0.00,4,Rain-Thunderstorm,63<br />
2006-1-21,25,21,17,17,17,16,94,87,61,1023,1021,1020,10,10,8,14,10,,0.00,6,Thunderstorm,85<br />
2006-1-22,28,23,18,18,16,1,94,70,32,1022,1020,1016,10,10,10,13,8,,0.00,4,,9<br />
2006-1-23,29,24,19,18,17,15,94,70,42,1021,1020,1017,10,10,7,13,6,,0.00,4,Rain,47<br />
2006-1-24,29,23,18,18,16,12,94,65,37,1023,1021,1019,10,10,10,19,11,,0.00,4,,84<br />
2006-1-25,28,22,17,18,16,14,94,67,42,1023,1021,1019,10,9,6,19,11,,0.00,2,,76<br />
2006-1-26,28,23,18,17,17,13,94,75,42,1023,1021,1019,10,10,8,14,10,,0.00,4,Thunderstorm,51<br />
2006-1-27,29,23,18,18,16,12,88,65,35,1023,1021,1018,10,10,8,14,10,,0.00,5,Thunderstorm,52<br />
2006-1-28,28,23,18,18,17,16,94,75,48,1022,1020,1018,10,10,4,19,10,,0.00,5,Rain-Thunderstorm,343<br />
2006-1-29,29,24,19,19,17,15,94,68,48,1020,1017,1010,10,10,10,14,6,,0.00,4,Thunderstorm,145<br />
2006-1-30,27,23,19,19,16,1,94,69,18,1019,1017,1015,10,10,8,19,11,,0.00,5,Rain-Thunderstorm,46<br />
2006-1-31,27,22,18,18,16,13,88,69,42,1020,1018,1015,10,10,9,16,10,,0.00,5,Thunderstorm,128<br />
2006-2-1,25,21,17,19,17,16,94,79,61,1020,1018,1016,10,9,6,21,8,,0.00,4,Rain,145<br />
2006-2-2,26,21,17,18,14,1,94,66,30,1020,1019,1016,10,10,10,24,16,,0.00,4,,152<br />
2006-2-3,28,22,17,17,15,1,88,69,32,1020,1018,1016,10,10,10,21,11,,0.00,5,,157<br />
2006-2-4,27,22,17,18,17,16,94,76,54,1020,1018,1016,10,10,10,14,8,,0.00,4,Rain-Thunderstorm,67<br />
2006-2-5,26,21,17,18,17,15,94,79,57,1020,1019,1016,10,10,10,21,10,,0.00,6,Rain-Thunderstorm,54<br />
2006-2-6,24,20,17,18,16,1,94,82,30,1021,1019,1018,10,10,6,23,13,,0.00,5,Rain-Thunderstorm,83<br />
2006-2-7,22,20,18,17,14,1,94,74,32,1021,1019,1017,10,10,10,24,19,,0.00,6,,63<br />
2006-2-8,24,20,17,17,12,1,88,64,25,1021,1020,1018,10,10,10,24,16,,0.00,6,,45<br />
2006-2-9,27,22,17,17,17,15,94,75,54,1023,1021,1019,10,10,9,23,14,,0.00,5,,43<br />
2006-2-10,28,22,17,17,16,13,94,70,39,1024,1022,1019,10,10,10,19,8,,0.00,4,,56<br />
2006-2-11,27,22,18,17,16,13,88,68,42,1025,1022,1019,10,10,10,19,13,,0.00,5,Thunderstorm,73<br />
2006-2-12,27,22,18,17,16,14,88,68,47,1023,1021,1018,10,10,10,19,13,,0.00,4,,59<br />
2006-2-13,27,22,18,18,17,15,94,80,51,1021,1019,1016,10,10,5,13,5,,0.00,6,Rain-Thunderstorm,336<br />
2006-2-14,27,23,19,18,17,13,88,75,42,1021,1019,1017,10,10,10,10,6,,0.00,5,,97<br />
