
TJT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,18,9,1,1,-2,-4,81,53,24,1024,1022,1020,10,7,3,6,2,,0.00,0,,30<br />
2000-1-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2000-1-5,8,7,6,-1,-1,-2,61,56,53,1017,1017,1017,6,6,6,6,2,,0.00,8,,60<br />
2000-1-6,14,9,5,2,-1,-3,70,51,36,1020,1017,1016,10,9,4,14,5,,0.00,7,,84<br />
2000-1-7,15,11,7,7,2,0,87,58,38,1016,1013,1012,10,10,6,21,8,,0.00,7,Rain,67<br />
2000-1-8,9,4,0,7,3,-1,100,93,87,1026,1020,1012,10,5,2,21,10,,0.00,8,Rain-Snow,268<br />
2000-1-9,2,0,-2,0,-2,-4,100,90,75,1029,1026,1023,10,6,2,14,8,,0.00,6,Snow,55<br />
2000-1-10,7,0,-6,-2,-5,-7,93,72,37,1023,1019,1016,10,10,10,14,6,,0.00,2,,76<br />
2000-1-11,2,0,-1,0,-2,-3,93,88,80,1021,1019,1018,10,7,4,11,5,,0.00,7,Snow,247<br />
2000-1-12,0,-2,-3,-1,-2,-4,100,94,93,1022,1019,1017,7,4,1,18,13,,0.00,8,Snow,279<br />
2000-1-13,-3,-4,-7,-5,-6,-9,93,91,80,1029,1026,1022,7,4,1,18,10,,0.00,7,Snow,258<br />
2000-1-14,-1,-6,-10,-6,-9,-12,93,79,59,1027,1026,1025,10,9,6,6,3,,0.00,6,,125<br />
2000-1-15,1,-2,-5,-5,-7,-8,86,77,60,1028,1027,1026,10,8,4,6,2,,0.00,8,,129<br />
2000-1-16,5,-2,-8,-5,-7,-9,93,71,39,1027,1023,1020,10,6,4,6,3,,0.00,0,,82<br />
2000-1-17,11,3,-3,-2,-5,-8,80,55,33,1020,1017,1012,10,8,5,21,6,,0.00,7,,72<br />
2000-1-18,8,4,2,4,1,-5,100,84,40,1022,1017,1011,10,6,1,14,6,,0.00,7,Rain,345<br />
2000-1-19,10,6,2,4,2,-1,100,79,54,1025,1022,1019,10,7,1,14,5,,0.00,3,,62<br />
2000-1-20,9,4,-1,-1,-4,-9,81,56,29,1018,1017,1015,10,10,10,18,8,,0.00,6,,64<br />
2000-1-21,13,7,1,-2,-4,-7,81,49,25,1017,1011,1008,10,10,10,21,11,,0.00,2,,70<br />
2000-1-22,15,9,4,2,-1,-3,70,54,39,1017,1015,1012,10,10,10,26,10,,0.00,5,Rain,87<br />
2000-1-23,14,10,4,3,1,-1,81,63,38,1020,1018,1016,10,10,10,21,8,,0.00,4,Rain,73<br />
2000-1-24,9,6,3,5,3,1,93,78,62,1023,1020,1019,10,10,10,21,5,,0.00,7,Rain,96<br />
2000-1-25,8,4,1,4,2,0,100,87,66,1028,1026,1023,10,9,5,26,6,,0.00,5,Rain-Thunderstorm,43<br />
2000-1-26,7,2,-2,-1,-4,-8,93,73,39,1026,1024,1023,10,10,7,18,6,,0.00,0,,70<br />
2000-1-27,11,4,-1,-7,-11,-13,60,37,19,1023,1022,1021,10,10,10,29,14,,0.00,2,,74<br />
2000-1-28,14,9,4,-5,-6,-10,52,36,25,1026,1023,1022,10,10,10,29,14,,0.00,6,,84<br />
2000-1-29,15,11,7,3,-2,-5,62,43,31,1022,1021,1020,10,10,10,26,13,,0.00,7,,80<br />
2000-1-30,10,7,3,7,4,1,100,83,54,1019,1016,1015,10,7,1,35,10,55,0.00,7,Rain,260<br />
2000-1-31,0,-2,-3,0,-1,-3,100,97,93,1032,1028,1020,10,5,1,26,10,,0.00,7,Snow,154<br />
2000-2-1,2,-1,-4,0,-3,-5,100,92,75,1026,1020,1015,6,3,0,11,3,,0.00,1,Fog,92<br />
2000-2-2,8,3,-2,-3,-6,-9,86,57,34,1017,1015,1013,10,8,4,21,11,,0.00,2,,68<br />
2000-2-3,6,3,1,2,-1,-5,93,73,56,1025,1020,1017,10,9,3,18,6,,0.00,8,Rain,258<br />
2000-2-4,7,3,1,2,1,0,100,89,61,1025,1023,1021,10,4,2,6,3,,0.00,5,Rain,204<br />
2000-2-5,13,6,-2,2,-3,-9,100,66,21,1021,1017,1015,10,7,3,29,6,,0.00,1,,63<br />
2000-2-6,13,7,0,-4,-8,-14,70,42,18,1019,1017,1015,10,10,10,29,10,,0.00,1,,74<br />
2000-2-7,16,7,-1,-5,-8,-12,69,39,15,1015,1012,1008,10,10,10,21,8,,0.00,0,,68<br />
2000-2-8,18,11,4,3,-4,-8,87,45,22,1014,1010,1007,10,9,6,35,14,58,0.00,6,,62<br />
2000-2-9,3,0,-4,1,-2,-5,100,98,87,1026,1022,1015,7,3,1,32,14,,0.00,8,Rain-Snow,247<br />
2000-2-10,-3,-4,-5,-4,-5,-6,100,91,80,1029,1026,1024,7,5,4,6,5,,0.00,8,,160<br />
2000-2-11,-1,-3,-5,-4,-6,-7,93,83,74,1030,1029,1028,5,5,4,11,6,,0.00,5,,147<br />
2000-2-12,5,-1,-7,-3,-6,-9,100,77,39,1028,1026,1023,10,5,0,14,5,,0.00,1,Fog,81<br />
2000-2-13,10,3,-3,-4,-7,-9,74,53,32,1025,1023,1022,10,9,7,21,5,,0.00,1,,61<br />
2000-2-14,13,6,-1,-1,-6,-10,69,47,24,1022,1016,1011,10,10,10,18,8,,0.00,8,,70<br />
2000-2-15,8,4,0,3,1,-4,100,81,46,1024,1019,1014,10,7,0,18,8,,0.00,8,Fog-Rain-Snow,39<br />
2000-2-16,3,1,0,1,0,-1,100,89,75,1026,1025,1024,10,6,0,11,5,,0.00,5,Fog-Snow,117<br />
2000-2-17,9,3,-2,-1,-4,-8,93,67,34,1023,1020,1017,10,9,5,18,6,,0.00,2,,79<br />
