
UYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,26,19,12,17,13,10,100,71,39,1016,1014,1013,,,,21,14,,0.00,,,52<br />
2000-1-2,23,18,13,18,16,11,100,81,61,1016,1015,1013,10,10,10,29,16,,0.00,1,,84<br />
2000-1-3,24,19,14,19,17,13,100,85,65,1015,1013,1010,10,10,10,29,14,,0.00,1,,104<br />
2000-1-4,24,20,16,20,19,15,100,89,73,1012,1009,1007,10,9,1,26,14,,0.00,1,,111<br />
2000-1-5,25,20,15,19,17,15,100,84,57,1010,1008,1006,10,9,8,39,13,,0.00,3,Fog,96<br />
2000-1-6,26,20,15,22,19,15,100,89,61,1012,1011,1008,10,10,8,21,13,,0.00,1,,120<br />
2000-1-7,27,22,17,21,19,16,100,82,54,1013,1012,1010,10,10,8,23,13,,0.00,2,,89<br />
2000-1-8,26,22,18,21,18,16,100,79,65,1014,1012,1011,10,9,8,27,21,,0.00,2,,78<br />
2000-1-9,26,23,20,22,21,12,100,86,50,1020,1013,1011,10,9,6,23,10,,0.00,4,Rain-Thunderstorm,124<br />
2000-1-10,25,22,20,23,21,19,100,91,73,1014,1011,1009,10,8,6,23,13,,0.00,7,Rain,121<br />
2000-1-11,28,23,18,23,20,17,100,87,54,1009,1008,1005,10,7,0,35,10,53,0.00,2,Fog-Rain-Thunderstorm,154<br />
2000-1-12,29,23,17,22,19,16,100,81,48,1014,1006,1003,10,9,6,52,14,69,0.00,3,Rain-Thunderstorm,121<br />
2000-1-13,28,23,18,22,19,17,100,78,51,1009,1007,1005,10,10,10,24,14,,0.00,4,Rain-Thunderstorm,103<br />
2000-1-14,26,23,21,23,22,21,100,93,78,1008,1007,1006,10,10,10,26,14,,0.00,5,,125<br />
2000-1-15,26,23,22,23,22,21,100,90,78,1009,1007,1004,10,10,10,27,16,,0.00,4,,118<br />
2000-1-16,31,26,21,24,21,19,100,91,49,1005,1003,1000,10,8,4,26,16,,0.00,4,Rain-Thunderstorm,61<br />
2000-1-17,24,21,19,22,18,15,100,81,57,1016,1010,1004,10,10,10,27,16,,0.00,5,,146<br />
2000-1-18,25,19,13,18,14,13,100,71,47,1018,1016,1015,10,9,7,21,10,,0.00,2,,100<br />
2000-1-19,31,23,16,20,16,11,100,63,29,1015,1012,1008,,,,24,16,,0.00,,,29<br />
2000-1-20,36,27,18,19,16,13,94,56,27,1009,1006,1002,,,,29,23,,0.00,,,9<br />
2000-1-21,33,27,21,24,19,14,100,71,38,1006,1003,1001,10,10,10,39,14,,0.00,6,,261<br />
2000-1-22,24,22,20,21,16,12,94,70,47,1015,1013,1007,10,10,10,39,26,58,0.00,4,,134<br />
2000-1-23,25,21,17,18,14,10,88,66,50,1016,1014,1013,10,10,10,34,19,,0.00,2,,98<br />
2000-1-24,26,19,13,18,15,10,100,73,47,1016,1015,1013,10,10,8,27,16,,0.00,6,,80<br />
2000-1-25,25,20,16,19,14,11,100,67,41,1017,1016,1016,10,10,6,24,11,,0.00,3,,121<br />
2000-1-26,25,20,16,15,13,11,94,61,44,1019,1017,1013,10,10,10,29,14,,0.00,1,,111<br />
2000-1-27,25,20,16,16,14,12,94,66,44,1019,1016,1014,10,10,6,29,16,,0.00,2,,88<br />
2000-1-28,30,23,16,19,16,12,100,67,33,1015,1012,1009,10,9,8,34,19,,0.00,3,,57<br />
2000-1-29,31,24,18,18,14,12,73,54,31,1011,1010,1008,10,10,10,37,26,,0.00,4,,45<br />
2000-1-30,30,24,19,21,18,12,94,73,40,1012,1011,1010,10,9,8,26,19,,0.00,6,,62<br />
2000-1-31,29,24,21,20,18,14,94,68,42,1015,1012,1011,10,10,10,34,14,,0.00,4,,61<br />
2000-2-1,28,23,19,20,18,16,94,76,51,1014,1012,1009,10,10,7,26,13,,0.00,3,,97<br />
2000-2-2,28,23,18,22,19,16,100,82,48,1009,1008,1005,10,10,10,27,14,,0.00,5,,66<br />
2000-2-3,25,22,19,20,15,10,94,66,47,1008,1007,1006,10,10,10,24,18,,0.00,4,,157<br />
2000-2-4,28,19,11,15,12,7,100,61,26,1008,1007,1006,10,9,8,16,10,,0.00,1,,67<br />
2000-2-5,31,23,16,16,14,10,94,57,31,1013,1010,1007,10,10,10,26,18,,0.00,2,,62<br />
2000-2-6,26,22,18,20,17,12,94,73,53,1018,1015,1012,,,,32,18,,0.00,,,72<br />
2000-2-7,26,22,18,21,18,14,94,79,64,1019,1016,1013,10,9,7,29,13,,0.00,3,,95<br />
2000-2-8,25,22,19,20,18,11,94,78,47,1017,1013,1003,10,10,10,27,18,,0.00,7,,79<br />
2000-2-9,28,23,18,20,19,10,100,88,52,1011,1009,1006,10,8,3,32,14,,0.00,6,Rain-Thunderstorm,69<br />
2000-2-10,27,20,14,20,16,13,100,77,45,1008,1006,1003,8,4,0,21,8,,0.00,2,Fog,80<br />
2000-2-11,29,24,21,21,18,14,94,77,42,1006,1004,1002,15,12,8,39,18,,0.00,6,,96<br />
2000-2-12,32,24,18,21,19,15,100,75,36,1008,1005,1002,10,9,3,34,10,,0.00,6,Rain,243<br />
2000-2-13,25,21,18,20,13,8,100,61,36,1021,1014,1008,10,10,10,34,24,,0.00,5,,170<br />
2000-2-14,23,20,18,11,9,7,56,49,44,1027,1025,1022,10,10,10,27,21,,0.00,5,,141<br />
2000-2-15,24,20,16,21,12,9,94,60,47,1026,1024,1020,10,10,10,29,14,,0.00,4,,125<br />
2000-2-16,24,20,16,14,12,10,73,59,41,1027,1025,1024,10,10,8,34,14,,0.00,3,,93<br />
2000-2-17,25,20,15,17,14,12,88,66,44,1025,1022,1018,10,10,10,34,18,,0.00,2,,77<br />
2000-2-18,28,21,15,19,14,10,94,65,32,1021,1019,1016,10,9,8,34,21,,0.00,3,,55<br />
2000-2-19,29,23,18,20,16,12,94,68,35,1020,1018,1017,10,10,8,26,21,,0.00,4,,62<br />
2000-2-20,28,23,19,20,17,14,88,72,45,1019,1017,1015,10,10,7,24,19,,0.00,5,Rain-Thunderstorm,61<br />
2000-2-21,26,22,19,20,18,15,94,77,54,1016,1014,1013,10,10,8,21,14,,0.00,4,,75<br />
2000-2-22,26,20,15,19,16,15,100,82,51,1014,1013,1012,10,8,4,26,8,,0.00,2,,39<br />
2000-5-3,15,15,15,11,11,11,77,77,77,1021,1021,1021,10,10,10,23,21,,0.00,8,,130<br />
2000-5-4,16,13,12,14,13,11,100,94,77,1021,1018,1016,10,7,1,35,23,53,0.00,8,Rain,142<br />
2000-5-5,16,14,14,15,14,13,100,96,88,1015,1007,1002,10,5,1,42,21,63,0.00,8,Rain-Thunderstorm,135<br />
2000-5-6,14,11,9,14,9,5,100,81,55,1013,1010,1003,10,9,3,50,39,69,0.00,5,Rain,236<br />
2000-5-7,16,13,10,12,11,9,100,87,72,1019,1015,1012,10,10,8,23,14,,0.00,4,,240<br />
2000-5-8,15,11,7,11,8,5,100,80,51,1019,1018,1017,10,10,8,16,10,,0.00,3,,261<br />
2000-5-9,18,12,6,15,9,5,100,88,59,1024,1019,1017,10,9,4,26,13,,0.00,3,,262<br />
2000-5-10,16,13,10,11,8,6,94,74,55,1028,1026,1024,10,10,8,24,16,,0.00,2,,131<br />
2000-5-11,17,11,6,11,8,6,100,81,52,1026,1023,1020,10,9,7,24,14,,0.00,4,,25<br />
2000-5-12,20,16,12,15,12,11,100,90,56,1019,1017,1011,10,8,0,23,10,,0.00,4,Fog-Thunderstorm,64<br />
2000-5-13,16,12,8,16,12,7,100,95,87,1020,1019,1018,16,5,0,23,6,,0.00,5,Fog,113<br />
2000-5-14,15,14,14,15,14,13,100,96,94,1021,1020,1018,10,6,3,21,10,,0.00,8,Rain,96<br />
2000-5-15,16,14,14,15,13,10,100,90,68,1017,1013,1009,10,8,3,34,19,,0.00,8,Rain,87<br />
2000-5-16,16,14,14,14,13,12,100,94,82,1017,1005,1003,10,6,2,53,42,84,0.00,8,Rain,105<br />
2000-5-17,17,16,14,14,13,11,100,86,72,1022,1016,1010,10,7,1,50,39,69,0.00,7,Rain,133<br />
2000-5-18,16,14,13,13,11,8,94,83,67,1025,1023,1022,10,9,2,26,19,,0.00,4,,134<br />
2000-5-19,16,12,8,13,11,8,100,86,63,1026,1024,1023,10,10,10,16,6,,0.00,4,,101<br />
2000-5-20,16,12,8,16,9,6,100,84,52,1026,1023,1013,10,9,6,21,6,,0.00,4,,18<br />
2000-5-21,19,13,8,12,10,6,100,83,43,1023,1021,1020,10,7,4,21,11,,0.00,4,,22<br />
2000-5-22,19,14,9,13,10,7,100,84,46,1023,1020,1019,10,8,3,27,13,,0.00,3,,312<br />
2000-5-23,16,13,10,13,12,10,100,92,77,1025,1023,1022,10,8,3,19,11,,0.00,2,,91<br />
2000-5-24,20,15,10,14,11,8,100,87,46,1022,1018,1012,10,6,1,21,16,,0.00,4,Fog,32<br />
2000-5-25,15,14,14,15,14,13,100,98,94,1012,1007,1002,10,7,3,27,16,,0.00,7,Rain-Thunderstorm,53<br />
2000-5-26,16,13,11,14,10,6,100,79,52,1013,1010,1007,10,9,6,32,23,,0.00,7,Rain,237<br />
2000-5-27,14,11,9,12,10,9,100,89,77,1017,1015,1013,10,10,8,26,18,,0.00,3,,238<br />
2000-5-28,15,11,7,12,9,6,100,90,72,1018,1017,1016,10,7,2,14,3,,0.00,2,Fog,204<br />
2000-5-29,16,12,8,12,9,7,100,90,63,1016,1014,1012,12,9,4,16,11,,0.00,-1244,Rain,357<br />
2000-5-30,14,11,8,13,11,8,100,94,82,1014,1011,1009,10,9,4,34,19,,0.00,6,Rain-Thunderstorm,258<br />
2000-5-31,12,11,10,10,6,4,88,69,58,1021,1019,1015,10,10,10,32,24,,0.00,7,,171<br />
2000-6-9,14,14,14,14,14,13,100,98,94,1019,1018,1018,8,8,8,11,10,,0.00,5,,63<br />
2000-6-10,15,13,12,14,13,12,100,98,94,1018,1014,1012,10,5,2,13,10,,0.00,7,Rain,256<br />
2000-6-11,15,13,8,13,12,8,100,93,67,1017,1015,1013,10,9,3,32,13,,0.00,6,Rain,192<br />
2000-6-12,18,14,10,14,12,10,100,92,72,1015,1012,1008,10,9,5,26,13,,0.00,5,,45<br />
2000-6-13,21,18,16,18,17,16,100,93,83,1009,1006,1004,10,10,10,26,21,,0.00,6,,18<br />
2000-6-14,24,21,18,20,18,17,94,84,65,1006,1005,1004,10,10,10,34,23,,0.00,6,Thunderstorm,6<br />
2000-6-15,21,16,11,19,14,11,100,93,78,1010,1006,1003,10,6,1,47,24,,0.00,6,Fog-Rain-Thunderstorm,146<br />
2000-6-16,12,10,9,11,9,6,100,89,76,1024,1016,1009,10,7,2,39,34,50,0.00,7,Rain-Thunderstorm,194<br />
2000-6-17,11,9,8,9,4,2,88,71,54,1027,1026,1024,10,10,8,27,19,,0.00,5,Rain,168<br />
2000-6-18,12,9,7,10,7,3,100,88,66,1027,1024,1021,10,9,3,19,13,,0.00,7,Rain,166<br />
2000-6-19,11,9,8,10,9,7,100,96,87,1021,1018,1015,10,8,2,42,18,,0.00,5,Rain,247<br />
