
SRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,31,28,25,23,23,22,87,70,51,1014,1012,1010,19,12,10,19,10,,0.00,2,,71<br />
2013-1-2,31,28,26,24,22,20,89,64,46,1014,1012,1010,19,13,10,27,6,,0.00,2,,63<br />
2013-1-3,31,26,21,23,21,19,100,70,43,1015,1013,1012,19,13,10,14,2,,0.00,2,,90<br />
2013-1-4,32,28,24,23,22,20,94,65,41,1017,1015,1013,19,12,10,23,10,,0.00,2,,64<br />
2013-1-5,32,28,25,24,21,19,94,64,38,1016,1014,1012,19,13,10,19,5,,0.00,2,,58<br />
2013-1-6,31,27,24,24,22,20,94,71,49,1015,1013,1010,19,11,6,19,6,,5.08,2,Rain,81<br />
2013-1-7,32,28,24,24,22,20,100,71,49,1014,1012,1010,19,11,8,23,8,,0.00,3,Rain,51<br />
2013-1-8,32,28,25,23,22,21,89,66,45,1015,1013,1011,19,12,10,23,8,,0.00,2,,62<br />
2013-1-9,31,28,25,24,23,22,94,71,52,1015,1013,1011,19,12,10,43,13,,0.00,3,,54<br />
2013-1-10,30,28,25,24,22,21,94,74,55,1014,1012,1010,19,12,10,19,8,,0.00,2,Rain,66<br />
2013-1-11,31,27,23,23,22,21,93,68,46,1014,1011,1009,19,12,10,21,6,,0.00,3,,45<br />
2013-1-12,30,27,24,23,22,21,94,74,50,1012,1010,1008,19,12,10,14,5,,0.00,3,,68<br />
2013-1-13,30,27,24,23,22,22,94,75,56,1013,1012,1010,19,12,10,19,8,,3.05,3,Rain,48<br />
2013-1-14,31,27,24,24,23,21,94,76,51,1014,1012,1010,19,11,0,74,14,,0.51,3,Rain-Thunderstorm,36<br />
2013-1-15,30,28,25,24,22,20,94,73,49,1013,1011,1009,19,13,10,14,6,,0.00,3,,62<br />
2013-1-16,30,28,25,24,23,22,94,74,55,1013,1011,1010,19,12,10,23,8,,0.51,3,,55<br />
2013-1-17,31,28,25,24,22,2,89,74,17,1014,1013,1010,19,12,10,19,8,,0.51,3,Rain,38<br />
2013-1-18,29,27,25,24,23,22,94,78,65,1015,1013,1011,19,13,10,14,8,,0.00,3,,50<br />
2013-1-19,31,28,25,24,23,23,94,77,57,1015,1013,1011,19,11,8,19,6,,0.51,3,Rain,71<br />
2013-1-20,30,28,25,24,23,22,94,74,57,1014,1012,1010,19,12,10,19,6,,0.00,3,,58<br />
2013-1-21,32,28,25,24,22,21,94,69,43,1014,1012,1010,19,13,10,23,8,,0.00,2,,82<br />
2013-1-22,30,27,24,23,22,22,94,70,55,1016,1014,1012,19,12,10,23,8,,0.00,3,,58<br />
2013-1-23,31,27,24,23,22,22,94,71,50,1016,1014,1012,19,13,10,21,8,,0.00,2,,47<br />
2013-1-24,31,27,24,24,22,21,100,67,49,1015,1014,1012,19,12,10,19,10,,0.00,3,,56<br />
2013-1-25,32,28,23,23,22,20,94,65,39,1015,1014,1012,19,13,10,23,8,,0.00,2,,57<br />
2013-1-26,32,28,24,24,22,20,100,68,40,1015,1013,1010,19,13,10,16,6,,0.00,3,,84<br />
2013-1-27,30,28,25,24,23,22,89,75,54,1015,1014,1012,19,12,10,19,11,,1.02,4,Rain,77<br />
2013-1-28,31,28,25,25,23,21,89,70,51,1016,1014,1012,19,12,10,24,11,,0.00,3,,50<br />
2013-1-29,36,31,26,24,22,21,89,65,48,1015,1013,1010,19,13,10,23,6,,0.00,3,,45<br />
2013-1-30,30,27,24,25,24,22,94,84,62,1014,1012,1010,19,10,5,14,3,,4.06,5,Rain,83<br />
2013-1-31,30,27,24,24,23,22,95,77,64,1014,1012,1010,19,12,8,23,10,,2.03,2,Rain,48<br />
2013-2-1,29,27,24,23,23,22,94,80,59,1012,1011,1010,19,11,10,23,8,,3.05,3,Rain,58<br />
2013-2-2,29,27,24,24,23,22,94,80,64,1014,1012,1010,19,10,5,23,5,,4.06,5,Rain,36<br />
2013-2-3,29,27,24,24,23,23,100,84,70,1014,1012,1010,19,11,5,11,2,,5.08,3,Rain,70<br />
2013-2-4,29,27,24,24,23,23,94,81,61,1013,1010,1008,19,11,5,23,6,,9.91,3,Rain,48<br />
2013-2-5,28,26,24,24,23,22,94,83,69,1013,1010,1008,19,11,5,14,5,,18.03,2,Rain,73<br />
2013-2-6,31,28,25,24,22,21,94,70,51,1013,1011,1009,19,13,10,23,6,,0.00,2,,68<br />
2013-2-7,32,28,24,23,22,21,94,67,43,1013,1011,1009,19,12,10,19,6,,0.00,2,,57<br />
2013-2-8,30,27,24,24,23,22,89,76,53,1013,1011,1009,19,12,8,16,3,,0.00,3,Rain,60<br />
2013-2-9,30,28,25,25,23,23,94,80,66,1013,1011,1009,19,11,8,21,6,,7.87,2,Rain,61<br />
2013-2-10,30,27,24,24,23,22,100,76,55,1013,1011,1009,19,12,10,19,6,,0.00,3,Rain,73<br />
