
AZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,10,8,6,7,7,5,100,91,76,1023,1019,1017,10,8,3,29,11,,0.00,7,,172<br />
2000-1-2,9,8,6,8,7,5,93,87,76,1018,1016,1015,10,9,4,21,11,,0.00,8,,286<br />
2000-1-3,10,8,5,8,6,5,100,91,76,1019,1017,1015,10,10,8,14,6,,0.00,7,,287<br />
2000-1-4,8,7,6,7,6,5,100,94,93,1016,1015,1014,10,9,6,29,14,,0.00,8,Rain,327<br />
2000-1-5,6,6,5,5,4,3,100,94,87,1017,1016,1015,10,8,4,32,26,,0.00,8,Rain,327<br />
2000-1-6,6,6,5,5,4,3,100,92,81,1018,1016,1015,10,10,10,43,31,,0.00,8,Rain,321<br />
2000-1-7,6,6,5,5,4,3,93,91,87,1026,1021,1016,10,10,10,43,37,,0.00,7,Rain,325<br />
2000-1-8,7,6,4,6,5,3,100,93,87,1030,1028,1026,10,10,10,18,11,,0.00,8,Rain,141<br />
2000-1-9,9,7,5,8,5,3,100,90,81,1026,1025,1024,10,10,10,18,11,,0.00,7,Rain,310<br />
2000-1-10,8,6,3,6,4,2,100,89,81,1027,1026,1025,10,10,8,14,8,,0.00,6,,18<br />
2000-1-11,6,4,3,3,1,-2,81,72,65,1029,1027,1026,10,10,10,21,14,,0.00,7,,92<br />
2000-1-12,5,4,3,2,-1,-3,93,70,61,1031,1029,1028,10,10,10,21,11,,0.00,6,,21<br />
2000-1-13,6,3,2,3,1,-2,93,81,57,1032,1031,1030,10,10,10,18,5,,0.00,7,,23<br />
2000-1-14,5,4,3,2,-1,-2,87,76,65,1034,1033,1032,10,10,10,18,13,,0.00,7,,107<br />
2000-1-15,4,3,2,0,-1,-2,81,73,65,1033,1030,1026,10,10,10,21,14,,0.00,7,,103<br />
2000-1-16,3,2,1,-1,-2,-3,81,74,65,1026,1024,1022,10,10,10,18,11,,0.00,5,,27<br />
2000-1-17,5,2,-1,1,-2,-4,93,79,60,1022,1017,1012,10,10,10,32,8,,0.00,4,,210<br />
2000-1-18,6,4,3,1,-3,-7,81,63,48,1011,1006,1003,,,,40,31,,0.00,,,199<br />
2000-1-19,13,9,5,3,0,-6,71,55,37,1005,999,995,,,,50,29,,0.00,,,204<br />
2000-1-20,11,7,3,9,6,1,93,83,70,1008,1003,999,10,10,10,40,27,,0.00,6,,170<br />
2000-1-21,5,3,2,3,2,1,100,91,81,1014,1006,1001,10,10,10,47,35,,0.00,7,Rain-Snow,321<br />
2000-1-22,6,3,1,1,-2,-6,93,68,42,1015,1010,1006,10,10,10,58,26,,0.00,4,,209<br />
2000-1-23,6,3,2,1,-3,-7,76,65,39,1024,1019,1009,10,10,10,43,32,,0.00,5,,317<br />
2000-1-24,5,2,0,2,-1,-2,87,77,61,1028,1025,1022,10,10,10,40,16,,0.00,4,Snow,217<br />
2000-1-25,10,7,4,3,2,0,87,72,58,1022,1013,1006,10,10,10,47,40,,0.00,6,,198<br />
2000-1-26,8,6,3,4,1,-2,93,76,50,1017,1012,1004,10,9,6,43,34,,0.00,6,,319<br />
2000-1-27,3,2,1,1,1,-2,100,93,70,1020,1017,1016,10,10,6,40,32,,0.00,8,Rain-Snow,324<br />
2000-1-28,3,2,1,1,-1,-2,100,85,70,1026,1023,1020,10,10,10,29,23,,0.00,7,Snow,328<br />
2000-1-29,5,2,-1,2,-2,-2,93,81,61,1027,1026,1025,10,10,10,11,6,,0.00,5,,342<br />
2000-1-30,6,1,-3,1,-1,-3,100,82,61,1027,1024,1021,10,10,10,47,14,58,0.00,3,,181<br />
2000-1-31,11,7,3,4,0,-2,93,68,47,1022,1017,1012,8,8,8,50,23,,0.00,0,,206<br />
2000-2-1,8,7,5,4,3,0,93,80,57,1015,1012,1009,10,10,10,40,26,,0.00,4,,304<br />
2000-2-2,7,4,3,4,2,0,100,85,66,1025,1020,1015,10,10,10,35,13,,0.00,6,Rain,330<br />
2000-2-3,9,6,2,4,2,-2,93,75,46,1025,1020,1013,10,10,10,40,21,,0.00,5,,191<br />
2000-2-4,14,10,6,5,2,-2,93,66,41,1018,1014,1011,10,10,10,40,32,58,0.00,3,,230<br />
2000-2-5,7,6,4,5,4,3,100,91,81,1024,1021,1018,10,10,4,35,27,,0.00,6,Rain,324<br />
2000-2-6,7,4,3,6,4,3,100,90,81,1020,1014,1010,10,10,8,32,6,,0.00,8,Rain,300<br />
2000-2-7,5,4,3,4,1,-3,93,79,65,1024,1018,1013,10,10,8,58,40,72,0.00,7,Rain,336<br />
2000-2-8,6,3,2,3,1,-2,87,80,70,1025,1023,1021,10,10,10,14,8,,0.00,7,,193<br />
2000-2-9,9,6,2,4,1,-2,87,71,54,1022,1021,1019,,,,32,11,,0.00,,,184<br />
2000-2-10,10,8,5,5,3,0,100,76,54,1025,1023,1020,10,10,10,35,23,,0.00,4,,184<br />
