
CAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,26,24,24,25,23,20,100,89,72,1014,1010,1008,31,18,10,27,24,,20.07,7,Rain,210<br />
2013-1-2,28,24,22,22,21,18,83,74,55,1015,1013,1011,31,16,10,37,19,,0.00,5,,212<br />
2013-1-3,34,24,15,24,22,20,83,64,46,1012,1006,1002,31,29,19,,,,0.00,3,,-1<br />
2013-1-4,29,26,22,24,19,18,88,72,59,1016,1011,1002,31,12,5,26,21,,0.00,6,Rain,172<br />
2013-1-5,27,24,21,18,17,16,73,61,47,1017,1015,1013,31,12,10,19,14,,0.00,6,,122<br />
2013-1-6,31,27,23,24,19,16,84,64,41,1015,1012,1009,31,12,10,32,10,,0.00,4,Thunderstorm,28<br />
2013-1-7,29,26,22,22,21,19,89,70,47,1017,1016,1013,31,13,10,24,10,,0.00,3,,96<br />
2013-1-8,31,27,23,21,20,19,83,66,41,1017,1014,1011,31,14,10,26,10,,0.00,2,,79<br />
2013-1-9,34,28,22,24,22,20,88,71,40,1013,1009,1005,31,14,10,34,14,,0.00,1,,27<br />
2013-1-10,37,31,25,24,22,19,89,62,35,1009,1006,1003,31,15,10,35,18,45,3.05,1,,35<br />
2013-1-11,27,24,22,23,21,20,94,85,72,1012,1010,1008,19,9,3,29,23,,7.87,7,Rain,197<br />
2013-1-12,26,23,21,22,21,19,94,85,78,1013,1012,1010,31,7,3,27,23,,49.02,7,Rain,197<br />
2013-1-13,26,23,22,22,21,20,89,82,74,1013,1011,1009,19,9,3,27,21,,2.03,7,Rain,185<br />
2013-1-14,29,26,22,23,22,21,89,84,68,1011,1010,1008,31,13,6,13,10,,0.00,6,Rain,165<br />
2013-1-15,27,24,23,24,23,22,94,89,83,1018,1014,1010,31,9,0,21,6,,150.11,4,Rain-Thunderstorm,170<br />
2013-1-16,30,27,23,24,22,20,94,79,55,1018,1016,1015,31,15,10,23,6,,0.00,5,,130<br />
2013-1-17,33,28,23,24,22,18,94,71,46,1016,1013,1011,31,13,1,32,10,,0.00,2,,45<br />
2013-1-18,32,28,24,24,23,21,94,73,47,1012,1010,1006,31,15,10,29,13,,8.89,2,Thunderstorm,51<br />
2013-1-19,26,23,21,23,22,20,94,87,78,1011,1010,1009,19,9,4,21,11,,0.00,7,Rain-Thunderstorm,202<br />
2013-1-20,23,22,22,21,21,20,94,91,88,1011,1010,1009,10,6,4,16,13,,13.97,7,Rain,225<br />
2013-1-21,28,24,22,24,22,20,100,83,66,1013,1007,1006,26,11,8,27,19,45,0.00,7,Rain-Thunderstorm,188<br />
2013-1-22,31,26,21,20,18,17,83,66,48,1014,1012,1010,31,15,10,37,26,48,0.00,3,,185<br />
2013-1-23,29,24,21,23,19,17,88,68,38,1015,1013,1010,31,15,10,19,14,,0.00,2,,180<br />
2013-1-24,27,,27,25,25,25,89,89,89,1009,1009,1009,10,10,10,0,0,,0.00,3,,-1<br />
2013-1-25,27,,27,26,26,26,94,94,94,1012,1012,1012,10,10,10,8,8,,0.00,8,,250<br />
2013-1-26,30,29,27,22,21,20,74,62,55,1017,1016,1015,10,10,10,21,18,,0.00,4,,130<br />
2013-1-27,30,27,24,22,21,20,89,69,55,1016,1014,1011,10,10,10,27,14,,0.00,4,,77<br />
2013-1-28,29,26,23,22,21,19,83,66,51,1019,1017,1016,31,15,10,19,16,,0.00,7,,159<br />
2013-1-29,28,24,21,21,21,19,88,74,65,1019,1017,1016,31,14,10,24,18,,0.00,6,,182<br />
2013-1-30,30,26,22,22,22,20,100,76,58,1016,1013,1009,31,13,3,26,13,,7.11,4,Rain-Thunderstorm,52<br />
2013-1-31,31,26,21,22,21,20,94,73,50,1013,1011,1009,26,10,3,26,8,,0.51,3,Rain-Thunderstorm,113<br />
2013-2-1,28,24,22,22,20,18,89,72,58,1014,1012,1011,31,12,4,35,21,39,11.94,4,Rain,190<br />
2013-2-2,31,26,22,20,19,18,88,68,45,1012,1009,1005,31,14,10,24,19,,0.00,3,,183<br />
2013-2-3,32,27,21,22,21,19,88,65,42,1007,1005,1002,31,15,10,23,11,,0.00,1,,131<br />
2013-2-4,29,25,21,22,21,18,100,74,56,1016,1010,1007,31,12,5,34,16,42,0.00,5,Rain-Thunderstorm,176<br />
2013-2-5,26,23,21,18,17,16,78,64,48,1020,1018,1016,31,14,10,26,19,,0.00,6,,169<br />
2013-2-6,29,26,22,20,19,17,78,68,41,1018,1015,1011,31,15,10,23,11,,0.00,4,,206<br />
2013-2-7,30,26,21,22,19,17,83,67,48,1013,1012,1009,31,14,10,32,13,,0.00,3,,38<br />
2013-2-8,33,28,23,23,22,20,83,74,58,1011,1010,1008,31,14,10,26,14,,0.00,2,,66<br />
2013-2-9,30,28,26,23,22,21,83,62,49,1011,1011,1010,31,14,10,23,19,,0.00,3,,78<br />
2013-2-10,31,29,26,22,21,18,74,62,38,1014,1012,1011,31,16,10,26,19,,0.00,1,,93<br />
2013-2-11,31,27,23,23,22,19,94,74,51,1014,1013,1011,31,15,10,24,13,,0.00,3,,116<br />
2013-2-12,30,27,23,23,22,20,94,69,51,1014,1013,1011,31,14,4,24,14,,0.00,4,Rain,105<br />
2013-2-13,30,26,22,25,21,19,94,70,45,1013,1011,1006,31,14,10,29,11,,0.00,3,,140<br />
2013-2-14,31,27,23,23,22,19,89,71,46,1022,1008,1004,31,15,10,24,8,,0.00,3,Thunderstorm,64<br />
2013-2-15,29,26,23,22,21,20,84,75,62,1014,1011,1008,31,13,10,23,10,,0.00,2,,168<br />
2013-2-16,31,27,23,22,21,20,94,72,46,1016,1014,1013,31,14,9,24,21,45,0.51,3,,179<br />
2013-2-17,30,26,22,21,20,19,88,70,51,1015,1013,1011,26,13,10,27,19,,0.00,3,,171<br />
2013-2-18,31,27,22,22,20,17,88,67,35,1012,1009,1006,31,14,10,24,11,,0.00,1,,159<br />
2013-2-19,32,27,22,22,21,19,88,67,39,1009,1008,1007,31,14,5,11,5,,0.00,2,,332<br />
2013-2-20,32,28,24,24,22,19,89,69,45,1013,1008,1004,31,16,8,32,10,48,0.76,4,,169<br />
2013-2-21,29,25,21,18,16,15,69,57,36,1016,1014,1013,31,14,10,35,26,50,0.00,5,,183<br />
2013-2-22,29,24,20,18,16,14,78,57,32,1015,1012,1010,31,15,10,23,14,,0.00,2,,149<br />
2013-2-23,29,24,20,22,19,18,88,66,48,1015,1012,1009,31,15,6,26,8,,0.25,2,,101<br />
2013-2-24,29,26,22,20,18,17,83,61,43,1017,1016,1014,31,15,9,16,11,,0.00,5,,147<br />
2013-2-25,31,27,23,19,18,15,73,55,34,1019,1018,1017,31,15,10,26,13,,0.00,2,,106<br />
2013-2-26,31,27,22,20,19,18,83,63,43,1019,1016,1013,31,13,10,32,11,,0.00,2,,47<br />
2013-2-27,32,26,20,21,19,18,88,64,42,1017,1014,1011,31,14,10,32,13,,0.00,2,,47<br />
2013-2-28,34,27,20,22,20,17,88,66,36,1013,1010,1006,31,16,10,35,14,,0.00,1,,34<br />
2013-3-1,26,24,23,20,19,18,83,74,55,1016,1014,1011,31,13,7,40,13,61,0.00,6,,197<br />
2013-3-2,29,25,21,19,17,13,69,54,37,1018,1016,1015,31,19,10,29,24,,0.25,5,,183<br />
2013-3-3,27,24,22,20,18,17,78,66,54,1021,1019,1017,31,12,10,27,23,,0.00,6,,182<br />
2013-3-4,29,25,21,19,18,16,83,63,37,1021,1020,1017,31,13,10,23,14,,0.00,3,,167<br />
2013-3-5,29,24,19,21,17,15,83,61,34,1020,1016,1013,31,14,10,24,11,,0.00,2,,136<br />
2013-3-6,31,26,21,22,21,19,88,69,50,1014,1012,1009,31,14,10,27,10,,0.00,4,,48<br />
2013-3-7,34,28,22,23,21,20,94,71,44,1012,1010,1007,31,12,5,39,13,,0.76,2,Rain-Thunderstorm,60<br />
2013-3-8,34,28,21,23,21,20,94,74,49,1011,1008,1005,31,12,10,29,14,,0.00,4,,6<br />
2013-3-9,31,27,22,23,20,18,83,64,49,1021,1014,1008,31,12,6,34,21,,0.00,5,Rain,176<br />
2013-3-10,30,26,21,21,17,15,94,66,45,1024,1022,1016,26,11,6,29,26,42,0.00,6,,183<br />
