
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,10,3,-3,0,-3,-8,82,65,44,1025,1023,1021,16,14,8,40,16,47,0.00,2,,226<br />
2000-1-2,12,7,1,8,5,1,100,89,75,1023,1019,1012,16,10,4,26,11,,0.76,7,Rain,192<br />
2000-1-3,18,12,6,10,7,3,89,72,48,1024,1017,1011,16,16,13,32,21,29,0.76,7,Rain,272<br />
2000-1-4,17,10,4,14,8,-2,100,90,53,1022,1009,999,16,7,0,52,23,66,19.30,8,Fog-Rain,36<br />
2000-1-5,8,1,-6,6,-8,-17,86,53,34,1034,1015,1001,16,16,10,37,27,48,5.84,3,Rain,311<br />
2000-1-6,2,-2,-7,-1,-8,-17,89,62,40,1039,1034,1029,16,16,16,21,10,,0.00,3,,164<br />
2000-1-7,7,3,-1,2,-2,-9,96,71,41,1028,1020,1014,16,16,16,39,16,60,0.00,4,,246<br />
2000-1-8,3,1,-1,-7,-9,-11,56,49,37,1025,1023,1019,16,16,16,29,18,32,0.00,2,,259<br />
2000-1-9,9,5,1,0,-4,-7,70,54,36,1019,1017,1015,16,16,16,35,23,,0.00,6,,252<br />
2000-1-10,13,8,4,12,6,1,100,91,74,1019,1005,988,16,11,1,53,21,64,18.80,7,Rain,112<br />
2000-1-11,13,9,5,4,0,-4,74,58,43,1000,998,994,16,16,16,50,32,71,0.00,4,Rain,243<br />
2000-1-12,6,3,0,-3,-8,-12,53,43,31,1018,1012,1001,16,16,16,42,29,60,0.00,2,,282<br />
2000-1-13,0,-4,-11,-4,-8,-18,100,77,48,1018,1011,1007,16,7,0,42,18,60,2.54,8,Fog-Snow,338<br />
2000-1-14,-9,-11,-14,-18,-22,-24,59,45,32,1031,1024,1016,16,16,13,42,34,55,0.00,2,,307<br />
2000-1-15,-8,-12,-17,-17,-23,-27,56,39,25,1037,1035,1031,16,16,16,35,23,42,0.00,1,,297<br />
2000-1-16,4,-3,-9,1,-7,-21,100,73,39,1033,1015,1005,16,12,1,50,26,61,0.00,6,Snow,211<br />
2000-1-17,-9,-13,-18,-19,-23,-26,57,49,44,1021,1017,1014,16,16,16,55,40,84,0.00,3,,314<br />
2000-1-18,-7,-12,-16,-18,-21,-23,60,49,40,1021,1016,1011,16,16,16,35,24,45,0.00,2,,314<br />
2000-1-19,-6,-10,-14,-17,-19,-20,62,48,36,1012,1011,1009,16,16,16,21,16,,0.00,3,,309<br />
2000-1-20,-6,-8,-10,-8,-12,-19,93,74,44,1011,1004,997,16,8,2,37,18,47,0.00,7,Snow,345<br />
2000-1-21,-7,-11,-16,-10,-16,-26,86,64,38,1002,996,994,16,11,3,60,34,87,0.00,7,Snow,311<br />
2000-1-22,-10,-13,-17,-23,-24,-26,47,40,32,1023,1013,1003,16,16,16,47,37,61,0.00,1,,276<br />
2000-1-23,-6,-10,-14,-13,-19,-24,58,45,36,1026,1024,1021,16,16,16,23,13,,0.00,5,,269<br />
2000-1-24,-1,-4,-7,-6,-9,-13,75,64,57,1021,1019,1018,16,16,10,14,11,,0.00,6,,347<br />
2000-1-25,2,-1,-4,1,-3,-8,100,91,69,1016,1001,987,16,8,0,48,29,58,12.45,8,Fog-Rain-Snow,21<br />
2000-1-26,0,-3,-6,-1,-7,-11,96,71,61,1007,1001,987,16,14,4,27,21,39,0.00,7,Rain-Snow,285<br />
2000-1-27,-7,-10,-14,-12,-16,-21,68,59,50,1016,1011,1006,16,16,14,35,26,45,0.00,5,Snow,304<br />
2000-1-28,-7,-11,-15,-18,-19,-22,61,53,43,1027,1021,1016,16,16,16,34,27,47,0.00,2,,295<br />
2000-1-29,1,-6,-11,-16,-17,-18,62,42,27,1032,1030,1027,16,16,16,24,18,,0.00,0,,300<br />
2000-1-30,8,0,-7,-3,-11,-17,72,47,22,1030,1025,1017,16,16,16,16,8,34,0.00,4,,223<br />
2000-1-31,3,1,-1,0,-3,-8,89,75,61,1016,1003,998,16,10,1,34,21,45,5.33,6,Rain-Snow,249<br />
2000-2-1,2,-1,-3,-7,-8,-9,72,59,50,1008,1006,1004,16,16,16,29,24,40,0.00,2,,251<br />
2000-2-2,-2,-4,-8,-9,-14,-16,69,53,40,1014,1009,1005,16,16,16,39,27,55,0.00,2,,289<br />
2000-2-3,-1,-5,-9,-4,-13,-19,93,55,27,1015,1013,1011,16,15,6,26,19,37,0.00,5,Snow,258<br />
2000-2-4,-2,-4,-6,-4,-7,-10,93,79,65,1013,1011,1010,16,14,4,21,11,,0.00,7,Snow,2<br />
2000-2-5,2,-1,-4,-4,-8,-13,93,64,34,1012,1010,1008,16,13,4,27,14,39,0.00,3,Snow,260<br />
2000-2-6,1,-2,-4,-6,-12,-18,80,49,27,1022,1017,1009,16,15,2,40,26,64,0.00,2,Snow,268<br />
2000-2-7,6,0,-7,-3,-9,-19,70,50,37,1025,1014,1009,16,16,16,40,27,52,0.00,5,Rain-Snow,274<br />
2000-2-8,-3,-7,-11,-13,-18,-20,55,42,30,1034,1031,1026,16,16,16,27,19,34,0.00,0,,272<br />
2000-2-9,7,1,-6,-2,-6,-13,75,61,49,1028,1019,1013,16,16,16,48,29,55,0.00,2,,230<br />
2000-2-10,7,4,2,1,-1,-3,89,73,53,1020,1018,1015,16,14,10,29,18,40,0.00,5,,48<br />
2000-2-11,7,3,-2,6,2,-8,100,90,63,1014,1009,1003,16,6,0,35,11,48,1.27,8,Fog-Rain,204<br />
2000-2-12,-1,-3,-6,-9,-14,-19,63,46,25,1027,1023,1015,16,16,16,32,19,42,0.00,2,,323<br />
2000-2-13,2,-2,-7,-3,-8,-12,75,64,46,1027,1024,1020,16,16,14,24,10,,0.00,6,,166<br />
2000-2-14,13,7,0,12,3,-2,100,84,70,1020,1005,997,16,7,1,53,19,72,24.89,8,Rain,357<br />
2000-2-15,6,3,0,4,-3,-8,97,67,40,1023,1010,1002,16,16,16,39,19,55,0.00,4,,313<br />
2000-2-16,9,3,-2,0,-3,-8,93,69,54,1022,1016,1009,16,13,2,35,16,48,0.00,6,Snow,223<br />
2000-2-17,3,-2,-6,-3,-14,-22,86,45,22,1037,1028,1015,16,14,3,35,26,50,0.00,3,Snow,315<br />
2000-2-18,1,-3,-6,-1,-9,-18,100,65,36,1037,1028,1015,16,7,1,45,14,53,4.32,8,Fog-Snow,122<br />
2000-2-19,0,-2,-4,-1,-6,-13,100,80,50,1017,1015,1013,16,8,1,27,21,,2.03,8,Snow,360<br />
2000-2-20,2,0,-2,-1,-6,-9,92,66,44,1021,1018,1016,16,14,8,32,14,45,0.00,7,Snow,280<br />
2000-2-21,4,1,-2,-6,-9,-12,69,50,34,1032,1027,1021,16,16,14,26,18,34,0.00,2,Snow,288<br />
2000-2-22,3,-1,-3,-3,-6,-8,78,70,64,1035,1033,1032,16,16,16,14,8,,0.00,3,,205<br />
2000-5-3,15,11,9,6,3,1,83,64,48,1028,1028,1027,16,16,16,24,21,,0.00,0,,188<br />
2000-5-4,21,14,7,9,7,4,97,66,43,1028,1025,1021,16,16,16,39,19,47,0.00,5,,202<br />
2000-5-5,27,20,13,16,13,8,83,67,48,1020,1015,1012,16,16,16,24,19,34,0.00,7,Rain,263<br />
2000-5-6,21,16,10,17,9,5,93,76,53,1019,1017,1015,16,16,16,23,14,,0.25,6,Rain,64<br />
2000-5-7,33,21,10,17,13,9,100,73,34,1016,1011,1006,16,13,6,47,14,55,0.00,2,,183<br />
2000-5-8,30,21,14,18,16,13,100,71,47,1010,1009,1008,16,14,5,34,19,42,1.27,5,Rain,266<br />
2000-5-9,18,13,8,15,12,8,100,94,84,1010,1005,1002,16,8,0,37,11,45,0.00,6,Fog,69<br />
2000-5-10,10,8,8,9,8,7,100,96,87,1016,1012,1007,16,12,1,42,26,48,14.73,8,Rain-Thunderstorm,60<br />
2000-5-11,19,12,7,11,8,6,100,80,54,1012,1007,1003,16,16,14,27,19,34,1.27,6,Rain-Thunderstorm,324<br />
2000-5-12,19,14,10,11,9,7,86,72,59,1013,1011,1009,16,16,16,27,14,,0.00,5,,193<br />
2000-5-13,15,12,10,12,10,9,100,94,84,1013,1010,1008,16,12,0,32,14,,5.59,8,Fog-Rain-Thunderstorm,98<br />
2000-5-14,21,16,10,13,10,3,100,83,37,1015,1010,1007,16,14,2,32,11,39,2.54,4,Rain-Thunderstorm,338<br />
2000-5-15,17,13,10,4,2,-1,57,44,33,1019,1017,1015,16,16,16,32,19,40,0.00,2,,291<br />
2000-5-16,19,13,8,9,3,1,75,51,29,1021,1019,1017,16,16,16,23,18,34,0.00,2,,262<br />
2000-5-17,18,15,12,12,8,4,81,64,56,1022,1021,1019,16,16,16,32,18,35,0.00,5,,196<br />
2000-5-18,22,17,13,17,15,10,100,88,68,1022,1014,1008,16,15,10,52,27,64,3.56,7,Rain-Thunderstorm,213<br />
2000-5-19,17,11,6,16,8,3,100,89,74,1023,1020,1014,16,15,8,27,19,40,9.40,8,Rain,22<br />
2000-5-20,12,9,7,8,7,3,93,84,69,1022,1021,1020,16,16,16,24,13,,0.00,8,,74<br />
2000-5-21,12,10,9,9,8,8,97,90,83,1020,1019,1017,16,16,14,24,11,,0.25,8,Rain,126<br />
2000-5-22,13,11,9,10,8,7,100,89,80,1017,1014,1012,16,16,16,24,14,,0.00,8,Rain,101<br />
2000-5-23,14,10,8,12,9,8,100,92,77,1012,1010,1008,16,15,6,29,13,,9.14,7,Rain,79<br />
2000-5-24,19,14,10,17,12,10,100,99,84,1008,1002,999,16,9,1,23,14,,18.29,8,Rain,106<br />
2000-5-25,22,16,10,17,11,7,100,84,42,1004,999,996,16,8,0,40,14,53,1.78,5,Fog-Rain-Thunderstorm,182<br />
2000-5-26,22,17,13,11,8,7,67,56,45,1011,1008,1004,16,16,16,32,24,42,0.00,2,,283<br />
2000-5-27,23,18,13,11,9,7,78,56,38,1012,1010,1008,16,16,16,27,19,37,0.00,3,,299<br />
2000-5-28,16,13,12,11,9,7,93,73,55,1015,1012,1010,16,16,16,19,13,,0.00,6,Rain,66<br />
2000-5-29,14,11,9,10,8,7,93,83,75,1024,1020,1015,16,16,16,32,16,,0.00,4,,61<br />
2000-5-30,14,11,8,11,9,7,97,88,74,1027,1026,1024,16,16,16,26,13,,0.00,3,Tornado,83<br />
